,ID,Comment
0,김규호              ,이번 부정선거는  꼭밝혀질  것이다
1,새디              ,박수 안치는 것들은 전부 다 알고 있던 공범자들이겠군
2,양심              ,낙연이 너는 가짜투표 알고있다 이거네있을수없는 행동 인간의 본심이라  들킬수밖에
3,청라임              ,와 상가집인가.... 초상치르는 분위기.. ㅋㅋ너희들은 뒈졌어...검찰? 청와대?   이젠 필요없다..참을만큼 참았고..  정당한 명분도 있고...사형만이 있을뿐...  애도..😂
4,마왕괴물              ,항간에 부정선거  결과 이미 알고 있어서 그런거라고 하던데!!
5,정금문              ,이낙연은 선거에 졌다 ㆍ 황교안이  이겼다ㆍ 그러니까 국회의원 아니라고하지  ㆍ이천에서   그렇게말했어요 양심에  찔려서 죄는  죄대로갑니다 이낙연 ㆍ가슴에손을언고잠좀 잤나요 ㆍ
6,런닝컨              ,선거조작한거 걸릴까봐 쥐죽은듯 조용히 있는거봐라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ보통 여당이 압도적으로 이기고 있으면 존나 좋아해야 하는게 정상 아니냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ결국 선거조작 증거들 계속 나오면서 선거조작한거 걸렸지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
7,정금문              ,이낙연은 들어라  ᆢ족발도 거짓 ㆍ 의원도 거짓    선거도 거짓이  들통났네  창피해서 요즘 고개도 못들고다니네  ㆍ남에표로  의원되니 좋습니까?
8,종려나무              ,역시 죄지으면 티가 나는법. 양심이 마구 찔리니 분위기가 초상집이네.
9,인수김              ,더불당은 총선 결과를 사전에 이미 알고 있었다는 것.모두다~~~~~
10,남uuglee              ,미리 다 아는 것 같아 보 이네.     앞자리 앉은 지도부 몇 명은 . 언젠가는 그 진실이 반드시   만 천하에 드러날 것이다.
11,볼빵빵              ,원래 같으면 기뻐하고 얼싸안고 해야하는데 부정선거로 조작질 했으니 침묵하는거봐
12,서정미              ,ㅋㅋㅋ~투표조작 정황증거들이 자꾸 나타나고 있는것 같은데 어쩔까? 조작 아니면 선관위컴퓨터 본체 까시던지~ㅋㅋㅋ 나도 조작이 아니길 간절히 바란다~민주당은 민주교 신도들이 많아서 참 부럽다~
13,김시훈              ,부정선거 하고 밥이넘어  가냐
14,A경아              ,사기 부정선거입니다철저히 조사해서 처벌해야 합니다
15,BICOLY Studio              ,저렇게 음흉하게 생긴 사람이 대권주자?
16,내가지구별에 온 이유              ,이상하다. 이게 180석 압승한 당분위기냐?오호 통제라~~뒷감당이 걱정되는구나😂😂😂😂😂
17,박태우              ,"역시 부정선거 한걸 알고 있나봐여, 너무너무 차분"
18,안상준 선생님              ,이낙연은 이미 모든 걸 알고 있었다...
19,리명박              ,마...여기서 포인트는 동작을 출구조사 발표에서 나베 낙선예상 소식에 가장 큰 환호성이 터졌다...그런 확씬을 마 저는 가지고 있는 것 입니다
