,ID,Comment
0,한리더              ,정준호님 여론조사분석 너무 잘하네요. 후보 인물을 소개할떄 사진을 잠시 보여주었으면 좋겠습니다. 모든 후자자를 보여줄수는 없지만 2~3명만 보여주면 좋겠습니다.
1,김태실              ,정의당 지지 하는 것둘은 도대체 뭐냐?
2,조석주              ,정지역이 이번 총선에서는 변화가 있지 않을까 생각 되네요.
3,적폐정권              ,더블당 조로 남불 이번에 박살 안내면 조국 유재수등 다 무죄 나온다
4,강삼식              ,꾸준히 하는 장준호 반드시 많은 구독자의 사랑을 받을 것 입니다
5,한국인              ,민주당 빼고 통합당으로 가자
6,호랑이              ,처인구 용인 갑도 부탁드립니다
7,문은복              ,참 히안하게 연설?하네 바로바로 얘기좀해요  옛날얘기만 하지말고
8,한라산              ,이탄희는 양승태에 대한보상을 받았네요
9,진점숙              ,어떻게서라도 우파가 이겨야         되는  시점이 아는가 싶다
10,Ja Young Kim              ,아직도 문제인.이해가되나...
11,ub y              ,좌파? 우파? ㅎㅎ 스레기집단이 언제 나라위해 정치했나? ㅎㅎ 통채로 나라를 말아 잡숴도 좋아 좋아 내 살림 말아 잡숴도 좋아 나를 잡아 잡숴도 좋아 중국 바이러스? 대구 바이러스?
12,이재덕              ,이기고 있다는 방증입니다. 걱정마세요 우파승리입니다.
13,왕대구              ,김범수 화이팅 이번엔 꼭 이길검니다국민들이 잊어버린나라를 찿으려고똘 똘 뭉첬슴니다 필승 홧팅 김범수
14,이범준              ,속았다는기분   효과재료  약복용후  더말똥말똥 잠이오지않았음
15,범죄자집합소& 더듬어민주당&만세&              ,민주당ㅡ만ㅡ빼고
16,성영기              ,날카로운 분석 잘 듣고있습니다감사 합니다
17,핑크토르              ,장준호 형님 한번 봅시다.010-7336-0114청담동 강병우
18,빛나리              ,이탄희 후보님 응원합니다  필승으로  지역발전에 기여해 주세요
19,현달수              ,이런 양아치가 용인에서 출마한다고?
20,이재훈              ,얼빠진 개자식집단 정부다
21,나이스베스트              ,이제 일베도 국회로 진출하는구나~~~ㅎㅎ
22,최상기              ,용인정 주민들 두번다시 실수를 안할것입니다.
23,나라사랑국민              ,미래통합당  의 예상 의석수는요
24,안개              ,이탄희 후보님 화이팅!!! ^^
25,김수율              ,또 괘변~더불어민주당이 1번인데 왜 뒤에 두었나요?
26,우주의왕자              ,열심히 하시네요. 구독합니다~~
27,정신구              ,잘봤습니다 수고했어요
28,vn rosin              ,"토론회 봤는 데 김범수가 잘 하더라구요.  이탄희는 할 말이 없어서 계속 공허한 사탕발림 말만 했어요. 공약이 벌써 이루어졌냐 벌써 그렇게 진행되었다면 무섭다고  허언까지.  김범수가 차별금지법, 동성애문제를 확실히 막아준다면 이 동네사람들 더 편안하게 살듯해요. 공약이 너무 좋아요~ 세금을 낮춰주겠다. 기업을 유치하겠다. 좋은 학교유치한다. 더 좋은 학교로 입시치루게 하겠다.  학원특구로 지역가치를 높이겠다. 엄마들 뿅갑니다. ♥.♥ 토론회 보면 더 확실히 믿음이 갈텐데. 많이들 시청하지 않은 듯 해요."
29,홍성철              ,김범수화이팅.병지구구민들이저큭지지합니다.
30,푸른구름아              ,이번 선거는 이길겁니다...또지면 저는 이민갑니다
31,이재훈              ,한심한개똥령이다
32,이재훈              ,얼빠진 대통령
33,이재훈              ,또라이 집단이다
34,사거리              ,"나도,전쟁이 나더라도 투표는 하고 피난 갈것임...ㅋㅋ"
35,서서히 바라봅시다창석              ,한일전 친일파 미래 미친통닭당 아베에게 빨랑보내자
36,봄인가              ,빼앗긴들에도  봄은 옵니다
