,ID,Comment
0,Blue Bell              ,ㅇㅇ 본인은 진지하고 재미없는데 때때로 예기치 못한 씹덕미가 있음.
1,메콩강돌고래              ,문재인과 더불어 정권교체!!
2,Saints Kang              ,역시 문재인 뿐이다
3,동용희              ,월하의공동묘지에서 빵~~~넘 귀워우시당... 나도 그거 진짜 무섭게 봤는데..ㅋㅋㅋ
4,Hak jong Kim              ,"아 어제 효창공원에서 뵈었습니다만 주위 분들 모두 좋으세요. 바쁜 일정에도 주위 사람들 챙기는 배려심하며, 설마하고 나갔다가 사진도 같이 찍었는데 맘 같아서는 따뜻한 차라도 대접하고 싶었는데 아쉽네요. 성공한 정부를 위해 늘 응원합니다."
5,박혜원              ,월하의 공동묘지. 으흐흐흐 귀여우심
6,하람              ,고민정아나운서 이리 함께 하시는군요.요란하지 않지만충분히 감동을 주는 영상이네요..^^
7,minwoo kang              ,좋은모습 안좋은 모습 때문에 좋다가도 싫다가도 하지만 변하지 않는점은본인이 죄를 짓지 않는 모습이 참 좋습니다 바른길을 가는 모습 항상 응원합니다 힘내십시요
8,꽃길              ,정말  믿습니다   ♡♡존경합니다
9,송미루              ,문재인의 무서움을 모르다니~ 부드러움이 강함을 이깁니다^^
10,달이차오른다              ,고민정아나가 선택한 사람이기에 더 믿음이간다.
11,쿠텐닭              ,공정하고 자랑스러운 대한민국을 이끌어주실 분....
12,kwuw A              ,아 진심 월하의 공동묘지? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인간미가 있는 서민대통령ㅋ
13,라리루              ,♡고민정님 감사해요
14,김범수              ,민정씨  고마워요
15,성은실              ,고민정 아나운서님도 같이 다니느라 많이 힘드실텐데 캠프분들 다 건강 챙기시길!
16,visualmine              ,고민정 아나운서 정말 고맙습니다.원래 좋아하는 아나운서였는데제가 제일 좋아하는 문재인 대표를 돕겠다는 뉴스를 처음 보고 깜짝 놀라고 감동했습니다.정치와 선거라는 게 정말 힘든 일인데 탄탄한 직장도 등지고 문재인 대표를 도와주셔서 감동이 두 배로 오네요.바쁜 와중이라도 항상 건강 챙기시고요. 19대 대통령 문재인으로 정권 교체하는 날까지 저도 열심히 선거운동 할게요 :)
17,강명희              ,이제 얼마남지 않았습니다. 홧팅!♥
18,sangho Park              ,국민과 소통하려고 하시는 모습이 좋네요~
19,M              ,으흐흐흐 춤신춤왕 #문재인#고민정 대변인 홧팅^^♥
20,호랑이2              ,문재인 귀엽다ㅋㅋㅋ
21,SUNG YOO              ,당신이 대통령이여야만 합니다. 감사합니다.
22,leander              ,그 진심을 국민이 압니다 문재인 화이팅
23,양디차              ,이래서 문재인이군요 문재인화이팅^^
24,kh k              ,ㅎㅎ 미소가 절로 납니다~
25,최보미              ,월하의 공동묘짘ㅋㅋㅋㅋㅋㅋㅋㅋ너무 귀여우세요ㅋㅋㅋ
26,***              ,지지합니다
27,유효주              ,고민정님 넘나 좋음♡
28,ᄋᄃ하              ,귀여우시고 인자하시고 너무 존경해요~~
29,제니제니              ,고민정님 너무 예쁘세요^^
30,sooncho88              ,00:19 인생걸어서 오세훈하고 영혼의 맞다이중
31,엄지척맘              ,그래서 존경함니당♥한표라도 더찍자부모님 모시고~~^^
32,팍팍무르              ,"ㅋㅋㅋ아ㅡㅡ재밌네요 ,  잘봤습니다^^ 꼭 원하는 대통령!! "
33,윤한솔              ,2020년에서 왔어요💙💙💙👍👍👍
