,ID,Comment
0,금호동여사              ,유시민ㆍ박주민 힘내세요 국민이 응원합니다
1,peony &              ,정상적인 사고로는 동물국회에서 버티기 힘들죠 ㅡ  박주민의원님 그럼에도 불구하고 힘내십시요~
2,전업주부TV              ,검사들의 권력이 너무 무섭습니다.그리고 그들이 받는 월급보다 훨씬 더더더 부자로 사는게 이상합니다어떻게 그렇게 될수 있었을까요?
3,J10559              ,두 분 논리적이고 체계적이고 국민과 나라사랑이 무엇인가를 멋지게 보여주니 제 속도 풀리고 맘이 든든합니다. 이 프로의 승승장구를 빕니다 . 고맙습니다.
4,kkotnim kim              ,박주민 의원님 응원합니다
5,최윤숙              ,박주민의원님 유시민 이사장님 수고많으십니다 고맙습니다
6,joen Han              ,나의원께..이제 더이상 두꺼운 가면쓰고 고함지르는 저능아 소리  듣지 않게  해 주 세 요↑가면속 당신 정 상 어 른  아  냐 !
7,88885252              ,나경원 당신이 더 부끄럽다~~사고는 맨날 당신이 치고 왜 국민들이 부끄러워해야 하나~~
8,날씨짱좋아              ,박주민 의원 존경합니다.  청문회 너무 시원시원하고 좋았어요.
9,김연숙              ,박주민 국회의원 같은 분만 계시면  국회가  더 성숙되고   정책도 바르게  흘러가고  존경 받는 국회의원분들이 많을 텐데 ~~
10,박은경              ,유시민 작가님~~질투하는 사람들의 얘기에 흔들리지 마시고 꾸준히 뚜벅뚜벅 가는 사람들의 길을 밝혀주시길 바래요...늘 응원합니다
11,이지영              ,역시노무현대통령은 국민생각하시는맘 대단해요^^존경합니다^^
12,한윤아              ,첫 멘트하실때 눈빛이..울컥하네요..힘내시고 계속 좋은 정보전달해주세요..항상 응원합니다*^^*
13,Mi Kim              ,정말 말씀 예쁘게 하십니다 유시민 이사님. :)
14,공월령              ,김학의사건은 동영상이 증거로나와 있어도 위압에의해 덮어버리고 김경수 도지사는드르킹 말만 믿고 아무련 증거도없이  법정 구속을 시킨다는게말이됩니까  대통령만 바뀌였지아직도 이명박근혜에 흔적이남아 있다고 봅니다
15,정의로운대한민국              ,유시민선생님 사랑합니다👍👍👍👍👍👍👍👍👍👍
16,가현숙              ,유시민이사장님제생에 가장중요한 교수님이십니다사랑과 존경을보냅니다출근길 공부가 재미있습니다신계몽주의라할까요
17,캐넌디자이어              ,자한당 바른미래당 환장할노릇이다 썩은것들 뿌리 뽑자는대 전부 반대만하니 이것들부터 탄핵해야해요 저도 유시민님 의견에 동참합니다.
18,Myong Mackey              ,두분 정말정말 감사합니다 늘사랑함니다 최고 입니다 나라사랑 이웃사랑 감사합니다 화이팅입니다 대한민국 화이팅 입니다
19,슈크림              ,자랑스런 유시민이사장님!! 존경 스럽습니다ㆍ그리고 초선이지만 대단히 자랑스럽고 믿을 수 있는 박주민의원님 격하게 응원하고지지 합니다❤❤❤
20,초록빛              ,알릴레오 덕분에정치를 좀더 알게됐습니다 감사합니다
21,Goguma Latte              ,대화의 희열을 통해 처음 알리레오가 있다는 것을 알고  찾아 들어와 구독과 알림을 눌렀습니다.2주에 걸쳐 유시민 선생님의 삶을 통해 한국 근현대사의 어두운 부분과 치부를 다시금 되돌아 보게 되었습니다.  지금까지 조금씩 변화를 이루려고 노력해 오신 많은 선배 선생님들의 노력과 헌신에 감사를 드립니다.  부끄럽지만 아무것도 한게 없는 그냥 평범한 시민으로 살아가는 저 같은 사람은 그냥 대선이나 총선때 매국노 같은 그 하나의 당이 안 뽑히도록 투표에 적극 참여하는것 밖에는 없었네요.  붓은 총보다 강하다라고 어디서 들은거 같은데 유시민 선생님은 글과 사설 방송을 통해서 정의와 도리를 세우고 계십니다.    앞으로도 국민의  알권리를 위해서 계속 좋은 방송 부탁드립니다.   감사합니다.
22,Moonsoo Park              ,박주민 의원님 진심으로 존경하고 응원 합니다
23,엄남식              ,"좀 늦게 방송을 보았습니다. 참으로 답답합니다. 사법농단 기사로만 보았지 얼마나 잘못했는지 실감이 안갔는데 법원 판사들 양심도 없어 보이네요.... 대한민국 앞으로 갈길이 멀어 보입니다. 그렇지만 나는 아니드라도 나의 자식들이 공정한 사회에서 살 수 있도록 힘을 다해주십시요!!!! 저도 최선을 다해 보겠습니다. 감사합니다,"
24,RACHAEL SEO              ,국민의로서 알 권리 있죠 그동안 너무 모르고 살았던 50대 아줌마 먹고살기 바빠서 하지만 이런 방송을 보면서 많은 생각을 하게하죠 독재정치의 획일적인 교육을 받으면서  살았던세대     이건 아니다라는 생각을 많이 했죠 우리 다음세대는  많은것을 알고 스스로 거르고 판단할수 있게 할수있게 해야줘
25,조성환              ,"박주민 의원님, 총선에 최선을 다하는 수밖에 없습니다. 자한당을 대화의 상대로 생각치 마시고, 적극적으로 프레임 전쟁을 하는 수 밖에 없습니다. 여론전에 총력을 다하시기 바랍니다. 화이팅"
26,Hwaniii              ,그런 비리판사가 가는 곳이 자유한국당 ㅋㅋ
27,선희문              ,유시민 작가님 점점 기품이 있어집니다.항상 존경하고 응원합니다.
28,찌제리              ,박의원님 힘내시고 의원님들 뒤에 진실을 볼 수 있는 국민들이 많이 있다는 것을.... 화이팅!
29,lee대바기              ,유시민 작가가 대통령을 포기한 이유를 알겠습니다대통령보다 더 정치를 소통 할 수 있는 알릴레오를 기대합니다..
30,봉이아빠              ,아직도 검찰은 자유한국당 집권세력인갑네~  검찰은 자유한국당만 꽉 믿고 있나벼~
31,박안또니또              ,이유경 이란 계집애는 국적이 한국일텐데  국민이 뽑은 대통령을 뭘로보고.  모독을하나? 아무리 철부지 어린것이지만 잡아다가 스파이인지 조사를 해봐야 된다.
32,시은이 아빠.              ,그냥... 대통령만 바뀌고 팔다리(정부내 반개혁세력)는 말을 안듣고 당하나(자유한국당)는 개혁입법마다 발목잡아 그걸로 변화없는 대한민국을 만들어 정부의 무능이다라고 떠들고 있는 난국이 지금까지 계속되 온 거군요... 한숨이 절로 나옵니다.
33,사람이면 염치가있어야지              ,"알릴레오, 고칠레오는 눈치보지 말고 쭈욱 가면 됩니다"
34,김기범              ,"패스트트랙 지정 후 댓글답니다. 박주민 의원님 힘써주셔서 정말 감사드리고, 남은 절차도 부탁드립니다."
35,리안리안              ,자한당 지켜보기가 짜증납니다만제발 일좀 하길바랍니다. 사법부가 이정도로 썩어가고 있었는지 안타깝습니다.방송 앞으로도 잘 이끌어 주세요~
36,송프로              ,이젠 개등신처럼 모르고 당하는 국민이고 싶지않습니다.알아야할껀 알고 언놈이 진짜 나쁜놈인지 알고싶습니다.
37,조윤창              ,시민 주민 조국 다 계시니 나라를 위한 소명을 받으신분들 이시네요. 끝까지 응원하고있습니다
38,최현숙              ,알릴레오들으면서위로를 받습니다ㅎㅎㅎ짜증나는 정치현실에서 박주민의원같은분이 계신것에 감사하면서도..스트레스풀방법이 없다는 말씀에 맘이아프네요
39,김민규              ,두분의 대담내용을 끝까지 들어보니  이런나라에 산다는게  허탈합니다.그래도 박주민의원님 같은분이계셔서  희망을가져봅니다
40,날마다축제              ,[반민특위 시즌 2]  진정한 친일청산을 희망합니다...
41,Youngmi Kim              ,"박주민의원님, 부담감과 책임감이 크시겠지요. 어떤 상황에서도 열린 마음으로 앞으로 가십시오. 국회에 의원님처럼 믿을만한 분이 계셔서 얼마나 감사한지요. 잘하고 계시고요, 앞으로도 잘 하실 수 있습니다."
42,JT HAN              ,"알릴레오를 시청하는 23살 청년입니다유시민작가님께서 댓글을 봐주실지는 모르지만제작진을 비롯하여 정말 감사하다는 점 먼저 말씀드립니다.알릴레오를 통해 국회의 현모습을 간접적으로나마 알려주시고 현권력집단의 문제 이슈, 등 쉽게 알려준다는점에서 개인적으로 다른 그 어떤 매체보다 도움이되고 있습니다.마지막으로 정치에 잘모르는저도 자유한국당만큼은.. 이해할수없는 집단임이 분명한 것 같습니다. 꼭 변화되기를 염원합니다 끝으로 정말 감사합니다."
43,Song Yu-Jin              ,아무리 검색해도 이해안되던것들을 이렇게 직접 쉽게 설명해주셔서 정말 감사합니다!
44,朴勝敏              ,그래도 태양은 떠오르듯이  한걸음 한걸음 나아갑시다.설득하고 설득하고 또 설득하면서....
