,ID,Comment
0,사람사는세상노무현재단              ,[부산 시민문화제 장소 변경 안내] 부산 시민문화제가 개최되는 19일(일) 갑작스러운 비 소식으로 부득이하게 장소를 변경하게 되었습니다. 애초 예정됐던 부산시민공원에서 영화의전당 야외극장(부산시 해운대구 수영강변대로 120)으로 변경되었으니 참고 부탁드립니다.
1,정승준              ,이명박과 그 떨거지들....이 쳐죽일 것들...반드시 그 끝을 보고싶다.비참하고 처절하게....인간이라면 견딜 수 없는 수치를 안고 끝나는 꼬라지를 반드시 보고싶다.
2,절대시계              ,대통령님. .그때 깨어있는 국민이였어야 하는데..마음이 아프고 힘이듭니다.대통령님 지켜봐 주세요저희꼭 이루어낼게요.
3,별밤지기              ,에휴 생각하면할수록 아까우신분ㅠ이명박  이색휘 인간이 느낄수있는가장 비참하고 고통스럽게 ㄷㅈ으면
4,홍지수              ,"욕먹는 대통령이 싫었다. 어른들이 이명박이 대통령이 되어야 한다고했다. 누가 대통령이 되든 상관없다 생각했었다. 이명박을 찍었다. 그때 난 어렸고 정치에 무관심했다. 노통이 돌아가시고 그의 삶과 정치를 들여다 보았다. 계속 찾고 보고, 읽고... 나의 무지함을 너무도 후회한다. 너무 죄스럽다. 돌아가신 후에야 사랑하게된 대통령.존경합니다. 사랑합니다. 반드시 깨어있겠습니다."
5,Sam Kim              ,노무현을 살리는 길은 문재인을 지키는 일뿐이다.민주당과 문재인을 성공한 대통령과 집권 거대 보수당으로 만드는 것이것이 이 시대 국민의 소명이다.
6,깨어있는시민              ,그때는 몰랐습니다그러나지금은 알겠습니다진정으로 국민을 위한 대통령이었다는것을......그래서 미안하고  고맙습니다.
7,jeje lung              ,국민들을 진짜 사랑하셨던 대통령..
8,Hyejin Han              ,노무현이라는 이름은 언제 어디서나 나를 가슴 찡하게 만들고 울게 만든다.... 너무 슬프다...
9,Alex Lee              ,"그러게요...벌써 10년이라니....참...혼자 사무실에서 어찌나 울었던지......봉하 가본지도 3년이 됐네요... 올 5월엔 못가겠지만, 올해 안에 다시 가봐야겠네요..."
