,ID,Comment
0,사람사는세상노무현재단              ,"01:50 이해찬 대표의 1분 자기소개02:57 이해찬 대표 보좌관 출신 유시민 이사장! 05:53 2019년 평가 부탁해요~10:31 지난 1년, 강한 여당의 모습 보여줬나?15:02 더불어민주당 공천, 어떻게 이뤄져요?21:40 더불어민주당의 인재영입 핵심은 000!27:55 황교안 대표랑 얘기 좀 해보셨나요?31:43 ⭐️더불어민주당 총선 중점 정책⭐️35:40 총선 최대 변수와 대응 전략은?40:11 자유한국당, 탄핵 국면 극복할까?42:45 총선 이후에도 군소정당과의 연대 이어질까?49:30 32년 정치 인생을 돌아보며50:38 정치하면서 최고의 순간, 이 때다!"
1,kyungmi lim              ,이해찬 대표님 2019년  더민주를 잘 이끌어 주셔서 감사합니다. 올해 총선 꼭 승리합시다.이해찬 ♥♥♥
2,나나한량              ,요즘민주당을 칭찬 안할수가 없다요즘같이 민주당이 일사분란하게  대처한적이 없었다 민주당하면 떠오르는이미지는  치고받고 서로잘났다고 싸우는 이미지가 강했는데 요즘정말 잘한다  앞으로도 지금처럼만 하자!
3,U inQ              ,ㅋㅋ 이사장님 뭔가 평소보다 공손함 ㅋㅋㅋㅋㅋㅋㅋㅋ
4,오옹              ,노무현 없는 노무현의 시대... 제목만 봐도... 벅차.
5,최선옥              ,이해찬대표님 유시민작가님 존경 합니다 늘 건강하세요
6,명국이              ,민주당걱정없네더더더 지지하고 더더더 응원할게요 유시민그가있어더더행복한밤이야~~~~~
7,박지영              ,존경하는 이해찬대표님! 응원하고 지지합니다.선한 의지로 법만들어주시는 분 !!!! 국회에 꼭 필요하신 분 !   문재인대통령의 든든한 후원자 되주셔서 감사합니다❤❤
8,Kim David              ,이해찬대표...보면 볼수록 같이 차한잔 마시고 싶은 분...정말 특별한 분
9,claireyoon              ,유시민 이사장이 이토록 공손한 모습은 이해찬대표님과 도올 선생님 초대했을 때....
10,안신자              ,한번도 민주당을 지지하지 않았던 제가이제부터라도 민주당을 지지하게 되어얼마나 다행인지요.나이를 먹어 세상을 바라보는 혜안이 생겼나봅니다^^
11,Il faut tenter de vivre              ,노무현  없는 노무현의 시대💙우리 민주시민이 민주당과 함께 만들어 가보아요💙
12,자연인처럼살고싶다              ,오늘  더불어민주당 당원 가입했습니다  당원으로써  당비도  낼것입니다  저는 대구  달서구 시민입니다  더블어민주당   응원합니다  문재인 대통령님의  성공을 기원합니다   사랑하는  노무현재단은  지난해 가입하였구요   올해 50살이  되었습니다   나이가 들수록  노무현 대통령님이  더욱 그립고  보고싶습니다   노무현재단  회원여러분  올한해  건강하시고  복된한해  되시길  기원합니다
13,Su Y              ,이해찬대표님 존경합니다 선거앞두고 이만큼 잡음없이 안정적인 민주당은 처음입니다 이번 알릴레오 방송보니 은근 유머도 있으시네요ㅋㅋ
14,노노재팬              ,흙수저로 태어나서 50년 가까이 희망의 끈을 놓지 않은 이유를 두분이 가지고 계십니다.늘 감사하고 고맙습니다.
15,홍경 아              ,이해찬의원님은근 재밋으셩.ㅋ ㅋ언제나 건강챙기면서 민주당에 큰 기여해주셔서 감사합니다
16,박정애              ,유시민이사장님 항상 응원하고 지지합니다 이해찬대표님 대단하시고 존경합니다 화이팅~~^^민주당 총선 압승하자
17,natural joo              ,이해찬대표님 항상 새해복 많이 받으시고 항상 힘내세요 총선 압승합시다 화이팅👍👍👍💙
18,Tae Ham              ,"ㅎㅎㅎ,유시민이 극 겸손 극 긴장하는것을 보니  이해찬 대표님 정말 칼있으마 ....ㅋㅋ  그런데 보기가 더 좋아요..."
19,hyun Hwang              ,이해찬대표님 응원합니다💙 감사합니다💙 32년동안 국회의원하시느라 고생 많으셨어요💙 정계은퇴 후 대표님 말씀처럼 꼭 평양으로 가실 수 있길 빕니다🙏🙏🙏
20,나나              ,작년한해엄청 고생하신 이해찬 대표님 건강 잘 챙기십시요
21,K코로나박멸              ,이해찬대표님 연륜에서 나오는 정치지식을 존경합니다민주당의 발전은 대표님 덕분이라해도 과언이 아닙니다늘 건강하시고 큰복받으십시요존경합니다
22,Byoungchoon Jean              ,이해찬대표님 뵈니 어쩐지 울컥!눈물이 나도록 고맙습니다. 대표님과 유시민 샘 같은 분이 계셔서 얼마나 행복한지 모르겠습니다. 건강하셔서 평화한반도 때 평양에 계신 모습 꼭 꼭 보고 싶습니다.
23,MJ Kim              ,이해찬 대표님 멋지십니다. 당을 잘 이끌어 주고 계셔서 감사합니다 😊
24,yunjy33              ,"자한당 망하고, 정의당이 제1야당이 되어야 한다!"
25,Big Tree              ,"""윗물이 맑아야 아랫물이 맑다!""""인권이 존중되며, 사람사는 세상으로 나라다운 나라!"" 기초와 기본을 튼튼하기 위해서 2020년 4월은 국민이 힘을 실어주는 아주 중요한 분기점이 될 수 있도록 꿈과 희망을 가슴 가득히 품고 기다려 봅니다."
26,Crom Well              ,이해찬 아니었음 민주당 한날당꼴났다.이해찬안된다고 난리쳤을때 휴. .아찔하네
27,jeeeun Lee              ,"이해찬 대표님  알리레오 유시민 이사장님 조수진 변호사님 새해 복많이 받으세요,항상 응합니다. ^^"
28,경원최              ,"진솔함, 진정성, 품격이 느껴지는 방송이라 한마디 한마디 와 닿습니다.사랑합니다 알릴레오~~!!!"
29,김근회              ,"문재인 대통령 참을 때까지 참는 성격, 인계점 언제일지?....., 최하 10년 집권해야 현 추진 중인 정책 정착가능, 보수정권 집권하면 3년내 깨질 수도 있다는 것,선거법, 공수처, 수사구조사법개혁 성공 정착돼야 국민인권 보장 가능."
30,이용              ,이해찬대표님 존경합니다~조금만 더 우리 국민들위해 고생해주세요~ 새해에도 건강하시고 복 많이 받으세요~♡
31,주석              ,검찰에맞설 경찰출신 국회의원필요합니다 !!!
32,ZET              ,민주당 총선에 압승 한다고 봄. 이번 총선에 자한당 소멸시켜 버리고 싶다는 생각하는 사람들 많음.
33,Daniel Lee              ,이해찬 대표님 5공 청문회 생방송 시청한 사람입니다. 그동안 지나오신길 제가 나이먹은 그 시간 이네요. 존경합니다. 마지막까지 힘내서  손신을 이루어주시길 바랍니다
34,sunny& puppy              ,이해찬대표님감사합니다👍알릴레오가 환타지??부러워미쳐버린 찐씨!!!유시민이사장님 홧팅👏👏👏
35,조기종              ,유시민 작가 를 지난 40여년 지켜봤다 현재가 가장 기억된다 빛고을 원산
36,Jong min Park              ,이해찬 총리 진정성이 느껴져서 정말 고맙습니다. 21대 총선은 발전과 퇴보를 가늠하는 선거가 될 거라는 점 반드시 세겨보죠.
37,이한진              ,이해찬대표님  유시민작가님 응원학고 지지하고 사랑합니다.  늘  건강하십니요. 감사합니다.
38,Seungil Choi              ,"역시 사심이 없으신 분이라 말씀이 거침없고, 간략하고 이해가 쉽네요. 시원시원합니다."
39,회복하자대한민국              ,이해찬 유시민 조수진 세분 새해 복 많이 받으세요🙇생각의 가치관이 서로 닮아 지식도 지혜도 삶이 섹시하고 고상한 노무현의 사람들 문재인 이해찬 이낙연 유시민 조국 박주민 김어준 주진우 김용민 추미애 정세균  김종민... 2020년도는 의로운 일꾼들이 더욱 많이 일어날 것을 기다리면서~ 👍  👏  😊  💖
40,Vesicle creator              ,덴마크의 보수정당의 이름이 Venstre (좌파)당이며 현재 집권당입니다. 원래는 진짜 왼쪽이었으나 더 왼쪽 진영에 새로운 당들이 생겨나서  오른쪽으로 밀려나서 덴마크 국민들에게 우파취급받습니다.  제가 보기에 우리 더불어민주당은 유럽의 기준으로보면 절대 좌파가 아닙니다. 중도우파이지요. 유럽에서는 중도우파가 정권을 잡고 있어요. 더불어민주당이 자한당을 밀어내고 거대 주류가 되는 날이 빨리 오기를 그리고 다가오는 선거에서 압승을 기원합니다.
41,BR H              ,우왕~~~이해찬대표님이번에 넘수고하시고 영입도잘하시고❤
42,좋아요              ,이해찬 당대표님이 준비하신 사회 각분야 정책들과 공약들 기대기대기대!^^* 윤짜장 떡검이 쳐놓은 프레임에서 벗어납시다!
43,So Joong: 소중              ,노무현과  사람들은 의리가 있는  분들존경스러워요
44,박노진              ,정말 유익한 내용이었습니다. 이해찬 대표의 진정성은 알아주어야합니다.
45,오직문              ,이해찬대표님의 '다다익선' 믿슙니다✌
46,별밤지기              ,이해찬 대표님유시민 이사장님응원합니다사랑합니다♡♡♡♡♡♡
47,비전향장백수              ,남북관계의 희망을 봅니다. '문대통령의 임계점'
48,민주주의              ,든든합니다... 현재 민주당은 역대 최강입니다
49,김봉길              ,죽었어도 설아있는 사람 노무현. 살았어도 죽은 거나 같은 이명박근혜
50,Noel Park              ,"노무현없는 노무현시대...""노무현시대""라는 말이 감사하기도 하고, ""노무현없는""이라는 말이 참~ 허전하기도 합니다. 오늘따라 더 뵙고싶네요."
51,장태걸              ,"""식물국회""에서 ""동물국회""로 달리더니 선거법, 공수처법 등의 결과를 만들어내는 과정이 마치 산모의 출산과정과 비슷합니다.마지막 출산의 고통을 극복해 낸 민주당의 성과라고나 할까..ㅎㅎ"
52,김주원              ,이번 총선에 대한민국 미래의 진짜 모든것이 달렸다고 생각합니다!! 끝까지 지지하고 응원하고 활동합시다~
53,심령조각사              ,네 한표가 나라를 바꿉니다모두 투표합시다
54,촛불백만송이              ,4.15 한일전은 반드시 승리해서 우리 나라를 되찾아야죠
55,Juyeon Schubigerlee              ,이해찬 의원님 고맙습니다.힘을 팍팍 드립니다. 건강하십시요.
56,ty kim              ,시간이 금방가네요. 유시민이사장님 신나게 방송하시는 모습 보기 좋아요. 선배앞이라 어리광모습도 보이고ㅋㅋ 진보진영의 대들보들 건강하게 계속 버텨주시고 나라발전에 힘써주시길...
57,김주원              ,이해찬 대표님 항상 응원하고 존경하고 감사드립니다... 죽을때까지 이 희생과 은혜 잊지 않을 겁니다.
58,Mia UK              ,애고 이해찬 대표님 무슨 말씀을......20년이 아니고 딱 100년만 집권해 주세요
59,Jiheon              ,너무 멋지십니다 ~~ !!!그리고 든든합니다 . 건강하시구요 ~ 세분 모두 사랑합니다 !!!
60,Pale Blue              ,문재인 이해찬 유시민 이 세분은 절대 잃지 안겠습니다.  노짱을 그렇게 잃은 것도 억울하고 억장이 무너지는데 이 세분은 어떤 일이 있어도 꼭 지키리라 다짐합니다.
61,아름답게뭐든              ,미소가 절로 지어집니다.. 역사에 길이 남을 큰일들 해나가시는 중요한 인물들.. 계속 건강해주세요. 평생.
62,김K.H.s              ,"""자기는 여당 대표도 아니면서"".....박지원 1패...ㅋㅋㅋ"
