,ID,Comment
0,M프로              ,저분들을 어떻게 민주당에서 찾아내서 설득했을까?한분 찾기도 힘들거 같은데 꾸준히 영입하네
1,고코스              ,4월15일 국민이 답할 때입니다.나보다 미래세대를 위해 민주당집권이 30년은 되어야 합니다.그래야 반민특외가 하지못했던 것을 우리가 4월총선부터 국민이 답을 해요.
2,현지나              ,구독자님들!오늘뉴스타파보셨어요?언론들이너무나조용합니다.뉴스타파실검1위가즈아!!!!!!!!!
3,Saints Kang              ,민주당 응원합니다
4,최낙현              ,들었습니다 홧팅~ ^^ 출판기념 ㅋㅋ
5,J.H. LEE              ,이해찬대표님  역시  역시 최고의 정치인이십니다
6,yaek0523 kim              ,더불어민주당 쭉~쭉 가자!!!!!!!화이팅 화이팅 화이팅!!!!!!!
7,sun tv              ,110만  축하....
8,조인순              ,지지자 함께 끝까지 응원합니다
9,smf bluers              ,자랑스런 민주 권리당원 ㅎㅎ
10,정애란              ,국민을 위해 일하실분들을 찾는다는 신의가 느껴져서 좋습니다. 그분들은 진심으로 국민을 위한 정치를 하셨으면 좋겠습니다.
11,HK              ,우리 민주깨시민들에게는  든든하고  포용력있는 분 들을  너무  많이 보유하고 있어요 ㅎ   총선때 까지  쭈욱  긴장하고 단결해 나갑시다  💙💙💙
12,ab cd              ,응원합니다
13,기해림              ,이해찬대표님 지지했던 것이 정말 자랑스럽습니다. 제가 이해찬대표님 본 이미지가 딱 맞았습니다. 훌륭하십니다.
14,김공희              ,이해찬 대표님 너무 진지하시면서도 웃기시네~ㅋㅋ
15,JAY G              ,김종인 미친놈은 왜 이해찬 정청래 왜짜른거야 ? 지금생각해도 참 어이가없지.. 둘다 지역구 터줏대감인데 나가면 당선되는 국회의원을 지 맘대로 사감을로 짤라버리고 지는 비례2번으로 넣고 지금생각하니 진짜 노친네가 망령이 든게 맞았네
16,CJ W              ,최순실 국정농단부터 작금의 자한당 무능정치까지 .. 민주당은 손안대고 코풀수 있는 기회들을 놓치지말고..진정 국민을 위한 정치를 해주길 바랄뿐.
