,ID,Comment
0,사람사는세상노무현재단              ,"03:00 험지험지 척! 아만 보고 찍으소~ 08:30 대구, 경북지역 지역구 소개 14:55 21대 총선, 가능성 얼마나 있나? 26:35 험지 TK 출마, 어떤 심정인가요? 36:50 코로나 19, 대구경북  분위기는? 45:00 미래통합당, 어떤 전략으로 승부하나요? 47:10 장기적 노력, 지역주의 극복할 수 있을까? 53:35 3선 강석호 의원 컷오프 소식은? 01:03:10 대표 공약 소개해주세요~"
1,백합              ,험지중에 험지에 나오신 후보여러분 용기 대단하십니다힘내세요 응원합니다
2,Unknown              ,알릴레오 알라뷰~~험지척 👍👍👍👍👍
3,문성우              ,"민주당이 경북 선거구 13군데 전부 후보를 냈다. 16년만에.더구나 경선도 있다.  우와~~~~~.정말 애쓰고계시는데. 모르고 있었네요.  죄송하고, 감사하고,  힘 내세요. 홧팅!!!"
4,이해경              ,포항 허대만 후보 화이팅!!!~꼭 당선바랍니다
5,김근우              ,3 분 모두 승리해서 건강하게 돌아오길 기원합니다.
6,fdsaghh sg              ,아~  그  유명한  대구에  나가시는군요~꼭 꼭   승리하십시요  !!!👍온~  기를   넣어드리겠습니다 !!!!👍YouTube   다스뵈이다   103
7,bada              ,금태섭 의원 공천 떨어지는거보니진보 유튜버들의 힘이 얼마나 막강한지 놀랐습니다험지 출마 하신분들 많이 홍보해 주세요~~~
8,ᅵᅵ              ,달서구 개혁의 물결 당선 응원합니다 필승!!!
9,역진필기              ,TK도 좀 바꿉시다
10,이chul              ,세 분이 진정한 민주주의의 수호자십니다. 존경과 감사를 드립니다.  반드시 총선 승리해 주세요 🙏
11,퐁퐁샘              ,세 분 다 지역의 현안에 대해 자세하게 알고 계시네요. 정말 지역의 일꾼인 것 같습니다. 세 분다 당선 되시길~그리고 세 분 다 재미도 있으셔서 많이 웃었음^^
12,례빈              ,박형룡 송성일 허대만 파랑색옷입고 꼭승리!!! 민주당국회의원되십시오. 지지응원 합니다. 힘내십시오.
13,Jaewoong Lee              ,"원래 험지인데다, 코로나 때문에 더 힘든 경북의 민주당 후보님들 응원합니다!"
14,ssunytherapy              ,세분 다 당선되시길 진심 기원합니다^^
15,Hyeonsook Yun              ,경북에서출마하시는 후보님들 말씀 들으니 몬테네그로 성모님의 바위섬이란 인공섬생성 이야기가 생각납니다. 배를 몰고 지날때마다 돌을 하나씩 던져서 생성된 인공섬. 맨먼저 던져진 돌은 물속 밑에 가라앉아 보이지 않지만 그위에 또 그위에 던져진 돌들이 하나씩 모여 섬이 되었다는 이야기요.
16,옥동진              ,저런분들이 있어서 서서히 허물고 지역주의를 타파 할수 있을듯 힘내세요
17,봄봄산꽃              ,응원합니다. 민주주의 수호!!!
18,West Seoul              ,예전엔 몰랐는데 이번 코로나로 대구•경북의 현실을 간접적으로 알게됐는데 보통상식으로는 이해안되는 사람들이 많은 것 같아
19,강형진              ,허대만 후보만큼 포항에 올인하는 인물도 없는데... 당 말고 사람 보고 뽑읍시다
20,허옥연              ,민주당 홧팅 !!대구경북 지역 후보님들 홧팅 !!!강원 지역 후보님들도 홧팅 !!대한민국을 위해 민주당 홧팅 !!!
21,주승아              ,힘내세요바위에 계란치기지만 대구시민분들 지역주의 타파하세요세계하나입니다~
22,김이극              ,"진정한 우리의 농민대표 송성일 후보님, 꼭 당선 되셔서 알릴레오에서도 당선 소감을  듣게 되기를 바랍니다!!"
23,라미아              ,김대중 전 대통령께서 말씀하셨지.. 시민의 힘으로 독재자를 셋이나 물리친 나라가 전세계 우리나라가 유일하다고그래서 우리나라의 민주주의는 튼튼하다고..다가오는 4.15총선에서 더욱 더 견고한 .. 그래서 모든 국민들이 행복하게 살 수 있는 민주주의가 완성되길 간절히 희망합니다. ㅠㅠ
24,허은미              ,포항남구 허대만💙 포항북구 오중기💙 필승👍🏻
25,조keyye              ,좋은곳 공천못받는다고..난리피는 민주당의원들..보고배우세요..경북파이팅
26,방영숙              ,세분 화이팅입니다좋은 결과 간절히 바랍니다~~~♥
27,풀꽃              ,4.15총선 똘똘뭉쳐 반드시 압승해야합니다 제1당 미통🐓한테 넘어가는 꼴은 죽어도 볼 수 없기 때문입니다민주당 응원해요💙💙💙
28,Kevin Collins              ,대한민국의 힘... 보여줍시다. 0415한일전 완승을 위해
29,이하늘              ,이번에 포항서!! 지지받아당선돼신다면! 포항시민들도!나라를위해 옳바른선택 한거죠!응원합니다!  당선을👍 기대합니다!홧팅💪👍👌✌👏대전지똥할맘😊
30,ssunytherapy              ,허대만 화이팅^^
31,sun kim              ,정말존경하고 사랑합니다험지중에 험지에서 출사표를 던지셧습니다독립운 하는심정으로 골보수나라가 막해도 보수라 자칙하는후보님  존경합니다
32,레몬              ,유시민 선생님 늘 소신있는 발언과 방송 감사합니다. 다른 이들이 뭐라해도 어떤 길을 걸어오셨고 살아왔는지 알기에 저는 늘 선생님의 팬이자 편입니다.
33,chulung k              ,알릴레오 방송보면눈도행복 귀도행복 가슴도행복합니다유시민 이사장님조수진변호사님   감사합니다
34,열프로              ,내가 대구 시민인데..................죽기살기로 하고 가짜뉴스가 대구에는 많으니깐......공부를 열심히 하고 사람들과 대화해야 함......치사한 소리들어도 얼굴붉히지 말고 열심히 하기 바람
35,Πάθος              ,"21세기 한산대첩""전군, 출정하라!"""
36,sun buam              ,세분 꼭 당선되시길 바랍니다험지 오브 험지에서 희망을 잃지않는 모습에 많이 감동받았습니다
37,영탁이 탁이야              ,진짜 경북 후보님들 너무 멋있고 짠하고 그렇습니다.뚝심있게 험지에서 출마하는 분들이시네요!!!우리  외가도 다 경북인데 뮨대통령님 욕하고 난린데ㅠ돈 버리고 시간 버리면서 벽을 허물으려 노력하시는데꼭 좋은 일 있을 겁니다!!!화이팅!!!!!!
38,정미르              ,제목이 빵 터지네요.아를 먼저 봐야지 와 자꾸 다카키 마사오의 유령을 불러내나요?
39,ᆢ언론이 바껴야 ᆢ              ,정말 자존심 상해서 대구에 못 있겠어요 ᆢ과메기도 분홍깃발만 꽂으면 되는 이 형국 ᆢ대구민주당원들에게 위로금이라도 ㅎㅎ ᆢ
40,안녕              ,허대만 화이팅!!! 26년 민주당 후보로 나온 외사랑 허대만 입니다.
41,아이작.              ,"주제와 다르지만 적어보겠읍니다정의당쪽 보시면 반론글 부탁합니다야그 한번 해봅시다정의당은 원칙을지킨다! 대체그원칙! 이 뭡니까? 촛불시민!촛불의뜻이라하면서 원칙을 지킨다 라고요!2016년  1000만의촛불은 3가지를 외쳤지요뭔지 잊어버렸나요? 다시 알려드리겠읍니다박근혜 탄핵. 적폐청산.그리고 새누리 해체,다 완성 했나요? 물어볼께요! 촛불시민에 뜻을 받들겠다면서요!대체 어떤 원칙을 가지고 있길래!저 도로 새누리가된 저들을 해체 하는것 보다!선거법 취지에 어긋난다가 더큰 원칙이 될수있읍니까?하나더 있어요! 대의정치 한다면서요?모든 정당과 의원들은 대의정치가 원칙이래매요!물론 당신(지도부)들은 그리 생각(비례연합은 선거법취지에 맞지않다)할수 있어요!그래도 물어봐야줘? 전래에 없었던 매우중요한결정이니! 근데 전당원투표할 근거가 정당법에  없다! 그럼 민주당은 있어서 전당원투표했나요?전당원투표하면 뻔한 결정인데! 그래도 물어봐야줘 만에하나 모르니 그리고 어찌들생각하는지! 그게 대의정치  아닌가요!왜! 대의정치를한 민주당을  대의정치안한 당신들이   비난하나요?"
42,tensy 76              ,언제나 화이팅입니다^^
43,HS Jo              ,유이사장님은 고향을 정말 사랑하는 분.
44,kim옐런              ,좀비당의 깽판치는  모습을  더이상은   봐줄수없다
45,Chris Choi              ,항상 기다리는  깨시민 방송이라 일단 추천부터 누릅니다. 왜? 어차피 유익할테니까~~~
46,김꼰대              ,대구.경북시민여러분!이번에는좌우따지지마시고(국개)의원뽑지마시고(국회)의원을뽑읍시다!
47,정아미              ,난도 시골사는데 뭔 마스크를 사러 한시간씩이나 가는지 우린 마스크안산다 더 필요한사람사라고 .
