,ID,Comment
0,사람사는세상노무현재단              ,01:43 험지에도 봄은 옵니다 06:28 대구에서 계속 출마하는 이유는? 09:30 정치에 입문하게 된 배경은? 27:47 선거운동 하면서 기분 좋았던 순간은? 40:02 대구MBC 추천합니다 44:12 악마의 제목! 어떤 사건이에요? 51:44 21대 국회에 발의할 1호 법안은? 56:35 출연 소감 들려주세요~
1,Codi Lee              ,이재용후보님이 나오셨네요...이번에는 꼭(우째 제대로 힘든 시기네요.) 당선 되시길 정말 바랍니다.내가 찍은 후보가 당선되는걸 꼭 보고 싶습니다.(곽ㅅㄷ양반은 중남구를 위해 일 안합니다.  표받는것만 신경쓰지...)
2,레몬              ,오늘 방송 두 후보님은 정치인 치고 살아오신 이력도 독특하고 참 구수하고 사람냄새가 많이 나시는거 같습니다. 험지 1탄에 이어 2탄에 나오신 후보님도 제 지역구는 아니지만 꼭 주의 깊게 보겠습니다.험지가 평지가 되는 총선이 되길 바라며 꼭 승리하시길 응원합니다.
3,chf L              ,이재용후보님!  응원합니다. 범법자 곽상도와 싸워서 꼭 승리하시길 응원합니다
4,Stephan Kohenberg              ,정말 너무 필요한 두 분인데 험지 나가셨네요 ㅠ김현권 의원님은 설명이 필요없는 분이재용 이사장님은 제 고향 남구에서 치과의사 출신 구청장이 나왔다는 기사로 어릴 때 첨 알게되었고 참여정부와 함께 하는 모습 늘 멋있었습니다 이번 총선에 나오실지 궁금했고 반가웠습니다대구가 바뀌는 그 날까지 도전을 멈추지 말아주세요. 늘 응원합니다!
5,이정환              ,Tk 지역 민주당...낙선경력이 그분들에겐 자부심일지도 모르겠습니다.아무리 밟히고 밟혀도 버티고 견뎌내서 민주주의의 씨앗을 퍼뜨리는 바보들이제는 당선의 꽃을 피우시길..그리고 정책으로 열매를 맺으시길..
6,코로나 이겨내자!!파이팅!!              ,이재용 전 남구청장님 같은 훌륭한 분을 왜 제 고향 대구분들은 못   알아주는  걸까요ㅠㅜ  맨날  대통령 손자 초등학교 디비고 동선 다 들춰서 경호에  문제 생기게 만들던  불법과 조작정치의 곽상도가 왠말입니까? 정말 부끄럽고 화가 납니다ㅠ대구분들 모두 이번엔 정신 차립시다!!ㅠ
7,왕상묵              ,이재용  후보님 응원합니다. 힘내시고 여의도 입성바랍니다.  구미 김현권 후보님도  꼭 여의도 입성하세요. 응원합니다. 힘내세요.
8,Hailey Kim              ,김현권 후보에게 정치 입문에 대한 질문에서...국민 대표는 사과 농사 짓고 소 키우는 사람도 있어야 하고 학교 급식 주는 사람도 있어야 합니다. 법조인 교수 출신 국회의원이 너무 많아요.
9,Eun-gyeong Park              ,이재용후보님 김현권후보님 해당 지역주민은 아니지만 진심으로 힘껏 응원합니다. 꼭 당선되시기 빕니다!!!
10,최영환              ,김종배 시선집중에서 개검과 언론 유착에 희생양이 되실뻔 했는데도 너무 차분하게 논리를 펴시는 모습에서 대인의 모습을 봤습니다 유시민 이사장님 홧팅!!
11,신병철              ,저도 5년동안 이재용후보님을 다  찍었습니다.대구에선 열린우리당..무소속...다 안 되었습니다.대구남구에서 그때는 아직도 힘이 닿지 않았습니다.이제는...이제는..이제는 대구 남구 시민이 정신 차리셔야 합니다.곽상도 미래통합당의원은 더이상 안됩니다.남구 시민들 모두들 정신 차립시다.
12,asasak              ,훌륭한 분들이 곳곳에 계셨네요. 이런 분들을 못알아보는 시민들이 많아서 안타깝습니다. 응원합니다. 힘내세요.
13,한결              ,구미을 유권자입니다. 김현권 화이팅!!!
14,코코이모              ,후보님 두 분 모두지역발전의지와 사랑이진심으로 전해집니다!꼭 당선되셔서좋은 일 많이 해주세요!!!!!★응원합니다★
15,별이              ,이재용.김현권 두분 꼭 이겨 국회에  간절히 원합니다..대구 시민 여러분 제발 정신들 차렸음 합니다.누가 대구를 위하는지.구미를 위하는지..단디들 뽑아야 합니다..자한당 이런 시끼는 안됩니다.
16,박기중              ,"내가 제일싫어하는  곽상도  꼭  이겨  다시는 여의도에 얼신도못하게  해주세요  천하에 국회의원이되서는  않될인간이  지금까지  여의도에서  상대방  없는죄를 많들고  해서는않되  짖만골라서하는  인간이라  다시는보지않게 해주시면 고맙겠습니다,"
17,김수현              ,저번에 세분 봤을때도 그랬지만 오늘도 두분 말씀하시는걸 보니 슬프면서도 기분이 좋은 그런 느낌이 듭니다. 부디 건승하시길 바래요!!
18,상식이통하는세상              ,김현권후보님 이재용후보님 멋지시네요!응원합니다.
19,롤롤              ,유시민이사장님 늘 존경합니다 부드럽지만 그안에 강함이 느껴집니다늘 선봉에서 싸워주셔서 감사하고 또 감사합니다!
20,김현권              ,"유투브에서 ""구미예산의 비밀""을 검색하시거나 ""김현권""을 검색해주세요"
21,윤군호              ,알릴레오 유시민이사장님 조수진변호사님 감사합니다 화이팅입니다 우리문재인대통령 너무잘하고계십니다 끝까지 지지하겠습니다 대한민국국민이여 식으면안돼요
22,김나은              ,마침 김현권 후보님 지역구에 살아서 가족과 함께 김현권 후보님께 투표 꼭 하겠습니다👍
23,관상이과학?              ,유시민 이사장님 지킵시다대통령님 지킵시다 = 민주당 1당 = 비례는 더시민 투표
24,이준              ,대구에서 더불어민주당을 응원하는 1인입니다.더불어민주당과 더불어시민당을 응원하는 대구인들은 자신의 1표가 우리 후보님을 당선시키는 1표라는 마음으로 투표를 합니다.그래서 더욱 간절합니다.
25,최숙정              ,유시민이사장님 잘못되는걸 보게 된다면  나는더이상 안살고 싶습니다제발  검찰양아치  이겨내시고 우리의 정신적지주로  있어주세요
26,중촌류수광              ,두 분 고생 많으시겠습니다. 대구 구미의 변화를 바라면서 두 분의 승리를 기원합니다.
27,doctrine              ,저번 지자체장 선거때 보면 대구경북도 예전이랑 많이 달라져서 민주당 득표율이 많이 올라갔더라구요. 솔직히 이씨 박씨가 집권했을 때만 해도 상상도 못할 득표율...😔 아니 아예 출마를 생각하지 못하던 곳이었죠. 😢 그런데 출마를 하는 분들이 생겼다는 거 자체가 여기는 정말 큰 변화입니다. 대구경북에도 다양성의 바람이 불기 시작한거죠. 이 변화는 힘들지만 대구경북에서 진보를 지지하는 샤이진보분들☺️!! 이 분들이 만들어 낸 것이라 생각합니다. 오랜시간 버텨오셨으니 조금만 더 힘내십쇼!! 누군가는 대구경북 안된다 하더라도 여러분들이 있기에 대구경북이 달라질 수 있습니다!! 감사합니다😊😊
28,이승우              ,"유시민 이사장님과 노무현 재단, 알릴레오 모두 너무나 소중합니다.항상 응원하고 존경합니다!!"
29,김현권              ,"유튜브에서 ""김현권""을 검색해주세요. 이길 수 있습니다."
30,D rm              ,"진짜배기들이 나오셨네..그러고 보니, 대구 후보자들이 정말 외롭고, 힘드실건데 .그 생각을 못했습니다. 이런 일하시는 분들이 국회의원이 되시면 얼마나 좋은데요~!. 홧띵♡"
31,재용티비              ,대구 중남구 후보 이재용입니다여러분들의 힘을 모아주시면 대구도 반드시 변화할 수 있습니다대구가 바뀌면 대한민국이 정말 바뀝니다많은 응원 부탁드립니다여러분의 따뜻한 구독과 좋아요를 기다립니다화이팅!
32,보이카유리              ,부산 북강서을에서 고군분투하는 인재영입7호 최지은후보도 한 번 불러주세요. 꼭이요..ㅋ
33,Bill Johnson              ,이 재용 후보님께서 대구에서 남구청장 하실 때 강력하게 밀어 부치셨던 정책 때문에 대구 시민들이 마음 놓고 밤 늦게 대구역 주변과 남부 정류장 주변을 다닐 수 있습니다. 그 때는 정치에 관심이 없었지만 돌아보니 정말 고마운 분이시네요.
34,나홀로집에              ,김현권 후보님 GMO관련이나 계란 산란일 표시 등등 진짜 우리 삶에 있어서 중요한 먹거리 문제에 관심이 많은 저로서는 지지하지 않을 수 없는 분이라는 걸 알았어요.구미 사람으로서 자랑스럽기까지 하네요.
35,akemi ukigaya              ,대학졸업후 귀농 20년조국장관님의 친구랍니다 가장 소중한 재산은 한우라고 하시는 김현권님 두분 당선을 기원합니다 유시민님 민주정부를 지키기위해 많은 힘을 실어주심에무한 감사드립니다1️⃣♥️5️⃣
36,별이              ,곽상도 이자는 반드시 이겨야 됩니다..요번 국회에서는 꼭 안봤으면 하는  바램입니다.이자만 나오면 체널 돌려버려요.곽상도.이자
37,박병연              ,이재용님께서 대구시장 하셨으면 신천지 몰살인데요
38,김수현              ,유시민이사장님과 동시대에 살고있다는것이 큰 행운입니다.항상 응원합니다.
39,hannah yun              ,한분은 서울대 천문학과 졸업... 한분은 서울대 치과대학 졸업... 두분 다 진짜 특이하시다...ㅋㅋ
40,김근우              ,미통당을 지지한다는 분들은 대개 역사에대한 책임도 없고 중요하게 여기지도 않고 타인의 아픔에 공감능력도 없는 것같다.
41,상식이있는 사회              ,대구에서 출마하시는 모든분들 힘내세요
42,상식이통하는세상              ,오늘도 유시민 화이팅!알릴레오는 산소같은 방송!
43,Baan Joe              ,한동훈이동재 이 자식들그리고 윤석열 가족 사기단감빵 가야지???우리 스피커들은 이런 이름 외치지마세요우리 시청자들이 여기저기 외치겠습니다
44,푸른오월              ,우리 유시민 이사장님이 존재하신다는 것만으로도 엄청난 힘입니다~🎊🎉🍀💐fighting!!!~💖💕합니다~
45,dhri 5오fmp              ,"갑자기,, 노무현 대통령 생각난다!    얼마나 힘드셨을꼬, 얼마나 답답했겠노! ㅠ 우린는 이제 SNS 가 있고,  유투브가 있어,  진실과 팩트를 쫒아갈수 있다.     우리 노무현 대통령은,  ,,그 시절에,  그 모진 정신적인 고문을 다 겪으며....... 그 성질에 얼마나 미칠것 같았을꼬!ㅠㅠ"
46,Claudia              ,"이렇게  숨은 보석을 캐내어 보여주는 콘텐츠가 좋아요~ 지식인, 전문인, 멋진 분들 많이 알게 되었는데...한 번쯤 믿어볼까, 기대해 볼까...정치후보자님들도 계속 알려주고 소개해 주세요~~~^^"
47,이주호              ,대구 중남구 사는 친구 친척 지인들 있으면 전화한통 부탁드립니다 여러분들의 총알이 필요합니다 전쟁에서 이재용후보 승리 시킵시다 모두 전화한통 합시다
48,김우진              ,항상 존경하는 이사장님정신적으로 힘드실텐데대통령님과 여당을 위해 오늘도 방송해주셔서너무나 감사드립니다우리 세대가 이사장님께너무나 많은 빛을 지고 살아갑니다오직 할 수 있는건 제 작은 힘이나마 이사장님 응원드리겠습니다힘내시고 감사드립니다 .. 울컥
49,비행펭귄              ,한표가아니라 정말 몰빵해주고싶다
50,moon              ,유시민작가님 건드린다면 당장 촛불들고 나갈겁니다. 정말 더는 못참아요 정신차리고 있지 않으면 당하겠다 생각했습니다. 이번 선거로 보여줄겁니다.
51,JS CHOI              ,지금의  보수가 진정한 보수입니까? 라고 대구시민들께  되묻고 싶습니다
52,ᄀᄃᄒ              ,김현권님 유세장 지나면 엄지척!!잘한다!!  힘내세요!!! 응원합니다!!꼭꼭 해줄게요. 구미갑후보님 지나칠때는 해드렸거든요~~🤣
53,Charles Bak              ,곽상도 같은 놈의 국회의원 재선여부가 대구의 시민 수준을 가늠하는 척도가 될겁니다.
54,늘하              ,이재용후보자님 꼭 승리 하셔야 되는데~~대구살지만 이번에 저는 지역이달라서 한표를 못드려서 아쉽습니다.대구의 유권자들 너무 답답하고 분별력이 없어요.현재의 시장을 뽑았고 현재의 대구 코로나19상황에서도 권영진이가  신천지를   끼고 여론조사에서도 싫어하지 않는다니 놀랍지 않습니까!이재용후보자님 적극응원합니다.!!!!홍보하겠습니다.
55,풀꽃ᆞ              ,청뫄대와 우리 문통님 가족을 스토킹하는징글징글한 협잡군 모사군 사기군 곽상도를반드시 낙선시켜주세요끔찍합니다그리고 김현권 의원님 고맙습니다꼭~~~승리하세요
56,별이              ,유시민님  늘 건강 조심하시고   우리곁에 있어 너무 감사드립니다. .
57,어부왕              ,"김현권 의원님, 존경합니다. 세번 말씀을 들었는데, 모두 감동적이었고, 희망으로 가득찼으며, 성과에 기뻤습니다! 이재용 후보님도 훌륭한 분이시네요! 멋지다, 경상도 사나이들........ 나는 충청도 출신 서울 사람이라 표를 못드려서 섭섭!"
58,진실              ,언제나 유시민은 정의로웠으면 좋겠다. 그게 공감이 되든 안되든..
59,내운명의비밀?              ,유시민   화이팅     민주주의의 보루는   깨어있는 시민의 조직된 힘이다그렇다   작금의  윤춘장일당과 배후의  조중동 기레기  그리고  미친통곡당을  415총선에서  심판하는것이야말로   우리 깨시민들의   조직된힘의 표현이다     자!!!!   ㄱ ㅏ 즈 ㅇ ㅏ
60,행복한코기님              ,능력있는 6수 포항 TV허대만 구독좀 해주세요. TK도 미통당에서 해방해야합니다.
61,shine sun              ,대구 남구 시민입니다!우리 이재용후보님! 대구 중남구 이재용 후보님!꼭 당선되시길 기원합니다!
62,Hagml Kim              ,내고향 대구여 깨어나라.  매국노들 박멸해야지 이제. 신천지=새누리당 =미친통닭당 박멸!!!
63,john jo              ,"사실상 조국사태도 검찰과 언론의 유착으로 벌어진일 아닌가?검찰과 언론이  손잡고 의혹을 흘리고, 대대적으로 앞다투어 보도하고그 보도들을 업고 엄청난 압수수색을 벌이고, 계속해서 새로운걸찾아내 가는 별건수사 방식.만약 압박과 협박에 성공하여 채널a 기자가 거짓진술을 확보했더라면, 이것을 수많은 언론과 함께 대대적으로 보도하고 온나라를 떠들썩하게 하여검찰이 엄청난 압수수색과 함께 수사에 착수하게 되어,조국사태에 이은 제2의 유시민 사태가 일어날뻔 했다."
64,김광수              ,썩을 개검놈들  땜에 홧병  안 생기 셧나요 ㅠㅠㅠ내공이 반박귀진 이시니 힘 내세요 홧팅!!
65,76smrosa lee              ,"대구 시민이자 대한민국 국민입니다이재용, 김현권 후보님 당선 되시길 응원합니다  지지합니다"
66,이iik경수              ,대구경북 더이상 보수 안됩니다ㅠ
67,그레이트그레이스              ,채널A 이동재 기자 이 색이거 신상좀여 그냥 쓰레기 청소하게요한동훈이도 부탁좀깨끗하게! 자신있게!뒷처리도 깔끔해요~^.~
68,인생자이로스코프              ,대구시민들은 사람보는 눈이 없네..!권영진 대신 대구시장 되었다면 지금쯤 벌써 신천지 및 코로나 사태 일단락 마무리 시키고도 남았을텐데...대구시민분들..이번 총선에서는 당보고 뽑지말고 사람 됨됨이를 보고 뽑으세요.이번 총선에서 또 미통당이 뽑히면 대구 앞으론 잊고 살랍니다!
69,안기창              ,"TK후보 한분 한분이 말씀하시는거나 생각하시는 것이 정말 지역민들을 위한 생각에 가득차 있네요 대구, 경북시민 여러분들도 색안경 벗고 올바른 판단으로 선거에 임하시면 좋겠네요 대한민국이 도약의 발판으로 삼을 수 있는 두번 다시 없을 기회입니다 대구 경북지역 발전의 낙후가 누구때문이었는지 생각해 주시기바랍니다"
70,라카디마              ,"유시민은 대한민국의 소중한 사람이다 ~ 어디 감히 검데기, 기레기들이 찝적거린다 말이고 ~ 거울에 비친 지 자신의 얼굴들 보고 사약이나 한사발씩 처 마셔라 ~개자슥들아"
71,봄바람              ,유시민 이사장님 응원합니다!!!!❤️💕건강하세요~~
72,남동운              ,"TK,PK에서의 민주당 후보님들 한분 한분이 정말 귀하신 분들이네!!"
73,경래정              ,기자라는자가 그렇케 할일없냐검사장 이 너평생 도와줄거라고 생각하나본데  기자라면  진실을보도하려고 노력해야지  .......새대라기 같은 인간유시민  작가 힘내세요
74,달려랏정봉주              ,구미을 인동인데 꼭 당선되셔야 할텐데안그럼 엘지화학 배터리 백지화 될텐데걱정이네요.
75,이정선              ,눈물이나고요ᆢ힘내십시요ᆢ유시민대표님곁에는우리가우리가있어요ᆢ진실한 마음하나로  깨끗한마음으로  ᆢ시간마다초마다응원합니다우리 민주당응원합니다간절하게 ᆢ빌어봅니다  우리문대통령님의 힘있는 시간이되길 다함께 기 을 보내길기원합니다추한윤썩썰놈ᆢ꼭ᆢ꼭ᆢ법정세우고미통닭은이나라에 발꿈히도 못언도록ᆢ가슴터지는 이가슴은  분하고 억울하고 자꾸눈물이 ᆢ이번총선은 죽어도이게야합니다 유시민대표님께서는 힘이없나요ᆢ? ?우리가있어요ᆢ 민주당이싹싹쓰얼버리는길뿐ᆢ
76,이상호              ,대구 중남구의 희망! 중남구의 미래! 이재용 후보 반드시 승리합니다!
77,해피송              ,유시민작가를 보니 마음이 짠하네요. 얼마나 놀라고 힘들었을까. 아직도 진행형이지만.힘내세요~😁😁😁
78,새순봄볕              ,정말 어려운 험지에서 힘겹게 운동하고 계신 선구자같은 후보님들 존경하고 사랑합니다!
79,와쩝              ,두분 다 힘든 모습들이 보여 안타깝네요.힘내시고 홧팅!!!늘 응원합니다~^^*
80,조르바조르바              ,이재용 후보님 응원합니다!! 21대 국회 꼭 입성하십시오!!🙇🏻‍♀️
81,풀꽃ᆞ              ,개검들이 감히 우리 갓시민님을 치겠다고?에라이 꿈깨라!!!
82,pong pong              ,"시민님이 좋아하는 일 하시면서 자유롭게 사는 모습이 참 좋아보이면서도 한편으론 그가 가진 능력과 여유가 부럽다...는 생각을 했었는데하루하루가 투쟁이었음을 알고 숙연해집니다.자기관리라는 말로 단순히 설명될 수 없는, 철저한 자기검증을 매시간 하고 있으리란 생각에.....감사해요. 유시민! 당신이 있어 참 감사합니다. 건강하세요."
83,이상호              ,"청렴하고, 정의로우며, 소외계층의 중보자, 결단력과 추진력을 겸비한 차별화되는 정치인! 대구 중남구의 미래를 바꿉니다.대구 중남구 기호 1번 이재용 후보!"
84,김연정              ,제가 어릴때 이재용후보님이 남구청장 되셔서 좋아했던 기억이 떠오릅니다 시장에 나오셨을때도 응원해 드렸는데 보수쪽 시장이 되어서 정말 안타까웠습니다 지금 두아이의 엄마로서 제발 대구도 변화되기를 바래봅니다 북구을 지역구에 살고 있는 현재 홍의락후보님의 재선을 지지하고 있습니다 대구의 미래를 위해서 열심히 뛰어주세요!!!
85,house white              ,💙지역1번 더불어 민주당몰빵찍고압승✌💙비례5번 더불어 시민당몰빵몰빵 찍자압승✌💙4.10~15 문재인정부성공을위하여✌💙
