,ID,Comment
0,이성하              ,김경수 레알 변신하는 줄 알고 긴장했다가 쓰러졌닼ㅋㅋㅋㅋㅋㅋㅋ 변신소녀물의 변신 포즈의 정석이라 진짜 박수쳐주고 싶었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1,ᄋᄋᄋ.ᄋ              ,깨알같은 이니굿즈;;; ㅋㅋㅋㅋ
2,Dara Ryu              ,상상도 못했다. 세일러'문'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
3,아아아아아아              ,그 어떤 채널도 선거날 SBS는 이길 수 없다..
4,문현정              ,세일러문 흘러나오는 순간나 쓰러짐ㅋㅋㅋ
5,Alkemist Sharp              ,"김경수 ""문 크리스탈 파워!! 이니 왓치!!"" ㅋㅋ"
6,음악대장우리동네              ,김경수 후보 왜케잘햌ㅋㅋㅋ 스브스 약빨았닼ㅋㅋ
7,haru K              ,아어젠몰랐는데 후보들 다 문대통령 관련된물건들ㅋㅋ
8,인생은개복치              ,스브스....당신 좀 힙해
9,Jame Lee              ,세일러문을 생각해내다니....
10,역성혁명              ,우리는 스브스가 세일러 복을 입히지 않았다는 것에 큰 감사를 해야합니다. 그럼요. 예. 그럼요.
11,손유진              ,"김경수님, 변신하는 포즈 넘 자연스러운데.. 어릴때 많이 해보신듯..ㅎㅎ"
12,정미경              ,미치겠다~  이거 못본게 한이네~~기획력 짱이다~~이걸 일일히 찍었을 후보님들 생각하면~~그냥  웃음나~~  카메라 앞에서 저걸 하려니 울 아재들 얼마나 쑥쓰했을까~~근데 또 시키는 대로 잘들 하신다는거~~푸하하하~개표 방송은 스브스~~영상은웃긴데 아나운서분들은 진지~~그래서 더 웃김~~ ㅋㅋㅋ
13,박현진              ,김경수 특촬물각잡힌거보솤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
14,공엘              ,제작진분들 포상휴가+보너스 줘요ㅎㅎㅎㅎ
15,이상철              ,만화 주제곡 세일러문 노래 오랜만에 듣네요
16,LCS just_you              ,울 오중기후보님 48만표 넘게 득표하심. 비율은 떨어져서 졌지만 다른 당선된 도지사나 광역단체장들보다도 더 득표 많이 하신 지역도 있으심. 울 오중기후보님 계속 관심가져주시고 응원해주세요.. 맴찢 ㅜㅜ
17,윤룰루              ,김경수 각 살아있네ㅋㅋㅋㅋ 귀엽다 진짜 저 순둥한 얼굴로
18,Ri ri              ,아놔ㅋㅋㅋㅋㅋㅋ진짜 약 한 사발 잡수시고만들었나ㅋㅋㅋㅋㅋㅋㅋ 김경수 변신할것같앜ㅋㅋㅋ
19,EW H              ,문 프레지던트~~ 파워~~~~
20,셩샤인              ,스브스 도랏다 진짜 ㅋㅋㅋㅋㅋ 2절까지 나올줄은 ㅋㅋㅋㅋㅋ 고퀄 존좋경수찡 개상큼💙
21,키타나              ,문크리스탈 파워!!
22,lena lena              ,경수님 너무 자연스럽네욬ㅋㅋㅋㅋㅋㅋ그리고 이니시계 자랑하기 있기입니까아 ㅠㅠ
23,이제성              ,일본에서 세일러문 나왔다고 했던게 이거구나!
24,봄처럼 아팠다              ,김경수 진짜 변신하는 줄 알고 깜놀해써.....쓸데없이 너무 고퀄이야...ㅋㅋㅋㅋㅋㅋㅋㅋ
25,Wen Mi              ,세일러문 오프닝 풀버전 오랜만~~
