,ID,Comment
0,MH Y              ,이인영 대표님 알라뷰~~💖💖💖
1,랑슈              ,이인영 대표님❤👍🙆
2,sunny& puppy              ,이인영의원님 응원합니다👏👏👏
3,홍길동              ,아!6월 항쟁이여!님을 잊지않겠습니다. 이인영의원님! 늘 응원하고 끝까지 힘내시고 완수합시다!
4,단단한짱돌              ,이인영 원내대표 이번에 정말 수고 많이 하셨어요~~~욕을 먹으면서도 끝까지 일을 해내는 모습에 남다른 뚝심을 느꼈고 앞으로 기대가 큼니다. 화이팅!!이인영!!
5,ye kim              ,신뢰감있는 훌륭한 정치인이네요~~ 진정성있는 의원님을 지지하고 응원합니다!
6,자유한국똥당              ,멋있는 이인영의원님  항상 응원합니다!!!
7,오영미              ,지켜볼수록 믿음직해지는분이십니다
8,ga young kim              ,목소리에서  진정성이 느껴집니다.정치꾼이 아닌 국민을 먼저 생각하는 참되고 존경받는 정치인이 되시길 바라며 더러운 정치판을 깨끗하게 해주세요~~응원합니다^^
9,진분다리카              ,이인영 의원님 압승하십시오~
10,R.대디              ,역사에 남을 것이다
11,김기쁨              ,너무나 깨끗하시고 나라 사랑 하시는 마음이 절절히 전해져옵니다 응원합니다.
12,Aurora              ,이인영대표가 대권애 도전하길 바라며 그때까지 좋은 정치력을 보여주시길 바랍니다
13,별에나              ,이인영대표님  살아온이야기를듣다 가슴이뜨거워진다 늘 응원합니다 💕💕
14,apple blue              ,멋진 삶을 사셨네요. 이번에  원내대표로 참 고생 많으셨습니다. 항상 응원하겠습니다!
15,정선자              ,자한당 상대하시는 것보면 인내심이 갑입니다~~건강조심하시고 공수처ㆍ검찰개혁에 끝까지 함께해주셔요~~♡
16,덕합              ,이인영대표님 부드러우면서결단력있는 당신을 응원합니다~멋지고 자랑스럽습니다^^이대표님 화이팅!
17,이동수              ,단 세글자!멋!있!다!
18,김복순              ,이인영의원님 더 믿음이 갑니다.
19,나그네              ,전 운동권  의원님들 학창시절보내신분들  모든분들께 늘 빚진마음 입니다 죄송하고 감사합니다
20,김승연              ,멋지고 근사합니다..동안 참 애쓰셨고 당신의 모든걸 무조건 응원합니다..감사하고 고맙습니다..
21,박회경              ,이인영대표님!!미처 알지못했었습니다알면알수록 보석중에보석 정말 20대국회의마지막 역사에 남을 한획을 멎지게 남기셨습니다^^
22,좋은사람              ,응원합니다 대표님
23,수미성자              ,민주당의원님들 한분한분 소중한분들 이십니다 이인영대표님 너무 잘해주시고 계십니다 고생많으셨어요  민주당의원님들 끝까지 응원하고 지지합니다 건강하세요
24,프랜시스              ,한결같기가힘든세상에서 한결같은결기로묵묵히 민심에귀기울이는 멋진분이시네요
25,김선우              ,지지난주에 원내대표 연설듣고 감동받았습니다 대통령으로도 손색이 없다고 생각됩니다  응원하고 지지합니다♥♥
26,박옥화              ,이인영 대표님 수고 많으십니다 잊지 않고 늘 응원하겠습니다 건강하세요~~
27,이승태              ,구로시민여러분!!존경합니다 훌룡한선택을하셧내요 경상도분들!정신차리세요 투표똑바로합시다
28,Stan Getz              ,"이 영상을 보면서 뭔가 밑에서부터 올라오는묵직함과 진정성,인간에 대한 선한 마음과 의지,또 강한 인내심이 느껴졌어요.우량주인데 저평가된게 아닌가 싶고암튼 앞으로 좀 더 크게 쓰임이 있지 않을까..."
29,이영희              ,에구 구여워라 이인영의원님~~~
30,손나무              ,내공이 대단한 지혜로운  분이시네요보석발견!
31,짱캔디              ,이인영 원내대표로서 큰일 해내셨습니다 다가오는 총선은 매우 중요한 한일전입니다 다불어민주당 필승을 거머쥐어야 합니다 홧팅~!!!
32,김지원              ,이인영 참.. 좋은사람 ...
33,조성혜              ,"덕을 쌓아가는 정치인생삶의 진솔함이 좋아 보입니다,득ㆍ자ㆍ행ㆍ덕"
34,수님수              ,이.인.영. 당신을 알아갈수록 심장이 뜁니다
35,김은희은희              ,구로구 시민들  훌륭하십니다  이인영대표님  믿고 뽑아주셔서
36,깜깜              ,국회방송구독자수를 보니ㅋㅋㅋ펭수한번 와야겠네용~~참 국회방송도 이것저것 많은듯ㅋㅋ통합하세용~
37,힛틀러              ,"이시대의  참!!정치인~""이인영""더불어민주당의 보물입니다.당신을 응원합니다.👍👍👍👍👍"
38,공백              ,이인영 대표님을 보면 외유내강 근본이 잘 갖추어진 분이라 생각한다~ 대표님계속 화이팅요! 응원 합니다~^^♡
