,ID,Comment
0,윤석열은 국민들이 지켜야한다!flying earth              ,"3월25일(토), 호남 지역부터 민주당 경선 "" ARS투표""가 시작되는데요. 민주당 경선 ARS투표에 대한 주의사항과 일정 등의 정보 남겨놓으니 참고들하시길 바랍니다< 민주당 경선 ""ARS(핸드폰)투표"" 주의사항 과 일정 >[무효표 방지 주의사항]- 반드시, 4번후보 이름까지 듣고 ""눌러주세요""라는 말에 따라, ""1번""(이재명)을 누르시고,만약 번호를 잘못 누른 경우는? 투표결과 확인 단계에서, ""2번""(다시투표)을 눌러서, 다시 후보자 소개를 듣고나서 ""1번""(이재명)을 누르시면 됨그리고, 상대방이 끊을때까지 기다렸다가, 전화를 끊는다- 본인 ""인증방식""은, 주민등록번호 앞 6자리[ARS투표 방식]▷ ""강제적"" ARS투표 (걸려온 전화로 투표)     : 지역별 ARS투표 전날 ""투표 안내문자""에서        ""걸려올 전화번호"" 알려줌. ▷ ""자발적"" ARS투표 (본인이 전화를 걸어서 투표)     : 걸려온 투표전화를 다 놓쳐 투표를 못한 경우,        ""자발적ARS투표"" 기간에       공지된 자발적ARS투표용 전화번호로        직접 전화를 걸어서 투표[민주당 경선 ""ARS투표"" 일정]- 호남: 3/25(토) - 강제적ARS투표일(걸려온 ARS전화로 투표)          3/26(일) - *자발적ARS투표일(본인이 직접 전화를 걸어서 투표)- 충청: 3/27(월) - 강제적ARS투표일(걸려온 ARS전화로 투표)          3/28(화) - *자발적ARS투표일(본인이 직접 전화를 걸어서 투표)- 영남: 3/29(수) - 강제적ARS투표일(걸려온 ARS전화로 투표)          3/30(목) - *자발적ARS투표일(본인이 직접 전화를 걸어서 투표)- 서울.경기.강원.제주 및 ""2차 선거인단"": 3/31(금) - 강제적ARS투표일(걸려온 ARS전화로 투표)          4/1(토) - 강제적ARS투표일(걸려온 ARS전화로 투표)          4/2(일) - *자발적ARS투표일(본인이 직접 전화를 걸어서 투표)* 각지역 ARS투표일 전날, ""투표안내 문자""가 발송되며, ""걸려올 ARS투표""(강제적ARS투표)전화번호가 포함돼 있음. ARS투표 완료할때까지, 그 번호로 5번에 걸쳐 전화가 온다고 함. 이 전화들을 못받아 투표를 못한 경우는, 해당지역 ""자발적ARS투표일""에 본인이 직접 전화를 해서 투표할수있음. ""자발적ARS투표용 전화번호""는 문자로 따로 보내주거나 민주당 홈페이지 공지글에서 찾아볼수있음* ""투표 결과"" 발표 - 해당지역 ARS투표기간 다음날, 해당지역 순회투표(대의원들의 투표)가 실시되고, 이 결과를 발표하면서, 해당지역ARS투표결과 및 해당지역 현장투표소 투표 결과를 함께 발표한다고 함. 즉, 호남: 3/27일(월), 충청: 3/29일(수), 영남: 3/31일(금), 서울경기강원제주 및 ""2차 선거인단"": 4월3일(월)자세한 사항은, 다음링크들 참조 바람이재명 캠프 ARS투표 방법 공지: http://blog.naver.com/PostView.nhn?blogId=jaemyunglee&logNo=220963727345&categoryNo=54&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=1&from=postView&userTopListOpen=true&userTopListCount=5&userTopListManageOpen=false&userTopListCurrentPage=1민주당 ARS투표 공지: http://theminjoo.kr/noticeDetail.do?bd_seq=61561"
1,정은영              ,개혁하는 대통령 국민이 원하는 공정하고 선명한 나라를 국민은 원합니다~👍💕💕
2,스밀라바람의그림자              ,노무현이 왜 시민에게 버림 받았나? 다 문재인. 유시민. 인희정 같은 참모들 때문 아닌가. 그자들이 그때에도 한나라당과의 연정을 제의하고 친재벌. 친미로 일관하니 결국 시민들등에 칼 꽂은것인데아니 그자들이 이제 다시 정권을 잡으려드네. 익 대체 어찌 된건가. 최순실과 박근혜에게 다 덮어씌우고 또다시 문과안?우리 국민은 그자들이 만들어 놓은 프레임을 극복할수 없단 말인가. 정권교체는 무슨노무 정권교체냐. 노무현정주 한번 경험해본걸로양에 안차는것인가 ??????내무덤에 침을 뱉어라인가미국에게 당당하지 못하고 미국에 줄대는 후보는 이미 세월호에서 자유로울수 없는 자들인것.  모든 문제의 원인과 핵심은 미국인거다. 미국에 당당하지 못한 아니 미국에게 줄대는 후보는 기대할게 없는거다. 
3,Sang-Nam Kirchner              ,이재명 시장님 당신은 우리의 희망 입니다 내나이 중학생떄지금 내나이가 62세니까 벌써50년전 이야기내요 그때저는 버스에 앉아있었죠 한정거장에서 사람들이 몇몇 탓지요 저는그때 그냥 아무생각없이 그냥있었는데 내리는 버스문 가까이 사람들이 움직이는거에요 제가보기에 한몃몃 남자들이 한남자를 에오ㅓ 싸는것이었죠 그리고 다음정거장에서 우르르 내리는거예요 그러더니 한남자가 내돈내돈 하는것이었어요 나는얼른 내가보았어요 하고 말을했지요 그때 옆에안잖던 남자분이 아가씨 조용히해 잘못하면 얼굴에 면도칼로 긁힐수도 있어 하는것이엇어요 그당시에는 조용하게있었죠 무서오ㅓㅆ거든요 지금은 독일에서 살고있어요 너무좋아요 자식들도 그런힘든학교생활 안해도 잘살고있고요 저는 한국에서 중하교 뿐이 안나왔지만 여기서 직업을 배오ㅓ서 한사회에일오ㅓㄴ 으로서 잘살고있어요 그옛날 그런 불의가 한국은 아직도 판을치는 세상 을이재명시장님 께서깨끗한 나라로 만들껫다고 하시는데 우리 촛불민심처럼 그가짜 방송에 속지말고 이재명시장님을믿읍시다 우리가 단 만온이라도 후오ㅓㄴ 합시다 저도 여기서 동생한테 농협으로 넣으라고 했거든요
4,YankWRK              ,문재인 이래도 찍어주는건가? 그냥 뭉겨데도 국민은 찍어주는가?아무리 귀기울여도 진지한 설명도 내용도 없다. 그냥 두리뭉실....정말 이해할 수 없다..... 난 국민이 바보가 아닌이상 제대로 판단하리라 믿는다.재외국민여러분 ...귀찮더라도 꼭 경선 참여합시다..  저도 했습니다.
5,보름TV              , 최성의 역할 첫째  이재명의 선명한 이미지를   자기걸로 해서  이재명  묻히기둘째  문재인의 큰형님 이미지를 위해 치졸한 질문은 자신이 하기셋째  문재인과 주고받기로 문재인 띄우기넷째  문재인의 준비된 대통령 뽑아달라고 준비된 워딩 계속 하기
6,전성식              ,토론보다 갈아탄다문제인은 답다하네이재명으로경선참여 꼭해야겠다
7,대한민국지역감정꺼저              ,문재인 그렇게 자신없었나?최성 심어놓고 뭐하자는건지진짜 토론수준보고닭그네 특기가 짜고치는 토론이었는데그프레임을 반복하는 문근혜 답없다문재인 지지자님들 맑은정신으로토론 판단해보세요 믿음이 가시나요?조금만 생각해도 보이는데 정말 안보이세요?소신도 없이 짜고치는 고스톱 국민들 지겹지 않으세요?
8,따따봉              ,"더불어민주당 홈피들어가보면 경선투표참가자 2차 모집중에 있는데 경선후보간 조회수가 나온다..조회를 해본다는것은 관심있는 후보가 무슨말을 했는지 조회해보는것은 당연한거 아닌가? 지지도 안하는데 다른후보조회해서 무슨공약을 했는지 읽어보겠는가?? 각 후보 조회수를 보면 이재명 1,000,610명 문제인 398,173명 안희정 62,136명 최성 44,066명이다 그냥 경선참가도 안하면서 조회해보는것도 물론 있을것이다. 그러나 조회수를 보면 압도적으로 이재명이 조회되고 있다. .경선투표신청자수는 지금 1,942,540명이다 이정도면 어느게 진짜 여론이고 민심이고 대세 아니겠는가??"
9,SK C              ,문재인은 정권교체라는 자신이 만든 프레임에 빠져서 정권교체의 목적이유을 잃어버리는 오류를 범하고 있다.이유를 잃어버린 목적 달성은 내용이 빠진 껍데기만 성취하는 결과를 초래할 것이다.
