,ID,Comment
0,김소윤              ,대한민국 국민들이여 특별법 꼭 통과시켜서 우리 피땀으로 낸 세금 다 찾아내야합니다 안민석님 응원해주고 꼭 지켜줍시다
1,예그리나              ,세금 절대 아깝지 않다ᆞ진정한 국회의원이다. 이 나라가 살아나야한다. 반드시 썩어빠진 부정부패 꼬리를 잡아야 한다.
2,김ᄂᆞᄂ              ,민주당은 안민석의원만 열심히하시는거같은데다른의원님들 뭐하시나요??
3,윤창현              ,독일만 이겠지...다른곳에도 있을텐데..안민석의원님을 위해 기도 합니다
4,이데레사              ,국민들이 힘을 합쳐서 최순실 은닉재산 완전 몰수해야합니다
5,sweetharagu              ,갓민석 의원님 가족 사기단 꼭 처단 해주세요! 늘 응원합니다. 정유라 또 영장 기각 ㅂㄷㅂㄷ 😈
6,jeong donghwa              ,저 정도 페이퍼컴퍼니규모를 조직적으로 만들었다면 통상 10조원이상 움직인다. 결국 저렇게 해외서  세탁한후에 한국회사로 다시 자금을 들어와 정상적인 상태로 자금을 세탁한다. 적폐청산 끝은 범죄수익금 몰수이고 국민혈세를 복구시키는것이다.
7,Mason Han              ,이걸 전부 반대하는 인간들은 사실이 들어남으로써 자신들이 곤란하게 되는 개누리당 의원들밖에 없다.
8,이창배              ,국민의 가려운 곳을 발로 뛰면서 긁어주네. 세금내는게 하나도 안아깝다
9,오승희              ,안민석의원님~감사하고 응원드립니다.책 사러 갈께요~
10,이창배              ,"이런 사람이 국회의원의 표준이되야하는데 ,알맹이도 없이 쇼맨쉽이 있는자들이 언론의 더 자주나오니"
11,jeong donghwa              ,시민단체서 기부라도받어서 성과연봉제 줘야합니다.자비로하기에는 너무 힘든 일. 국회의원성과제가 있었으면 박근혜는 진작에 아웃되었을것!
12,김ᄂᆞᄂ              ,안민석의원님 응원합니다-
13,김쵸코              ,안민석특검보다 백배더낫다
14,Hyun Kim              ,안민석의원님 응원합니다 힘내세요  고맙습니다
15,이제              ,전액환수해서 국민복지비로만 써도 혈세절약할수있다 더늦다가는 다른나라국고로환수되거나 영영못찾는다
16,국민이국가다!              ,이거 탈탈 털어보면 자한당놈들 자금줄  줄줄이 엮여나올 각. 돈줄을 끊어내지 못하면 최순실도 권력도 다시 부활한다.
17,Grace Kelly              ,아주 칭찬 응원 합니다저 재산은 반드시 10원까지 다 추적해야합니다당시 못먹고 힘들게 살던 국민들의 피땀흘린 돈입니다몇년이 걸려도 끝까지 추적 부탁드립니다
18,개다리낙지              ,안민석 오산지역인데 내가 뽑았어요여러분! 너무 자랑스러워요!
19,HI 000              ,ㅋㅋ 저형님을 국회의원으로 뽑은 지역은 칭찬받아야한다 굿굿
20,sun park              ,안민석 의원님 수고 많으십니다.늘 응원하고 있습니다 감사합니다
21,Taewoo Lee              ,안 의원님 언제나 고생 많으십니다. 힘내십시오!!!!!
22,citrus citrus              ,안민석의원은 진짜 사명감을 가지고하는것같다 진짜 열일한다
23,하늘거북              ,국회의원 성과연봉제를 해서 안민석의원같이 열일한 의원만 연봉 줘야 합니다.놀면서 연봉만 받아가는 잉여의원에게 연봉지급은 세금낭비 입니다.
24,pea bright              ,최순실 재산몰수 특별법 꼭 통과 시킵시다.. 국민여러분~ 서명운동 합시다... 적폐세력의 끝판을 봅시다.. 해외동포 여러분들 함 도와주십시요. 클린 대한민국 만듭시다
25,seyoung kim              ,"안민석 의원 같은분만 계시면 이 나라...국민 모두가 나라 걱정없이 살텐데....늘 응원합니다...안민석 의원님... 검찰,국세청은 하루 빨리 최순실의 검은돈 파악해서 국고로 다 환수해라..."
26,정제시카              ,안민석의원님을 진심 격하게지지합니다^^
27,따뜻한차한잔              ,정말 대단하신 분~
28,joseph kim              ,안민석의원님 꼭 비자금을 찾아서 국민들에게 희망을 주십시오~!!
29,우리는문재인을 지킵니다              ,안민석의원님 응원합니다최순실법 반대하는 놈이범인이다...
30,강某              ,안민석의원 고생 많이 하시네.
31,마스터젠              ,수도권내리5선예약!
32,ghdi ghdi              ,안민석 의원님을 지지합니다.최순실 돈 찾아서 국정 농단으로 흘러나간 국가재산 채웁시다.
33,STEVEN KANG              ,안의원님! 존경합니다.
34,David Jo              ,안민석 의원님 화이팅!
35,땅끝길              ,최순실 재산몰수법 제정되어야하는데 왜 국당ㅇ은 정신을 못차리나? 민주당에서라도 추진좀했으면!
36,라라라라              ,끝나지않는전쟁의저자 안민석! 응원합니다!!
37,ys lee              ,국민의  뜻으로  재산추징법  반드시  만들어야 합니다.
38,찌니              ,와~~안민석의원님 이시다~~국회의원뺏지를 달고 있음 이런일을 하라는 것이다..보고있나!자유한국당  소속 의원들!
39,zzz eee              ,안민석 의원님 항상 응원합니다.  전폭적인 지지 드립니다.
40,ksae              ,정말 일하는 국회의원이십니다~ 지지하고 응원합니다
41,氷室哲哉              ,안민석 의원처럼 목숨걸고 일하는 의원은 더 예산 편성 해드려야 됩니다.
42,ᄒ하양              ,"""끝나지 않는 전쟁"" 꼭 읽어보겠습니다~~~^^"
43,후니Tv              ,진짜 국회의원!!!!
44,풀잎향기              ,5선 예약된 국회의원  멋지십니다~.
45,백성현              ,안민석의원은 진정성있는 활동을 하는 분이네요
46,이샤론              ,특별법을 빨리 만들어서 공권력과 수사권을 부여해서 다시 다른 곳으로 빼돌리지 못하게해야한다.
47,Rachel Chang              ,돈이 얼마 들던지간에 끝까지 추적해라! 지지
48,1미스터피아노              ,국민들이 어떻게 도와야 하는지는 말씀을 않하시네?  ㅠ
49,장영애              ,안민석의원님!수고많으십니다야위어보임니다건강하셔요
50,이샤론              ,정유라가 우두머리 맞는 거 같다.  엄마들에겐 자식이 상전이지않나?
51,김만추              ,오산시민이 부럽네요자랑스런 안의원이 계시니
52,ZENITH LEE              ,적폐정권교체 1등 공신 = 안민석 의원
53,박성호              ,명탐정 이에요. 안민석 의원. 힘내세요.와~~어마어마한 도적집단이었다. 개순시리
54,Oscar Isac              ,"진심 민석형님은 5,6789선 계속 합시다"
55,Best Life              ,80% 지지도의 대통령을 탄핵하기 전에 10% 미만 정당을 먼저 탄핵합시다/자위발정당은 의원직을 던지고 80% 박스권 독재정권에 끝까지 투쟁하라/다시 촛불을 들고 외칩시다/국개해산 조기총선/맹박이 구속하고 사자방에 낭비한 혈세 환수하자
56,만년설              ,이분 존경합니다
57,Dumb & Dumber              ,털우택처럼 앉아서 조는놈위에 목숨을 걸고 열심히 싸우시는 안민석같은 의원님 국민들이 뒤에서 지키겠습니다
58,REDHUNT K              ,성지순례
59,김의환              ,안민석8선이상하기바람
60,Shine Kim              ,정말 끈질기게 열일하시네요. 응원합니다 의원님! 감사합니다.
61,원댓              ,수도권 내리 4선 경기도 오산의 안민석위원. 수도권 내리 5선 믿어 의심치않습니다. 민석이형님 파이팅. ㅋㅋㅋ
62,寿寿              ,안민석 의원님 멋지세요~~^^감사합니다
63,용팔이              ,안민석의원님 항상 응원합니다.
64,순하눌              ,화이팅
65,Tower              ,오늘 정유라 구속영장이 또 기각 됐다고하는데 기각시킨 그 그 부장판사 실체를 밝혀보는게 어떨련지?혹시라도 누구?의 라인인지.
66,아멜리아아멜리아              ,안민석의원님  홧팅!!!최고입니다~~~~
67,김인              ,의원님 엄청 피곤해보이세요.건강 챙기세요
68,Yunjung Yang              ,"국회의원, 공무원 이정도는 되야하지 않나?"
69,Sebin Song              ,존경해요 안의원님.
70,김진배              ,그래서 찾아와! 민석아!
71,오광택              ,관상 깊이있게 잘보았습니다
72,송캐빈              ,어서어서   잘찾아봐   뿌리뽑아야   됌니다
73,butterfly effect              ,jtbc  전파 낭비 하지 마세여. 에잇~~~ㄷㄹㅇ 퉤
74,순하눌              ,역시 안민석의원 화이팅
75,김길중              ,오산시 참 잘했어염^^
76,차아나              ,두분만 봐도  든든합니다~~
77,오승환              ,안민석의원님 저승사자포스다 ㅎㄷㄷ 졸라 무섭네
78,오스헬리              ,이 영상이구만 좌표찍고 갑니다 안민석씨 출장다녀오세요 400조 찾아오세요
79,이희정              ,역시 수도권 내리4선....안탐정 화이팅
80,장경옥              ,최순실 은닉재산은 꼭찾아내야합니다그일을 위해국민들이나서야 합니다 그렇지않으면 몇년뒤에 최순실 당이 이름만 바뀐 채로생길것이고요
81,j j              ,역쉬~~~안민석님 쵝오~~~늘응원 합니당~~^^
82,Erica B              ,안민석. 진짜 리스펙👍
83,Michelle An              ,안민석 의원님!  대한민국 희망!😀최순실 재산 환수해서..국민들 한테 돌려지는날...안민석 의원님 !!  영웅 &영원한   국민 오빠 !! ㅎㅎ
84,콜라YouTube              ,10선도 가도 될거 같아요ㅋㅋ10선하고 대선한번 도전
85,신난다              ,성지순례
86,MY WAY              ,안민석의원 한 자리 하셔야할듯.... 진짜 넘 열정적이시다...>_<
87,박진              ,두분 너무너무 존경합니다
88,jin jin              ,안민석 의원님 든든합니다!
89,의지의오함마              ,안민석의원님 적극지지합니다
90,ssh w              ,그래서 300조는?
91,고백              ,역시 안민석 !!
92,이선우              ,안민석 의원님 응원합니다~ 최순실 재산몰수 특별법 꼭 통과되기를 바랍니다~
93,Meizi Jin              ,어떻게 그걸 밝혀냈지? 정말 대단하시네요!!!
94,mjmj m              ,안민석 의원님 최고 👍👍👍
95,Dumb & Dumber              ,오산시 시민들 존경합니다 저런분 국회에 보내주셔서 성금이라도 보내고 싶은 심정입니다
96,MY WAY              ,안민석 의원 너무 멋있당
97,속초촌놈고프로라이프              ,진짜 의원이다 저런게
98,小確幸              ,특별법 당연히 통과 되어야죠! 일법백계하여 앞으로 우리의 아이들이 살아갈 이 땅에 정의를 바로 세워야 합니다. 안민석 의원님 노고가 많으십니다. 늘 응원합니다!
99,ᄏᄏ              ,성지순례 왔습니다. 출장보내드립니다. 돈 찾아와서 좋은일에 써주세요. 기간 3달 드립니다.
100,오회령              ,참 중요한 일을 하고 계셨군요.최순실을 무력화시키는 방법이 재산몰수죠.
101,jinhee lee              ,많이 늙으셨네요...ㅠㅠ몸에 이상이 오신것은 아니지요? 걱정되네요.
102,4LEAF LEE              ,안의원님 고생하셨고..진짜 최순실 오지게 해먹었네 꼭 다 처벌 받기를
103,Sebin Song              ,사랑합니다 안민석!
104,김미영              ,안민석의원님!팟캐에서와는 또다르게 실제 뵈었을때 낯가림있으신 모습도 참 좋았습니다.건강 챙기시고 의원님 노고에 감사드리고 열심히 응원하겠습니다!!!
105,스노우프로릭              ,안민석의원님  속이  아주 시원 해요 앞으로 더 많은 진실 밝혀 주시길 바래요 최순실년 은닉재산 다 밝혀 서민 속시원 하게 해 주시길 바랍니다
106,유틸탈출.              ,머야 이런 가짜 뉴스는 삭제해라. 뻔뻔 하네 .  안민석 ㅋㅋ
107,vjaos tnf              ,안민석의원짱!
108,Chae Seo              ,안민석 리스펙트
109,Ken Oh              ,뭔말 허는지?
110,James Choi              ,참으로 안민석 의원님은 검사같다.....소신있고...지원하고 싶다...정말..
111,러브키미              ,안민석 의원님 응원합니다
112,Theresa Park              ,🐕🐀🐕🐁
113,MY WAY              ,2천억....... 미쳤다................. 700억....... 돈이 몇십조일듯........미쳤다........
114,Kelly Han              ,난 왜 정봉주 의원이 떠오르는지 ㅜㅜ....
115,TIGER KANG              ,특별법 결국엔 국민의힘으로 해야합니다 ! 최순실 돈 꼭 찾아야합니다
116,김삿갓              ,안민석의원은 오늘 뭐 이상한 것 떳던데 낮 들고 다닐 수 있나.
117,chelsea yoon              ,발로뛰는 안민석 의원님 항상 수고가 많으십니다안민석 의원님 건강도 챙기세요...감사합니다.
118,탁재훈              ,응원  합니다
119,tank50 sun              ,찌질이 구캐의 대명사 안
120,유관수              ,특검 특검 특검 생사람 잡는게 특검!
121,김민성              ,안민석 의원님 항상 응원합니다
122,강미선              ,안민석 의원 항상 응원합니다
123,young park              ,응원합니다....정의를 바로잡는데 힘이되어드리고 싶네요
124,최선경최선경              ,안민석 의원님 화이팅 입니다멋지십니다
125,해바라기sunflower              ,안민석 탐정
126,하봉년              ,끝까지 추적 발굴하여 남김없이 조치해야함
127,Alang love              ,저 썩을 것들의 재산을 꼭 몰수해서 완전 거지로 만들고 싶은데 현실은 녹녹지 않고 돈 펑펑 써가며 호의호식하고 살겠지!! 이런생각에 화가 치밀어 오릅니다!!!
128,콜라YouTube              ,안민석의원님 대선마치고 조용하시더니 엄청 뛰어다니셨네요무척 궁금했어용홧팅입니다사랑합니다응원합니다
129,林はな              ,국민들이 일어나야겠네요!!안민석 의원님 응원합니다!!
130,콜라YouTube              ,오산에 거주하는 시민들은 정말 좋겠어요부럽네요나도 오산으로 이주할까
131,Josh Taka              ,안민석 의원은 진짜 무서운 놈이다.
132,M Style              ,안민석의원님 정말 핵 사이다 매일 매일 지지하니 쭉 해주세요
133,Jeremy C.              ,정유라 우병우 판사들 등등등 다 사형
134,nara k              ,정유라도 한몸
135,풍폭              ,대단한분이군요‥이런 일하는정치인 지역구민들 존경합니다.
136,지나가는멍이              ,별문제만 없으면 민주당에서 다음 대선에서도 문제없겠네
137,김영채              ,특별법을 위해 촛불을 들어야 합니다.촛불은 꺼지지 않는다는 것을 보여줘야 하지 않겠습니까?안민석의원님 화이팅!!
138,문윤주              ,안민석의원님!노고가 많으십니다? 정말좋은일 하십니다?? 의원님의  소신과 용기에 무~한 박수를 보냅니다? 힘내십시요?  존경합니다?
139,쭌쭌              ,안민석다음국무총리갑시다ㄱㄱㄱㄱㄱ아니면경기지사ㄱㄱㄱ이재명서울시장ㄱㄱㄱㄱㄱ
140,아노사랑피              ,안민석의원최순실 만표적후사하지마시고...분들도재산좀추적햐주심이진정한의원...
141,박상태              ,검찰은 최순실의 빨강 까망 금고를 찿지 않은것인지 아니면 덥어버리려 하는지 의도를 말하라
142,Eline Kim              ,그들은 돈이 있는한 언제고 부활할것입니다
143,craigmusiq              ,국회의원이 무엇인가를 보여준다.  저 집념
144,정윤필              ,그많은돈으로 뭘할려고 하지 모두 압수해서 나라에 좋은데 사용해야한다
145,화등백              ,내세금 안민석의원님  다드려도 안아깝다
146,박주연              ,안민석 의원님 진정한 애국자 이십니다. 응원합니다.
147,Steady              ,안민석 진짜 몇안되는 존경받아야할국회의원.. 자유한국당 의원들한테들어가는 국민혈세 월급 너무아까움
148,정완채              ,특별법을 제정해서 정의를 바로세워 우리아이들에게 희망이있는 국가를 만들어주기를 바랍니다 의원님 끝까지 힘내주세요
149,Meizi Jin              ,어떤의원들은 말만 하고 어떤의원들은 행동으로... 비교되네요
150,행복해져라.              ,대한민국 최고 국회의원은 안민석♡
151,M qwerty              ,다 좋은데 진상규명 핵심 논리로 사용하는 '숨는자가 범죄자다' 이건 굉장히 위험한데. 물론 어느정도 상식적이긴 하지만 죄와 벌을 부과할 때 더 엄격하고 신중해야하는게 아닌지. '숨는다고 다 범죄자는 아니다' 이런 상식적인 논리도 필요하다고 본다.
152,수정임              ,몹쓸 국회의원이 널려 있지만그래도 위안이 되는건 안민석 의원분 같은분이 계셔서 희망을 가집니다.안민석 의원님 화이팅 하세요~^^
153,좋아요              ,"'삼성 순환출자구조'보다 더 복잡한 최순실 정유라 정윤회 일가의 부정축재, 불법수익의 '돈세탁구조'에 또 한번 놀란다. 박근혜 국정농단은 아직 10프로도 밝혀지지 않았다는 안민석 의원의 말씀에 동의합니다. 경제사범들에 대한 징벌적배상을 포함한 처벌강화과 공소시효폐지 불법수익환수에 관한 일반법을 제정해야합니다."
