,ID,Comment
0,dc K              ,듣고 싶지도 않은 소식이다 !
1,유상식              ,친애하는 국민여러분  !♡하늘은 정의로운편입니다 !속일수도 없읍니다 ! 두려워하세요  이명박그네^ 종북팔이아래 호의호식 하던자들  !!내년4 월에  하느님심판이있을것임!!
2,김시대              ,순 엉터리 조사  여보세요  서울 여론조사 기관 임니다 당신에 나이는 몆살 임니까  몆살하면 조사 대상 자가 안임니다  하고 딱 껀어뿐다 이렇게 하는것이  여론 조사  인가 투표 하고 나이하고 무선 관계가 인나 선거권이 있어면 누구나 다할수 있는데  조사 기관은 못믿고 길거리 조사는  수많은 사람이 보는데  잘함  못함 이것이 정답이다
3,김충남              ,조작청 조작질 개정은이도 안믿는다 함박도는 누구땅이냐
4,김동선              ,조원C&I는 문 지지자 과대표집 50.4% 입니다.감안해서 보세요.
5,차우TV              ,ㅠㅠ
6,최강산              ,내년에 공중분해 시킬 정당이 있어서 요즘 행복합니다!
7,이경석              ,지금여론가지고 논하는것은 아무의미가없다 응답율을보라 어떤부류가 응답은많이했을까?  를생각해보라 여론조작으로 겨우유지하는  것들을 ㅡㅡㅡ어떻게 지금여론가지고 분석이되나 ? 아무가치없는  내용으로 오히려햇갈거하지말았으면하네 ㅡ
8,제임스뽄드              ,육갑떠내 저거 누가믿야 더블어공산당 ㅋㅋㅋ
9,정창배              ,지금민주당이잘한다하십니까.4월에봅시다.말도안되는말하지마시요
10,해당화              ,자유한국당 폭싹망해야 한다 우리공화당이 40프로 되는것 시간문제다
11,남광현              ,여론조사를 믿으면바보다내가만나는사람들은 100% 민주당을 저주한다
12,임영환오늘이 그날              ,허위 날 조된 여론조사 진짜로 조사한 번 제대로 해보세요
13,김복순              ,무의미하다 하지마소
14,니키춘리              ,잘 보고 갑니다
15,이영명              ,한국의 여론조사 다조작되는건데 이대로면 한국 완전망히고 공산화되는데 할일없이이런자료  왜 분석 항니까 조작된것 같고 써잘데  없는데 용쓰지 마시오
16,ᄒᄒ              ,"여론조사가 바닦 민심과는너무 동떨어지는 숫치입니다,더욱 객관적인 ""문의사항""항목을 만들어 조사기관외제 3자를 배석하고 조사하면 어떨까요 ?"
17,자연인              ,참 이해을못하겠내민주당이 뭘했는데 지지율이높냐죄국이잘했나 이해골이 잘했냐스트레스쌓이내 어휴괜히성질난다이방송 내일부터 끝이다 어휴.
18,김금동              ,민주당 지지율 도저히  믿을수 없어요
19,김재현              ,"문재앙이나 나베나 황베나 ㅡㅡ 그밥이지,,,"
20,김훈기              ,여론조사나 통계조사는  언제나 정확해야 합니다. 정치인 들이나 필요한 지지율 이겠지만  여론이 항상 정확한 것이 아니더군요  지지율 조사는 꾸밈없이 진실로  정확을 기해야 함이 생명입니다.
21,김영곤              ,여론조사 믿지모쌔요 편파적으로하지마세요
22,이빈손              ,한국당이 열심히 하면 좋은 결과 있을 것이다. -  그럼 누구는 열심해서 나쁜 결과가 나오나요? 열심히라는 말 자체 긍정적인 것 아닌가요?
23,kinni i              ,저 지지율도 믿을게 못된다누구 지시받고 저렇게 발표한것같다는 생각이든다그냥 발표하는거잖아 누구한테 안물어보고도 물어봤다고발표하는것같아서 조작숫자라고 생각한다
24,여수밤바다              ,아직도ㅡ국민들 정신못차리나보나  이나라 으짜냐
25,ᄋ복희천황              ,군부독재타도하던자들어디가고?김일성80년독재를그리워하는사람들이많은것같아애석하다&국민들의복은자신이만든다
26,선경장              ,장준호 엉터리다광화문 민심보라장준호  들어가라..
27,조조양건              ,조작미터뿐 아니라 타조사기관도  샘플이 과다계상돼있어  지금기준으로 평가하는건 무의미
28,박윤현              ,여론조사가아니라 여론조작단이군 문재앙 잘한게뭐있냐? 다망처놓고 여론조작하지말게 믿을사람없네.
29,홍만철              ,국민여러분국회를보이콧하고추경예산99일후에추인드인생경제서민경제를외면하고장외투쟁반정부투쟁하는자한당다음총선에해체시키는게정치현실입니다
30,정봉호              ,안믿어 안믿어 순 그진말들이나허구 망쪼당은 아직두 49.5%나오는곳도있더라 그런걸 누가믿겠냐 니미 한놈건너서한놈은 못한다고 쥑일놈이라는데도 50%가 가까운걸 누가믿겠냐 ? 안봐 안본다 에잇 ㅆ
31,전건이              ,길거리 리얼미터만 믿는다.
32,강신호              ,지금 당장 선거 한다면  우파보수 참패다      사분오열  갈라져  싸우면 좌파정권  20년 아니라  100년좌파정권 연장 확실해진다        아직도 정신못차리는 보수우파정치인들  대한민국과 우파보수 국민앞에 역적질  그만하고 하나로 합하여  빼앗긴  정권 되찿아오라!
33,김동선              ,"<과대표집 : 한국리서치 53.7  리얼미터 53.3  칸타코리아 49.2  文득표/전체 반영 41/31.7>■ 文 득표율 41%, 전유권자 대비 득표율 32%■ 現 여론조사 文지지 과대 표집 1.5~2배★ 대선/정당 로데이타 공개◆ 갤럽 11/8 조사] 환산 文지지 27% 민주당 지지25% ■ 지소미아 파기 & 日 수출규제 자살골 文★ 文 총선 경제폭망/무능/실패 → 反日/김정은 답방/朴 석방/中人 韓 이민 → 必大勝 文 심판■ 文 종북좌파독재 → 北 비핵화 不 연방제■ 文 5.18 명단 까 ■ 反中親美 LGU+ 불매 ■ 文 깡통진보 외눈박이 우물안 개구리★ 文 빨갱이 킹크랩 퇴진하라 공수처 연동형 비례 파기하라[리얼과대표집:수치=31.7:X, X=수치x32/업체과대표집] 알앤써치 11/13 문 지지 리얼 11/7 문 지지 44.2-> 44.2x32/53=26, 민주당 지지 38.2x32/53=23갤럽 11/8 문 지지 45 -> 45x32/53=27    민주당 지지 41x32/53=25"
34,김시대              ,선거 하는데 무선 조싼냐  여  야 찌 질이당  할것 없이 잘하고 인나 잘하는지 안이면 빙글빙글 놀다가 일 하는척 하면서 또 한판 싸우는거 이것이 하루에 일과 국민 들은 다보고 있다 극정 마세요 부디 부디 국민들 눈 속이지 말고  정치나 잘해 좀 싸우지 말고 집 가정에 갔어도 가족들 하고 그리 싸우나  부모가 잘 해야 자식들이 배우지 애비란 자가 엉터리 에다 참 잘난네 잘 빠졌다  자식과 국민들  눈으로 본니까 하났도 배울것이 없다 빨리 페업 신고가 정답  정직하고 똑똑한 분들이 수업이 많아요 극정 하지 마세요
35,장병두              ,당신들은 매날 허위여론조사  가지고방송 하냐 당신은좌파냐 아님 똑바로하세요
36,아파치              ,여론조사하는 기관들 다 믿지는 못하는 기관이긴 한데...
37,ᆞ여강쇠              ,조작하는건가무슨지지율이엉터리냐길갇ㆍ
38,국민의권리              ,300명 모두 국민에 도움 안되는자들 입니다. 총선에서 모두 퇴출시키고 완전 새로운당으로 새출발 해야 합니다.
39,이상헌              ,더불어 거짓말 민주당 내년총선에 푹망해라
40,김병기              ,"기존 여론조사기관에서  조사한 자료를 가지고 분석한 것은 아무런 의미가 없다.그저 말장난일 뿐이다..직접 길거리로 나가서 시민을 대상으로 조사를 해봐라...지금 한국의 여론조사기관의 조사가 얼마나 엉터리인지..얼마나 악의적인 조작,왜곡인지....참고로 자유의창이란 유투브에서  직접 길거리로 나가서 문재인지지율 조사를 한 것을 보면 찬성은 거의 대부분 20%대를 넘지 않고 있다... 할려면 똑바로 해라!!!"
41,대한민국만세              ,자유한국당 최고 화이팅
42,김똘이              ,민주당! 바른당! 정의당만 안찍으면된다
43,허명순              ,장준호티브이자유한국당지지합니다예
44,Wind Chaser              ,누가 이여론조사 믿나?  웃기고 있네.
45,Crystal Lim              ,자한당은 절대 안뽑는다!!ㅎㅎㅎㅎ 민생을 생각해서 국회에서 일이나 해라!! 내년 선거때 한국당 폭망!!!
46,Seju Oh              ,"보수분열의 책임은 현 한국당 지도부에 있다. 보수분열의 책임은  단일 대통령 후보를 노린 김무성 대표의 정당정치 본질에 어긋난 정당후보 국민참여공천제에 있고, 그들은 노대통령에 이어 박대통령까지 진보진영의 불법탄핵에 야합한 재범자들이다. 지금의 보수 분열로 인한 총선 패배가 일어나면 이것도 현 한국당 탄핵파의 책임이다. 현 탄핵파는 패스트 트랙, 공수처법으로 보수국민을 위협하고 있지만 한국당 탄핵파 5인을 제거한다고 해서 나머지 탄핵파가 그것에 찬성표를 던질 수 있을까? 보수 1당 공천이 달려있는데..보수 국민이 지켜보는데...사실이 이러함에도 황교안 대표가 그들을 제거하지 못하는 것은 무슨 약점이 잡혀있을 것이라고 생각할 수 밖에 없다. 문재인이 김정은에게 약점 잡힌 의혹이 있듯이..탄핵도 기회주의자들은 아마도 반기문 등장으로 넘어간 평범한 자들이라고 본다. 그들이 패스트트랙, 공수처 위협으로 결속하고 있는 탄핵지도부에 넘어갈 리가 없다. 그것은 자살행위이기 때문이다. 황교안 대표는 확신을 가지고 탄핵5인을 제거하고 공화당과 합당하여 보수 통합을 완성하라. 시간이 없다. 아니면 능력자에게 자리를 물려주라"
47,경비아파트 경비원              ,나경원 친일파 지키기 위해 한국당 왔다
48,Minsu Seo              ,자한당 새누리 한나라당 매번 이름만 바꿔서 살아나는당.. 붇한없으면 진작 망할것같은데요.. 내년 총선에서 봅시다 ㅋ
49,윤외수              ,개자유당 인제도없지만 인간도 안인것이넘 많아
50,양성진              ,민주당이 지지도 뻥 많이 티겨졌네. 선거 보면 알겠지
51,대빵              ,문씨없는.세상에서.살고싶다.여론조작기관.리얼미터는.대국민사기극.다알지요.잘했어요
52,FACTORY VAPE              ,말도 안되는조작된 정당 지지율 보면 뭐 합니까? 길러리미터로 조사한걸 발표해 주세요
53,99세노인              ,"말이되는소리를 하세요,대부분 국민들이 민주당을 싫어하고 질렸다고 하던데, 어찌 당신은, 문파냐, 종씨인간아, 우리종씨를욕먹이지마라, 대부분 민주당,현정치를 싫어하고분개하는 국민들이 대다수더라,,,,,,,,,,,,,,,,,,,,,,,,,,"
54,john c              ,모집단선택부터 조작이라서 이정권 여론조사는 안믿습니다.길거리 조사가 더낫지
55,돌격대              ,자한당은 아무리 발버둥처도 민주당 못이긴다  왜 60~70대 꼰대 마인드같고 젊은 유권자이길것같냐 자한당 정신찿리거라
56,선우              ,허경영좌파우파 필요없다허경영 국가혁명배당금당이 답입니다.천재IQ430이 한국과 세계를무전쟁 무국경 무공해 로 낙원세상으로 변화 시킬 것입니다.국가혁명배당금당
57,고수성              ,민주당지지? 참 어처구니 없네뭘 잘했다고?
58,Mj Jang              ,자한당은 사라져야할당민주당은 귀태정당 모두함께 없애버려야할당
59,김유신              ,누가민주당지지한다고40%넘는다고하나요.아마지지층이민주당지지층을들고나오면다른당은무엇인가요.왜민주당지지한다고별볼일없는소식이다
60,조명근              ,여보세요 엉터리 여런조사 지지도을누가믿냐 무시하고 거리여런 조사는 조작이없으니  거리여런조사만 믿음시다  너가내보내는것은 믿음이 않가내 .....?????
61,ko 2693              ,한국당 힘내세요
