,ID,Comment
0,허성수에이스Tv              ,전희경파이팅!!저 이상한여인과 동급으로 입씨름 하는자체가ㅡ전의원품격이 떨어질까 ㅡ염려됩니다.저런여자는 그림자만밟아도시비꺼리만들수도있는ㅡ경심혜원과가아닐까요?
1,김현준              ,"This host has violated the YouTube Community Guidelines in front of it with various discrimination, fascism, war praise, and hate speech.And you are consuming your resources with very crude, simple but boring long fake news footage.The host also induces donation to YouTube users through garbage videos.It would be very unpleasant to know that the advertiser paying you is aware of this, so please delete this account after review."
2,마음을가져와보게              ,This channel is highly biased and spreading dangerous allegations trying to distort the fact and brainwash vulnerable people (who are seniors and have lack of information). Promoting political dispute in Korea. This channel  should be banned by Youtube and Youtube should not be providing any financial benefit for this disturbing acts.
3,레리븐              ,서초동에 모인 저 정신병자들이랑 똑같은 한표를 행사한다는게....ㅡㅡ;;진짜 저런 정신병자들이 곳곳에 숨어있다가 기어나오는거 보면...토나올것 같음..
4,Ace Dark김이수              ,이재정아줌마웃으면서 말하는 것 가식이다
5,하늘바라기              ,이재정 골 비어 보이고얍샵해 보인다~~전희경의원 잘하십니다~~
6,구독하면 시험 합격              ,This channel makes misrepresentative contents
7,jozee77              ,This is fake news channel n they earn money by scribbling for the papers.
8,안미정              ,아나운서   양반 공정하게 진행하라너무 표가난다~~이재정   편드는거~~유치 찰란 하게 진행하네
9,SK P              ,이재정이 옆에 있으니 전희경이가 돋보이네.내 머릿속에 있는 전희경이의 모습이 아니구나. 달리 보이는게  전희경때문이냐 예모없는 이재정의 밉살스런 태도 땨문이냐.영 미스테리하다.
10,Lee외로운별              ,아나운서 티안나게 편들어라 2:1로해도 전희경에게 안된다.이재정넌 뺄가벗고 뛰어도 전의원님 못따라온다 미래의 대통령후보 전희경 화이팅!
11,beans Burts              ,This is a fake news which has been spreaded malicious contents with misrepresentive fake news.
12,Moony Oh              ,This channel makes misrepresentative content
13,wisehill              ,"This channel is spreading malicious false information.It must be investigated."
14,해인해인              ,이재정 숨이나 쉬고 이야기 해라지갑 줏었나? 히죽히죽 웃기는?재정이 피리 바로 불어라 광화문자한당은 처음이다 집회는 너거들트레이드 마크 아닌가? ㅎ숨 넘어 가겠다 좀 알고 지껴라 참 깜이 안되네 !!!
15,Grace Kwon              ,어찌 전희경의원 상대로 이재정같은 여자를 앉히나요 어느정도는돼야지이재정운 늘 설래벌래 머리둔건 없고얼굴로 보나 머리로 보나이재정운 전의원 상대가 아니지요 이재정은 약간 미친여자 같아요
16,사우스포              ,으이구 속터져 더불어 실실 웃는 저여자가 우리동네 왔다고 나참 태풍피해자 얘기하면서 왜 웃니 좋나 xxxxx아  그리고 앵커 니자꾸 말자꾸 끊어
17,james Jang              ,This channel consistently uploads maliciously fabricated misrepresentative contents.
18,Heeduk Pak              ,"YouTube needs to drop this video immediately, which encourages hatred."
19,Il faut tenter de vivre              ,"Unworthy info without detailed backup, spreading biases that violates human rights and human dignity."
20,보헤미안.박              ,이재정은 전형적인 우기는 기질 보유자 같네.........소위  변이라며  righteousness  와 evil 을 혹시 혼동하시나요 ?
21,구름나그네              ,최고 투사 전희경의원님 건강하시고 참여연대 정부시민단체 출신과 토런하기엔 급이 다르죠..초등학교 반장과 대학출신 지성과의 대화 토론같습니다
22,사우스포              ,앵커 뭐야 말끊지마라 전희경 말하는데 왜자꾸 끊어
23,같이길을 걷다              ,This incite hatred and violence with the malicious intent.
24,giuseppe              ,This channel makes misrepresentative contents
25,사명호승              ,더불어 공산당 지구에서 없어저라ᆢ자유한국당 동원하라해서 광화문 청악대 가지않았다ᆢ순수한 국민들이 나선것이다ᆢ
26,노빠꾸              ,아니 검찰개혁하고 조국사수를 왜 엮어 도대체 미치겠다 진짜조국이가 검찰개혁 안하고 다른사람이 하면 안됨?
27,SOSO              ,This channel’s videos have inappropriate informations encouraging people to outrage for wrong bases
28,캐슬마스터              ,"Don't be fooled. They're lying. And the content is fueling political distrust with fake news, false information and hate speech. This is a crime, not Journalism."
29,Sera Shim              ,Yellow Journalism n Fake news OUT!
30,쎄렌              ,이재정 구토가 난다이해찬 너도 멀지 않았다 늙은하이에나!!
31,이미숙              ,재정아 너희들 소리만 으기지 말고 다른편의 소리에 맘열구 아님ᆢ양심의 소리에 귀먼저 귀기울여라  뻥치지말고~~~!!
32,제제르비              ,You Tube must protect their own honor by getting rid of this waste.
33,Fox Mr.              ,Misrepresented news
34,박보검              ,"전희경 의원님 응원합니다,힘내시고 우리나라에서 좌파정권 끝장 냅시다!"
35,한순열              ,진행자! 너도 주사파냐?  실길 웃는 저여자와 한패거리?
36,No No              ,this video is misrepresentative content. I don’t wanna watch this clip forever. disgusting
37,질리어스              ,This channel makes misrepresentative contents
38,Rain Y              ,"YouTube needs to drop this video immediately, which encourages hatred."
39,Chloe Lee              ,This is fake news and try to misleading people
40,Rado Do              ,ㅁㅊㄴ 배실이 안나오면 안되나🦠🦠🦠똥을 퍼부어라
41,박동명              ,이재정은 재야에서 표현의 자유를외치던 전문 변호사였다고지 말로 하던데나도 표현의 자유로 한마디만 한다면당신의 대담 꼴을보면절로 욕이 나온다.
42,Rm Rw              ,사회자 갈아야한다. 민주당 편이군
43,바깥양반              ,This news is fake news.I'm reporting
44,stella Kim              ,가짜뉴스삭발이라도 하시던지
45,이야옹              ,진실하지못한 대변인더불어 그입좀  다물라!    이재정 세상에는 최소한에 양심이  있어야지!
46,Michelle Kim              ,This content contains fake news about a particular politician and is edited very maliciously.I have to give penalty to my account because I violated YouTube policy.This contest is very malicious.
47,jookwang kim              ,his video is misrepresentative content. I don’t wanna watch this clip forever. disgusting
48,L pleiades              ,민주 대변인의 저 입에선언제가 돼야 옳은 소리를 내려나..
49,jinwon lee              ,This video violates advertiser-friendly content guidelines Political conflicts
50,김구글              ,전의원님 이런부탁 죄송한데요~~이재정이  턱쭈가리 한방 날려주시면 안되요??
51,paul kim              ,이재정: very much disgusting and slippery. I don't like her fake smiling.
52,이건나라냐              ,이재정은 가식적 미소로 거짓말을 너무 당당하게 말을 하는것 같네요... 속이 울렁거려요...
53,따봉              ,This video violates advertiser-friendly content guidelines.Controversial issues :Political conflicts.YouTuBe should investigate MACRO running
54,장이규              ,가짜뉴스Fake news!!!
55,자유민주시장              ,우파의 정신적 기둥 전희경 의원님 적극 지지합니다
56,yg seo              ,"YouTube needs to drop this video immediately, which encourages hatred."
57,springberi              ,Misrepresentative contents !!
58,엘레강스Lee              ,촛불을 이용해서 직권한  현정부 재정아 똑바로 알아라전의원께서 발언할때에  끼여들지 마라 재수없다 인간아 속보인다
59,윤정숙              ,이재정 웃지마라 제발지금 웃을일이가
60,로하하              ,상대가 진진하게 말하는데 비웃고 천박한 언행 정말 기본이 안된년이다
61,sm B              ,This channel makes misrepresentative contents
