,ID,Comment
0,산골아줌마다현              ,역시전희경이었어요👍야무지고당찬지적에변명도못하는 더불당꼴좋다
1,프리뷰              ,전희경 멋지다~~늘 응원합니다
2,야망의전설              ,나도 국회의원들 욕 많이 하지만 전희경의원은 진짜다.. 이재정의원은 말 장난하러 나왔나.. 표창원 이재정 이철희.. 휴우 한숨만 나온다
3,박순자              ,역시.전희경똑순이.화이팅.최고.이재정.쌈닭.흥분잘하는여자
4,배썬              ,인재가 없는더불어민주당 입니다
5,RS28 coupe              ,오늘 본방 봤는데 말씀 너무 잘하세요 이재정 팩트로 뚜드려 패는데  속이 시원했습니다. 이재정 아주 뻔뻔하게 변명으로만 일관 . 정말 잘하셨어요
6,갑질을 없애자              ,더불당은 국민 밉상같은 사람이 여기나왔구나 역시 전희경의원 큰 일꾼입니다.
7,김준표              ,전희경~ 에구에구 예뻐라~어쩜 이렇게 말도잘하고 똑부러질까~오늘 얼굴도 넘 예쁘고 아름답습니다.응원합니다
8,마음의평화              ,"전희경 의원님!! 화이팅...항상 ""차분하고 & 논리적으로 & 적절한 언어""로,, 너무 잘 하십니다/// 민주당 대변인 하고는 격이 다릅니다...화이팅////"
9,걍도토리묵조아              ,이재정이는 중학정도 전희경은 대학정도수준/
10,OK CHA              ,전희경님 힘내셔서 제발끝까지~싸워주셔요  박영선~~상명체육과~경희대지리과졸업~~진짜대단한줄알았는데~~너무실망~~
11,passion Up              ,"그놈의 국민 여론,,,,지금  여론이 어떤지나 알고 말하냐? 너흰 솔직히 국민여론 관심 없잖아!이재정의원의 답변엔 내용이 하나도 없다말장난!!!이젠 국민들  안속는다!  너희들 덕분에 국민들이  깨어났어! 스스로 판 무덤에 들어갈 준비들이나 하세요!"
12,박제이티              ,전희경 의원님 응원합니다  조금만 더 힘써주세요
13,한산섬              ,전희경 의원님 늘 응원합니다
14,이두용              ,전의원님!   말씀 넘~잘하셔..♥
15,한만우              ,전희경의원님사이다같은냉철한분석과소신발언열열히응원합니다늘건강하시길ᆢ
16,최미숙              ,ㅏ전희경 의원님  존경합니다 ...
17,이남숙              ,전희경의원최고 ^^^^^^이재정같은 여자와 같은 여자와 앉아있는것조차도 아깝습니다.  이재정 같은 여자는 상대가 않되는여자아--휴..찌지리
18,성수              ,전의경의원님 너무 멋있으세요~~♡♡
19,잘먹고잘살자              ,국민...국민뜻 이라고하는데  국민들은 7곱명 장관후보자를  모두 부적합하다고 생각합니다.  어떻게 추천한 사람마다 어떻게  저런 사람만 골라뽑는지 참 추천한 놈이나 추천한다고 나온 놈이나 그놈이 그놈이네....
20,Jee cd              ,유방암이 여자의 전유물 질환은 아니지요? 남자도 유방암 있어요.전희경의원님 늘든든한 버팀목이 되어주셔서 감사합니다 화이팅입니다.
21,가을비              ,더불어민주당 이재정 의원님 참 뻔뻔합니다아이구 짜증나서 안본다 안봐전희경 의원님 화이팅 끝까지 쭉하세요
22,정직하게.              ,이번 토론은.전희경 의원님 말에 공감합니다~이재정 의원님은 공감 할수없습니다~
23,염화미소              ,박영선 청문회에 황교안을미쳐완전더블은  덮기 하려고애를 쓰는구나
24,땅하늘              ,박영선의 거짓은 국민들이 다봤다국민들이 귀/눈을 가리고사는준아냐이재정도 바른말해라
25,남순기              ,청문회장관후보자들제출자료불리하는자료는제출안하고황교안아무것도아닌것을말하고다른말로돌리는영선그런장관후보7명장관자격없다문대통령이임명할경우국민들은가만있지않는다
26,박순자              ,이재정.목소리도.듵기싫어너나잘학
27,이주영              ,저 국민은 어디 국민을 말하는거지?나는 우리나라 국민으로 전원 사기꾼으로 보이고 부적격 한데
28,배썬              ,전희경화이팅♡♡
29,임동진              ,전희경 의원님 보면  믿음이 갑니다좌파들을 몰아 내는날  까지  힘써 주세요응원합니다
30,이성일              ,역시 전희경 이다.격이 다르다  정말 존경 합니다.
31,김학수              ,박영선은 정치인 으로서  거짓말투성이다국회의원 지격박탈을 해야  마땅하다.
32,고독왕              ,든든합니다..전의원님.화이팅~!!
33,신미양              ,그럼 청와대 버싱썬 과 관련한  총경.김경수.문다혜 ~김의겸  박영선 모두 철처하게 조사 하세요.국민의 한사람으로   무척 궁금합니다청와대 갑질.도 수사하시고 운전사 3급도 수사 하시고~아휴 너무 많아서 ~~
34,권병진              ,역시 전희경 의원님 이십니다 ^^♡
35,강금옥              ,이재정 정말 재수없다전희경 의원님 화이팅~~
36,마적              ,진희경 의원님 너무 멋지십니다이재정의원은  그더러운입으로 국민국민 하지마라
37,난나미              ,이재정 니 말대로 국민이 부적격 판단했다!!심각한 결격사유가 있음에도 싸고도는언변이 역겹다!!
38,Martha Lee              ,진실을 토론 하시는 전희경  국회의원님 대단한 애국자시고 용감하시내요.감사합니다.
39,자몽              ,전희경의원님말은 진짜 논리가 분명해서 귀에 쏙쏙들어와요
40,dg j              ,대다수 국민은 전희경의원 말씀에 공감할것으로 본다.
41,MC염소              ,눈만 껌뻑껌뻑..ㅋㅋ 문재앙 친구 아니랄까봐 재정이누나도 똑같이 따라가나여 ㅋㅋ 그냥 발리네요..
42,empireofbaram              ,전희경의원. 항상 느끼지만 목소리 넘 좋은듯. 의원들 중엔 보기드물게 음색자체가 엑설런트임.논리는 대박. 예의도 대박. 멋져요!!!
43,워크문              ,희경이 매력있다
44,PIL CHOI              ,더불어민주당 이름 바꿔라.  더드러인민민주당으로.
45,김영희              ,전희경의원님 진정성있는 모습늘 응원합니다.
46,Onsook Lee              ,이재정 너를 지지하지얺아
47,유영천              ,전의원님  멋지다화이팅
48,윤경안              ,역시 전희경 화이팅 입니다 계속보고있어도 지루하지않아요
49,Moo Sic Byeon              ,전희경 의원은 뭘 먹고 자랐기에 저렇게 똑부러지는지 대단하네요 가만 있으면 이등이라도 할낀데 사람도 아닌것이 동물도 아닌것이 인간하고 대화를 한다 답답합니다
50,universe 7161              ,여전사전희경의원님 역시 멋지십니다.존경합니다..
51,jin choi              ,몇 번을 들어도 속이 시원하다!! 전희경 의원 화이팅!! 이재정 밟아 줘서 고마워요~~
52,Misuk Kim              ,전희경 화이팅!  속이 후련합니다.   건투하시길 바랍니다.
53,kyle Kim              ,봐도봐도 전희경의원님    정말 멋저요국회의원이라면  저정도 언변과 지식이 있어야지     이재정의원 밥이나 하세요
54,별자리              ,전희경의원님 존경합니다.👍
55,폭발한한국당홧팅              ,진실공방도 전희경님의또박성.외모도 더불어 민주당을 더듬당으로불릴만큼 니글니글한반면 전희경님의정숙하고 깨끗한자태
56,록건              ,국민다너희편아니다
57,애국정신              ,국민이 바보들이 많아서 민주당이 억지소리를 하는데 참 속에 천불이 난다 이제 나라는 망하는 길만 남았다
58,애순              ,이재정 국민이 판단한다고~ 사과하면 다하냐 절대7명 탈락이다 국민 한사람으로~~
59,박태용              ,다 들어 봤는데 전희경의원 정말 똑 부러집니다 답변과 주장 논리가 정연하고 군더더기 하나 없네요
