,ID,Comment
0,백순옥              ,전희경의원님 베리굿할말 딱딱찍어서 매우잘했어요....
1,야호              ,같은의원같은여성인데도어찌이리격이다를까~빨갱이에본질은죽어서도못버린다더니저민주당여자한심하다~전희경의원님빛나보이세요
2,전상민              ,전희경의원님 항상 멋지시고  똑똑하시고 최고의 의원 입니다 미친 좌파를 위해 노력 하시는것  너무나 감동이고 감격하고 있습니다
3,sun Ru              ,전희경 의원님 잘하고 계십니다!!!!강한 자유한국당 의원님으로써 이끌어 가주세요!!!!!!!!!
4,성이름              ,다불어터진당개의원은문제인청하대나팔수들더이상개소리신물난다.전희경 화이팅잘한다
5,김우평              ,토론 상대는 여당이 초딩이라면 야당은 박사급수준이라고 본다.여당은 거짓말과 변명뿐이었다. 전의원의 완승이다.
6,참된애국              ,두여인의 두의원이 품격이 저렇게 다를까요.....나라가 어려운데 히죽히죽 웃는것 조차 사치인것 같습니다.
7,ᄒᄒ              ,대한의여전사~~언제나 화이팅입니다 존경하고 대견해요
8,Avocado              ,.전희경의원님하구상대가되질않네요..전의원님.데모.선동.거짓에달인들하구이야기할여니답답하시지요.ㅋㅋㅋ
9,어울림              ,전희경의원 역시 인물입니다.여장부의 모습이 확연히 보이는군요.
10,비센크              ,더불당 제발좀 사라져라 정신좀 차리고
11,임임천규              ,미친 여당   아이가 ᆢ빙시같은 더불어당   해체해라쌀 값 오른거 모르나  가스나야 ~~~~
12,강도형              ,더불어민주당대변인 바쁘시네요 변명하기에 급급전희경의원님 논리정연한 토론 빛나는군요
13,에스티SeeYa              ,국민연금 부채 역대최고 기록하는 이시국에 대북지원?기록 세운거 읇어주랴? 뇌가 있냐?
14,mi nunu              ,지금 여러분은 팩트로 두들겨맞고 있는 민주당을 보고계세요^^
15,박필순              ,서민들은일자리돈이없서살기가힘들어죽게은데먼쌀을주시나 ㅡ당신들국회의원들돈거더서주셔ㅡ시하난당
16,en lac2              ,역시 전희경 의원님이 전투력이 최고네요.. 저 민주당 여자는 설득력  제로.. 상식  제로.. 전투력 제로..
17,코브라              ,민주당...무슨낯짝으로 기어나왓누?패죽여버리고싶네ㅋㅋㅋㅋㅋ
18,배리양              ,"국민 믿음, 멋진 진희경의원님!! 진의원님 출연하면 무조건 우세 ~~ 핫팅"
19,?우공이산              ,아휴 저 더불어공산당 어떤국민이 좋아한다고 공산당 피가 흐르는것들이 좋아하겠지
20,YINGZI ZHENG              ,더불어민주당은 정말 해산해야된다고생각합니다
21,김정익              ,전의원님.존경합니다 오십팔 폭동자 명단 공개하라 왜못하나요
22,성찬문성찬              ,진희경님 논리정연하다더불어당은 괘변은 말이 안됀다인정할건 인정해랴 더불당은외거짖말만  하느냐 여테까지북한에서 정은이는 약속한번지켰는 냐 최저임금 같은소리하지마라
23,manzanero armando              ,논리와 진실에는 전희경의원을 따를 자가 없지요왜냐 올바른 생각과 말만 하기때문임.  엄지 척
24,김성배              ,국민들의 아픔과 곤경을 외면하고 억지로 합리화 시키려는 더불어 민주당! 그리고 정권을 위해 맹신하는 아름다운 국회의원의 모습! 정말 찡하네요.
25,오뚜기              ,전희경!퍼펙트게임 완봉승!더듬어당 권의원 시작부터끝까지 남탓.허긴 대변인부터 저랬으니..
26,이장효              ,안경낀년은 뭐하는 년인가 전희경의원과정말 대조되네  전희경의원화이팅
27,forest sea              ,퍼주다가 적화될듯~!
28,Wolverine              ,더불어 문산당 쟤들은 답이 없는것들임.진짜 여기는 내전밖에는 답이없음
29,taNgo              ,권미혁의원 토론에 수준차이가 너무 납니다. 공부 좀하세요.
30,Myoungchel Lee              ,의원다운 전희경의원 화이팅!
31,forest sea              ,"웃기네!!   민쥬당! 이게 나라냐?? 쌀값 비싼데, 주적에게 퍼주지 말고,  남한 국민들에게 쌀지원 좀 해줘!"
32,kim sang kyeong              ,아이고미혁아  정리되지않은 말같잖은 소리 씨부리지 말고 입 다물고 한수 잘배우고 가르침 잘들었읍니다 하고 큰절하고 집에가라
