,ID,Comment
0,이글              ,토론하는자세와매너는패거리집단 더불어민주당답다!
1,sam sam              ,이재정의 저 빈정대는 구역질나는 표정과억지 본질을 감추려는 민식 엄마 핑계와 억지제정신일까 ???
2,임홍순              ,"이재정, 짜증나는 목소리ᆢ사회자는 한국당 때문이라는 용어는 매우  부적절하다."
3,강월선              ,전희경 화이팅!!!!!!!!!듣는 사람 속이 시원합니다.침착하고 차분한 음성으로 떠벌이 이재정 코를 납작하게 눌러 주셨습니다.수고 많어 셨습니다.힘내세요
4,4810 ns              ,재정아 여기가 선동 조작하는 방송이  아니다 국민은 너보다 먼저 알고 있다..
5,심용성              ,언론도  병적 ㅡ저  낮짝 과  정신병자  증상인제정 똘녀  보기 역겨워  지나갑니다 ㅡ전회경  의원님  멋지십니다.✌👏
6,rebeka Lee              ,반사래~~이재정의원은 초반부터 흥분하고 감정적이네. 용납못한다네. 독재자의 대변인같다.
7,dotree9              ,인간 쓰레기 이재정을  안보는 그날이 하루빨리 오기를.
8,yoon자유지킴이              ,전희경 정말 한국당 남자 국회의원 50명 합쳐놓은거 보다 낫다
9,황금사자              ,이재정은 자기가 엄청 똑똑한 줄 안다.어쩔수 없다.남 의견 안 듣는다.
10,"거리찬양,예수동행              ",전희경의원님 최고 최고입니다.국민의 소리를 확실하게말씀해 주셔서 감사합니다.늘건강하시고 최선을 다해주십시오. 기도하겠습니다.
11,Su J              ,이재정 국민밉쌍. 내가 한국당으로지지를 바꾼이유다 민주당 표떨어지는소리가 안들리나. 이만큼선진국이면 품격이 있어야지
12,박건우              ,민주당 이재정 이는 인간 말종으로 생각합니다 .
13,사필귀정              ,와 저봐라 이재정이 태세전환 우디르급임 저여자 천한여자임 토론태도봐라 참 없어보임 중간에 톡톡 튀어나와서 말하는거 봐라 진짜 교양이라고는 조금도 없다 ㅋ
14,doldol 80              ,이재정 이분 정신분석이 필요한듯! 살다살다 이렇게 흥분을 주체 못하며 궤변으로 일관하는 토론하는 정치인은 처음 봅니다.
15,jae youn              ,"이재정 말도 안되는 인간,  누가 누구를 가르치냐?"
16,Eunbit Yu              ,이재정 저여자 정말 쌈질하러나왔나? 화딱지나서 더 이상 못듣겠다 ㅁㅊㄴ
17,Peter Yoon              ,이재정은 사형으로도 죄값을 다 갚을 길이 없다. 대한민국 헌법에 역적은 사형입니다
18,허창옥              ,투표한번 잘못하면 나라가가 망하고 투표잘하면 나라를 살린다 국민은 투표 킅나은 순간 노예로 변한다ㅡ우리 국민들 모두 정신차리고 냉정한 투표하자
19,박진석              ,한쪽은 그냥 말싸움수준토론의 품격 급이다릅니다.전희경  의원님  화이팅!!!
20,박동진              ,이재정 불리하면 맨날 민생이래짜증난다.오늘 전희경의원의 압승이다.차분하고 논리있게
21,신호철              ,재정이  얼굴 찌그러진다.전희경화이팅.울어라 재정아.통곡하라 재정아.너는 피눈물을흘려도물감으로밖에 안보인다.
22,악마천사              ,역시 애국투사 전희경위원  입니다이재정은 아직도 멀었다 공부좀 많이 해라 억지만 쓴다고 잘하는게 아니다 무식자
23,jung lee              ,이재정 아직 박근혜 전대통령  씹고 있느냐?  정신차러라 민주당은 어거지당이다. 선거법바꾸고 공수처 만들어 장기 집권 꿈도 꾸지 마시요.
24,여나              ,재정아 제발꺼져라기본이 안된인간부모교육이부족
25,김재이              ,마귀할멈격 이재정대변격에 미달이 미친녀어각재정아 부크런 건 아나봐전희경대변인  말막지마 재정아~~~~~국민을 바보라고 생각하니국민 똑똑하다 재정아국민은 전희경대변인 합리적이고  응원합니다
26,박화순              ,이재정의원은  왜 독재정권으로 가는것이 원한건가 공산당국가로 만든것이 원해서 저렇게 발광날띄는것이겠죠.
27,권용훈무궁화방송              ,감성 팔이 장사는 잘하는더러번당 이것들이 무슨민생을 말할자격이 있나
28,hyejung Kang              ,싼티 작렬하는 이재정같은 여자를 대변인이라고 내세운거보니 참 인물없나보다~전의원님 압승~^^♡
29,강승희              ,유제수  네  이년 온통빨강 이로물들이는   저주둥이재갈을 물 려야
30,양차박              ,명품과 싸구려가 분명히드러나는구만!전희경👏👏👏👏👏
31,여용범              ,전희경의원님 통쾌했습니다!!
32,김은숙              ,이재정 너무나 경박하고 천박스럽다  전희경의 상대가 아니다 시끄럽고 수다스럽다
33,황연규              ,이재정 자는토론을 할줄 모르네 저사람 그만 나왔으면   짜증 나네
34,서동훈              ,"공수처법, 연동형비례제, 결사적으로 막아야 합니다. 황교안 대표님도 목숨 걸었 습니다. 이 나라 북한처럼 되지 않아야 하기 때문입니다. 좌빨정권의 음흉한 음모를 분쇄해야 합니다.멸공!"
35,유우현              ,전회경의원님께 부탁드립니다 저 질낮은 이재정 천한저것하고는 맞상대토론은 하지말아주시면 감사하겠습니다 저런것하고 마주앉은것자체가 저런것하고 같은격이되는것아닌가요?
36,꼼꼼이              ,이재정 국민 속이지말고 진정성잇게.토 론해라   전히경한테 1부터 배워서 나와ㆍ라. 무대포 대변인. 부끄럽겟다
37,돼지나비              ,재정이 참나  머 저런애가 다잇냐 ㅋㅋ 웃음만 나온다 진짜
38,Jack Oh              ,"이재정 얼굴보면 소화가 안되, 진짜 재수없게 생겼어"
39,이명옥              ,이재정 입에 붙은 따발총 무식하게 쏴대지 마라 논리도 없는 억지 따발총
40,땅거지              ,"재정아! 답답하지?수가 없으니 너가 생각해도    답답하지~,이런 사람이 궤변을 하니재수가 없습니다.정신 차리세요."
41,파라곤              ,이재정 이분은 초점이 먼지 모르겠내요 이런분이 국회의원 더불당 너무 인재가 없습니다  한심한 여당 더불당.
42,dunkky              ,ㅋㅋㅋ 저 못생긴 여자 집에가서 이거보면 얼마나 쪽팔리겠냐 정말..  아나..  클라스차이가 너무난다..
43,김태진              ,저여자가 비례대표인 이재정이란여자가 저런꼬라지를보면 비례대표제를 없애고 딱270석 지역구 만 뽑아야된다 비례대표제 없애라
44,산산              ,이재정 말은 이해 안된다.선거법 상정 안하고 민식이법 먼저 의결하면 되지 않나?
45,SUNG KEUN Kim              ,이재정은 전희경의 상대가 안된다.역쉬 전희경 뛰어나네!!!!!!!!!!!!!!!!
46,김대용              ,전희경 의원님 여러 방송에 자주 출현해서 저 한심한 더불당 국개의원들 작살 내 주세요 이재정 저여자 정신이상자 ㅎㅎ
47,jooho lee              ,이재정 이녕  목소리만 크면 장땡인가 ?   무식한녕이네   우기기 선수 이재정   눈물팔이 하고 있네   이재정 xx녕  :   전희경 의원님  화이팅 입니다
48,코사장              ,저썅년 말하는건 욕 없이 들을수가 없다. 이쁜 전희경의원 보려고 봤는데 편집해서 보고 싶을정도임. 존경하는 전의원님 고생 많으셨습니다.
49,야구              ,재정이 저여자 왜 저렇게 흥분하냐?말을 하다가 딸리면 흥분 하더라!
50,geno P              ,【우기는 재정이】 -말과 행동이 너무 다르며 품위 없고 저질인 재정이【최고의 여전사 전희경】-논리적이고 격조 높은 전희경의원님비교되네요! 아예 토론의 상대가 되지 않습니다. 화이팅입니다!
51,김진영              ,이정부   자체가 사기대통령  사기정부다   다 쓰레기 집단이다  너를 엄중히 경고한다이재정   집에 가라
52,마이크펜스              ,이재정 흥분해서  부들부들대는거 귀엽네 ㅎㅎ    그와중에 전희경의원님 포커페이스 하는거보소 ㅎㅎㅎ 역시 상대가안된다 상대가  ㅎㅎㅎ
53,jong chul shln              ,이재정씨는 말만 많이하면 좋은줄 아시나 속사포를 쏘시네.
54,정분옥              ,"이재정, 막 나가는구나. 토론을 이따위로 하는 저 레벨."
55,justice              ,이재정 이여자는 토론의 기본상식조차도 습득하지 못한 못배운 여자....
56,구름속의비              ,"전희경의원 최고 말도 아주 조리잇게 참 잘해, 이재정 참패 ㅋㅋ"
57,김상진              ,민주당은 내년선거때 없에버려야 대한민국이 자손대대  번창할것이다
58,12월의봄비              ,무식과 유식의 대결. 더불어공산당은 자폭하라!!! 감히 전희경 의원과 토론을 해? 웃긴다.
59,소나무              ,터불어 공산다은  모조리 칙살대상입니다  공산화  세력들  ᆢ너무 한심하다 이재정실력이 고작 그것 뿐이냐  ᆢ에라튀다
60,정두리              ,이재정이 따따따 거리는게 꼭 발악 하는거 같다 토론자들 이론이 딸리는자의 트릭 수법이다 논리도 맞지 않고ᆢ
61,김신애              ,아이고 시끄러워라재정아 좀 배워라 진대변인께니 얼굴보면 혈압오른다
62,Ok Sukim              ,전희경의원님 진정한 대한민국 애국자이십니다 이재정 좌파들의 말빨빼면 입이없지 니내 좌파들의 연탄과 똑같은 속마음 이북으.로가 쑈통하지말고 입닥쳐 말같지도 않은 거짓말
63,봉산개도              ,전희경의원은 역시 자유우파의 매우 중요한 자산이다. 응원 합니다.이런 분들이 국회에 많이 진출해야 자유대한민국을 지킬수있다고 생각한다.
64,산까치              ,이재정 양심좀가져라 자꾸 우기지말고 좀 공부좀하고목소리 자체도 듣기싫다이정부 하루 빨리 무너졌으면~우리우리 국민말좀 하지말라개짜증 ~
65,js y              ,이재정 저썩을것  무식한 싸움닭  퇴출시켜야합니다  떠나라 자격없다 비리의온상 비리의 종합셋트 떠나라 자격없다
66,박재송              ,이재정너무 흥분하지 말고토론을 해야지 극성만부린다고 될일인가정말  짜증 나네
67,정연삼              ,이재정 저런 여자와 사는 남편이라는 어떤 사람인지?정은이 후처인가
68,H. M.              ,이재정은 한참 멀었다.진희경한테 상대가 안된다!진희경 압승!!!
69,Hyo Baek              ,전희경 설명잘하심니다 감사합니다
70,윤영숙              ,이재정 이여자 왜이래 막말의 대장 이런여자 다음국회  아~~웃
