,ID,Comment
0,정의로운사회              ,우상호의원님~~자한당에게 절대 굴하지 말고 굳건히 밀고나가세요~~지지합니다
1,딜런              ,우상호 의원 항상 응원합니다 국회 의장까지 9선하십시요
2,Welt              ,"우상호 의원 들으려고 왔습니다. 이한렬 열사 얘기 들으니 눈물나네요. ""민주주의 하얀 꽃이 피웠다"" 민주주의를 위해 묵묵히 싸운 우상호 의원 존경합니다."
3,Christina Ho              ,우상호 의원님 땜에 들어 왔네요 몇 안되는 kbs에 제대로인 프로인것 같기도 하구요
4,changsu bae              ,우상호 대단합니다. 우리들의 지금 누리는 민주주의 당신들께 감사합니다.
5,changsu bae              ,우현. 이분이 이런 훌륭한 분이...었네..연기도 잘하고.
6,Doyeon Lee              ,그때 동참하지 못한 부채의식이 있습니다  그래서 늘 민주운동권에 대한 존경심과 미안함이 공존합니다 미안하고 고맙습니다
7,난써니              ,따뜻한 우의원 아저씨 반가운 마음에 왔어요 선배님 이시라 더 친근하게 보입니다
8,토선하              ,왜구당의 뿌리 전두화니당 이노옴들 부끄러운줄 알아라
9,지금실천하기              ,청년들과 정치에 관심없는 분들이  꼭 봐야할 인터뷰네요
10,Eunkyoung Kim              ,우의원님 팬이 엄청 많네요 ㅋㅋ저만 조아하는줄 ;)언제나 응원합니다
11,초이크리스탈              ,연대앞을 지나가는 버스를 자주 이용했습니다~보도블럭이 하루도 제대로 붙어 있을날이 없었고 매캐한 최루탄 냄새에 눈물 흘렸던 적이 하루이틀이 아니였는데... 민주주의를 위해 투쟁했던 이한열열사 우상호의원님같은 젊은 청년이 있었기에 살만한 세상이 되었군요^^
12,짱캔디              ,그때 그시절 학생시위 말씀 들으며 눈물이 흘러 내립니다고맙습니다 민주주의 이끌어내주신 여러분들 사랑합니다
13,양반희              ,"껌껌한 곳으로 잡혀가고, 군대 보내지고, 제적당하고...인생과 영혼이 통째로 꼬여버리던 젊은 영혼들"
14,Grace Kim              ,"우상호의원이닷 !!! 🤗홍준표, 이시대 민주화를위해 자신들을 헌신한 이들을 농락하지말라!!"
15,K H              ,우상호님 반갑습니다나도 이한열열사 사고후 계속 이한열열사 시청앞노제후 그리고 광화문진출까지 ... 그시절만생각하면 해외생활30년이됐어도....그래도 그시절 그현장에있었다는 자부심이 위로를해주네요피신했던 회현동냉면갈비집 할머니생각이 나네요
16,김은영              ,우상호의원님~ 항상 응원합니다! 저도 6월이면 광주 금남로에 날마다 나가 데모했던 그 때가   떠오르네요. 이한열의 고향.
17,changsu bae              ,전두환 노태우는 오래오래 사는데..저 학살자들을 빨리 데려가라.
18,긴휴가              ,우상호의원 보려고 들어왔어요
19,김지혜              ,독재와 싸운 열사들 눈물나네요
20,ka yi              ,천벌밭을 책임자들  하나님 부디 저런악동들 좀 벌해주세요  이한열을 죽음에 면류관을 주셔서 온국민의 가슴에 안고 기억하게 하소서 !!!!!!!!
21,고의석              ,"제가 연대 84학번인데 그때가 저도 2,3학년 때 같군요.... 기억이 새록새록 납니다.. 항상 교정울 지날 때마다 최류탄 냄새때문에 울고 지나갔던 기억이... 전두환 같은 악마같은 인간의 욕심때문에 그렇게 힘들게 살았던 사람들에게 박수를 보냅니다.. 우상호의원님이 지금 멋지게 의정활동하고 계시는게 보기 좋습니다.. 제가 사는 곳이 서대문이라 우상호의원님을 뽑았었고 앞으로도 뽑을 것입니다."
22,고락              ,이상호의원님 보려고 들어왔습니다. 가슴에 아픔을 가지고 계셨군요. 그 부채의식을 가지고 나라와 국민을 위해 애써주셨고 더 애써주세요~^^
23,Sarah              ,민주주의를 위해서 생명까지도 바치는 분들께  평생을 울겨먹는다고  하는 홍영감탱이같은 나베당 것 들은 나라위해 한게 뭐지?
24,김지혜              ,우상호 의원님 응원 지지합니다 ㆍ화이팅
25,문덕순              ,우상호의원님좋아요.❤❤❤❤❤❤❤
26,ka yi              ,믿을수있는 아저씨들 모두 하나님께서 보호 하실겁니다  약한분들의 친구되시는 정관용님 우상호님 복밭으세요 멀리서 인사드립니다!!!!!!!!!!!!!!!!!!!!!!!!
27,k가리지마              ,수구세력들 물리치자얼굴마담은 필요없다깨어있는 의식으로 잘좀 투표 합시다
28,양반희              ,학교 근처 곳곳마다닭장버스와 방패든 전경이 지리하고도 긴장한 채 대기하고 있던 ...콩콩 두근두근... 팽팽하고도 가슴아리던 그 시절...
29,난써니              ,저 쓰레기 집단  인간들은저 시간에 뭐하고 있었을까요
30,k r              ,우상호의원 말씀 듣다보니 6월 땡볕에 광장에 앉아있었던 날이 떠오르네요죽 써서 개 준 격이 되버렸던....
31,슈크림              ,우상호의원님 응원합니다👏👏👏👏👏
32,천사맘              ,우상호의원님 응원합니다.더불어민주당 지지합니다.
33,문경하늘농장TV              ,우상호 의원 늘 응원합니다....이야기만 들어도 감동이네요...저도 민주화막바지에 조금 대모좀 했습니다....ㅠㅠ
34,duk park              ,여기에 김진태가 온다고 하네요 돈 줘도 안 가는데 밥값가지고 오래요  우리가 먹통인줄 알어
35,난써니              ,우현투쟁위원?ㅋ 너무 무서운 ㅋ
36,changsu bae              ,"자유왜구당 이것들을 용서할순없지만 진보당은 왜 보복을 못하나?성질 같아서는 정권 잡았으면 관련 독재자들 모두 잡아들여 복수했을텐데..김대중, 노무현정권때 봐주니 이명바그네때 탄압받은것 아닌가?문정권은 저들을 용서하면 사면하면 안된다. 법어긴놈 찾아서 모두 법대로 처리해라,"
37,유명숙              ,민주당에우상호의원님이계셔서안심이되네요.
38,ky01124              ,정말 고맙습니다
39,이주화              ,우상호홧팅!
40,장jsn              ,우상호의원님 다시 보게 됩니다~ 말씀을 잘하신다 생각을 했는데 ~역시
41,김주현              ,밤늦게술쳐먹고택시타고집에가면서하는소리요즘경제가많이어렵지요자기는무슨돈으로술쳐먹고다니는데경제가나쁘면집구석에쳐박혀있어야지
42,hong hong              ,우상호의원님 멋지세요
43,권비움              ,"듣기만 해도 눈물이 납니다, 여전히 남아있는 부채의식은 앞으로도 사라지지 않을 것 같습니다"
44,이승훈              ,우리 지역구 의원님 존경합니다저는 태우 발표하는12월17일 제대했음세상을 너무 몰랐었어요
45,김근우              ,"1987 대선은 정말 어처구니 없었다.단일화 못한 두 김씨 탓을 하지만 난 그것도 없지 않지만 무엇보다 우리 국민들의 역사인식이 형편 없었슴을 알았다.어덯게 노태우를 당선 시킵니까?김영삼이 미우면 김대중을 김대중이 미우면 김영삼을 차선책으로 선택을 하지않고 단일화 하지않은 인간들이 밉다고 노태우를 선택하는 것이 바람직 했냐,반문을 하지 않을 수없다.하기사 지금도 자한당을 지지하는 모지리들의 역사인식을 보면 이들정도의 사유능력은 일제시대를 편안하게 통치 할수 있었다고 본다."
46,대한국인              ,그때 애국인들이 참 많이 활동했고 미친개들 때문에 희생도 많았고 .완전 후진국 미개한 때였지 그때도 뭐가 뭔지도 모르는 미개한 것들도 많았고  ㅠㅠ  이제야 민주주의가 어떤건지 의식이 깬 국민이 많아져서 다행^^
47,Sjqbabaj Shsiwu              ,"이한열님,최고장하다,박종철님장함니다,다음새대들이여두분의장함,을잊징맙시다"
48,채송화의 꿈              ,우상호♡안내상♡우현 나온 우상호tv보고 왔어요. 잼나는 3인방..개인적으로 안내상 배우 너무 좋아하고 우상호의원도 엄청 존경합니다. 세분 대학시절의  뜻 김문수같은 넘처럼 변절하지 않고 다른 자리에서 실천하는 모습 멋지네요. 묘향산 여행 저도 가고 싶네요. 이제 다른거 보려다가 정관용 앵커의 목소리들으니 또 빠져있습니다. 정과용님도 쵝오!!!!
49,김상철              ,민주화운동을위해자기온몸을바친  이들의불굴의정신길이빛나리라
50,David              ,우상호 의원 화이팅입니다
51,푸른하늘              ,우의원님 고맙고 감사합니다.
52,이하영              ,전두환이 이놈은 안락사 시켜야  한다.
53,ᄋᄋ              ,그당시 애써주신 분들께 진심으로 감사합니다.
54,김광자              ,직선제는 피의댓가로
55,liam trotsky              ,두 분이 62년생 동갑임에 놀랍니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한 명은 서울대 회장 출신 한 명은 연세대 회장 출신 ㅋ
56,김흥수              ,시청내내 눈물이흐릅니다
57,김광자              ,참 우상호의원님 힘내세요 눈물이 나네요
58,김경화              ,민주화 항쟁했던 모든 분들께 고마운 마음 전합니다.
59,조연희              ,나라걱정 안되는 정치를해야지요~~ 의원님들!
60,luis chae              ,"노태우를 뽑은 경상도놈들이  죽일놈들이지 뭐,,,ㅉㅉ"
61,우영수              ,종씨입니다존경합니다
62,Lee mh              ,기성정치권에 입문한 소 위 학생운동권출신 의원들 기득권과 향락에 취해 당시 꿈꿔온 이상 헌신짝 취급말고 현난세를 돌파할  변혁의 추동력이 되어국민들의 기대에  배신말 기를
63,이난순              ,우상호 의원님 정말 지지 합니다
64,이성실              ,경원이는승진한다면.지.애미.애비도.각내서떳어먹을가시나다
65,청해송              ,김씨돌씨는?
66,이선용              ,운동권 출신이 왜? 일찍이 깨어 직접적으로 행동한 이들이 부럽냐? 그럼 진 거다 ㅎㅎ
67,담보보              ,우상호 떨고있니!
68,한다나              ,🙆‍♂️🙆‍♀️👨‍👩‍👧‍👧😘👍👍👍👍👍구독찍고갑니다.
69,김근우              ,우의원 전두환씨를 대통령 이라고 호칭 하는게 거북합니다.
70,계산월드수호천사              ,여혐에는 좌우가 없다더니. 실망입니다.
71,Kuchul Jung              ,룸쌀롱의 산증인은 아니구요?
72,조연희              ,지금은 독재를 말하면 뭐라고말할수 있습니까??~ 우의원!
73,Kwange Son              ,6월이 되면 25일에 일어난 북괴의 침략도 생각하며 많은 희생자들도 추모해야 한다
74,전병현              ,우상호! 니 삶을 미화하지 마라!
75,반피들에게 큰외침              ,우상호를 좋아했는데 개독교인 이라꼬 하니 discard 이다.. 관심무
76,정인교              ,민주화운동 그시절엔나름 순수하였고 학생운동이 기여한 공은 있었다고 보것만기성정치인 으로서 운동권 친구들  !  나라 정치는 왜 순수하지  못하고 ?너거들이 개판~치고있느냐 ?정치라는것은 !  데모나 하던  너거~들이 할일이아닌것 같구나  !나라가 점점 폭망으로 가고있지 않느냐 ? 운동한다고 피곤 하였으니푹~쉬도록 하면좋겠구나 !
77,Ted              ,"30년이 더 지났는데 아직도 과거에 머물러 있군요... 당시 군부 세력들이 잘했다는 건 아니지만....언제까지 피해의식에 머물러 있을건가요?김대중 노무현 그리고 지금 문재인 정권까지 되었습니다. 이제는 과거의 상처로 부터 나와서 현재와 미래를 살아가시길 바라는 마음입니다."
78,조연희              ,진정한 조국을 생각하는애국자면 지금나라실정에 대해서 어떻게 봅니까그때보다 나아진겁니까?잘하세요~  나라와국민을생각하는 열사로 역사에판단할수 있는것을 생각하십시오~~
79,정답              ,"민주화운동을 민주당만 했다는 착각...자유한국당에도 민주화열사가 많다...문제는 민주화운동권들이 현재 남아 정치를 한다는게 문제다...운동권은 운동권으로 남아야지 무식한 식견으로 경제,정치를 좌지우지하려하니 나라경제가 이모야 이꼴이지...제발 그만 우려먹자...."
