,ID,Comment
0,나는 평범한 사람              ,"검찰이 정부에 개네, 아직도 박씨의 검찰에대한 영향력이 대단하다"
1,Kum Shin              ,대안은 박근혜가 감옥가는 것이다.
2,Doyeon Lee              ,michixxx나라가 망조가 들었지.
3,나는 평범한 사람              ,얼굴만 확인하면 되는데 옷을 다 벗겼다는 말이 정확한 표현이네
4,Sun Ho Kim              ,TV 조선 왠일이래?
5,wonkyoo seo              ,새누리당 없어지겠네
6,jinny k              ,조웅천의뭔님 몸소 정의를 보여주셔서 고맙습니다!!응원합니다
7,이승 용              ,조응천 의원님 앞으로도 정의편에서 일해주시기 바림니다.
8,DOSA SU              ,조응천 의원님 존경 합니다. 성공 하실것 입니다.  끝까지 지지 하렵니다.  화 이 팅 ~~~~
9,高談峻論kim              ,사람이네... 진짜 사람이라고 생각된다. 조응천의원님 힘내세요.
10,Suk Hallett              ,"일반 통행들은 서로하는 것 아닌가,  자신 각자들이 생각을 좀 해 보았음 한다.  자업자득이라 본다."
11,BSH BAEK              ,박근혜/최순실 사건 이후에 제 정치적 관점이 많이 달라졌습니다. 조응천의원님 끝까지 정의로운 사회를 위해 힘써주십시요. 저같은 사람도 끝까지 응원하겠습니다!!!!
12,나의한마디              ,조응천의원님 안녕하세요^^~ 검찰도 결국 그네끄나풀
13,Flow Keep              ,모르는 국민들이 없는데 손바닥으로 하늘을 가리려하니   쯧쯧    개돼지 처럼 짖다 말 것 같지만 과연    역사를 봐라 다 비참한 말로로 끝났다.
14,test              ,알바가 여기도 많네
15,오은주              ,정의롭게 앞장서 주시니 감사합니다
16,강영주              ,응원합니다 ᆢ조응천의원님!!!♡
17,marian yook              ,박종진   님   시원 시원하게 푸로진행   잘 하십니다 .속이 시원 합니다 .  감사합니다 .
18,김주영주영              ,힘 내세요?
19,이희정              ,끝까지화이팅입니다
20,iscariot judas              ,갑들의 힘은 막강합니다. 마치 다윗과 골리앗 싸움같은 것. 기적같은 일이 일어나기를 바랍니다.
21,best fire lee              ,친구ㅡ이석수 님에게선의의 전화도 못하고웃기네요ᆞ전화압수남발ᆞᆞ언론의 자유없네요ᆢ
22,당당한국민              ,새누리당은 뭘해도 안된다ㆍ아직도 정신 못차리는 무뇌충들
23,불독              ,조응천의원님^^힘내세요~응원합니다~~!!!
24,정성심              ,서울교육의 꽃Bkuesky정성심작가 매우감사합니다 ~^^
25,나의한마디              ,제휴대폰 갖고가봐야 뭐 나올게 없다는게 너무 감사하네요^^
26,ya ho              ,횟집하는게 뭐가 그리 대단한 일이라고 저렇게 발언하는거야 누가보면 마누라가 노가다라도 뛰는줄 알겠네
27,best fire lee              ,이런.우수석핸폰 압수안하고ᆞ
28,심상숙              ,조웅천의원님장제원즘쪼차내세요힘내세요
29,fido 16              ,사회자진행이 개판이구나.
30,김재영              ,내부 고발자나 정부 비판세력들만 모여서 뭐 하자는 건지 니네들이 하면 잘 할거같지 뽕이다선거 앞두고 열심히 정부 비판하면 거둬가되 뒷일이걱정된다
31,김kb              ,검찰이 등돌릴때가 안됐나 임기말 누수는 검찰태도부터다
32,박영훈              ,청와대 박근혜의 시다바리들 새누리
33,토끼달를삼킨              ,속지말자 탈당안한고 액션까는애들 하는애들한테 더는 속지말자 최소새느리탈당한 애들은 비박
34,이백순              ,두번만 국민생각해더라면  다잡아먹을번했네
35,Benvissuto sungsam              ,"박종진,맘에 안들지만,힘내세요."
36,klm여호수아              ,민주당 추미애 대표박지원 대표 당신들 정말의롭고깨끗하면 대통령 을 돌로쳐라 두분다나라가잘못되고 대통령 이 결단나야속이 시원하겟지요 그래야 정권을 너네들이잡지 .....
37,박영훈              ,조선은 기회를 갖게 될것이다. 박근혜를 이제는 까라 까엎어라. 국민의 명령이다.
38,B Paul              ,"나라가 우스개 꼴이 되어도 , 박그네에게 꼼짝못하는 검찰,  참 대단들 하다...."
39,nolifia ghndkudze              ,마음에 와 닿네요.. 응원합니다..
