,ID,Comment
0,okjoseph Kim              ,더불어 압승 기원합니다 나라살리는 길
1,다빈치코드              ,"곽쌤,예상 틀리시길~~  열린민주당 10석이상 될 것입니다^^ 희망사항입니다 ^^^"
2,이에스더              ,150석 민주당17석 시민민주당15석 열린민주당희망입니다~~~ㅎ그러나 꼭!!!이러하길 바람~~ㅎ
3,ms j              ,제일 변수는 윤석열이가 사고칠수있어요 예의주시하세요
4,miracle              ,통곡당 망해야 한다!김부겸의원님 힘내십시요! 고담대구시민들 답이 없네요!
5,이수니              ,전 열린당 최강욱후보님 열열한 팬으로써 이번 당선되면 떡해서 주위분들이랑 나눠묵을 참입니다 ~~ㅎㅎ
6,최승순              ,언론의  입만  정직하면200석은 충분히 가죠.
7,정의종              ,정말 검찰과 언론만 중립이어도 민주당 과반수는 당연한건데솔직히 좀 쫄리네요....아직도 미통당세력 지지자들이 40%정도는 있다는 게 너무 어처구니없기도 하고....민주당 과반수이상에 진보세력 교섭단체가 제발 성공하길 바랄 뿐입니다.
8,changsu bae              ,제발 투표는 내일이 아니고 이놈이든 저놈이든 나한테 상관없다는 마음 갖지마세요.정치를 우리가 관심두어야 나라가 바로섭니다.지금 우리 정부도 긴장하고 잇어서 이번 코로나 대처 잘한겁니다. 박근혜의 세월호때 메르스때'대처 못한것 반면교사로 문정부는 미리 준비한것이 잘된것입니다.
9,jungki kim              ,대전시민 한 사람으로서 민주당 대전 7석 중 6석.. 세종 2석 중 2석 유력해 보입니다.
10,B B              ,푸른나무님 유튜브를 알게 된지 얼마 되지않았지만 많은 도움을 받고 있는 독자입니다..두 열정적이고 순수한 평론가의 진행을 잘듣고 있습니다.성수와동수의 날이라는 네임보다 성동격서라든가 양수겹장이라는 네이밍을 하면 더 재밌을 것같습니다..늘 고맙습니다..나라가 국민을 갈취한 이명박 박근혜 국정농단 마피아가 청와대에 또아리를 틀고 극우의 광풍을 휘몰아치던 우울한 10년이 지나 여전히 남아 독을 뿜어대는 적폐 세력의 독기에 나라 안팎의 상황이 얽혀 서민들의 경제적 삶은 아직 어렵지만 그래도 님들과 같은 선각자들이 있어 지금은 행복하게 살고 있다 생각합니다..
11,신의한숨              ,왜구들이 100석이나?대구 경북이 문제구나 항상!
12,Mi-Hyun Lee              ,대구. 정말 답없는 도시 맞는거 같네요.
13,방아타령              ,"윤석열을 잡을 사람!최강욱, 황희석!"
14,이로빈              ,자만은  금물...무조건 마지막까지 겸손하게낮은 자세로 최선을 다해야죠.
15,정영호              ,난 대구 살지만 1900에서 200석은 무난 할거라 봅니다~~ 친일파 척결 정치검새들 친일매국 언론들 척결 할수 있는 기회란거  국민들 다 압니다~~
16,다옴              ,"마음은 성수 쌤, 곽쌤 말씀보다 더 획득했으면 좋겠지만 말씀하신 만큼만 획득했도 좋겠네요. 제발 압승해서 코로나 19와 함께 토착왜구 및 기레기 판검새 등의 적폐 양아치들이 모두 사라지기를 소망합니다.더불어, 열린민주당은누구도 예상 못한 최소 20% 득표를 기록해주기 바랍니다. 화이팅"
17,鬼流星              ,대구는 평생 미똥당의 노예로 살 운명인갑다.
18,이외철              ,너무 자만하면 안되고 끝까지 최선을 다하시고요 절대 미통당한데 1당주면 안됩니다 ᆢ
19,정영수              ,성수씨의.예상이.결과로.이어질가능성.높구요동수씨의.예상은.잘못된.판단이다열린당의.의석이.최소.10석이고쩔수당은.6석.불가능하고.정의당.3석우리.민주당은.최소.160석을차지할것으로.판단됨
20,구십구평              ,내가 정리 해줄깨 민주당 155~160석  좌파개열 야당 20~25석~~~~~
21,두현              ,솔직히 미통당은 100석 지역구도 아까운 수 입니다.. 과거 역사.. 반성.. 쇄신..는 커녕 문재인 정부 3년을 아무것도 한것 없이 그저 발목만 잡았던 개 쓰레기 같은 놈들이라 생각됩니다.. 새날 늘 즐겨봅니다.. 함께 응원합니다...
22,이모님              ,윤석열이 매일보고 받는다는데 윤개를 믿어요??
23,M.K SUNG              ,이번 한일전에서 꼭 이겨야 합니다!!!
24,은지김              ,김성수님 생각에 동의기 갑니다. 곽동수님은 사감이 너무 많리 들어갓네요. 평론가로서 좀.. 암튼 푸른나무 새날은 좋아요♥
25,이모님              ,통합당 72석 or52석
26,JH J              ,"다른 건 겸손하게 받아들여도....정의당이 지역구 모두 실패, 비례 1~2석도 간당간당은.....빼박이라고 본다... 정의당은 끝났다.."
27,김현우              ,대구 경북 미워하자니 우리 조상들이 천년이 넘도록 살았던 곳이니 말이다.어째스까.
28,공진석              ,안원구씨도 들어 가야 합니다~~~~~
29,백라이언              ,동수가 감이 마이 떨어졌네...ㅠ그나마 성수가 감각이 좋네♡열린민주당 19석더블시민당 11석더블어민주당 150석 이상~~~~
30,모든건상식이답              ,열린 민주당지지자들땀시 진보쪽 투표율 대박날듯여.이번 비례문제에 열린민주당이 불을 지폇네여.
31,TerGu              ,"김성수평론가가 언급한 이재명 시장에서 시작된 재난지원금 정책이 ""선의의 애발란치 효과""로 전개되는 것은 민주당에 희소식이 아닐 수 없습니다."
