,ID,Comment
0,김호성              ,할배가 그래도 선거막판 적폐들에겐 염장을 국민들에겐 웃음을 주네요
1,김정환              ,김종인씨는 이쯤되면 민주당을 위한 스파이 자처하신 듯 ㅎㅎ 저번에 현충원에서도 민주당 쓰실려고 민 자 썼다가 박박 그으셨던데 ㅎㅎ
2,hay min0818              ,김종인의 마음의 고향은 민주당 이다. ㅋㅋ
3,moonpower              ,바꿔야 산다고..? 김종인 이 늙은이가 노망이들었나.. 지난날 미통당(자한당)이 메르스사태와 세월호참사 때 국민들을 상대로 어떤 짓을했는지 모두 기억하고 있는데.. 뻔뻔스럽게 어디서 표를 구걸해.. 비열하고 야비한 놈들..!!!
4,누가_기침소리를내었는가              ,종인거사...감사합니다.  결국 큰그림이 있으셨군요
5,이정구              ,새날화이팅 언론개혁 적패청산 검찰개혁 토착왜구청산 필승
6,어흥              ,"몸은 그곳, 마음은 여기????"
7,HanPyul Kong              ,김종인옹은 치매기가 있어 그렇게 말한 것일수도 있고 미래통합당 자체가 막장이라서 포기한 것일수도 있어요.
8,박뜻대로              ,알겠습시다!!더불어 민주당을 많이 찍겄습시다~~!!^^
9,김대진              ,김종인님의 큰그림마지막 개혁에 불쏘시개
10,롤링베어Vlog              ,어르신이 말씀하신데로 투표 완료 ㅋㅋ
11,happy88 19              ,"김종인  코미디라도 이런 코미디가 어디있어요. 노망인것같애요. 근데 발언은 참 좋네요.민주당이 과반이되게 뽑아주시라고, 그래야만 문재인 대통령이 후반 국정과제를 잘 할수있다. 대찬성! 박수 짝  짝 짝  철새 과 ㅎㅎ"
12,데이비드가렛              ,밑똥당에 2020선거 계획은???😆😆 막말은 막말로 덮어라 선거병법???😆😆😆에도 있겠지???할배는 마이크잡고 민주당을 국회로 보내달라 그러고 또 한놈은 맨발에 세뱃돈 달라고 신발까지 벗고 절을 하질 않나ㅋㅋㅋㅋ 진짜 웃겨서 배꼽잡고 웃고있다 코로나로 우울증 걸릴뻔 한걸 밑똥닭들이 돌아가면서 웃겨준다😆😆😆😆😆😄😄😄😄😄😊😊😊😊😊😊
13,Sam              ,"ㅎㅎ. 푸나님은 항상 ' 그 이야기는 이쯤 하시고'ㅎㅎ.  서울생활 그렇게 오래 했는데, 광주, 나주 악센트는 안고쳐지나봐요.ㅎ  아무튼, 열일하십니다."
14,nam hoon kim              ,"더불어민주당,  가족 이웃 형제 지인들  다들찍게 설득하고 동의구하고 추천하고 즐첵 까지 시켰읍니다 제가 혼자 찍게만든 표가 최소한 30표는 넘는다고 자부합니다   뿌듯한 나날이 계속되어서  행복함니다"
15,정기옥              ,김종인은 마음에 있는 말이 정직하게 자동으로 나오는 것입니다 ㅋㅋ 몸은 미래통합당에 있고 마음은 민주당같네요 ㅋㅋㅋ
16,응원해요hy              ,4월 15일은 미통닭 잡는 날 ★★★촛불국민 여러분이 심판 하는 날 입니다 우린 오직 ★★★1번 더불어 민주당  &★★★ 5번 더불어 시민당 뿐 입니다 압승 가즈아~촛불들고 ★★★ 지역구 1번 더불어 민주당 ★★★ 비레 5번 더불어 시민당 세운 촛불국민 여러분이 확실하게 보여 줍시다 소중한 한표 꼭 해야만 결과가 아름답 습니다 촛불은 영원 할 겁니다🔥🔥🔥🔥🔥🔥🔥🔥🔥
17,"Idea&people ,              ",영감님이 가끔은 제정신으로 돌아오나보네~~~!
