,ID,Comment
0,최병석              ,더불어공산당   폭망   예상선거부정   엄청  저지를  것이다
1,홍성태              ,예전에 순수한 국민은 없다 이놈저놈 이빨에  속아서 인가 사기꾼 세상여서 인가 한치보고  살자
2,김금동              ,장준호님공지영에 대해 논평을 부탁드립니다공지영은 조국외는 아무것도 없는 모양입니다
3,항진리              ,늘 정확하고 객관적인 분석 감사합니다.
4,롱롱롱이              ,415총선거할까 절대질줄알고 과연할까 진다음 어찌될지 이미답은 나와있는데 나같으면 절때 안한다 고 본다  우슨수를써서라도  그게 진행중일게다 예감
5,생거진천사거이천              ,ㅋㅋ  얼마나  두려우면 저럴까  ㅋㅋ
6,김태실              ,매번 수고 하시네요~
7,나르고              ,국민의 대표로 나온 국회의원 앞에 추미애가 팔짱 끼고 답하는 오만한 자세를 보셨고요? 물론 더불어위선당 지지자들은 잘했다 생각하겠지. 헌데 지들이 과거 행동은 저런 장관을 보곤 온갖 난리를 다 피웠을 것이다.
8,Joon Kang              ,너무 배경에 치중하는 둣 합니다 설명보다 좀 간략하게 본론을 설명 해 주셨으면 좋을듯 합니다 수고합니다
9,임민수              ,당신들의 역사관양심에 묻고싶다의구 제 정신이있나
10,권상혁              ,★탓탓탓 =내일 1시 네이버검색★
11,진화진              ,수치 앞세워 마치 과학적 수학적 통게적정확도가 절대 신뢰 할 만한듯말장난 속임수 ...대놓고 기만 하는구만..
12,이용부              ,선거 끝나면 얼굴 어떻게들레?
13,Park Chan Ha              ,좋은 결과네요!!
14,한올              ,살다살다.이런혼란독재날치기강도같은정권?첨본다.더불당해체가?국민평안온다
15,Ming Ming              ,ㅋㅋㅋㅋㅋㅋ일관성 없는 한국놈들이 과연 그럴까. 말과 행동이 일치가 안되는 놈들.현대차 만날 욕하면서 차살땐 현대차 선택하는 엽기적인 놈들.
16,서원sd              ,문재인씨 혼밥신세 만회할려고 김정은은 사열받고 들어갔는데 국민전체 왕따당하게 만듭니다 세계에서 왕따 대한민국~문재인씨 홀대신세될때도 울분터지더니 지금도 울분터집니다 국민은 저렇게 애를쓰는데 공무원이 이리뛰고 저리뛰어서 애세명두고 뇌출혈로 쓰러지고~
17,조사기범가족사형              ,저런 결과에 정당 지지율이 민주당과 미래통합당이 10% 가까이 차이나 난다면 황당한 여론조사 아닙니까?
18,조구기구속이다              ,저도 1표민주당절대로 아니평생 다시는 안 찍음
19,Orchid Hang              ,조작한 지지율이지만 40% 가 넘는다고 강변하는 것은 선거도 조작할 것이고 정권은 순순히 넘겨줄 놈들이 아니지
20,김영호              ,ㅈㄴㅅㄲㄹㄷ
21,오훈희              ,우익들은 구독좀 합시다ᆢ
22,장동훈              ,감사♥♥♥
23,불나방              ,아직도 민주당 찍는다고 누가 정의당 찍는다고 차라리 배급제로 가라해라  완전 위선 거짓 무능한 인간들
24,찐은누구인가              ,감사 합니다
25,왕테리우스              ,마스크도 다 빼돌리고.국민을의죽음 따위는파안대소로 웃는 개통령
26,산과바다하늘              ,"박근혜대통령의 우파단합지지가 나왔으니, 이제 지지율은 어떻게 바뀔까요?? 긍금합니다."
27,재헌윤              ,민주당 빼고 투표합시다.
28,백숙경              ,ㄷㅓ불어미친당은 절대 안찍습니다
29,정동열              ,ㅡㅇㅡ이것도 조사 영의심스럽다  ㅋ
30,Park Daniel              ,경제 폭망한거만 봐도 당연히 민주당은 대한민국에서 퇴출이 맞다
31,초전박살              ,미통당  추가
32,화산태              ,👍👍👍
33,한종열              ,선거구호ㅡ민주당만빼고ㅡㅡ우파국민들 뭉칩시다 화이팅ㅡ
34,ho ji              ,# 더불어 공산당만 빼고... # 정의없는 정의당만 빼고..... 4월 총선....
35,명순안              ,민주당 절대로 찍고 싶지 않아요
36,이희섭              ,정확한 분석  민주당만빼고정의당도빼고
37,박효준              ,늦게나마 추카
38,데스나이트              ,자유의 새벽당 홧팅
39,nose              ,엉터리 여론조사기관 발표를 갖고 말씀하시는 듯~~~ㅋㅋㅋ
40,박용석              ,더퍼주기당 더적폐당 찍었다 근데 아니다 찍으면 더 가난으로 가요.
41,서수정              ,민주당  축하해요 ^^^♡
42,노상술              ,대국민살인마 문재인
43,Chuntark              ,여론조사 다 거짓같다. 길거리 여론조사가 맞다.완전 표본이 계획되어 있는것같다.
44,김일환              ,누말따나 새됐네 절대 찍지 말아야할...  두번다시 나라 망해먹을 일있슈
