,ID,Comment
0,Daniel Heo              ,"민주당은 되든 안 되든 경남, 경북 지역에서 후보들 냈다. 몇년을 그래와서 이제 그 지역에서 당선이 되기도 한다.그런데 미래통합당은 전남, 전북 지역에서 얼마나 후보를 출마시키고 있는가? 깊이 반성해봐야 한다."
1,sj b              ,대구가 저러니깐 대구시장사기꾼을 뽑지 ㅉㅉ
2,Han              ,부산은 이해하는데..대구는 시장보면서도 느낀게 없나보네...
3,칠면조사냥              ,보수꼴통도 나경원은 거르더만 ㅋㅋㅋㅋㅋ
4,haeyeong lee              ,대구 사는데 대구시장이 코로나19 대처하는거 보고 혈압 올라갈꺼같아서 민주당찍었는데 당선이 안될줄이야.
5,한심이글스              ,대구는  이또히로부미  하고  안중근이  붙어도  안중근이  지는곳임 술먹고  지나가는  강아지을  후보로  나도  당선되는  지역임
6,kk k              ,대구 경북은 세대교체가 이뤄지기전엔 안바뀌는 지역...
7,쯔쯔간나시끼들              ,보수가 인기있고 진보가 인기없었던 시절은 보수가 사탕을 더 줄것같은 공약때문이다. 자... 이제 그들이 걸어온 길이 박근혜로 인해서 들어나면서부터 그들의 말들이 개소린걸 아는이상 이런 결과는 뻔한것이였다
8,이하루의 끝              ,이언주 나경원안봐서 속이 시원하다..으..
9,열라얄라              ,1:37 ㅋㅋㅋㅋ 웃음 사라지는거 보소..
10,파주 금촌씨티라이프              ,정진석 같은 놈이 국회의원이라니ㅋ내가 하는게 낫겠다.
11,김광명              ,출구조사 결과에서 근소한 차이에서 조금이라도 앞서면 지지자들은 박수를 칠지 모르겠으나 후보자 본인들 마음에는 긴장감이 더 깊어졌을 듯 그런데 여론조사가 동률이면 담담하다는 시각이 깊어졌을 듯 싶다
12,최수인              ,대구 ㅋㅋㅋㅋㅋㅋㅋㅋ
13,로스팅              ,핑크당이 괜히 TK PK에서 옷입으면 당선이라는 말이 니오는지 알겠다...특히 대구는 신천지로 인해 코로나 지역밀집이 일어났는데 또 저모양...나경원 이언주 황교안 안보는건 만세3창인데 신천지가 얼마나 대구에 뿌리를 깊숙하게 박았는지 알겠다
14,다비              ,이것들 저렇게 모여서 마스크는 왜 착용 안함?
15,honor              ,대구는 정신 좀 차려라
16,Jaejune              ,미통당 비례 포함해서 탈북민 2명이네요
17,원미영              ,재난지원금다준다더니총선이끝나니까말을바꾸네통합당이미친양아치들!
18,박나나              ,미통당 언제쯤 사라질까 100석도 많아 ㅠㅠ
19,밤안개              ,해외 교민  부재자 투표만 햇서도 200 석은 무난한건데  아쉽
20,인어왕자              ,유시민님이 과반 이상 180석 예측을 말 안해서면 막판 보수 결집도 없었고 과반이상 200석도 무난하지 않았나 하는 생각도
21,유원숙              ,더듬어 성추행당!!!
22,정은혁              ,서로가 제발 누구왜뽑았네 비하하지말고사이좋게 지낼 순 없는걸까
23,오히려좋아              ,반응 개꿀잼이네 ㅋㅋ
24,소설가김씨삶을 노래하다              ,대구 ㅠㅠ 답없다
25,찌아              ,ㅋㅋㅋㅋ미친거 아니냐고 ㅋㅋㅋ미래통합당이 뽑힐줄은 몰랐다ㅋㅋㅋ민주당이 완전 점령할줄 알았는데 핑크당이 기어오르넼ㅋㅋㅋ
26,kim rowk              ,대구 경북  부산 시뻘 개판이네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋ굶어 죽어도 박근혜다 이거네
27,박나나              ,대구 진짜 미쳤다
28,chulho park              ,대구는 무능한 시장보고도 통합당 찍는 애들..진짜 답없는 지역
29,BK K              ,그래도 이번에 조금 물갈이는 된듯
30,아저씨              ,출고조사 하지마라.아님 사전투표 빼고 합니다.이렇게 하던지...
31,바비사랑              ,지금 봐도 짜릿
32,bird kay              ,양심을판자들은 훗날 역사의 치욕으로 남게 됩니다
33,방스              ,사회적 거리유지 하자 해놓고 저래 다닥다닥 붙어 앉은거 봐라. 저중에 한명이라도 확진자 나오면 어쩌려고 마스크도 제대로 안끼고.
34,수퍼말이오?              ,홍의락은 마스크 낄 줄도 모르네 ㅋㅋㅋㅋㅋㅋㅋㅋ
35,조엘              ,대구 미쳤냐?
36,하뚜쮀민쒸              ,부산인으로서 답답하다 황나이 암적인 분들안봐서 한편으로는 다행이고
37,이묭              ,마스크를 제대로 못쓰는 사람이 저렇게 많다니!
38,小笠原貢              ,📣강남 ㅡ 뭔생각으로 태구민을 찍었을까? 정말 궁금하다.
39,Zone Ray              ,와 나경원 안보게되서 진짜 좋다 ㅎ
40,Malkia1063 Mqlko              ,재밌다
41,슉슉              ,장제원 당선되는거 보면 부산도 개노답
42,도산              ,정치는 견제세력이 필요한데 누구하나가 독점하면 잘못된거임
43,개굴개굴              ,개똥씹은표정 ㅋㅋ
44,BJTHTHTH              ,TK지역인데 미통당 자한당 안뽑았는데 저리 안넘어가는것도 신기는하다
45,sunghyun lee              ,"●캄보디아가 공산화될때,인구의1/4이(전체인구  당시  약8,000,000)이 죽었다.뒤에서 ""선생님"" 불러서 돌아보면 총으로 갈겼다지요.북한의 辭典에 ""사람= 노동자,농민,無産者""저들의 해석대로라면 有産者는""사람""이  아니다.남한국민의 반이상은 집이 있다.집이 있으면 有産者다.따라서 공산화되면 남한인구의 절반은 죽을 수도 있다.※공산화 반드시 막아야 된다."
46,ChangH Kim              ,사라진 나씨 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅗ
47,정영호              ,과하면 탈이 나는것. 하나도 이상 할 것 없다.이제 설사 할 일 만 남은것 같다.
48,Sun mi Kim              ,나경원은 선거 사무실에 나오지도 않은 것 봐수준 하고는...
49,Tae Hoon Kim              ,8.2%가 차이가 경합인가요?
50,밤밤부              ,1:57대구
51,Jeongmin Kwon              ,대구가 퇴보하는 이유
52,반가워              ,한마디로 보수꼴통
53,PP KK              ,이야 김두관은 출구조사서 낮게 나왔네키야 쫄렸겠다
54,김홍환              ,성 범죄 집단들 더듬어 만진당으로 교체
55,뽀블리              ,대구경북은 탈출이 답
56,달밤              ,강남은 미통당 후보가 개라도 뺏지를 달꺼다.
57,화목토              ,실제 당일투표 결과는 통합 : 민주 = 124 : 123 이었는데 아떻게 출구조사 결과는 사전투표 결과를 미리 알았다는 것처럼 나왔을까???
58,김영환              ,TK  썩은  대나무도 당선된다 어이구 모지리들 긴급재난지원금 국가에 환수해라
59,t jung              ,마스크는 안 쓴사람은 뭐야?
60,바이올렛              ,다들 민주당 미래통합당 각각의 장점과 단점 좀 알려주실분....제가 듣고 본 정보가 사람에 따라 너무 달라서 혼란스럽거든요...누구는 민주당이 뽑히면 이제 공산주의가 될거라하고...누구는 또 미래통당합이 되면 공산주의로 된다 하고...뭐가 맞는거예요? 그리고 왜? 이유랑 설명 좀 확실하게 해주실분ㅠㅠ
61,carol Hong              ,"지은죄가 크잖아성적표 고쳤으니,"
