,ID,Comment
0,당당한국민              ,이양반아 남의 아내에게 정신병 이라니ㆍㆍ당신마누라에게 그러면 좋겠나?  푼수같으니라고ㆍㆍ
1,김Amylinyeo              ,사회자 왜 저렇게 저급하냐
2,best fire lee              ,자살하신 최경위님의명예회복시켜드리길ᆞ
3,HAYEON EOM              ,조응천 의원 화이팅입니다!
4,김도도              ,조응천 의원님 제일든든한 쵝오 믿음직한 뽀로로님~~~~ㅋㅋ
5,Jamie              ,박종진 무슨 아침마당이냐 진행하고는
6,차선미              ,조응천의원님 화이팅!!!!
7,성하              ,박종진 개그맨인가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진행 왜저럼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기네
8,HK Kim              ,사필귀정 조응천위원님 화이팅
9,구충모              ,도대체 박종진이란 진행자는 토론자 불러놓고 자기말이 너무 많다.
10,sy J              ,조응천 의원님 카리스마가 넘쳐요~항상 응원합니다^^
11,상스런              ,박종진 능구렁이 같네 엄청 웃기네 정말 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
12,Claire Koo              ,조응천의원님.강직하신성품정말대단하십니다.덕분에최순실일당검거에큰도움이되었습니다.
13,Jang Jang              ,종진아 남의 와이프 한테 정신병이 맞다고 하면 아무리 가까운 사이라도 맘에 상처 받는단다.
14,amurita y              ,박종진 말을 왜 저렇게 함? 아무리 그래도 상처받는말을 푹푹 내뱉네. 조응천이 뭔 잘못했다고
15,he k              ,정의로운 분..앞으로 승승 장구 하세요..홧팅~!!
16,아롱이              ,조응천 의원님  화이팅
17,영원한사랑해              ,조응천 의원님 파이팅!힘내세요
18,November 11th              ,언론의 탈을 쓴 하이에나들...형광등 100개 아우라는 벌써 잊었나? ㅋㅋㅋ
19,박주원              ,정신병 맞아요? 앵커라는 생키가 말하는 꼬라지하고는 식당갔는대 손님 한명도 없는 식당 첨봤다는둥 별 버러지같은개 매너 드럽게없네 청문회하냐? 조응천의원이 잘못해서 청와대를 나오신게 아니다
20,sm n              ,박종진 무슨 말을 저렇게... 식당어렵죠가 아니고 망했다고 그러질 않나 본인이 정신과의사도 아닌데 함부로 부인한테 그거 정신병 맞아요라고 그러질 않나.. 어떻게 MC보고 있는지... 조응천이 뺨싸다구 갈겨도 욕할사람없다 정말.
21,Mémoire              ,헐 시발 헐 ㅋㅋㅋㅋㅋㅋ 응천갑 힘내세여
22,je k              ,"박종진 ""그거 정신병 맞아요..""  ㅋㅋㅋ 박종진 선생.  좀 그러지 마숑.."
23,woul kim              ,박종진은 처음부터 눈이 쥐새끼 처럼 생겨구나 싶더니.지금은 얼굴전체가 완전 쥐네 .....
24,Mémoire              ,존나 어택하고 막판에 포옹하네 ㅋㅋㅋㅋㅋㅋㅋㅋ
25,노란장미              ,박종진앵커 진짜 진행을 넘 못하네~~~조응천의원님 답답하셧겟다~~파파이스  김어준 진행을 좀 보세요~~~
26,jw lee              ,박영수 아저씨 곰돌이 같음 ㅋㅋㅋㅋ 응천 & 종진 화이팅!!!
27,gro Da              ,조선보면서 재미를 느끼는 내자신이 자괴감들고  괴로워.
28,김기정              ,"언론은 왜 처음에 무당, 오방색, 최면, 꼭두각시 등등 온갖 비방과 이미지 왜곡을 했을까??? 그리고 사과 방송 한번 하지 않을까??? 박통과 순실이 의 죄에 집중하기 보단 곁가지로 주구 장창 비방을 할까???나는 그것이 알고 싶다~~~"
29,s m kim              ,한심 그자체!
30,정의다나는              ,박종진은 정의가 없다. 그러니 쓰레기 방송에서 몸담고있지...
31,강미선              ,조응천 의원님ᆢ힘내세요  항상 응원합니다
32,choi koh              ,개~구만~~
33,진실              ,사회자 왜 저러냐?약하냐? 상태가 안좋은데?
34,1 2              ,글러브ㅋㅋ
35,박주원              ,배신자라고 하는 사람들 뉴스 잘 찾아서 읽어보고 상황판단하고 오시기를
36,JI Kim              ,"어우, 박종진 진짜..."
37,윤숙희              ,전여옥 저런 배신자
38,강지 집사              ,박종진 개싸가지
39,이백순              ,아후 웃기네
40,뽐BTS방탄뽐              ,박종진은 퇴출시켜야됨
41,신동민              ,방송찾아보고있는데 정말 남자 조응천 멋져요❤
42,Obama Barrack              ,박종진 ....힘들어 감정굴곡이 심한.....조응천 의원 아내에게.... 정신병 맞아요.. 기본 매너도 없는
43,Jack L              ,"제2의 최재경이 된다면, 이것은 국가 와 국민에게 있어서 치명적인 시점이다. 당신은 의사다. 수술을 잘못하면 환자는 죽는다. 비겁하게 일생을 살다가 가야할만큼 우리의 인생은 길지 않다."
44,Mann Han              ,국민들이 몰려가서 좀 매상 좀 올려 주지..
45,seokchan yoon              ,오늘날 국정농단의 비밀은 정윤회!보인상고 출신...우린 안다..정윤회를..
46,갓쯔              ,박종진 차라리 예능인이나해라 머리텅텅빈거 티난다
