,ID,Comment
0,쌤쌤              ,표창원님  지지합니다
1,oh happy              ,국민분노 유발 나베당은 해산이 답그들에게 청원의 숫자는 그냥 숫자뿐이라고 받아들일듯..늘 그렇게 나베당은 민의를 무시하고 지내왔지
2,위트미네              ,민심을 잘 표현해주시는 분! 표창원 의원님 ! 멋있으십니다!
3,3332 ha              ,재수없는 자한당이 누구한테 재수없다고???? 진짜 자한당이 존재하는한 대한민국..또 한국정치의 발전은 절대없다..
4,HWANJUYUN              ,표의원님 초선만 하신하고 하셨는데 다음 총선에도 나와주세요!  국회는 표의원을 필요로 합니다! 화이팅 응원 합니다
5,이영이              ,"자한당,언론들 정말 모든게 거짓이라고 하는데 자꾸 그러면 광화문에서 국민의 힘을 보여줘야합니다.."
6,허민숙              ,표의원님 늘 지지합니다 홧팅 하세요
7,허리케인              ,고생하셨습니다.
8,낮은자              ,"표의원님 건강하세요^^ 민주당은 인성과 품격이 넘쳐나는 국회의원님들이 넘쳐나는데, 자뽄당에선 사람다운 사람이 한 사람도 없어요..자뽄당 국개 바퀴벌레김재원부터가 멧돼지 같이 생겼씀."
9,정의로운대한민국              ,자유한국당 자비는 없다 불법 저지른 자유한국당 의원들 전원 법적 잣대로 엄중히 처벌해야한다.
10,박근식              ,탄핵할 때 해산 했어야 했는데 그 실수가 지금 나타납니다.지금 선진화법이 기회입니다.
11,유상권              ,주어없는 나베 안보고싶다절대취하 하지마세요
12,금금금              ,이런분들이 나라를 이끌어야한다
13,이정자              ,자한당놀면서왜세비줘야하나
14,단도리              ,정치계 젠틀맨 표의원님!자한당 쓰레기의원들 좀 배우시죠!
15,김민정              ,표의원님!  표창원형님!언제나 응원합니다.힘내시고 옳은길 밀고 나가세요!
16,Chris Kim              ,표창원 포효.. 속이 다 시원했습니다! 역쉬 사이다~!
17,왓츄유얼              ,표창원의원님  자한당 및  나쁜 의원들  뿌리뽑아주게 권력밀어주고싶습니다  표창원의원께  안까불어야될텐데이제 자한당 추락시대~!! 옛날시대아니야 이젠   자한당 잘가
18,미래TV              ,표의원님...잘하셨어요. 속이 시원하다
19,우짜노              ,사랑합니다  표의원님~
20,백챠밍              ,표창원의원님 항상 응원합니다   초심잃치 마시고 힘내시기를...
21,Welt              ,표창원 의원님 힘내세요! 응원합니다. 표 의원 이야말로 국민의 대변인 입니다. 나베빠루 도 비례의원 으로 시작했습니다!!!
22,여해피바이러스              ,의원입에서 재수운운하는 그수준을  어찌합니까?  재수없겠죠?  옳은소리만 하니 ᆢ찔리기는 했나보네오
23,앵초00              ,자유한국당 은  정치인 같은 정치인 한명도 없다.다 무식하고 거짓말  진짜 잘하는 사깃꾼  집단 도둑놈당 자해공갈단  이자유한국당 이다
24,노틸러스              ,자한당이 독재타도 헌법수호를 외치는것보니 그저 어이가 없기만 합니다일정시대 친일경찰 노덕술이 자신은 독립운동가이고 백범 김구선생 에게는 친일부역자라고 하는것과 무엇이 다른가요상식과 양심이 있다면 저런 구호를 외치진 못할 겁니다
25,TV이피              ,최연혜가 더 재섭다!
26,d Brea              ,표창원의원님~ 신뢰가 가는 정치인입니다. 꼭 오래도록 국민을 대표해주세요.
27,조수웅              ,표창원 의원님 감사합니다 수고 하셋어요 화이팅!!
28,그냥그냥              ,표의원..잘 했습니다.표의원의 포효는 국민의 억울하고 답답한 마음을 풀어줬습니다.
29,왓츄유얼              ,재수없다는 그말이  똑똑하고 바르게 정치하시고 자한당 지적하니   자한당이  찔리니까 그러치 자한당 다들 법안지키고 어기고 살꺼면  자한당 나라 만들어   대한민국에서 영원히 썩 사라주길바란다  청원투표갯수봐라   보고 정신좀차리라  ㅉㅉㅉ
30,민주실록              ,국민의 분노를 대신 표출 해줘서 난 감사하다.
31,내복카키              ,비례대표가 의원들보다 일더많이하는데  멀 없애ㅋㅋ  나경원은 일 좀하고  말하자 국회의원수 반드시 늘려야합니다
32,Simon KIM              ,멋지다 못해 섹시한 표창원 의원님~화이팅~~~
33,doog moon              ,"표의원님은 차기,  아님 차차기,  아님 차차차기라도 대통령 후보로 손색이 없다고 응원합니다."
34,박뜻대로              ,한국당에 장재원 같은사람 말고표창원 의원님같은 분만 계서도 저렇게 품격떨어지는 당이 되지는 않았을톈데~~
35,앵초00              ,5월20일까지 청원합시다 헌재에 신청합니다. 반드시  사법처리하세요
36,사회공정              ,자한당 나경원은 진짜 재수없다!표창원 국회의원의 포효! 진짜 시원합니다!국민의 진정한 대변자입니다!
37,JY LEE              ,자한당 최혜연 의원 저여자들 월급을 주는 우리 국민들이 불쌍하다
38,후리지아              ,표창원 의원님은 사이다그래서  자한당이 싫어하겠지 ㅎㅎㅎㅎ
39,ssussua              ,와우 만세 표창원의원 진정한 국회위원
40,하얀 민들레하얀 민들레              ,고발해서 한인간도 빠짐없이 감옥행으로 여행 보냅시다~!
41,최인식              ,표창원 의원사이다 발언멋지십니다. 앞으로도 종종 쏴주시길 바랍니다.
42,정판수              ,표의원님 같으신분들이계셔야(만이계셔야)국개  가  국회로변할겁니다 파팅
43,Jeong엘프              ,"표창원의원. 어느 순간부터 엄청난 공격을 받으면서도 의연하게 견디며 내공이 엄청나게 쌓여진 느낌이 강하게 든다. 그가 진정한 보수주의가치를 지키는 보수주의자의 모습으로 국민들에게 다가오는 듯 하다. 그는 초선이지만, 큰 정치인으로서의 아우라가 보인다. 항상 응원한다."
44,슈퍼비타민              ,"이해찬대표님,표창원의원님 정말 잘 하셨습니다. 우리도 똑같이 지정잡배처럼 할순 없지만 퐈이팅 넘치고, 강한 모습 응원합니다."
45,박종현              ,이 남자 좀 멋있다.썰전 시즌3 할때 섭외 오면 꼭 출연 하셨으면 합니다...
46,끝까지깐다TV [구독자모집 중]              ,징글징글 자한당! 정치귀족노조 자한당! 공공의 적 자한당!
47,KIM PETER              ,공정하고 품격있는 개념 방송 김현정의 뉴스쇼  항상 성원합니다...
