,ID,Comment
0,공병호TV              ,건전한 댓글로 공병호TV의 구독자 여러분들이 건강한 토론 문화를 만들어주세요
1,자일리톨              ,저는 4월 총선을 보겠습니다. 대한민국은 총선을 기준으로 진짜 망하느냐 아니면 다시 살아날 기회라도 얻느냐.로 판단 할 수 있을 것 같습니다.
2,o hr              ,대책이 없어요 민주당은 점점더 정떨어지게 만드는 공산당같네요.이상한 당이네요 상식이 안통하네요.
3,하늘문              ,기생충같은 놈들이라 그런 영화나 만들고 선동하는데 속는 뇌없는 사람들이 안타깝다.
4,YooHS숲속오두막              ,이해찬과 민주당의 한 마디 한 마디 말실수와거듭되는 헛발질 자살골  하나 하나는 스스로 늪속으로 깊이 깊이 들어가는 꼴 더 더 더 깊이 무덤파라 그리고 사라져라 민주당만 찍지 말자!
5,raf rem              ,추미애 해임 국민청원 홈피 추천 순위 3위 랭크. 동참바랍니다.
6,파랑기              ,이 정권은 분명히 언론탄압으로망한다.
7,배포르코              ,상식이 안통하고 교양이 없는데 사람이 아니죠사람이 아니기 때문에 이 모든 행동이 가능한거죠4.15선거로 보여줍시다 상식이 통하는 사람들의 힘을 보여줍시다
8,jm젬마              ,문정부와 더블당의 특기입니다 절대 잘못을 인정 안합니다 당연히 책임도 안 지지요 꼴도 보기 싫습니다
9,커피와향기              ,독재도 이런 독재가 없다. 반민주도 이런 반민주가 없다. 나라를 아주 망치고 있다.
10,이기세              ,참새가죽어도짹하고죽는다고 이해찬은생긴게 저승사자스타일생긴대로논다
11,이학만              ,추미애 미쳐서 날뛰는것 보면 알 수 있잖아요매국노보다도 더 악랄한민족반역자들입니다민족정기를 바로 세우기 위하여 빨리 척결해야 합니다아주 나쁜 인간들입니다
12,Park최강              ,문재인씨를 대통령으로 뽑은 사람들 반성하시오.
13,공영주              ,좌파들의 속내를 이제서야 알았서니 이번총선에서는 혼을내주고 다시는속지말았야 합니다
14,메시              ,지가 똥싸놓고남에게 이똥이  왜이리 구린거야 라고성내는격입니다
15,허순봉              ,사과?저쪽자들은 절대사과않하죠 먹는사과는알아도잘못용서를비는사과사자도모르는자들인데 바랄걸바래야죠사과는사람이하는겁니다~~
