,ID,Comment
0,홍성륭              ,더불어 뻔뻔한것들
1,최성혁              ,백지에 검은점 검은 종이위에 검은점  참힘들다
2,SUNG SU PARK              ,최순실이가  스승님으로 모셔야할 역대급 여사님  등장!.
3,모닝              ,조오~~gga
4,조남신              ,더불공산당
5,민주통일              ,당대표가 ㅋㅋㅋㅋㅋㅋㅋㅋ쉴드치네
6,애국시민              ,나경원과 함께 샅샅이 조사 해야 한다~
7,아닥              ,손혜원의원님!가짜뉴스에 다리걸치고 아가리 쳐놀리는 이 곳 유튜브 시정잡배 잡것들도 모조리  다 쳐 넣어주십시요!
8,드럼통              ,돌아중에 도라이네
9,Hi High              ,연합뉴스 대표사진 고른 실력 대단! ㅉㅉ
10,John Kim              ,스브스. 시방새하고 끝까지가서팩트체크 하고 돌아오시면 됩니다.조작 날조한 기레기의 끝을 볼 수 있을 듯.
11,이재은              ,손혜원 의원님  진짜..그것 아닌 거 같네요...! 유튜브에서 그런 발언 하시는 거 진짜 아닙니다 위원님  자식들이 한명이라도 걸린다면 그런 소리가 나오겠어요 진짜 자신이 있으시면 대구에 한번 방문한 시죠 ..그러시면 안 됩니다  나도 자식 키우는 입장에서 매일 같이 불안한데  그건 아니죠 그럼지금 당장 1박 2일로 대구 한번 갔다 오세요.. 마스크 쓰지 마시고요!!!
12,신불산              ,♤주제를 아직모르군요. 거짓을 진실로 보는 사람이 아직도 법을 전혀 모르는 모양입니다.
13,나절래옹              ,초선의원의 일탈 행위를 옹호하고 또 원내대표가 에스코트까지 하는것 보니 그 위세를 알만하다.  이녀자 뒤에 누가 있냐? 밝혀라.
14,abcdef_셀마              ,"최순실과 뭐가 달라, 최순실 감옥에, 최순실보다 사악한 손혜원"
15,도쿄              ,이로서 목포 땅값오르겟네요  소문나서 사람몰리겟네ㅋ
16,대한민국              ,손아줌마 국회의원 좋아하시네 사퇴해라~~
17,임승규              ,일단 지켜봅시다. 그렇게 까대는 언론이 진짜 필요한 일을 한 것인지 한사람 매장시키려고 여론을 호도한 것인지...난 손혜원 의원의 진정성을 믿는다에 한표!
18,dongwook hwang              ,아조 지만 생각하는 노인내고만  쯪쯪/20개 이상  지가 등기친게 잘못이 없다내 ㅋㅋ웃음도 나오고 토나온다
19,pea bright              ,당적포기지 탈당으로 제목 뽑는 거보소? ㅎ 손혜ON 유투브 채널에 나전장인 황선생의 통화내용 들어보십시요 시방새와 좆선일보 니들 각오해라 .
20,Simon Blue              ,나도 한번쯤은 손혜원 처럼 거짓말도 하고 땅 투기도 하며 살고 싶다. 그러나 그렇게 할 수가 없다.  왜냐하면 나는 자랑스런 보수니까 !
21,심번자              ,순실이  아줌마  감방에서   나오면  같이  손잡고    다니세요
22,m.m m              ,삼성조중동 자유한국당과 함께 공작하는 연합뉴스(mbn)에도 국고보조금 금지시켜야 함.이 또한 방통위 등 정부에 관철시킵시다.
23,연규영              ,기자회견이면 기자들이  질문 하나 없네. 자기 말만 하는게 맞는건가?? 어휴 답답해라.
24,박재이              ,구린되가있구먼 핑게는만네 나짝에철판깔란네 아직아쉐움이가덕하구먼
25,knossos park              ,탄핵 폭도들의  종말이 오는구나가짜뉴스에  속은  국민들이   불쌍하다박 근 혜  대통령   구출하자 !!!!!
26,김명숙              ,오늘은 목숨건다고는 안하네
27,Kihwan Kim              ,독녀 악녀!!!
28,Moungsung Im              ,"페이스북 jtbc나 sbs 뉴스가서보면 아직도 전라도문슬람들이 정신못차리고 한다는소리가 ""어짜피 망할거리였는데 손혜원이사서 문화재로 정해서 유물로 남기는게좋지않느냐"" "" 어짜피 대기업건설회사가 헐값에사서 아파트나 지었을거리였다"" 며 본질과 전혀관계없거나 말같지않은 소리하고있는데 이정도면 우리나라에 병신이많은건지 차라리 국정원댓글부대가 지령받고 조작하고있다고 믿고싶다"
29,방구석PD지망생              ,의원님 꼭 당내투쟁해주시지 왜 나가세요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
30,angoh              ,닥치세요
31,김영희              ,먼 개소리들을 하냐  투기라며~~!  개소리들 하지말고 언능  목포로 달려가  누가 다 사기전에~~~!!
32,Wish you were here              ,이 여자 뭔가 착각하는것 같은데..
33,정점자              ,국민을 뭘로알고..😡당연결정..
34,Min Choe              ,의원직사퇴하시고국가환원만이 당을위한것여요.
35,Hunter Killer              ,"손혜원 의원님 사랑합니다. 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕 💕"
36,nbwc k              ,홍영표ㅡ저인간은뭐야. 개웃기는인간. ㅋ ㅋ.  손혜원. 최고네. 더큰사기좀더처라.  ㅋ ㅋ정수기빽밑고 좀더해먹어라. 기회는지금뿐이잖냐.  대한민국을. 싹슬이 해먹어라.  누가말리니. 더해먹어  공공이익이다 뭐다핑계되며. ㅋ ㅋ 너참대단해!!2!
