,ID,Comment
0,민준박              ,광진 을이 아마 제일 박빙이였을듯
1,희              ,고의원님 축하드립니다♡♡
2,CANNIBAL CORPSE              ,진짜 잠들다 깨다 하면서 보는데 엎치락 뒤치락 이러다 지는줄 알고 밤잠 설첬네  당선 축하합니다
3,아미              ,고민정 짱
4,je lim              ,축하합니다
5,족코              ,초조하게 기다렸는데 이제 진선미 의원 당선만 보고 자렵니다ㅠㅠ선거동안 고생 너무 많으셨고 앞으로도 국민들을 위해 힘써주세요!!!!
6,진성애              ,축하합니다~~의윈님
7,오정말이야              ,축하합니다! 고생 많으셨는데 몸에 좋은것도 좀 드시고 집에 가서 푹 쉬고 나오세요~~ ☆☆☆
8,빵똥              ,아ㅠㅠ 다행이다ㅠㅠㅠㅠ 이제 발뻗고 잘게요ㅠㅠ
9,Stella Hong              ,축하드립니다!
10,마몰              ,정말 초접전이었네요...이제 당선인이 되신 고민정 의원님이 가장 마음고생하셨을 것 같아요. 수고많으셨습니다!
11,Woodworkerholic              ,아...잠도 못자고...조마조마 했네요~ㅎㅎㅎ 축하 합니다~~
12,박은주              ,진심으로  축하드립니다
13,정실비아              ,고민정 국회의원님!축하합니다!화이팅~~~^-^ ~~~
14,lyceum1018              ,축하합니다 진정 잘하셨습니다.
15,Kenny Kang              ,안녕하세요 미국에서 한마디 올립니다 축하 드립니다 앞으로 더욱 더 많이 응원합니다 공수처를 꼭 성공 시켜서 나라를 바로잡아 주시길 간곡히 부탁드립니다 다시 한번 축하드립니다
16,아이엠제이              ,축하드립니다ㅠㅠ
17,월천              ,축하드려요. 넘 햄복하넴ㅠㅠ
18,I was Born to survive              ,축하합니다 민주당 화이팅입니다 ㅠㅠㅠㅠㅠㅠ
19,serin yun              ,고민정 의원! 당신 덕분에 새벽에 잠들었지만 기분은 좋네요 고생하셨고 열일해주시길 바랍니다
20,김민형              ,축하드립니다!!!!!
21,이영옥              ,당선 축하 드립니다 앞으로 당찬 모습 기대합니다
22,Kepler Lee              ,고민정 의원님 축하드립니다~! 이제 자러 가야겠네요 ㅎ
23,김아란              ,축하드립니다!
24,복자              ,고의원님 진심으로 축하드려요 앞으로의 행보 기대하겠습니다!
25,A정              ,의원님 축하드려요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
26,hong서영              ,고민정의원님  응원합니다..이곳 천안이지만너무 기쁩니다~~당선 정말축하드리고국민을 대신해서일해주시길 바랍니다~~♡♡
27,쏘해피              ,축하드립니다!!!
28,조정현              ,고민정 후보님  오세훈후보와의경합에서 승리를  이끌주셨어  매우 경축드립니다멋진정치   평안한정치   고민정의원님에  푸근한  인상처럼 푸근한  의정  활동 부탁 드려요   화~~~~~~~팅
29,바위너구리              ,축하드려용~~!
30,이종국              ,"경기도 화성갑 주민을 대표하여 축하의 말씀을 드립니다. 송옥주와 함께 속시원한 정치, 께끗한 정치 기대할게요!"
31,just              ,축하드립니다!!
32,Cool Ricardo              ,고민정님  당선축하드립니다
33,박제훈              ,고민정 의원님 정말 고생 많으셨 습니다.의원님에 당선을 다시 한번 더 축하 드립니다.
