,ID,Comment
0,김지수              ,진정국면이었는데 .... 뜬금포로 신천지가 나왔을때.. 그후 무더기.. 순간 싸했던 건 사실.
1,평화              ,이만희 형 장례식 방명록 압수 공개 해야 합니다대통령 명에도 안 내놓고 있는건검찰도 압수 안하는건우리에 낯익은 이름들이 거기 있기 때문이라는 합리적 생각을 해봅니다
2,la ha              ,저년은 사이비 교주한테 기대지 않으믄못사는 녀자인가?순시리 애비한테하고도 친밀 이만희하고도 저렇고 원체 사이비빠녀
3,송llpp              ,신천지에게  코로나 국가 예산을 받아 내자!!!
4,y s p              ,코로나 바이러스가 발생될때부터 혹시 고의로 질병을 확산시키려는 시도가 있을수도 있겠다라고 생각했는데 신천지의 연결고리에 의심은 더욱 짙어진다
5,모멘토              ,국민의 생명을 담보로 정치하려는자돈벌이하려는자국민이 깨어서 분별하고 심판합시다
6,아웃사이더              ,예전 선거 앞두고  총풍사건터널 디도스사건  똑똑히 기억합시다황교활 과  조중똥   지령받은토착왜구  본거지  매국노들의  선거용  가미가제  자살 특공대  작품
7,y s p              ,신천지 새누리의 연결고리~지금의 신천지로부터의 코로나바이러스 확산이 과연 우연일까? 이만희란 교주는 국민들에게 사과한마디없이 뻔뻔함으로 일관하고 있다
8,윤창현              ,코로나 19  슈퍼 전파자가 될수 있는신천지 670명이  잠적 !!!!!상식적으로연락을 끊고 잠적 한다는건지금 정부에 타격주기 위한걸로 보일수밖에..상식적이지 않다는겁니다..이건 국민의 생명을 가지고정치 짓꺼리를 하는겁니다..용서 할수 없습니다!!!!!!!!!!!!!!!
9,차으라차              ,신천지 교도가 일부러 코로나를 확산시켰다는 의혹을 거둘 수가 없다.
10,limm s              ,신천지의 본거지가 그곳이었네..   이제 알꺼같다..
11,한국사람              ,"지금까지 이명박,박근혜 자한당 다 신천지 연결돼있을껄?? 싹다 압수수색해서 다밝히고 파면하고 사형시켜라. 사이비가 존재하는한 나라는 없다."
12,홍정순              ,중국과 가장 가까운 나라면서도 방역 너무 잘해서 WHO 에서도 세계 각국에서도 예방관리 시스탬을 벤치마킹 한게 얼마전인데 그동안 자한당 적퍠들과 신천지가 이런일을꾸몄구나 국민들 죽거나 말거나오직 지들 정권잡으려 문재인 탄핵이니 하며 온갖 만행을 저질렀네 저것들 이번 충선에서싹 없애버려야 촛불이 살고 국민이산다 꼭 투표하자 !!!!
13,조기승              ,박근혜의 뿌리는 참 구질구질하게  엮겼구나. .사이비 이단 때문에 온 국민이 고통받아서 맘이 아프다.
14,MyeongSoo Kim              ,정말 안끼는 곳이 없네 최태민 이만희 새누리당 이명박 최순실 박근혜
15,kang dong              ,합리적의심이든다. 그
16,죠진클루니              ,교주가 있는 종교를 믿는 또라이들 보면 참 한심하다
17,Gapboo              ,신천지 = 미래통합당 = 미래한국당= 자유한국당 = 새누리당
18,무화과              ,신천지가 바이러스러를 퍼트리고 있다 이건 범죄이다 진짜 화나고 분노합니다!!!ㅜㅜ
19,짱힘내자              ,하나님의. 심판이. 시작된것뿐이다신천지는 뿌리뽑힐것이다
20,yuu              ,신천지=새누리 이건뭐 이제 공식???!?!!!😣
21,월드백작              ,그래서 새누리당 으로 당명을 정한것아니냐.미래통곡당의 본산 신천지교회.
22,ᆢ커피              ,신천지와 한나라당 즉  자한당 같은 것들이라고  알고  있지  집회한다고  하는 이 시점만 봐도
23,왓다형              ,"유병언ㆍ이만희ㆍ이경재ㆍ최순실ㆍ최태민ㆍ박근혜ㆍ그래서,촛불 집회 까지 ㅡㅡㅡ 연결된거다."
24,임도깨비              ,사이비 종교에 사기꾼들 신천지 = 새누리 최태민 닭그네 최순실 이만희 쓰레기들 싸그리 청소하자
25,st flux              ,"기독교, 38따라지, 반공이 연결고리 ... 극우의 얼굴"
26,bluegray              ,개쌍도 왜구종자들과 사이비 개독모조리 소각처리가 답이다
27,유청마              ,신천지와 자유당이 공모해 이번 코로나19로 국민과 정부를 죽이려고 작업한것이구나.
28,별그대              ,신천지=새누리 대구경북인으로 우리지역에 신천지 것들이코로나 퍼트리고 다니는 순간 ㆍ 퍼뜩새누리 생각부터 나더라 ㆍ 총선 앞두고 개수작 중ㆍ 근데 이 지역에서 이런 말하면 대깨문이란 소리나 듣는 ㅎㅎ
29,김명희              ,윤석열검사님 국민을위해 일 한다면 검사들 총동원해서 신천지 조사 들어가야 하는거 아닌지요
30,김미정              ,이바닥에 우연은  없지. . .
31,lala Kim              ,종교와 정치가 손잡고 독재를 하고 싶었군. 교활한 집단은 스스로 무너질 수 밖에. 그리고  대한민국 국민은 바보가 아니다.
32,오제헌              ,테러다...진짜 싹다 잡아야 한다...치료는 둘째 치고 우선 싹다 잡아서 일반 구성원까지 국가 전복 테러 죄를 물어야 한다...
33,Sang- Nam Kirchner              ,제가 이번에 배웠습니다 신천지는 이단이 아니라 사이비 종교라는 것을
34,늘하              ,"사람들이 왜 이렇게 어리석고 사리판단을 못하는지 안타까움~~대구,경북의 사람들은 닫혀있는것같아요.조금만 눈을 크게뜨면 다 보이는데 ~~진실이 무엇인지를 알려고 하지않는것 같아요,안타깝네요."
35,박뜻대로              ,코로나가 확산되야  잡탕당에 이익이다!:그래서 확산을 유도하는 것이다!!
36,곰돌이푸              ,이동경로가 너무 의심스러운데 정말  국민의 생명을가지고 이런일을 벌였다면 말살시켜야합니다ᆢ무섭네요
37,임소라              ,이정도면 저이단종교랑 자한당이 이번 바이러스사태 원흉으로 봐야 할것같은데 사실 이라면 절대용서 못할일
38,Anna Jo TV              ,새누리=신천지 순우리말 새누리를한자로 쓰면 신천지
39,율희              ,"대한민국 헌법 20조국교는 인정되지 아니하며, 종교와 정치는 분리된다."
40,주식광산              ,신천지 = 새누리
41,태양              ,사기꾼최태민이만희 이명박근혜 극우사이비보수정권이나라을 말아먹네
42,사법.검찰.언론개혁!              ,신천지는 QR코드.장례식방명록 까라!!!
43,신유정              ,이나라는 왜 이런 인간들이 득세를하는지ᆢ국민이 어리숙한탓인가?
44,라라              ,어쩐지 미래통합당이 대구신천지 교인들 때문에 전국으로 감염된 코로나에 대해서 조용하다했다 다른 종교였다면 입에 거품물고 물어 뜯었을텐데 이것들이 한통속이라 그랬구나 신천지 교인들은 코로나 걸려서 죽든말든 표떨어질까 두려워서 조용한거봐 진짜 인간들이 아니라니까
45,최영태              ,어이~~~ 잣선일보 이제 우한폐렴이라 부르지 말고 신천지폐렴이라 불러라~~~
46,김경환              ,종교의 자유가 사이비 사기꾼 교주들을 양산하는 결과이니 참으로 안타깝군요.기독교 전체도 살펴보면 곪은데가 많아서 이런 현상에도 뭐라고 말도 못할듯 하군요. 안타깝군요 이런 세태가..
47,일단달려              ,신천지 때문에 우리 나라가 우한이 될거 갇다 큰일이다 피난 가야하나?아니면 땅굴로 들어가야하나 ㅠㅠ 정말 저것들은 악마다
48,정원에 부는 바람              ,신천지와 새누리당  너무 잘  어울리는  궁합  이지요 신천지란  독버섯이  저런  그늘에서  컸네요어떻게  교회장로가  마귀집단에  가서  축도를  합니까??
49,대박소리질러              ,도로 새누리당인 미래통합당은 대구  신천지에 진짜 조용하네
50,양승돈              ,진실한 뉴스 고발뉴스 좋은뉴스감사합니다^^ 전국민들이 이들에실체를 알았스면해요
51,날라리              ,유착 유착 유착 짐작은 했지만 얼마나 큰 돈이 오갔는지 누가 얼마나 드셨는지 궁금하다
52,korea Aegis              ,"대구신천지교회 전염병테러 첫날 황교안이 하는말을 듣고 냄새가 많났어요.아침에 31번환자가 나온 다음날 10명 정도 신천지교 환자가 나왔다고 하니까 바로 밤세정부는 머했냐, 심재철 대통렁 탄핵사유 어쩌고 저쩌고 했을때부터 구린네가 많이 나드라고"
53,심준봉              ,캬~ 기가 막히네~~
54,Jh Yang              ,"와우, 빅뉴스 이영상 계속 확산시킵시다"
55,ᄒshawn              ,와 새누리당 이번기회에 신천지와 같이 박멸되길
56,Downhill Mtb              ,코로나19를신천지폐렴이라불러도 무방할듯
57,너구리당              ,아~~ 신천지~~
58,상평              ,ㅠ이건 테러임...
59,692              ,21세기 살아있는 사탄. 악마의 집단...
60,Sungwook Baek              ,그 때도 이런 문제 많이 제기가 되었었는데 언론이 새누리당에 불리한건 기사를 내지 않음
61,남우민              ,대박이다..진짜..
62,분당헬스              ,믿거~~ㅇㅈ
63,해피              ,아...미친...!
64,sung wy              ,시 벌 노 ㅁ ㄷ~
65,xhqjf xhckrdhorn              ,정상적인 사람이라면 더군다나 의사가 코로나가 의심된다고 검사를 받아 보자고 하면받는게 정상적일듯 싶은데 거부를 하고 돌아다녀?...이런 비상식을 보면 뭔가의 목적은 없었는지의심을 가지지 않을 수 없는거고..또 이급박한 상황에 대구에 추경을 편성해서 지원하지는데자한당 인간들은 추경을 반대한다는 식의 대응?이건뭐 어쩌자는건지..
66,i Namaste              ,헐 진짜 무섭...
67,이미나              ,와 미쳣다.....어떻게 이렇게 연결시키지??ㅋㅋㅋ
68,김마르첼라              ,역시나...ㅋㅋㅋㅋㅋ생각한대로 ㅋ
69,청소하자              ,ㅋㅋ 신천지  새누리
70,김홍균              ,서울집회 참석여부 확인했으면 한다.
71,기레기는살처분이 답이다.              ,와! 소름...
72,도움빛 HelpLight              ,와 대박 이건 진짜 합리적인데...?
73,이수향              ,언론플레이 대단하네~ㅎㅎ
74,권.              ,👍
