,ID,Comment
0,베베맘              ,구구절절 옳으신 말씀입니다국민이 창당한 정당. 정당역사를 새로쓰는 첫걸음 입니다썩은 정치 갈아엎는 계기가 되길 간절히 염원합니다
1,김정숙              ,고등학교때 단체로 배구 응원많이 가던곳 몇십년 만에첨이고 대학 다닐때도여대라 별로 데모하지않고대부분 남자대학의 전유물^^처음으로 나라의 위기를 느끼여집회에  나갔고 ^창당하는 곳도 처음입니다^나라의 위기가 피부로 느껴져겨울을 어떻게 보냈는지도모르게 거리에 나갔지만그렇게 막으려 했던 일은다 벌어졌습니다^^절망하고 분노하고 또 분노하여봄빛을 느끼지도 못합니다^^그래도 어둠뒤에 찬란한 아침이올것을 믿고 다시 태극기를 흔듭니다^정주필님의 조언 대표님들등 리더들이 귀담아 들을것임을믿습니다^^치우침없이 바른 소리 해주심감사합니다~^^
2,우연이              ,제발 나라살리는 당이었으면 바램입니다  그래야 좌파종북을 척결했으면 좋겠습니다 정미홍씨는 국회로 가도 조금도 부족하지 않은것같애요
3,justice K              ,홍준표는 지금부터라도 2%똥바른정당과 통합운운 하지말고 추운겨울 아스팔트로 내몬 태극기애국보수들을 끌어안는 피나는 노력해야된다!그것이 무너진 보수의 존심을 지키는 길~~~
4,성순애              ,대한민국 바로세우기대장정의 첫 서막을 알린새누리당 창당대회에 다녀옵니다태극애국시민들의 꿈을 담은새 정당이 드뎌 탄생했습니다엄동설한 아스팔트 위에서태극기를 흔들며 절망속에서도눈물로 피어낸 희망꽃 입니다모든 권력은 국민으로 부터..정체성을 바로 세우고진정한 애국보수 정당으로서의출발을 축하하는애국 인사분들과 시민들의 환호와 열기가얼마나 뜨거웠던지~또 한번 눈물을 쏟았습니다영광스런 자리 역사의 현장에김진태의원님께서 보이지 않아못내 아쉬웠지만새누리당 창당을 축하하는축하 메세지를 보내주셨습니다새누리당 창당을 진심으로축하 드리며 힘찬 약진을 기대합니다
5,수ᄉᄒ              ,주필님이 나서서 홍준표+태극기새누리중매 좀 하시지요~서로 싫다고 하면자기들 八字..어쩌겠어요.비는 오는데 마음은 답답하여이다😥😥😥
6,이영희              ,억울한 드레퓌스사건처럼   박대통령은   감옥에갔습니다   억울한사람없는  정의로운사회가 되기를바랍니다  태극기애국자들도   복수심만으로   정당만든거아닙니다 법과정의가  살아있는  부강한나라  만들어서  당당한 세계일류시민됩시다
7,부흥부              ,축하 축하합니다좋은정당 국민에 지지받는정당법과 정의 보수를 대표하는 정당미래의 대한민국 대표정당이 되기를 기원합니다
8,신의저울              ,역시 정주필님 클라스 높은 말씀 감사합니다. . . 주필님 건강도 잘 챙기셔야합니다. . . 주필님의 건강이 대한민국 국민의 정신적 건강으로 이어집니다. . . ^^*
9,is K              ,"물론 개인적 생각이고 허상이겠지만 이 괴로운 시대를 겪으면서 가끔 나 나름대로 망상이라면 망상을 하곤했다. 즉 차기 자유민주애국 정부가 탄생한다면 우선 청와대비서실장엔 정주필님, 검찰총장엔 차기환 변호사, 청와대 정책기획수석엔 변희재대표 가 된다면.. 하고 꿈을 꾸곤했다.더 망상을 이어가면 이 세사람이(물론 정주필이 주도하시겠지만) 향후 강성의 내각 인선은 물론이고 개혁의 청사진을 충분히 마련할수있을거라 봤다. 난 이 세사람이 핵심이고 원점이라 봤다. 지금은 어떤상황인지 섣불리 판단 못하겠지만 그런날이 오길 바란다."
10,우연이              ,인명진은 좀벌래입니다 하나님의 사람이 아닌것같습니다
11,능운비              ,주필님 말씀 감사합니다. 태극기 애국신당 새누리당이 주필님말씀을 잘경청하고 대한민국의 미래를 책임지는 정당이 되었으면 합니다.아니 그리 될거라 생각합니다.축하드립니다.
