,ID,Comment
0,김영모              ,신천지=새누리=미래통합당
1,Yubong Song              ,미친넘.. 모르긴 멀몰라...  새누리 자체가.. 신천지...인데..신천지가.. 단체 몰표주고.... 새누리는 그거 받고.. 지역 지원사업이나.. 이권등으로 돌려주는 거지..몰라서 묻냐..??
2,김인숙              ,"신천지는새누리당자한당미통당사기꾼 이만희구속해서족치면다불거다,헌긍 유입계좌,휴대폰모조리까라피해보상2조원구상권청구하라곽상도2조원신천지불법사기대출개입도특검해야한다"
3,martin lee              ,산천지 와 코로나. 그리고 새누리당.  이건 필연이네.
4,쫌!나놔봐              ,이만희가 자한당 버러지들의 돈줄이구나!
5,김성현              ,야 2020년 이렇게 신천지는 대한민국에 코로나로 엿먹이고.   새누리당 참 ~~~
6,ᄋᄋ              ,진짜 대한민국 사상의 최악의 당이네 새누리가 뭐야     아직도 정신못차린거지 탄핵으로 끝나면 안되는거지 교주 없엔다고 되는게아니라 그 신도들이 문제인것처럼 싹다없에버려야됨
7,xYz              ,자한당 신천지 이번기회에 수사해서 싸그리 잡아들여야 한다.  안그러면 앞으로 더 큰일 일어난다
8,수치해석              ,데리고 있다가 들통나니 침투... 여기 증거가 딱 있네신천지=개독=왜구통합당
9,경원최              ,새누리ᆢ신천지ᆢ뭔 냄새지 이거?뭐지? 뭐지?
10,kyoungsu jeon              ,뜬금없이 새누리라는 당이름이 어케 나왔겠나 차마 신천지당이라고는 못하겠고 그래서 나온 당이름이 새누리당이다
11,강명숙              ,신천지는 괴물중의 괴물들이다 이만희는 악마 루시퍼의 시다바리다
12,정체인              ,한나라당은 신천지의 은혜속에서 위기 때마다 이름을 바꿔가며 교묘하게 넘어갔고 지금의 미통당까지 왔다.신천지는 미통당과 한통속이며 우리나라 보수는 기득권의 이익과 맞닿아 있다.
13,구독자              ,와 맛간다 신천지 = 새누리 박정희 최태민 영생교에서 나온게 이만희 신천지 박정희 박근혜 이가족이 진짜 대한민국에 무슨짓을 한거냐??
14,this origin              ,와 난 무교지만 CBS가 사이비 신천지 박멸하려고 많은 보도와 노력했구나.. 이부분 인정
15,셜리앤              ,비서로 일했다면 신천지의 특성으로 보아 분명히 이정현이나 다른 국회의원들에게도 접근했을것이다. 그 때 새누리라는 당명도 신천지와 유사하다는 말들이 많았다. 당의 이름이 그냥 나왔겠는가.. 분명 신천지와 새누리당이 연관이 있는 것은 맞다.
16,Sniper Scc              ,소름이다. 신천지와 새누리... 그리고 자한당 같은 패거리들이다
17,박광호              ,이짜식은 완전 조사해서 처넣어야 할거같은대 이건쿠테타에 준하는거 아냐
18,F GLC              ,"신=새   천지=누리    신천지=새누리당      사이비종교당=새누리당이 말이 자꾸 나오니 색깔을 원색적인 핑크색의 무속색깔로 바꿔 미래통합당으로 바꿨꾼,    근거가 있는 말이군!"
19,don rich              ,신천지  건물  로고랑  지금  미래통합당  로고 랑  비교해봐  소름
20,FreedomLoveTv              ,이정현 이놈의 거짓말 이다  그가 신천도 신도 가 맞다
21,커피속쓰린              ,장난하냐..모르긴..종교는 이용해 먹기 좋으니 넘어 갔겠지..다른 당들은 없나?
22,y n              ,의도적은 무슨 니들이 표밭이라고 엄청좋아라할때는 언제고 이제와서팽이냐?
23,행복해꿀벌              ,신천지=새누리 모르는 능지 떨어진 인간없지?
24,Littlebear JJang              ,신천지랑 새누리랑 뉘앙스가 통하는거 이제야 이해가 되는구만.. 몰랐다고 펄쩍 뛰겠지만 후원금을 먹었을테니 몰랐다는것도 이상하고.. 이만희가 머리가 좋구만.
25,한그              ,신천지는 이단사이비종교다..신천지를믿의면.죽지않고.영원이.산다하는대.과연그렇가?
26,김원철              ,당연하지 신천지는 비밀조직으로  권력자들에게  들어가서  돈으로 매수하는 수법을 쓰나요 ?  사이비 비밀조직 인데 ?  알고도 모른척 권력층 정치인들이  소속 되어 있는가요 ?   돈  수백억  때문인가요  ?
27,FreedomLoveTv              ,이정현 이놈이 신천지 광주 베드로 지파 간부급 신도 이다
28,최수진              ,"자한당은 끝까지 거르자. 제발 이러고도 자한당 뽑으면 이건,,"
29,엄현정              ,신천때문에 나라망한다
30,당허허              ,사이비가 나라를  몇번 망치고 국민을 큰 고통을 주었다  정치인도 각성해야 한다 사이비를 이용 하니까  코로나도오고  문제가 발생한다
31,전성용              ,뭐야 새누리당  전체가 신천지신도들 설마
32,김미경              ,악종 바이러스 신천지~~~이제 너희집단  곧  멸균. 멸종으로  LET'S   GO   하나님의   권능으로 완전 박멸.
33,gusdn0649              ,신천지가 나라를 개판으로 만들고 있네...
34,Lee Donghun              ,신천지가 새누리 지금의 미통당 이었구나 ㅉ ㅉ ㅉ
35,박영국              ,사이비신천지사태로 친일토착왜구집단의 추악한비리가 밝혀 젖으니 재발 문디들아 수구보수 꼴통들 문책 좀 안 할래?
36,오홀오홀              ,이미 박근혜 동생 박근령 남편인 신동욱씨가 신천지와 박근혜와의 관계를 폭로했슴. 박근혜 대통령 만들려 신천지와 통일교를 찾았고 기부금과 헌금도 냈다고 폭로
