,ID,Comment
0,지현우              ,김용남ㅋ지가 떨어짐ㅋ쌤통이다
1,댕냥이는사랑입니다              ,저 퇴장경고를 받은 분은 1년 8개월 뒤 진짜 퇴장 당했습니다 ㅋㅋ
2,하늘보리              ,자한당 필리버스터 진행과 동시에  드러눕기 시전  고성 야유 발사  억지 법안 남발조국구속및 문재인정부 깍아내리기 등등온갖 패악질 시전할것으로 관측됨다들 팝콘 준비각  혈압약 필수지참
3,Sungsam Inoue              ,이런걸 서민들이 봐야 하는데. 더불어 민주당에게 힘을 줍시다.
4,뉴서              ,새누리당은 존중도 없나 토론 뜻도 모르나
5,디토르              ,누가 한명한명 민주당과 시간등 자세 비교영상 만들어주세요 ㅋ
6,Cha Suhyeon              ,이야 부의장님 개사이다!!
7,에우로스              ,자리에 없는것들은 뭐죠?일도 안하면서 월급 받아가는건지..
8,Chong Yon              ,빈자리봐라. 다놀고 처먹는자리 국회의원들.
9,스마일              ,"어버이연합,엄마부대,새누리당 하는행동이 똑같네~한집안식구들이라고해도 믿겠군요"
10,ImCheol Choi              ,공천??? ㅋㅋㅋㅋ 누구 최순실한테???
11,Realistic Optimism              ,자한당이 하는 필리버스터 수준이 궁금하다 보나마나겠지만 ㅠㅠ
12,DAIDAI              ,근데 자한당이 필리버스터를 할 수 있을까ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비교될거같단말이지ㅋㅋㅋㅋㅋㅋㅋ올라오는거 꼭 봐야지
13,giantrabbit75              ,"한국당 의원들이 3년전 민주당 의원들 처럼 기품있게 필리버스터를 할 수 있을까? 관점 포인트 겠지?막장일것에 500원 건다,"
14,kdw6731              ,이런 짓 해놓고도 밥 먹을 시간 달라고 하는 게 말이 되나 수준 차이 보여주나
15,바람과 구름              ,필리버스터 정말 잘하셨습니다^^
16,한병현              ,자유발정당은 국민을 한국을 위하는 정당이 아니고 일본에 충성하는 일본의 정치인같다.
17,까치              ,꼰대당 2020년 총선에서 우리청년들이 없애버리겠습니다
18,유호진              ,개누리 클라스 ㅋㅋㅋ
19,한상철              ,필리버스터 국회방송에서 생중계해주겠지 ㅋㅋ 개 꿀잼이겠담 ㅋㅋㅋㅋ
20,허린              ,눈물납니다..ㅠ
21,pearl pearl              ,김용남 의원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
22,hans k              ,웃어야되 울어야되...정말
23,중견기업청년              ,ㅋㅋㅋ자유한국당의 말로
24,정정희              ,새누리는 하나같이 개누리.
25,홍당무              ,용남이 ㅋㅋㅋㅋㅋ
26,R K              ,막장 막장 저런 막장이 ㅉㅉㅉ개누리
27,엄성훈              ,이래도 망할 우리 국민중 일부는 이분들을 뽑껬지
28,기르              ,새누리당 뇌는 외계인듯
29,sj p              ,ㅋㅋㅋㅋ 사퇴하세요. 사과하세요! 무한반복 각
30,FULLHDCEO              ,역시 개누리당(자유개국당) 수준..
31,아인              ,"나도  1차한잔 먹고 2차로 국회로가서 한곡조를,,ㅋㅋㅋㅋ"
32,jeonghee song              ,하나의 주제로 필리버스터 할 능력도 없고 노력도 할 생각 없으니까.. 모든 법안 끌어다가 필리버스터 하겠다고 꼼수쓰셧네... 똑똑히 지켜봐주마.니들 무능력과 무치를
33,sky blue              ,앞서서 나가니 산자여 따르라~~~나도 눈물이 납니다....
34,양은숙              ,아 김용남 저 새끼 극회의우ㅏㄴ에서떨어져서 요즘 방송에서 늘 미친소리하는 개작자구나 항상 이름 외워야지 했는데 김 용남이군저따위를 논객이라고 얼굴에 심술만 덕지덕지 붙고 그 눈빛이란 야비하기가 이를데가 없군
35,51 _              ,독서실에서 보다가 2:29 뿜었네
36,하늘을닮은 삶              ,무식하고 무지하고 비상식적인 새누리당 와~~~저런 상식 이하의 사람들을 보았나~~정말  어이없네!!
37,준              ,300중에 38명 나온건가....
38,이상한사람              ,여기가 국회냐 시장바닥이냐?
39,이성준              ,필리버스터 막는 것도 이해는 가는데.. 새누리 의원들이 너무 감정적으로 대처한거 아닌가 싶다. 화내고 싶을 때 화내고 막말하고 하는게 국회에서 할만한 행동은 전혀 아닌거 같은데
40,Ri rrrmmr              ,마지막분은 좀 훈훈하시네
41,JH S              ,이때 이거보고 총선에 투표했음. 누군 뽑지말아야지 생각함
42,302ho              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 필리버스터 의원 중에 이언주가 있다니!!! ㅋㅋㅋㅋㅋㅋㅋ
43,최규성              ,더민당 의원들은 하나같이 다들 멋지네
44,김필립              ,저기서 항의하는 새누리 의원들 90%이상 다 낙선함ㅋㅋㅋㅋㅋ
45,Vanni Kim              ,진짜 너무 싫다
46,간장계란밥              ,필리버스터가 ㅈㄴ게 안 어울리네요 자한당님들ㅋㅋ자한당ㅋ ㅋ필리버스터ㅋㅋㅋ니들이?정말 할 수 있는 건 다 하는구나
47,성경              ,이 개난리 피울꺼면 필리버스터 왜 도입한거야 개노답ㅋㅋㅋ
48,이숙자              ,강기정님 수고하셨습니다
49,허영선              ,민주당의원들 멋지네
