,ID,Comment
0,JAY G              ,이완영 아저씨 전국회의원 됐죠 ? 뇌물죄로 국회의원상실 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 축하요 아저씨 이제 정치권 들어올생각 하지마세요 전직 국개의원 아저씨
1,J L              ,"의원이 뭐 , 대통령 이라도 되냐 ?  스스로 국민의  종 이라고 하던것들이 ."
2,전재현              ,와 이제 보니까 한화 삼성 sk 롯데 우두머리들 뒷통수에 대고 조직폭력배라고 한거였어 ??? 대단하다 진짜
3,밀크티맛있다              ,대단하다..이분.. 국회의원 출마하신다길래 자료 찾아보고 있는데..안 뽑을 수가 없네요.. ㅠㅠㅠㅠ 제발 국민들을 위해 일해주세요..
4,에릭쏜              ,이완영이 저런게 국회의원이라니!  수준참!
5,TV철              ,이완영인지 이완용인지.. 관상은 역시 과학인가
6,애플파이              ,주진형 진짜 대단한 강심장이다. 아니 자신감이다
7,슈만              ,"다시봐도 주진형 정말 짱이심!!!!  이완영 완전 바보같어 뭐 저런게 국회의원인지,,,,,,,,,,"
8,Street Poet              ,국회의원이 높은사람이라고 생각하는 권위의식부터 없애줘야한다그건 국회의원 스스로는 절때 못 버리는거다국민이 보여줘야한다국민소환제 강력하게 시행되어야한다
9,su park              ,이완영이 저거는 생긴것 부터 전형적인 ... ㅋ
10,Hagml Kim              ,차떼기당의 이완영  정말 무식하다. 유치원 가서 놀아
11,Marc Yu              ,하태경 나가세요? ㅋㅋㅋㅋ 저딴게 국회의원이라고... 이완용 저건 생긴거나 이름이나 딱 일제 앞잡이 스탈이야
12,김혜윤              ,이완영주진형 사장님 답변좀 배워라비굴하지 않고 하는 모습 좀 배우고청문회 도움 하나도 안됨보는 국민들 열통 터진다퇴장 시켜요
13,나이런사람이야              ,한심했대ㅋㅋㅋ 주진형님도 느끼셨겠지만 저  사람들 수준이 딱 거기 까지네요
14,Wonsuck Choi              ,이완영이 보면 대구경북의 수준을 알수있음. 이번에도 대구경북덕에 이완영이 같은 인간들 엄청 국회로 들어오겠지.
15,이지우              ,이완영 참 ㅋㅋ생긴 꼬라지처럼 하네수염이나 깍아라더 못생겨 보인다
16,석이오빠              ,저런걸 국회의원 으로 뽑아준지역구사람들 ㅋㅋㅋㅋㅋ정신들좀 차려라 인간들아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
17,jjttlove j              ,최고의 청문답변..이완영 재벌들의 개노릇.우리나라 국회의원은 재벌의 개들..특히 자한당것들..미통닭
18,이형운              ,저렇게 할말하는 사람이 있어야지
19,유승환              ,새누리당은 하나같이 수준이 왜저러지
20,리틀프린스              ,"역시 주진형,사이다 한사발.표정으로 다 말해버리네.'완영아 정신차려 이한심한놈'ㅋㅋ그까칠함 꼭 지참하시고국회에 입성하시라~~~♡♡"
21,Ko범수              ,중요한 질의나 할것이지 본인한테 예의가 있어야하나?국민들을 대변한다는 국회의원이 저정도로 썩어있어서야 원ㅋㅋ
22,이지현              ,ㅋㅋ 당당한 사이다.주진형저런 모질이들이 쫄고 있는겁니다.재벌과 기득권모피아들이 가장 두려워하는 사람이 지금 누굴까요?검찰에게 최강욱이라면 경제는 주진형이죠?
23,홍의종군              ,이완영씨 당신은 일반인 상대는 차기 국회의원ㅋㅋㅋㅋ김성태는 무엇!
24,지기순              ,주진형님 이번에 국회에 가셔서 경제는 이렇게 견인허고. 감독하고. 돕는거다. 알려주세요.👍 응원합니다.
25,카모마일              ,벌써부터 주진형 예비 국회 의원님의 활약이 기대됩니다👍👍👍👍👍👍국회에서 멋지게 일해주시길 바랍니다
26,김택균              ,이완영이 의원직 짤렷지
27,대한민국코리아              ,주진형 참 대단하네요.경제를 바라보는 눈도 예리하고 문정부에서  경제자문쪽으로 고용했으면하네요
28,켄도락              ,매국노 이완영 지금 뭐하고있나ㅋㅋ 난 이렇게 뻔뻔한 21세기 매국노는 처음봄ㅋ
29,外国人労働者              ,이름과 관상이 어쩜 저리 일치할수 있을꼬...
30,HYEOUNGCHUL BAE              ,속이다 시원하네이완여 뇌물 쳐먹 고  ㅋ
31,송지현              ,"주진형 후보님, 완전 속시원해! 사이다"
32,윤정대              ,같은  지구에 산다는게 온 우주생물에게  죄송한 맘이들면서 쌍욕도 안아오네요! ㅅㅂ
33,Yongduk Lee              ,콧털은 무슨 ㅋㅋㅋ일제시대 순경 같다 ㅋㅋ좀 어울리는 짓을 해라 ㅋㅋㅋ코털 기를 시간에 보청기를 사던가 발음 공부를 하던가
34,남jgstebxhu              ,이완영 ㅋㅋㅋ생긴것 부터가 어디 지방 깡시골 사또 밑에서 아양이나 떠는 이방처럼 생겨가지구 ㅋㅋ 술한잔 하고 와서 질의하는거냐?
35,pet shop boys              ,다시 보니까 정말 주진형 대표님 멋지십니다. 이완영같은 역겨운 구데기와 말 섞는데 참 고생하셨네요. 열린민주당 화이팅!!!
36,송암              ,질문하는 의원 함량이 엄청 미달이야...허접한거지...나도 보수지만 정말 창피해..21대 엔 안봤으면 해..
37,1eok su hite              ,주진형 이형은 진짜 형이다~♥♥♥♥♥♥♥♥♥♥기억하자 주진형
38,SUNGIN KIM              ,이완영 ㅋㅋㅋㅋ 수준이 안맞는 사람이 거기서 머하노 ㅋㅋ
39,신지              ,대박~지금보니 대박이네요주진형 짱우리나라의 수직적이고 권위적인 문화 이제 없어집니다~
40,정필승ROKMC454. 62숫범              ,어리버리 멍청한 이완영이. 저런게 국회의원이라니. 그러니 비리로 짤리지. 완영아 주선생.이번에 국회간다.. 너같은건 주후보에 인격면.실력면.. 쨉도안됀다 시키야. 경북에 태어난덕에 두번이나 해먹은거다.. ㅠㅠ
41,윤재영              ,아아 이완영 덕분에 당시 청문회 개웃겼는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋ다시 생각해봐도 또웃기네ㅋㅋㅋ 킬포가 너무많아ㅋㅋ
