,ID,Comment
0,##중장비왕초보##              ,대놓고 돈구걸하다 안되니 다 짤라버리자? 대단하네 ㅋㅋ
1,보수만 보면 짖는 개              ,새눌당 돈구걸하다 빡친거냐?
2,min min              ,국회의원이 하는 짓이 깡패네 딱 ㄷㄷ뭘 옷벗겨 ㅋㅋ지나 조심하지
3,roki lee              ,진짜.....똥누리는 안돼........
4,kh yun              ,염동열 이 국개의원은 최순실 사건뿐만 아니라  어디 드러운데는 다끼어있네이런분이 태백 영월 정선 평창 대표시군요
5,in do              ,개누리들은 어디가나 말썽....
6,ᄋᄋᄋ              ,강원도 새누리 텃밭 산골 빙시들감자나 드시래여
7,최인택              ,저런 더러븐 넘을 봤나
8,Hijacker              ,기부강요한거야? 잘못했네 그럼
9,개혁이답이다              ,개국당밥버러지들절대용서해선안된다😈
10,StarkReady              ,하아..색누리 국개의원 대놓고 말은 못하고 눈빛과 마음속으론 그랬겠지 이 개돼지가 어디 국회의원한테 눈을 똑바로  뜨고 대들어 말하면 네네 그럴것이지..근대 이거 새누리가 삥뜯는거임? 최순실처럼?
11,김지만              ,저 시의원 똘만이세끼 모야  국회의원이 벼슬이냐  국민의 종노릇하라고 뽑았지
12,Minho Kim              ,무슨 의원이 삥을 뜻냐. . . 캬!!  드러운 세상이다 정말그리고 옷을 벗긴다고?? 헐;; 당신 소리 들었다고 밥줄도 끊을려고 하네? 그러고선 그자리에 순한 강아지들 앉혀놓을려고 그러는거야?? 저런건 김영란법에 안걸리나??  기부금을 빙자한 수금인데??
13,내 생에 가장 짜릿한 경험              ,국회의원이면 나이어린놈한테 당신이라고 하면 안되는 건가요?? 삥뜯는 깡패들하고 다를게 없습니다.
14,승동자              ,아~~ 정말 저런인간을 국회의원이라니 정말 ~~이게 새누리당의 본모습인가? 투표해야할 이유가 또 하나 생겼다
15,이승우              ,새누리놈들은 권력만 얻었다하면 돈만 뜯으러다니네.....
16,정성용              ,개누리 양아치색기들ㅋㅋ이러니욕먹지
17,사라마구              ,지자체의원은 똘마니~
18,thoballee              ,와.. 대박.... 역쉬 새대갈당 답다~~~~~~~~~~~
19,남자의뱃살              ,권녁의칼을든조직폭력배들.
20,S. K Jung              ,협박이야~~~~  협박이지 뭐야~~~~   ㅋㅋㅋ
21,js lee              ,하여간 환관새기들 ㅋㅋㅋㅋ
22,우와              ,진짜 사회악이다 악
23,Hubert Chang              ,왜 국회의원이 남의 회사 회사에 가서 대 놓고 감나라 배나라 난리야?뭐 어떻게 해 볼려고 하는건가??
24,se0ng0K SeO              ,시의원은 국회의원 꼬붕인가?
25,김수현              ,저게 양아치지 국회의원이남? 그래서 국개의원이라 하는거다...
26,이정만              ,보고있으니 정말 이게뭐가 싶다. 정말 정치가 이런가 ㅠㅠ
27,조영준              ,저 시의원도 그렇고 참 똥이다 똥 무슨 국민주권시대가 열려야된다
28,박영준              ,거지냐? 구걸하고 다니게? 혈세 빨아먹는거 모자라 협박하면서 강탈하려고 하네
29,Eunju Nam              ,이름만 바꾼 자한당의 전신 새누리당 조폭당
30,rpowr mv              ,국회의원  국민소환제도 개헌안에 반드시 포함해주세요.문재인 대통령님 힘내십시요 국민들을 위하여 반드시 개헌을 해주세요.
31,my k              ,영화서 조폭들 저러드만
32,노창호              ,개누리당 진짜안되긋네
33,시골버스              ,거지야? 양아치야?
34,하오종수              ,개 드러운 것들.....
35,G Chung              ,수구  꼴통
36,Suk J Kang              ,꼭 조폭들 같다 (당신이란 말이 나쁜건가 상대을 가리켜 당신이라고 하는것 같는데)큰 소리 지르는 것은 협박이고  당신이란 말은 상대을 말하는 것이 아닌가?꼭 조폭 영화 보는것 같다 !
37,구신사              ,대단하다 와 ..삥을 뜯어라
38,dg110312              ,완전 양아치구만!
39,자유통닭눈물당              ,이야 이거 이헌영 염동렬 빼박이네ㅋㅋㅋ 구속이다 100%
40,부끄러운자화상              ,답답하네
41,김성근              ,자한당ㅋㅋㅋ
42,radioactivejap historyfakejap              ,개누리 이제 아주 대놓고 삥뜯으러 다닌거?비리부패에 아주 골구루 가지가지한다너그들은 나라세금 받음  클날놈들이고 친일매국거짓보수탈쓴 개누리양아치당 어디 안가네
43,김종원              ,양아치 🐏
44,변종운              ,의혹 ! 사건이네~!어떻게 저런일이~!다 지믿이네
45,colork68              ,저개... 부탁이래 ㅋㅋㅋㅋㅋㅋ
46,박성준              ,친박
47,다람쥐              ,올단두대
48,최영철              ,참  어처구니다
49,김kb              ,에이씨 혈압올라가네
50,혼글              ,깍두기.조상들~ ㅋㅎㅋㅎㅋㅎㅎㅋ
51,David Yang              ,대단한 쌍놈들 납셨네
52,KC Kang              ,강원랜드 폐쇄해라
53,Sangwook Jun              ,강원랜드 이사진들....젠틀하시네....러시아같으면 도끼로 찍었고....중국같으면 사시미 떴을 상황이네....하하하...젠틀한게 아니라 최순실이 무서워서 그랬을까?
54,J Kim              ,하는일이 공갈쳐서 돈뜯는일하여튼 부패집단은 어쩔수 없어.공천받을때 갖다바친돈은 빼야하니까
