,ID,Comment
0,Justice -K              ,"TK출신에도 유시민작가,김제동,이철희의원,김부겸장관,표창원의원등 훌륭한 사람들이 많은데 정치인 대다수는 쓰레기,양아치들!"
1,이우연              ,옳소~ㅎㅎㅎㅎ
2,Shin Yu Suk              ,박근혜 전대통영 사형선명운동할시기님니다 박근혜 지지인들 무죄 선면운동한다나
3,MHK Channel              ,김제동의 말빨 죽이네요. 아주 쉬운 말로 어려운 논리를 훌륭하게 설명하네요. 1년 6개 월이 지난 지금(2018년 5월 29일) 봐도 명연설입니다!
4,윤건주              ,말잘하는 놈치고 사기꾼 아닌 세이들 별로 없다고 봅니다
5,임정원              ,👍
6,고슴도치              ,넌 언젠가는..그 주둥이로 큰 봉변 당할꺼다~
7,백호랑              ,다음 대통령 으로 제동이를 밀어 주세요
8,과수원동구밭              ,보수여 흥하라
9,J학이              ,똑똑하다
10,임지선              ,흙은 금을 덮어줘야 금이 살수 있어요 ~~흙이 국민이니까 지지하는 국민이 많은 금뱃지 의원만 살수있겠죠
11,역적들아              ,사람에게현혹되지마셔요
12,박동원              ,개쒝끼
13,Seunghoon Shin              ,3분의 2를 왜 2분의 3이라고 썼지.....
14,나라사랑              ,종일우딱이들 듣거라~
15,지식인              ,무서운 놈. 적당히 선동해라보수도 있어야 진보를 견제한다.소멸해야 된다고? 전부 싸그리 공격하는가 김제동. 제발 국민들이 정신을 차리기를
16,전병철              ,"대한민국 국민으로부터 사랑 받아야할 위대한 김제동씨,"
17,김덕수              ,개그맨이면 개그나 할것이지  거짓말 해가면서  사람들 선동질을하나
18,전병기              ,재동이를 국회로 보내자...야무지게 잘할것같아...
19,Killa Kim              ,"분별력있는연예인이되는게필요합니다.코메디인지,아나운서인지,배우나탈렌트나,순수하게연기하는모습이더중요함."
20,엉겅퀴              ,죽창만 안들었지 공산당이 따로 없네 ㅋ
21,ᄀᄀᄇᄉ              ,조선민주주의인민공화국딱가리 재동반공 주의자 우파 욕하냐
22,이상옥              ,논리참 기가막히게 시부리네 .어이없다. 세상좀 바로보자. 인간들아
23,하리ᄀ.              ,우리 흙수저 우리 흙수저하는 소리 위선적이고 역겹다.
24,김홍규              ,자유한국당이땅에존속하지말아야한다
25,Permanence 88 EverPines              ,마음속 깊숙히 응원합니다
26,이푸른하늘              ,딜변가 김제동 너무멋지다 발정당 새끼들 두려우니 김제동 엄청 욕하더라 김제동 화이팅
27,Killa Kim              ,"말잘하는건,암기법으로,외우면되는데,병력이력에문제있다는.김제동씨!연예인도.공인입니다.깨끗하게정리하세요.말만하는연예인은,자격상실이지요.바른생활의실천인이더중요한공인입니다."
28,임철수              ,아무깨나조동 아라놀여부러못생긴조동아리날려불ᆞ
29,김정복              ,넘멋쩌요
30,오도하              ,대단한 김제동넘 멋지다
31,조상환              ,저도 정치에 관심을 갖은지가 얼마되지않은데갖기전 김제동을 바라보는 생각과 후의 생각은 역시 다르네요김제동씨 멋지십니다
32,혼글              ,그르치 자위당을 엎퍼야지~
33,노란장미              ,어떠한 어려움이 잇어도 조금 덜이익 이여도 좀 많이 힘들어도 자신의소신을 갖고 행동해오신 김제동  짱입니다~~전 노사모 가입은안햇지만 정치에  무관심 사실 일반인과는 먼 정치엿던 그랫엇는데 노무현대통령님을 좋아하게 되면서 정치에 조금 관심갖다가 그분돌아가시고 사실 뉴스서도 사회면 스포츠면만 봐왓어요~~지금은 연예프로보다도 스포츠 드라마보다도 정치면이 재밋슾니다~~~
34,태석정              ,50초  절대공감!!!!!!!!!!!!
35,lee큰사람              ,과거 새누리당 일본당으로 가라하셔진짜 똘아이들  부족한 사람들만  모인당
36,빵크리스마스              ,새누리 =신천지 =뉴오더 정의를외치는 김재동짱
37,이용진              ,정부에서 제일 두려워하는 사람 손석희 다음이 김제동임 외압 엄청 받았는데도 자기 할말 다 함
38,김선희              ,극우들이 싫어하는 이유지 ㅋㅋ
39,멜띠리링띠띠              ,국민의 힘을 보여줍시다하루빨리구속시키는  그날까지촛불은 점점 횃불이 되어야
40,김수령님만세              ,대단하다 김제동 계명전문대나와서 진헌법재판관이 됐네 낯짝은 진짜 대단하다 나같으면 쪽팔려 뒤질텐데
41,D eft              ,저는 여태 선거때 보수도 뽑고 진보도 뽑았지만 민주주의에 성립은 진보수가 존재하며 정치적 중립에 최고에 선택을 이끌어내는건데 새누리당은 보수 정당으로서 자리 매김 하기에 너무 깊숙히 썩어 문들어 졌습니다 아예 판을 갈아 없어서 새보수도 존재하고 진보도 함께 우리나라를 올바르게 이끌어 나가주셨으면 좋겠습니다
42,Hubert Chang              ,"국회의원 꼭 출마하세요.나오기만 하면,무조건 당선입니다.국민을 위해 일해 주세요."
43,김희진              ,🐕누리당   빙산들
44,신유진              ,똑소리나는 제동씨 세상을향해 옮은소리만 하시네요!!
45,김정은              ,힘든일 하시네요 화이팅!!
46,"c,y palk              ",오늘따라 김재동씨 말이 그냥 옳소 옳소입니다 응원할께요~^^
47,역적들아              ,니는ㄷᆢ라가라연예인자리로얌마ㅡ정신차리ㅡ제동이너자리는그기아니다ㅡ
48,MJ K              ,김제동님..존경합니다~♥
49,김효정              ,방가방가♥김재동화이팅.~~~
50,멜로마시              ,충청도가 음흉하게 통수 잘침.겉과 속이 다른 부류
51,바둑이 주인은누구???              ,저거 인간같지도 않은거 머하나 안터지나
52,스마일              ,법을 뒤엎겠다는거? 쪽수로 헌법을 그냥 뒤엎겠다는거??ㅋㅋ
