,ID,Comment
0,jinu991              ,"아줌마 먼데서 와서 본전 다 뽑았네 ㅋㅋ. 정치인들 믿지말고 속지마라..암, 지당하신 말씀."
1,사람스배하는              ,이거 방송포맷으로 프로그램 만들자. 힐말있는 서민들 나와서 하고싶은 말 하게 하는 거. 제목은 광장신문고.물론 공중파 니들은 못하겠지. 서민들 할 말 많을거다.
2,common sense              ,그 새끼들 사람 아입니다!!!!!!!!!! 어머님 멋지십니다!!!!!!!!근데 이리 눈물이 나는지 모르겠네요 ㅠㅜㅠ 건강하세요~
3,잼떠              ,아 진짜 눈물날뻔 ㅜㅜ 다 맞는 말씀입니다
4,기억장소              ,더민주 선거송으로 써라 대박이다
5,ᄒ선              ,저현장에있었는데 속고했쓸때 사람들 다따라하ㅋ고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진심소름돋음 그파도타기할떄 존심 소름돋
6,미필이총쏠때              ,정말 시대가 많이 달라 진건가..진짜 요즘 어른들 엄청 똑똑하시네.알건 다 아시는 구만..존경합니다.아주머님
7,CHOI냥냥이              ,난 첨부터 이해가 안됐다. 친일파 후손인 바그네를 대통령으로 뽑는다는게ㅡ 일본에 충성 맹세했던 박정희가ㅡ 이후로 독재정치를 펼쳤다. 그런 딸을 대통령? 말이나 되는 소리인가ㅡ 친일파들 재산 다 몰수하고ㅡ 범죄자 취급해도 모자를 판국에ㅡ 오히려 모가지 빳빳히 들고 돌아다니는게 역겹다. 정권 바뀌면 이런 인간들부터 정리하자. 나라경제발전? 안되도 좋다. 좀 더뎌도 좋으니 한번은 정리하고 가자ㅡ 정의가 구현되는 대한민국 보고싶다.
8,cccwww kkk              ,"사투리가 섞여서 조금 모를수도 있을 법했지만,자세히 들어보면 이 아주머니 말씀은 정말 명연설입니다."
9,미니마루Minimaru              ,우리 큰 엄마랑 비슷하셔서 더 마음이 아프다..... 부산에서 얼마나 억울하고 씅이 났으면 올라오셨을까...
10,yons kim              ,올해 최고연설이다!
