,ID,Comment
0,Tube Kim              ,인면수심이다 한 한마디로 선 선머슴새끼가 교 교활하구만
1,Boss Ko              ,"한선교 ,,,, 정말 추하다.....그래도 옛날에 방송에 나올때는 괜찮게 보였는데,,,,, 추하게 늙어가는 대표적 인물...."
2,creon11              ,"비리당이 그러면 그렇지 뇌물 수수, 횡령, 성범죄 각종 더러운 범죄만 일으키는 당이 당연한거지 뭐."
3,Weon Il Seo              ,5억 벌기가 저렇게 쉽다니..국민의 혈세  5억을 후리기가 저렇게나 쉽다니..국민의 혈세가 저렇게 버려진다는 사실에 분노를 느낍니다.
4,albacore              ,사실이라면 이건 완전  세금 도둑이네. 수사하라.
5,환타스틱장              ,국민 세금이 이런식으로 낭비되고 있었군요. 참 반성할 줄 모르는 사람들입니다. 
6,okjoseph Kim              ,새누리당 애들은 저기이익추구에만관심있지..  이런 정당 지원하는국민이 40%가 넘지. 부정비리가 좋다는 국민들이 그렇게많다니 참..
7,an lee              ,이것도 방송뉴스에 한줄 안 나왔네... 나참....이건 완전 썩은 정권이다. 박근혜 이 여자 웃긴 여자네.무슨 공직자 부패비리를 척결한다고? 순 거짓말만 한거야
8,마셔              ,국회의원이라는 샛기가 완전 양아치네;;
9,송미애              ,국회나와서 막말이나 해대고 멱살질이나 할 줄 밖에 모르는 양아치 사기꾼
10,wny y              ,한선교  지역구 에서 자꾸 뽑아주니 어쩌겠나? 구민이 멍청한걸?
11,arcyoon              ,서민 등처서 뜯어간 혈세들 저렇게 마구 해처먹는 것이 개누리. 5억 정도는 껌값이라고 생각하는 놈들일 듯. 이상득 사무실 바닥에 흘려 흘러다니던 액수가 8억이 아니었나요. 보좌관에게 떠넘기고  넘기고 해도 안되는 돈이 2억이라 경리가 가지고 다니고. 정권을 쥐는 목적이 해처먹기 위함이니...나라가 아직 안 망한 것이 의아합니다.
12,전재일              ,희대의 사기꾼 새로워진 정부의 힘으로 구속시켜라새누리 한놈 아웃
