,ID,Comment
0,jokker              ,"개념 찬 국회의원들 나왔네표창원, 박주민은 세비가 전혀 안아까운 국회의원이다.오히려 더 지원해야 한다.박주민은 쉬면서 일하시길.혼자만의 몸이 아닙니다!"
1,Brian Cohen              ,이 프로그램 아주 좋아 ~~표창원 박주민 인간적이고 따뜻한 사람 두 분 같은 사람이 정치를 해야 합니다 다음 회 기대됩니다 ~~
2,Heebeom Bang              ,제가 뽑았어요 박주민 의원..ㅎㅎㅎ 저번에 광화문에서 사진도 같이 찍고!!! 뿌듯뿌듯!!! 다른 것보다도 이런 좋은 인재풀 때문에 민주당 응원합니다!!
3,eunju lim              ,서울대법학과 같은대학 인재라도 우병우같은 소시오패스 악마와 인간미 넘치는 국민의 박주민~인성의 문제인가?가정교육의문제인가...
4,명품지기              ,두분을 보면 노무현에서 느끼는 짠한 그 무엇이 느껴집니다.
5,재상정              ,은평구 주민여러분 부럽네요. 그리고 표창원 의원님의 명단공개는 신의 한수였음목표물 타겟설정하고 국민들의 지원사격!!
6,ky o              ,박주민 의원님 격하게 응원하구요표창원 의원님 열렬히 지지합니다~~
7,김김              ,표창원의원 얼굴 벌개진거봐 ㅋㅋㅋ 빈속이시면 술먹기전에 우유한잔 하고 드시면 좋아요 😬😌
8,Yo Kim              ,문재인님 사람보시는눈 큰정치하실분입니다 첫째는 사람을잘써야 정치가잘됩니다
9,산호반지              ,"표창원, 박주민 의원 존경합니다. 장제원 같은 말종들에게는 사과할 필요도 없지요. 명단 공개가 지지부진한 국면을 바꾸는 데 큰 힘이 되었습니다. 야당에도 무임승차하는 자들이 많은 거 알고 있습니다. 그러나 두 분의 진정성은 오래 기억될 것입니다."
10,조애교              ,진짜 안주가 아쉽네요 표의원님 진짜 배고프셨던거같은데ㅠㅠㅋㅋㅋ 안주좀 맛있는걸로 해주시지 ... 탁자도 너무작은거같아요 ㅋㅋㅋ
11,pea bright              ,우리 시민들은 정말 현명한 것 같아요~ 시민을 위해 자기를 희생하고 정말 일 잘하는 이 두분을 당선 시킨  지역구 주민들의 현명한 판단에 감사드리고... 두분은 기성정치인처럼 기득권에 집착하는 의원이 아니시길 부탁드립니다.. 초선의원에도 불구하고 자신이 가진 역량보다 더 진화발전하신 후에도 초심 잃지 않으시길 바랍니다.  뉴스타파도 시민들의 알권리에서 독립성을 잃지 않는 언론으로 유지해주시길 기원합니다~ 뉴스포차 화이팅~
12,전명희              ,"여의도에 표의원님, 박의원님 같은 분들만 계신다면 우리나라 좋은나라 될텐데요. . . ."
13,Kim SNOOPY              ,박범계의원님 모셔주세요 ㅋㅋ
14,ANNE 50대의 빨강머리 앤              ,표창원의원님 식사하시고 일하세요. 건강이 재산입니다. 나라를 위해 할일도 많으신데...
15,YUYU mimi              ,"거지갑이란 별명이 붙는 현장에 있었던 사람으로써 증언하자면, 거지갑은 거지꼴이 될 지경이 되도 신경도 안쓰고 일에만 몰두한다고 해서 거지갑이된거랍니다. 더럽고 못나서 거지라고 하는거 아니예요ㅠㅠㅋㅋ 부디 박의원님이 거지라는 단어를 너무 신경쓰시거나 싫어하지 않으시길 바라요ㅎㅎ"
16,Chloe              ,막말은 장제원 부터 했어요. 할짓이라고...제발 사회 보려면 최소 똑 바로 찾아 보고 진행합시다.
17,행복전도사              ,표창원의원님 탄핵할때 힘내시라고카톡보냇는데 아직1번..ㅠㅠ그래도 표창원의원님 멋있어요..박주민의원님도 약자편에 서신것넘 멋있어요..두분 화이팅하세요!!!
18,꽁꽁              ,"표창원,박주민 의원님 지금처럼 국민을 위해 일해주세요 응원합니다 화이팅!"
19,jh              ,박민주 표창원 두분 화이팅 입니다.
20,러빈              ,야당정치인 중에서도 여당못지않게 물흐리는 x맨들이많죠.. 물들지않고 끝까지 지금같은 마음으로 국민을 대변해주세요 항상 두분응원합니다.
21,Luna Im              ,민주당은 참 사람냄새나서 정이가고 소통의 부재를 만들지않으려 하지않는모습이 인상깊습니다사람사는세상계속만들어나갔으면좋겠습니다.표창원의원님 박주민의원님 응원합니다
22,Steven Kim              ,오~ 차기 더 민주 리더들 모였네요!
23,jin lee              ,이분들처럼 국민을 위해 일하실 의원님들이 많아지면 좋겠습니다.표의원님 박의원님 화이팅~!!뉴스포차도 화이팅~!!
24,sukmin kang              ,두분은 아마 십년후 정치계의 큰 인물이 되실거에요~~ㅎ은평구 박주민 용인 표창원 화이팅!!!
25,puelo indigo              ,표창원 박주민 두 분 든든합니다. 민주당 인재 영입 모두 성공. 두 분 초심 잃지 말고 국민들 편에 서 주세요. 본격 음주 팟캐 포차 재미있네요. 두 분 사회자 수고해 주세요.
26,perry Jo              ,너무 거지라고 하지 맙시다. 짝꿍 속상하겠어요.
27,윤맘들              ,표창원 프리허그때 직접 본 시민입니다^^ 꺄악 진짜 멋지세요~~~
28,이중흠              ,"리얼 국회의원들이 나오셨구나^^표창원, 박주민   화이팅~~"
29,Yunjung Yang              ,썩은 대한민국 정권 아래 두분이 있어서 위로가 되요.
30,kh y              ,표의원이 명단공개한 시점은 3차담화후 갑자기  비박이 4월퇴진과 조건을 요구하며 교묘히 말을 바꾸고 간을 보기시작 할때이다.  이에 종편 단골패널들도 은근히 가세했다..  촛불민심이 청와대에서 새누리 의원 개개인으로 향하지 않았다면 탄핵가결은 불가능했다..  탁상공론만 하고 있을때   혼자 총대를맸다...  표의원 아니었으면 국민의당 꼴 났음
31,ANNE 50대의 빨강머리 앤              ,박주민 의원님! 세월호 참사원인이 꼭밝혀지길 바람니다.
32,Kwang Jung              ,박주민의원의 죽겠다.. 라는 표현에서.. 진짜 삶의 끝에 서 있었나보다 라는 생각에 눈물이 나네요.
33,우재이              ,특히 더민주 초선의원들 응원 합니다^^
34,딸기              ,두분을   보고 있는  이 아침이  너무너무  행복합니다  아름다운  날입니당  행복행복♥♥♥
35,Ji-young park              ,헐 이걸 이제 보다니 신선하당 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
36,Allen H              ,난그래도 박주민의원 팬!! 왠지 국회에도 듀오컨셉이 대유행할듯 ㅎㅎ교문위에서 장제원의원하고 표의원님 삿대질할때 진선미의원님이 손으로 막을때 심쿵
37,SUNG YOO              ,아..이번판 너무 재밌다....대박... 홍여진 기자 넉살좋아서 이뻐여!
38,JJangByung              ,그니까. 1회때도 썼지만 최소 반만취는 가야 재미가 있다니까요 ㅋㅋㅋㅋㅋㅋ 요즘 본 모든 시사토크쇼중에 제일 재밌었던거 같네요. 박주민의원님 술 드시는게 제 타입인듯. 안주는 최소화하고 누가 권하지 않아도 계속 홀짝홀짝에 자작
39,김웅이              ,표창원의원 점점 얼굴이 빨개지시네요~^^;; 곧 주무시겠다~
40,happy o              ,우와~~ 제가 좋아하는 두분이 함께 나오네요 ^^
41,ygrrr              ,아 사람다운 냄새 나서 좋다. 개누리는 태반이 시궁창 그 자체인데.
42,이명박              ,힘내라 ! 뉴스타파 !표창원!! 박주민!!
43,박상열              ,박주민의원님 넘 귀여우십니다. 사랑합니다 ㅎㅎㅎ
44,딸기              ,ㅎㅎㅎ표의원님  그렇게들  안 사세요???신의 한수였음‥ㅋㅋ멋지당
45,happy o              ,정말 재밌습니다 !!!! ㅠㅠㅠㅠㅠ진솔한 대화 완전까지..... 최고네요!!! 다음편도 빨리 보고 싶어요 ㅠㅠㅠㅠㅠㅠㅠ
46,Woonsik Chae              ,와. 대단히 좋습니다.    제가 술자리에 껴서 선배들 얘기를 듣는 느낌이네요.  인간미와 진정성이 느껴집니다.
47,염호정              ,표창원의원님 박주민의원님..!항상 응원합니다..ㅎ
48,강미선              ,제가 좋아하는 두분ᆢ 응원합니다~~~ 감사합니다
49,한실장              ,"표창원,박주민...좋아하는 분들이 같이 계시네요!"
50,마크              ,박주민의원님  👍👍👏👏표창원의원님 👍👍👏👏
51,하정우              ,재밌다 ㅋㅋㅋ 삐리리 의원은 왠지 이완영일것 같은 나만의 추측
52,뉴욕 뉴욕.              ,하.. 보면 볼수럭 안타깝네요.. 저녁 밥시간에 불러놓고 강한술에 차가운 튀김닭 한마리라... 허... 에효...  찾아가서 따뜻한 국물우동 한그릇씩 대접하고 싶네요... ㅠㅠ
53,단              ,새누리 애들은 저렇게 인터뷰 할 수 있을까?
54,John LEE              ,정말 재미있게 잘 봤습니다감사합니다지난 주보다 더 재미있는 것 같습니다
55,멘토닉/오딘콜렉션프리미엄 남성언더웨어              ,진짜 멋진분들 이십니다.
56,박정현              ,표창원 대통령 기댓납니당!
57,Jay Kim              ,이거야말로 취중'진담'이네요. 이런 솔직한 뒷이야기 방송 많아졌으면 좋겠어요!
58,갓쯔              ,1화 안민석의원님편도 재밌게 봤는데 2화 역시 게스트도좋고 더 업그레이드 된거같습니다. 시청자들과 소통하시는게 정말 보기좋네요. 그리고 여기자님 배우 박수진닮으신거같습니다..3화도 기대할게요!
59,Kwang Jung              ,"박주민 의원이 안 됐다고 생각했었는데, 저보다 부자네~~~. ㅋㅋㅋ.표창원/박주민 의원님, 두 분 화이팅입니다."
60,김가연              ,더이상 쫄지마시구 언론과 손을 잡으시고 우리 국민을 믿으시고 자꾸자꾸 오픈하세요. 현명한 우리 국민이 힘을 보태 드릴께요!!
61,임원택              ,컨셉도 좋고. 게스트 분들도 너무 좋아하시는 분들이고. 뉴스타파 항상 응원합니다.^^
62,베크              ,👍표창원의원님~👍박주민의원님~ 멋지십니다!!  국회에 없었으면 어쩔뻔!! 너무너무 수고많으시고 감사해요~ 항상응원하고 국민이 지켜드릴께요~ 문재인님의 뛰어난용병술에 박수를~보냅니다!! 역시 믿고보는 뉴스타파 <뉴스포차>다음회도 기대됩니다~ 👏👏👏
63,몽이              ,진정한언론  짝짝짝
64,Slow Slow              ,할일이 너무 많은 데 두분 나오셔서 다 미뤘어요~ 너무 멋진 분들이세요~^^
65,타카트              ,표창원 의원 👍👍👍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️박범계 의원도 모시면 안 돼요 ?
66,김영숙              ,ㅎㅎㅎㅎ 박민주 의원 참 소탈하시네요. 표창원 의원과 보기 좋습니다.
67,jae yoon Sim              ,이런 컨셉으로 조금만 더 재밌게 진행하면 '대박 시청' 나올 듯...ㅎㅎㅎ
68,Insung Jo              ,피드백 바로 바로 반영하는 모습 보기 좋습니다. : ) 확실히 술이 한잔 들어가니 더 포차 같이 자연스럽네요.
69,H.J Kim              ,마지막에 패주고 싶은 의원 김진태로 예상한다 ㅋㅋ 내가 그런 맘이라 ㅋㅋ
70,홍이              ,안주판만 요란하게 걸어놓지말고 제대로 된 안주도 준비해주세요 너무허접함 진행자두분은 게스트분들 존중해주시기바랍니다아래어느댓글처럼 불쾌하게 대하는부분이 없지않아있네요방송번창하시길~응원할께요!!
71,won ssang              ,좋은 사람들만 있으니 보기 좋다.
72,신수              ,박주민 의원님 이미지랑 다르게 재미있게 말 잘하심...파파이스보고 보여지는 이미지랑 다르다는걸 알았어요
73,기염오잉              ,박주민님은 폴라가 어울리네여~~
74,금동황              ,다른거 다 떠나서일단 재밌슴유튜브에서만 가능한음주 컨셉도 좋고대박날듯!! bb
75,박정희a.k.a.다카키마사오              ,박주민의원 멋진사람 존경합니다
76,Hell rooo              ,"표창원, 박주민 의원님 두분 다 인간적인 매력이 물씬 풍기는 듯,,, 4프로 뺀 국민을 위한 의정활동 열심히 해주셔서 감사합니다"
77,진실              ,뉴스포차 꿀잼!! ㅎㅎ저도 좋아하는 두 분 이라 그런지 더 욱더 잼있게 봤네요뉴스포차 흥하세요~! ㅎㅎ
78,이불무지              ,그런데 2부는요?... 어서 올려주세요. 현기증 난단 말이예요.
79,송미루              ,요런 꿀잼방송이 생겼다니 >_< 표의원님 박의원님 두번다 더민주의 큰 자산입니다. 우리 편에 서주시는 대표국회의원이죠.눈치보지마시고 막 질러주세요.
80,Goldkimyj              ,포차 안주메뉴 재치있네요. 선리플 후감상 ㄱㄱ
81,Kisung Koo              ,박주민 의원님하고 술 한 잔 하고 싶네요. ㄷㄷㄷ
82,정선아              ,"개기는, 지르는, 야성이 살아있는 야당으로 거듭나시길 응원합니다.깨어있는 시민의 힘, 국민을 믿고 앞장서주시길 바람 또한 남깁니다."
83,조이랑              ,아 진짜 민주당 초선의원들 보면 너무 좋다
84,임행복              ,표창원의원님 아...넘조아♡
85,Jay Lee              ,넘좋다~~~분위기도좋고
86,WOODY              ,박주민의원님 검은코트가 훨씬 나은데요.
87,Jenny Bunny Lucky              ,제가 너무 좋아하는 두분이에요♥
88,박기연              ,표의원님 술이 약하시긴한가보네 몇잔마시더니 눈주위가 달아오르셨네박의원님은 평온하시고 ㅋㅋ
89,Jh Kang              ,대본 종이가 너무 커서 술테이블 같지가 않아요. 손바닥 만하게 해서 각자 들고 있는게 낫지 않을까요??
90,김우리              ,끼고싶다...
