,ID,Comment
0,채널설정              ,후보자가 벌써부터 질문저지하고 진짜 거만하게보인다문재인.표창원후보선거유세보세요 절대 제제안하고 다정하게진심으로 다 받아줌...거리감없이
1,Starsinger79              ,"'제 얘기만 하겠습니다' = ""니들말은 들을 필요 없고 전부 내 맘대로 하겠다""로 들리는건 나뿐인가요?"
2,고구려              ,20대 총선에서 가장 속 시원한게 김을동이낙선한거ㅋㅋ이제 귀요미 손자들 하고 놀아!!애비 얼굴에 똥칠 그만하고..
3,최한나              ,헐...닶이없는 할머니일세
4,Bauermode              ,김을동 실체 알리는데 기자님 성공하셨습니다.
5,viduca marcello              ,모자쓴 계약직 애야....안타깝지만 나쁜애의 개는 되지 말자....
6,Ahn Sniper              ,김을동 낙선 축하. 쌩쇼 그만하고 쉬세요
7,암내              ,인신공격 받을까봐 안한다는거야? ㅋㅋㅋㅋ송파 주민이 호구네.
8,킹마제스티              ,난 저 수행비서란놈들이 뭔일하는지가 제일 궁금해ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
9,Ju vo              ,토론회 나가고 싶어도 못 나가는거지ㅋㅋ안 나가는거냐.? 을동아 말은 바로해라ㅋㅋ니가 아는게 있냐 내세울 비전이 있냐ㅋㅋ자식들 손주들 내세우면 될지 알았어?ㅋㅋㅋㅋㅋ뻔한 결과다
10,Hyunjoo Rachel Song              ,송일국도 의심스럽다. 어쩜 저렇게 수준이 낮을까.....
11,Mumchit              ,솔직히 어느당 편드는것 떠나서 김을동 후보 정책이나 시사이슈에대해서 아는게 얼마나 있나요? 입털때마다 한숨나오는소리만하던데 이제는 국회의원은 능력좀 되고 뭘좀 아는사람좀 뽑았으면 좋겠습니다
12,조민형              ,당당하게 남얘기 안듣고 하고싶은 말만 하겠다 하시네ㅎ 사스가. . .
13,rajia park              ,토론회을 안하는건 국민을 깔보는겁니다.
14,ji u              ,송파 사람 우습게 아네.. 헐;;;;;
15,kevin CHOI              ,정치인 수준을 알수있는대표적인 덜떠러진 어리버리.식충
16,꿋숑              ,"친자확인도 물론 중요하겠지만 참 안타까운게 박정희는 일본군 장교출신이고 만주에서 김좌진 장군 같은 독립군을 일본군의 편에서서 죽이던 일본군 앞잡이, 그런데 그 딸과 독립운동가의 손녀가 같은 당에서 뜻을 같이한다?! 조부가 살아온 길을 안다면 감히 친일당의 편에 절대 설 수가 없을겁니다.외모만 봐도 김좌진 장군과 김두한은 전혀 안닮았고 게다가 하는짓이 영 딴판...만약 만에하나 친자가 맞다고 하더라도 김좌진 장군께서 지금 손녀가 하는짓을 보시면 지하에서 대노하실듯"
17,Ilyong Lee              ,나라를 팔아먹는 김을똥
18,감성왕 김감성              ,토론회나가봤자 우물쭈물 거리다 개망신당할까봐 안나간거지
19,SH K              ,이거보면 김을동이 미운게 아니라 선거하는 국민들이 제정신이 아닌거지... 뽑은놈이 잘못햇지.. 뽑힌놈이 잘못한건 아님 ㅋㅋ
