,ID,Comment
0,김병주              ,정치적 고향이 먼저 매들었다 이제 부산이다
1,조민성              ,저거 간판 바꾸는거 좋은 방법이네
2,Michael Angel              ,아니 이렇게 멋진 시민들이 왜 그동안 개누리를 지지하셨습니까 ㅠㅠ다신 그러지 마십시요.제3 지대에도 속지 마시고요 ㅋ
3,Jin Mk              ,대구 화이팅 박사모 어디갔냐? ㅋㅋ. 잘한다.
4,대한민국사람              ,현수막 스티커 누가 준비했지 ㅋㅋㅋㅋㅋㅋㅋㅋ 고퀄리티다 ㅋㅋㅋㅋㅋㅋㅋㅋ 액정필름 좀 붙여 보신 듯 ㅋㅋㅋ 겁나 잘 붙임
5,유시온              ,저 대구사는데요..ㅋㅋㅋ 대구사람들만큼 터프한 국민들 없지..ㅋㅋㅋ 화끈하죠. 지금 대구 분위기도 완전 새누리당 잡아찢여죽일 기세.
6,dh son              ,원래 대구가 1950년대까지는  진보1번지 였다!!! 부산마산역시 야도라고 불렸다!!!1970년전후까지 전라도 경상도지역감정이 없었다 당시 dj 부산대구 안동에서 연설잘만했고 박정희역시 70년이전까지는 광주등에서도 지지가 있었다 70년초반부터 지역감정조장하고 온갖 더러운병폐에 90년대 ys삼당합당하고 이꼬라지가 된거지만 지금부터라도 지역색 벗고 사람보고 찍자!!!
7,밀라              ,"아버지께서 창조하신 영호남지역갈등.... 따님께서 ""국민대통합"" 이루셨습니다!!"
8,차선미              ,대단하십니다 대구분들  화이팅!!!!
9,HS Park              ,먹는 걸 왜 던집니까?  아깝게..  똥 뿌려요.  똥. 걸죽한 설사면 더 좋고..
10,아루티루씨              ,"60년을 빨갱이조작질, 지역조장, 분열시킨 악마 집단 개누리와 떨거지들을 박살내어 대한민국이 하나로 통합되는 역사적인 국민혁명의 시대를 이번에 기필고 만듭시다.  감사해요 대구시민 여러분 !!"
11,김또또              ,쎄다 대구 시민들.
12,Cameron kim              ,사실  새누리당 은 보수 라고도  할수 없다   보수란  개념을  잘못알고 있다새누리당에  의원들  자체가   무엇때문애   국회 에  있는지  무의미한 집단  이다     보수  진보  이런 의미  자체가  필요없다
13,this is jeopardy              ,담엔 개누리당 절대로 찍지마소! 대구시내 시장 상가 음식점에 박통부부와 박그네 사진도 다 떼내고 붙은집은 망하게 불매좀 해주이소!
14,박사과꽃향기              ,대구시민들이 다 박사모 출신들 오해했는데 많은 생각과 소신있는분들이 많았네요..새누리당 간판 바꾼것 속이 다 시원합니다..끝까지 싸워주세요..
15,smith rich              ,대구시민여러분. 그동안 오해많았습니다. 같은 대한민국국민임이 자랑스럽습니다. 앞으로도 그마음 변치말았으면 좋겠습니다
16,강민호              ,닭이 외면한 대구 서문시장에 계신분들만 힘든하루를보내시네..글게 왜 골수분자 새누리를 끝까지고집하시고 선택하셨어요..맘이 아픕니다..이제 깨달으셨단건 이미 늦었단겁니다..닭은 이미 대구시장을 버린거나  마찬가지입니다..
17,딸기우유              ,"진짜 보수와 보수로 포장된 친일매국세력을 이참에 철저히 분리시키고, 영혼없이 돈만 쫓는 친일매국세력은 모조리 청산해야 합니다."
18,Landy kim              ,"간판이 개누리당이라  할줄알았는데,,, 내시환관당이네~!!!아~ 멋지데이~ㅋㅋㅋ대구에도 이런분들 계시네~ㅋㅋ"
19,동방호룡              ,대구 시민를 이제야  멋진 대구 시민으로 거듭나게  해주신 박근혜 정말 장하다 장하다 대구시민여러분  이제는 정에 이끌려 개누리당 찍지마시고 정말 국민이 원하는 아니 국민을 위하고 국민을위해 몸을 사리지 않고 뛰는 멋진 분을 우리는 지도자로 맞이 합시다
20,du ho              ,박근혜가 업적하나는 남기고 가겠군요 지역주의타파.. 물론 자의적으로 한건아니지만ㅋ 다른곳도아닌 대구에서 이런모습을 보게될줄이야  추운날씨에 모두들고생많으셧습니다ㅠ-광화문다녀온 서울시민이
21,김도영              ,이제라도 깨어난 시민의식에 존경을 표합니다 이제 절대 언론플레이에 속지않는 깨어있는 시민이 되었음 합니다 저도 마찬가지구요 홧팅
22,JH Origin04              ,우와 대구시민들 지지했던만큼 배신감이 더 컷던거겠죠. 멋져요~이렇게 주권을 찾아서 국민앞에 사죄할 그날이 얼른 오길 외쳐봅니다~새누리도 공범이다~~~
