,ID,Comment
0,곽제일              ,이분 보온병 안상수 아님ㅋㅋㅋㅋㅋㅋㅋㅋ
1,kiung              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 졷나 웃꼌ㅋㅋ
2,The world              ,아 새누리 ㅋㅋ
3,조준철              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ못추시긴 진짜 못추신다근데 60대분이 잘 추는것도 이상해
4,권진규              ,안상수 화이팅!!
5,장민호              ,그 안상수 아닙니다.너나 낙지 드세요 쫌 알고 까시죠
6,김용준              ,정치하시는분인데 재밌으시네요~
7,장민호              ,그러게요...참 먼가 씁슬;;
8,장민호              ,유튭에서 안상수 검색하시면 진지한 영상도 있네요 그냥 단순한 show 가 아닌듯
9,장시스터즈              ,이건뭐어어지이~~~~?
10,The world              ,이사람이 그사람맞어ㅋㅋ 보온상수 행불상수는 사실인데 뭐
11,부춘산아빠곰              ,보온병상수 아닌가?
12,최동훈              ,이런분이 많이 나왔으면 좋겠네요^^
13,권진규              ,"ㅎㅎㅎㅎㅎ 노력하는 모습은 보입니다.인정!"
14,lnhee lee              ,잘췄으면 정친인인가??? 가수를 했겠지....ㅋㅋㅋㅋㅋㅋㅋ
15,The world              ,검색할 가치도못느낌 ㅋㅋ
16,bus1841              ,안상수 그 전 인천시장분 아니심?
17,이원              ,....백댄서랑 깉이 추는게 참여야?
18,김태원              ,저새끼는 그냥 여대생이 좋아서 한것 같다
19,계영근              ,롬싸롱인 줄 아나?
20,iash79              ,친일파후손들이랑 춤추고싶더냐...
21,The world              ,보온병생각나네 포탄개그
22,전영진              ,ㅉㅉ
23,장민호              ,보온병 안상수 아니거든 쫌 알고 씨부려이러니 나라가 이모양이지 
24,yoloism              ,능력은 평타 ㅋㅋ 새누리당 지지자지만 안상수가 대통령감은 아니다.
25,박미라              ,"까려면 쫌 알고 깝시다.보온 안상수 아닙니다ㅡㅡ정치인도 문제지만 일단 까고보는 시민의식도 문제야 에휴.."
26,김태원              ,새누리당 대선 나올라는 그 보온병 안상수 맞구만 아니라는 것들은 알반가 일베충인가
27,The world              ,아 아무리 생각해도 웃겨 ㅋㅋ 군대안갈라고 도피하니 행불상수 보온병가지고 포탄이라하니 그야말로 고폭탄개그
28,lnhee lee              ,"아 진짜 솔직히 욕만할꺼는 아니다젊은세대와 공감하려고 노력하는 모습 보기 좋아요!!전 응원할껍니다 :) 화이팅!!"
29,Dominik              ,놀고있네....1-8
30,차성배              ,"그런데요....... 박근혜 후보는 이때 모하셨어요????궁금궁금"
31,citisn Kim              ,노란반바지
32,Ryu Kyungyoung              ,망신이다 셔플을 이런데 쓰다니
33,박민재              ,뭐하냐 무슨 장기자랑인가
34,hlcha190              ,ㅡㅡ
35,차성배              ,"20대 정책 토크 청년과 함께... 라서 셔플댄스를....그런데...연습좀 하시지..ㅋㅋㅋㅋ너무 못춘다....하긴 20대와 소통을 위한 것이라 던데... 이정도로 추신다면 베스트죠어느 정치인이, 어느 60대가, 어느 후보가 이렇게 하겠는가?"
36,엄원식              ,측은하지만 동정심은없다
37,박건우              ,뻘짓하지마라 정치인들아 ㅡㅡ
38,김용준              ,"저 나이에...저 정도면 잘추는거 아닌가??못춘다고 하는 분들 본인은 얼마나 잘추는지 올려보셈"
39,poli21chgh              ,이런거좋지 ... 다만 선거 끝나면 안한다는거 쑈해도 좋으니 임기중엔  국민들 생각하는척이라도 좀해라
40,Joan Park              ,나 송도사는데.. 인천 말아먹고 춤이 춰지니?^^
41,wildstarss              ,인천시민으로써 욕부터 나온다. ㅅㅂ 인천 막무가네 투자로 말아드신분이 무슨 대선이고 무릅꿇고 사과부터해
42,최윤미              ,춤으로젊은이들에게 호감일느끼게하는것보단 좀더참신한주장으로이십대들에마음에콕꼿히셧으면합니다
43,노신정              ,"이 춤이 진정 젊은이들과 소통을 위한거라면정말 박수를 보냅니다.정치를 조금이라도 아신다면 안상수 후보한테 욕은 이렇게 못할겁니다.공부하세요..ㅋㅋ기사나 뉴스도 좀 보고!!!!! 이런 정치인이 어디있습니까?"
44,롸규              ,할말이없다
45,류인현              ,참 웃기는 자장짜장 이다꼴뚜기 망둥이 말이떠오른다.
