,ID,Comment
0,Richard Montbkanc              ,도로새누리당 신천지당 사기꾼놈들 압수수색하라 구속수사하라 압수수색하라 사형감이다
1,내안의블루              ,"총선 때까지 방송 자주 부탁드려요. 우리 스피커들 목소리 커지도록요. 고양이 피디님은 2,30대 공략하실 수 있어요"
2,이태겸              ,깔끔한 정리 감사합니다. 선거는 프레임이고 게임입니다이번 선거 어렵습니다.미래한국당 미래통합당의 쇼거기에 표갈라먹는 정의당과 호남당...민주당 지지자분들께서 꼭 단결해주셔야겨우 겨우 이길수있습니다..
3,CHAOS IS FAIR              ,"이거 제가 쓰는 방법인데 한 번 생각해보시길1.503탄핵은 윤짜장 특검의 공적2. 조중동은 윤짜장 나팔수3. 503패거리들은 윤짜장 싫어하지만  지지할 수 밖에 없음. 4. 보수채널가서 ""503탄핵한 윤석열을 왜 지지하세요?""라고 글을 남김."
4,8 JANG              ,This news is very useful and highly recommended for everyone.
5,lee bs함께 가는길              ,좋은 영상 항상 고맙습니다 Good news.  .
6,니타              ,뉘집 아드님이신지  똑똑하네요 앞으로도  옳은길로만 쭉 갔으면합니다    나쁜 어른들 따라가면 안돼요
7,Un Chang              ,개누리당 + 이언년이 == 미래통합당! ㅋㅋㅋㅋㅋ
8,영원한노래              ,한일전은 '가위바위보' 라도 이겨야 합니다. 화이팅~!!
9,김민정              ,This CHANNEL is great
10,choi jong sung              ,조중동이 망해야 나라가 산다
11,한강수              ,결국 돌고돌아 미래통닭으로 다시 합치면 뭐가 달라지나요. 할수없지 이번엔 무조건 1번을 뽑을 수 밖에
12,Dongsu Kyoung              ,코로나19 방역 훌륭합니다.... 다음은 미래없는 한국당 기생충 방역
13,김마빈              ,원재윤님..다음에는 꼭 개신교 집단 다뤄주세요 어찌보면 드러나있는 재벌자한당 검찰 언론 이런 카르털의 구심점은개신교 집단일수 있습니다 십일조와 언론 정치인 로비 네이버 댓글조작 십알단부터세월호 당시 서북청년단 그리고 지금의 가세연과 극우유튜버들 공통점은 다 개독교란 점입니다
14,MrSaltydog00              ,True journalism
15,min kang              ,수꼴채널 댓글 : 탄핵찬성한 미래통합당에 투표하면 우리 박근혜대통령님은 돌아오지 못합니다. !!중도커뮤 댓글 : 탄핵부정하는 미래통합당에 투표하면 최순실과 박근혜는 풀려납니다.!!
16,Jihae Fortier              ,고양이 뉴스 지지합니다. 문재인 정부 성공을 위해 노력해 주셔서 너무 감사합니다!!
17,0문과남자              ,This is very informative content. This channel is full of valuable information that is based in facts. Thank you so much I highly recommend this content.
18,시설관리facility management              ,This news is very useful and highly recommended for everyone.
19,지기순              ,This is Good news and benefited us.
20,DON S              ,진짜 개 재밌다 ㅋㅋㅋ둉나 신남 계속 댓글 달자♡이봉규 달려~난 쿨하게 사과하자 임 ㅋㅋㅋ
21,박springday              ,이 청년 엄청 귀한 인재임~ 난 촉이 좋음 내가 발견한 사람들은 언젠가 꼭 중요한 역할을 하는 큰 사람이 됨! 근데 이 청년 굉장히 중요하고 창의적이며 핵심을 찌르는 브레인이 될  인재임~ 난 재주는 없지만 사람을 잘 알아봄^^ 근데 내 눈에 찍힘~ 큰 인재 되시길~~~ 아마 그럴거임
22,김은영              ,강남고속터미널대로건널목 인도위에 문대통령탄핵 천막을보고 기가찼던 1인입니다 맘같아선 들이받고싶었지만 ㅠㅠ투표 얼마 안남았네요 이겨야 분이 풀리겠죠😂
23,김영옥              ,도로 새루리당  미래 통합당  당 이름 만 바꿔 새루리당 속은 그대로 무느만 인테리어 부실공사 미래통합당 싫다 싫어
24,claireyoon              ,I highly recommend this channel filled with informative and insightful contents. 💕💕💕👍👍👍
25,흰구름              ,"우파 유튜브들 보면,요즘 거의 이단 종교화 되어 가더군요.합리적, 상식적 생각들이 없어졌어요.다들.."
26,보수애국국민              ,친일파와 광화문 좀비들에게는 몽둥이가 직빵..
27,이미선              ,"가장 조직적이고 깨어 있는 시민들ㅎㅎㅎInformeertive, interesting, useful news"
28,Beomjun Son              ,촌철살인! 한일전은 지지 않습니다.!!!
29,송민환              ,당옴길때 돈  자유당~공화당 옴 돈두가미니 백색전화 기화집 준다해도 안가니 박정희가 매장시켜 스님되 74돌아가셨거든요
30,허유준              ,그댓글 기억납니다.다음 이었던가요?
31,박진우              ,쌈빡한 신상 전략이군요.  이번 전략도 잘 먹힐 것 같네요 . 기대 만땅~
32,이종훈              ,미래코로나당 황대표님!따라해봐요.신!천!지!방!역!황대표 꼬붕 윤청장님!해봐요. 신!천!지!방!역!국민들이 바라는데 이것도 못해요?에효~
33,Giftyou              ,고양이뉴스는 역시 천재야 💜
34,김정희              ,마지막 표현력이 굿~*
35,나란말이야              ,요즘 진짜 인기탭에 가짜뉴스 많이 줄어든거 같아요~빨랑 선거 끝났음 좋겠네요~♡
36,觀自在菩薩              ,코로나19박쥐통합당쓰레기는 한번에 싹싹 쓸어서쓰레기통에👍속지않고 투표 올바로하겠습니다😘올봄에는 밝은표정으로우리 고양이뉴스를 시청하기를기대 설렘 두근두근 🙏😻🇰🇷
37,린지하이나-이경              ,이언주  ㅋㅋㅋ아~~!  너무나 한심!!
38,y yee              ,"도로새누리당 아니고요, 도로황새당으로 하실께요. 예쁘게 봐주세여~~"
39,tong 2              ,고양이뉴스가 진짜 우리편이라서 넘넘 감사..ㅠㅠㅠㅠㅠㅠ 고뉴최고야 진짜..ㅜ
40,leaf new              ,고양이 뉴스 짱이여 미래의 보배로운 젊은이들이여 일어나라 기성세대여 아들 딸 후세를위해 깨어나세요 대한민국 정의로운사회만들어가요 왜국당 친일잔당들  청산합시다
41,sun choi              ,"고양이 뉴스 땡큐.Thank you, merci  beaucoup ~"
42,DK DK              ,천재!
43,진안고원 산골이야기              ,총선은 한일전으로 갑시다
44,김선화              ,"""good news,"""
45,dda zigi              ,good channel
46,나의고향              ,ㅋㅋㅋㅋ 속시원한 방송~~!
47,김연진              ,똘똘이 원피디~
48,박경훈              ,Amaazing! The cat news is great~~
49,엄미해              ,아주 똑소리 나게  포인트만 ㅎ 머리에 쏙쏙 잘들어옵니다 고맙습니다 우리나라의 미래입니다
50,김민수              ,"올 상반기의 최고의 댓글은 극우 채널에 달릴 ""여기가 박근혜 대통령 탄핵 찬성했다면서요?"" 입니다."
51,쥐덫              ,지금 안철수는 존재감 0이네요ㅋㅋ
52,나도 해볼까Shall I try              ,아이고 좋아!~ 너무 재미있어 good
53,아이지 원용              ,This is a valuable and informative news with facts. Highly recommended! Thank you!
54,김미경              ,Good  good  good 👍
55,김벌꿀              ,국장님 보고싶어요 야옹~♥
56,DK              ,True and interesting and informative  news! I love this channel♡
57,정우성              ,하나님을 믿어서 교회에 갔는데 정작 믿는건 목사~ㅋㅋ뭔가 거꾸로 된거 못느끼니?기독교가 욕먹는 원이이 바로 이 점이다~ 정치와 비슷하다~
58,kyeonghui ha              ,This is very interesting and informative. Awesome!!
59,Blair Choi              ,Your channel is great! I try to watch your channel every time you upload it.
60,jeen Lee              ,고양이 뉴스를 기다리고 있습니다.  기다리는 것도 좋네요!!
61,Jl              ,도로순실순실~~ 또 속으면 저지능인증 ㅋㅋㅋ
62,ycim yioo              ,불쌍한 인생~~
63,박경희              ,고양이뉴스👍👍👍👍👍
64,성막시마              ,This contents is very valuable. Highly recommend to everyone!!
65,유성온천              ,미래당 깃발보니 가관도 아니더라구요. 보는 순간 일장기에 문콕방지 도어가드 ㄷㄷㄷ 본국에 충성하기 위한건지...아주 보기싫어 죽것어요
66,se j              ,좋은 방송 감사합니다 ~♡
67,김쿠키              ,마지막인사가 묘하게 끌리는듯 ㅋㅋ
68,니가스나              ,nice ^^
69,park helen              ,Love this channel 💜
70,최현욱              ,good news
71,miyoung Suh              ,Good ~!!!!♡♡♡
72,Joyce Kim              ,울 고양이 넘 잘생기고 ~~넘 똑똑하고 ~~넘 정의롭고 ~~.넘 재치도 만점
73,토리토리              ,❤❤❤❤❤❤❤❤❤❤❤❤❤❤👍🏻
74,dio brand              ,언주야~ 언니는~ (이하 생략)
