,ID,Comment
0,S.H Park              ,모든 국정 농단의 주범들. 저 놈들이 있어 우리나라가 아직도 후진국인거다.
1,S N              ,세계최고 철판 얼굴들. 시대가 바뀜에 따라 사라져야...
2,RnB_Soul Music              ,새누리 = 신천지..새눌당은 최순실 집안과 박그네 일당들과의 공범이다
3,⃢귀염 ⃢귀염 ⃢열매 ⃢              ,뭐가 또 구려서 비공개
4,신동인              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개누리 침몰중임... 이정현 의원님 응원합니다.. 개누리의 침몰의 가속화 시키는 주연이시니 꼭 끝까지당대표 물러나지 마시고 그 자리 지켜주세여.... 그대는 우리들의 다크나이트입니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
5,이민우              ,ㅋㅋㅋㅋㅋ분명히 못밖아 두는데자비와 용서는 이번에는 없을꺼야
6,조선제일검              ,저게 당이야?답 없구만 그냥 우리 고양이랑 대화 하는게 갠찬탕
7,이현빈              ,역사속으로 꺼져라 신천지당
8,Kim John              ,죄값을 그럼 치러 그러면 용서 안해줄게 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
9,Sehyeon Park              ,mc성태 요즘 청문회 진행 장난아니던데
10,잉여인간              ,이건 헌정사상 초유의 사태이며 만약에 이사태가 수습되더라도 대한민국 국민들에게 치욕스러운 사건이다.  이건 절대로 물러날수 없다.
11,Mikyeong Ruland              ,썩을대로 썩은 개누리.. 모두 자폭 해라.!!기회주의 뻔뻔한 부패 세력들.. 대한민국 암 적인 존재들.!!
12,잊지말자              ,정치를 외면한 가장 큰 대가는 가장 저질스러운 인간들에게 지배 당하는 것이다.
13,돼지목살튀김              ,막지못해서죄송하다니? 니들도 다 한패잖아
14,andy groove              ,새누리도 이제 바뀌어야합니다개누리에서 새누리로꼼수 다 보인다 집권세력 다 물러나라
15,이지호              ,자비를 바라지 마라. 니들은 싸그리 다 디졌다.
16,스티브!!              ,김성태의원같은 분이 왜 새누리에 ㅜㅜ
17,신비광              ,개누리 쇼하는거봐라 ㅋㅋㅋ 탈당한사람도 들어줄까말까하는데 ㅋ
18,d kor              ,똑같은 것들이 급하니 발빼기에 급급해서..... 새누리 해산해라. 다른당 놈들도 똑같애. 전부 해산하고 대통령은 하야하고....그럼 나라는 어쩌냐고?  ? 신발....... 니들 없어도 지금보단 낫겠다.   이게    나라냐?
19,Ryan Park              ,국민한태 사죄했으니 이제해산해라 이버러지들아 본색을드러내니 더러운집단이란게 보인다 국민들은 박그네 와 최순실 과 너희들을 똑같은부류로 보고있다 국민들이 세금내서 운영되는 국회의사당에서 나가주라 너희들얼굴을 보면토할것같다
20,sj yu              ,여기선 김성태의원님 짱! 말로는 미안하다하고 행동은 하나도 않미안한 개누리 친박쌍놈들.
21,ra sa              ,새누리는 더이상 가망없지ㅋ 알면서 밀어줬으니 공범들 당해체가답이다. 의원들은 사퇴하고 정계에 다시는 나오지마라
22,ZENITH LEE              ,친박이나 비박이나 새누리당 지붕하에선 다 똑같다 전원 국회의원직을 내놓고 검찰조사받아라 그게 애국이다
23,ch dn              ,저게 진심으로 국민에게 사과하는 자들의 태도냐?
24,Taehwan Hwang              ,새누리 친박이든 비박이든 다 똑같은 놈들..아무리 지금 친박을 그렇게 공격해봤자 국민들은 비박계 역시 박근혜 대통령 만드는데 협조했다는 사실을 다 알고있다
25,리드무비              ,으이구...새누리당....노답이다...
26,ohth gee              ,저게 국민한테 죄송하다는 놈들입니다 ㅋㅋ 얘네는 해체밖에 답없음 ㅋㅋ
27,Kohok철수              ,이정현 정진석 조원진 윤상현 김진태이혜은 한선교 최경환 서청원 ㅋ꼭 기억해야할 이름들
28,라멘신              ,정진석이 김성태한테 꼼짝못하네 ㅋㅋㅋ
29,홍콩아가씨              ,니네는 해체가 답이다
30,mad mad              ,정현이 어디 있니? 또 단식 안하니?
