,ID,Comment
0,park sun              ,신천지 압수색가자
1,deim Carpe              ,대구 신천지 건물 앞 조각상도 비교해 보세요. (다음 지도 로드뷰로 검색 가능)
2,MOON무리              ,똥누리당 시절부터 변기통들고 따라다닌놈들!
3,금강산              ,미래망국당 친일잔재들 얼마못가 망하게 돼있다.
4,김현숙              ,만희는사기인생 성공한것같지만   ㅋㅋ 지옥 급행이 대기중 !🤣🤣🤣
5,안상              ,완전붉은색이아닌 핑크색  머지않아 붉은혈이  채워줄것이다
6,한상현              ,정신병자들도 아니고 왜이러냐ㅋㅋ  와...
7,배진환              ,의혹이 확증이 되었네빼박이다! 그러니 사이비집단옹호 하는것 당연이다황씨대표님? 크리스챤이라면서요?신천지 모른다 할수있습니까?크리스챤이면 다아는 사이비 인데!
8,봄봄              ,새누리= 신천지박근혜->영세교->최태민->최순실
9,이동근              ,신천지 유명하지 과거 조희팔사기사건에도 관련있는놈 이만희 !!! 황교활!!!
10,윤외수              ,미래통합당신천지하고  개자유당도  신천지학ㆍ  연류된것맡내개놈들  황교알 곽상도조사해바라 석열아 조국한태하드시     개석열아
11,김난희              ,더 파봐야해  뭔가 아직 구려. 더 배후가 있어
12,배정의              ,"뭔가있네.꼭 밝혀지길,,,"
13,DS P              ,새로 또 감염자가 발생했구나누가 슈퍼전자파란 말인가리더가 명단 제공했으면 막았을 텐데.가장 은밀히 숨어 얼굴도 안보이네신자에게 떠맡기고 홀로 숨으면천하의 누가 옳다 하리오지금도 병은 널리 퍼지네
14,이상숙              ,"신천지 명단 다 까고, 국개들 누가누가 신천지인지 밝혀야함."
15,힘내자              ,우와 죽은귀신이 아니라 이건  악마도 이런 악마도 없네요  아 우와
16,최승수              ,제발 저 사이비 교회들 좀 다 없애주세요.유병언도 그렇고 미친인간들 때문에 세상이 거꾸로  돌아가네요. 참 전광훈이도 추가요.
17,Dschinghis khan              ,버러지만도 못한 개상도 흉노 보리문뎅이 매국노 토착외구서울 수도권에 진입금지 시켜야한다
18,kim na rae              ,신은믿되 쭈구렁방탱이 틀딱은 믿지말자 정신나간 쭈구렁방탱이 때매 온국민이 고통받네이단은  없어져야할 존재  정신차려라 신천지들아
19,Seung Chul Park              ,사실인지는 모르겠지만  종교와 정치가 섞이는거 자체가  불순합니다;;;이게 사실이면 과거 최태민이 목사라고 하면서 활동했던 구국선교단이랑 연관있었던것처럼 지금까지도 이어지는것일까요...
20,이연서              ,소오~~~름.... 저 미친자들이 우리나라를 대표하는 국회의원이라니... 4.15 총선 때 쓸어버립시다!!!!!
21,신정숙              ,홍ㅇㅇ    그렇게  좋아하는데왜  경북 대구  방문안할까
22,빠방이끆끆              ,오졌다..미신천지당ㅋㅋㅋㅋ딱 맞는말이네..
23,배원석              ,사이비 미래통합당 신처지와 합방
24,허윤표              ,미통당은  역사속으로사라지는것이  정답이다.
25,강순숙              ,미래 통합당  신천지교회  저승급행열차타고가자ㆍ저승길ㆍ
26,양지꽃이사Kim's travel story              ,소름. 신천지 당이 맞네
27,변효순              ,그러네요  기가  막히군요 신천지 미통당 분명히  연관이 있는듯
28,ranju judy chau              ,근데 곧 그 쓰레기 정치인들이 이만희를 버릴듯 합니다 ㅎ
29,시렌              ,뭔가  있다는 느낌은 있었다.. 황교안이 신천지를 얘기 하지 않는다.. 바보도 다 안다... 지금 황교안 탄핵하라
30,얄라차              ,오우~~미쳤당소름이 쫘악 돗는설마 아니겠지...혹쉬~수구들의 원산지인가??
31,빛이이기리라              ,나두 소름!미래통곡당 의원들 검사 결과 궁금
32,용회장              ,와~진짜 살벌하다.소름이 확 돋네.어떻게 진짜 저래 비슷할 수 있지.뭔가 연관되지 않고서야 저렇게 비슷할수가 없지.분명 신천지하고 저 개누리하고 뭔가 있다.꼭 파헤쳐서 뭔가 밝혀냈으면 속이 다 시원하겠네.
33,깜놀              ,미통당이 사라저야 신천지도 사라진다 한마디로 미통당 우리나라 암덩어리 정통 기독교 장로가 신천지보고 타종교라고 옹호해 그게 장로가 이단중에 이단 신천지를 그래가지고 하나님앞에 어찌설랑고 한심한 황장로 내나이 81세 신앙생활 62년 요런 장로는 처음보네 권력이 그리 좋쏘
34,김수현              ,새누리당 때부터 로고 만든  디자인 회사  털어보면   분명   신천지와의  연결고리가  나올거라고  봅니다.....(로고 형태 +  색상=  미통당     확실해 보임)
35,지팡이              ,짜집기 잘 했구만!고소 들어갑니다. 진짜 신천지와 친한건 문씨가 천지일보에 대통령후보광고 올린건 어쩌구!가짜 뉴스 에 빠질 개.돼지 아니지몇명만빼구!
36,주영미              ,하 이건 분명 밀접한관계디ㅡㅅ
37,박정훈              ,핑크색이 뭔 죄냐 이 망할놈들아 ㅠ ㅠ  자유한국당 로고도 신천지랑 관련있던데 그건 빠졌네요
38,김동염              ,무섭고  소름끼친다 이나라 대한만국  살리는길은 만주당뿐이다
39,이미경              ,저것들이 신천지에 대해서 입도 뻥끗안하는게 다 이유가 있어 진짜 심각하네
40,한미정              ,"네,진짜 그렇네요^^.그래서,교활이가 신천지를 입에 담지 못하는 것이네요.현임 대통령의 탄핵을 거침 없이 지꺼이는 교활이가 국민들의 생명 앞에서 신천지를 지적 못하는 이유가 여기 있었던 것이네요!"
41,김태연              ,미친망할 신천지자유당 ㅋㅋㅋ
42,Master Try              ,와 이만희 로고 쩔어
43,김건희              ,설마했는데 이런 관련 글이 진짜 있네. 무섭다 세상 드러운 세상
