,ID,Comment
0,밀라              ,저래도 30%지지는 받았죠.. 국민들 정말 반성해야합니다. ㅠㅠ
1,장석              ,수준이 딱 박근혜 인데.. 산소까지. 탄소까스
2,michael disorder              ,저게 지금은 개누리 부대변인이라네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그냥 다 일본가 살어
3,서기태              ,레전드다ㅋㅋ진짜가 나타났다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4,이준영              ,이게 새누리당 부대변인 클라스인가...
5,JJ Lee              ,이런사람도 있었나요??? 신기하네요 ㅋㅋㅋㅋㅋㅋㅋㅋ
6,Seung Yoon              ,미국 같으면 이 분 바로 탈락입니다. 미안 하지만 이게 대한민국 수준입니다.
7,vem1984able              ,검색해 보니 지금 새누리 부대변인하고 있네 ㅋㅋㅋ
8,홍길동              ,내가 시발 이거 우울할때마다 본다...
9,이수진              ,참 수준떨어진다
10,MIN CHAE              ,휴... 무슨 정치를한다고..학교 반장이나해라..국민학교생같다
11,Seo Hyeji              ,저래도 뽑아주는 클라쓰
12,nana              ,영상보며 엄척 웃었음.. 그녀는 x맨 ?  ㅋㅋㅋ자격도 안되는 사람이 왜 나온겨?
13,어제도오늘도              ,아..오늘도 웃고갑니다..
14,andrew lim              ,각본도 없이 저런 코메디를 구사 하다니 박선희양 천재로군요korea got talent 에 나가시면 대상은 그대 것이네WOW  !!!!
15,영길              ,이번 총선에도 나온덴다 ㅋㅋㅋㅋㅋㅋ ㅅㅂ 딱 새누리당에 걸맞는 인재네 ㅋㅋㅋㅋ
16,Campingshow캠핑쇼우              ,여기도 조사해봐야되지 않나요? 어떻게 나오게된건지...지난일이지만 의혹입니다.
17,cD galaxy              ,저렇게 하고선  13년부터 개누리당 부대변인 이라는게 못믿겠다
18,TRACY Yoohyun 유현 Jung              ,와. 코메디도 아니고..얘랑 조은비? 참 가관.
19,Sizka Matsuyama              ,개누리 클라스
20,Jaeshik Chung              ,이번에 또 출마하셨다면서요?ㅋㅋ안창피한가...
21,Jason Sohn              ,어떻게 이런 사람이 새누리당 부대변인으로 가있는거죠?https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%95%EC%84%A0%ED%9D%AC&sm=top_hty&fbm=2&ie=utf8
22,Robert Heinze              ,화성 조은비 예비후보랑 이 박선희랑...참 새누리당의 인재상은 확실한 것 같네요 ㅎㅎㅎㅎㅎ 참.. 국민으로서 깝깝합니다. 박선희는 지식을 떠나 어눌한 언변에도 새누리당 부대변인 하고 있다네요 ㅋㅋㅋㅋㅋ
23,Rachel kim              ,와! 대단하다. 새누리.. 국민을 기만하다니. 우리국민을 뭘로 보고 이것들이
24,hawkman8596              ,"참 한심하다. 저런 게 무슨 국회의원을 한답시고 ㅠㅠ무슨 철없는 여고생이 미팅나왔나?"
25,min so              ,미치겄다 !  개그콘서트 보는줄. 저것이 새누리의원들의 민낯이 아닌지 . . .  에효
26,korulrul              ,이런건 영자막 만들어서 전세계에 뿌려야한다.
27,sethong75              ,야... 뭐 이건 ...대박이다.. 그냥 나가 버려...ㅋㅋㅋ
28,박치기              ,안산시민격떨어진다 누가추천한거야?ㅉㅉ
29,검찰out기레기out              ,못외우셨네..... 어쩌나. 
30,Seung Yoon              ,후진국에 가도 이러지 않습니다. 제발 자격 있는 사람 공천해라. 최소한 현안은 알아야지...
31,달려라백구              ,이번 총선에도 또 예비후보 등록 한거 같던데?
32,샤또라비오뜨              ,오래전부터 생각 해 왔었다며... 길거리 유세에서 말한거처럼 말바꾸기를 하는 정치인 안되려고 아애 말을 안해버린건가?
33,Robert Heinze              ,이번 2016년 대선에 또 출마하는 클라스 ㅋㅋㅋ
34,김민희              ,어디 아프신 분인가요? 목소리가 골골 앓으시네
35,LEE elpis              ,살다살다 별꼴 다보네. 허참
36,조시영              ,이런데도 당선됨ㅋ
37,하늘보리              ,심심해서 또 보고감 ㅋㅋㅋ
38,hyeon seung              ,근데 뽑혔음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
39,Seung Yoon              ,그리고 자기 지역구의 현안은  말이 줄줄 나와야 합니다. 이건 그 지역을 대표한다는 분이 그 지역 현안을 뼈 속 깊이 모른다면.. 외워서 안다면 절대 이런분 뽑으면 안됩니다. 이게 새누리 수준 입니다. 어차피 국회에 가도 옆에 사람 따라 투표 할거니깐...
40,김성훈              ,ㅋㅋㅋㅋㅋㅋㅋ
41,목동hyoji              ,보수가  똑똑하고 진보가 무식하다고 지껄이는 애들에게 던져주는 영상♡
42,김윤철              ,외웠던건데 안떠오르는갑다 ㅋㅋㅋㅋ
43,VVSH07E              ,ㅋㅋㅋㅋㅋㅋ 맨붕
44,김재규              ,이런 어버버도 39% 받았었는데 이번대선 홍준표 24%는 좀.....     원래 자한당은 막대기만 나와도 30%는 기본인데.
45,Cw P              ,참 썩었다 썩었어
46,김지훈              ,ㅋㅋㅋㅋㅋㅋㅋ ㅁㅊㅋㅋㅋㅋㅋ
47,와일드잭              ,개그우먼 치고는 너무 안웃기네여~
48,Anatomykim              ,정말 도망? ㅋㅋㅋ
49,국봉이              ,이래서 아몰랑이 나왔구나
50,chrisrhu              ,남이 적어 준 거 외우고 나오니까 홀딱 까먹쟈나~영혼은 껌 사먹었냐?
51,Ulsan Kim              ,박선희 조은비 손수조도데채 뭐냐???새누리당은 무슨 생각으로 이런애들을 내보내는거냐?애들가지고 장난치지 마라 그러면 벌 받는다.아!!! 4.13 총선에서 개누리당 개박살 났지!! 벌 받았네.
52,hey201111              ,아 창피해..
53,사람사는세상              ,니 외운걸 까머겄니?배고팠니?ㅋㅋ
54,dance roit              ,...ㅋㅋㅋ;;;
55,라이브태헌              ,오래데서 잊자뿌랏ㅓ유
56,김강우              ,나라꼴이 어떻케 될라꼬 걱정이다저런것들이 나라의 녹을 먹고있으니
57,강문수              ,내 조카가 더 낫네. 지금 중2 말 잘함. 부끄러운줄 알아야지.
58,2 jinu              ,내일이 투표일이라 다시 한 번 마음을 다잡고자 이 영상을 보러 왔습니다.
59,김네모              ,심심할때보니  잼나
60,Игорь Ян              ,선희야 가방을 왜싸니?
61,무명              ,반장선거?
62,이상준              ,오글오글
63,Bee Thoven              ,그래도 그렇지자갈의 자리는 강가. .돌이야?  똘이야?
64,뚱뚱한만두              ,볼팬 딸깍 소리 졸라 듣기 싫타
65,혼자놀기              ,열심히 외웠어야지 ~~~
66,Chae Song              ,선문대졸업자임.
67,김미선              ,헐
68,최종현              ,공천하는 꼬라지봐라그네 같은거 하나더 나오것네새누리당 저것들은 와 저러지?도대체가~ㅠ
