,ID,Comment
0,은우숑              ,사회자 박종진 욕하려고 댓글 열었더니 할 필요 없네. ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1,밀라              ,아... 사회자 능력 진짜 쪽팔린닭~~~
2,클래시카              ,선견지명 보소...
3,tochjo772              ,지금 대한민국이 필요한건 전윈책 님 같이 불편해도 당당히 맞는 말을 하시는 분들인데 그런 분들을 저런 싸구려 경고 등이나 울리며 억압하는 체널 A 에 답답함 ㅋㅋㅋ
4,cw Ju              ,박종진이는 사회자 자격이 없는 듯.
5,David              ,"전거성 : 제정신이 아니야, 정치인들이/ 박종진 : 누가여? 제가여?ㅡㅡ;;;;; ㅂ ㅅ"
6,Serpent 977e              ,종진아...말끊지 마라... 그거 굉장히  싸가지 없는거다...
7,Badger41              ,강바닥에 쏟아 부은 국가부채는 청문회해야하는거 아냐?공기업의 월급은 너무 많다. 성과를 못내는데 어째서 월급은 받아가나? 삼성같아봐라 바로 짤린다.
8,윤진사랑              ,사회자 맥 겁나 끊네 이건 뭐 사회자야 벼멸구야 단어 질문남발에 요약도 못해주고뭔 역할이지 메아리 역할인가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 보청기 하나 끼고 하던가 으어 답답이
9,이빌죠공폭룡              ,박종진 좀 닥치고 있어라. 말좀 들어볼라치면 사족 오지게 다네. 사회자가 뭘 해야하는지도 모르고 딴지나 걸고 자빠졌냐. 내시하니까 내시라고 하지 지가 왜 승질을 내.
10,Eun Yoo              ,이사회자는 이봉규와 죽이 잘맞지 .수준도 맞고
11,여정소현              ,주먹을 부르는 면상이네 박종진인지 나발인지 저런넘이 기자출신이라니 ㅉ
12,Taeyong Ha              ,전원책 저분이 정말 바른말만 하시네요.
13,Jinhee Ock              ,사회자 때문에 집중이 안 되는 지경이네요.
14,calvin              ,역시 댓글에  욕이없네요...정말 진정한우파는 새누리당이든 민주당이든 비판을 겸허히받아들인다.만약 전변호사님이 민주당욕하면 좌파들이설친다.그런데 전변호사님이 새누리당욕하니 좌파들도 기분이좋은지 암말안한다.우파는 여당의 쓴소리에 댓글로 맞다면서 적합한 비판을 한다.좌파들은 야당이 욕먹거나 잘못하면 발광을하지만 우파는 안그런사람도있지만 대게 발광하지않는다.
15,黑山              ,아~ 사회자 중간에 센스없게 끼어드는 것 때문에 몰입이 안되는 프로는 처음이네요. ㅎㅎ
16,jaysata lee              ,박종진 진행 자격없네...물러나라
17,Kino Kim              ,박종진 새누리빠인거 모르는 사람도 있나.. 전형적인 수구꼴통인데.. 그래서 이프로 안봄. 오늘 첨보네요
18,구한솔              ,이런 사람이 정치 해야지... 진정한 우파 전원책.
19,Action Plan              ,"13:20 전원책- 박종진, 박종진 - 윤창중.  개그보장 콤비ㅋㅋㅋㅋㅋ"
20,양성환              ,박종진 옆에서 쓸데없이 쫑알데네. 내가 전원책이 였으면 장난하냐고 죽빵 꼽았다
21,hi승리              ,최고의 변호사!  정부든 여당이든 야당이든 예리하게 파악하고 질책하고 소신을 말하는 분
22,Yang John              ,사회자 엄청 거슬리네~!
23,sang rae lee              ,사회자 최악이네요.
24,Kyooeun Lee              ,빛덩어리 나라라도 대통령 서로 할려고 한다 왜냐하면 나라는 망해도 대통령은 잘먹고 잘살고 매관 매직해서 돈벌수 있으니 서로 대통령 할려고 싸움질 하는게 아닌가?
25,안양토박이              ,박종진 저새키 또라이아니냐
26,AZ bru              ,사회자 때문에 1분 45초 만에 동영상 내리고 싶다.... 체널을 돌리고 싶다는 것....
27,영케이              ,박종진 쟤도 사회자하면 나는 방송사 사장해도 될정도임
28,노닥노닥              ,사회자였어??ㅋㅋㅋ토론 상대인줄ㅋㅋㅋ 5분 보고나서 알았네욬ㅋㅋㅋ
29,김준원              ,사회자 때리고 싶다 진짜
30,쌍문동기름끼              ,나라에 도둑놈들이 많다!  ㅡ허경영ㅡ
31,집정관              ,사회자가 얼마나 중간중간에 헛소리 계속 해대니까 전변이 그냥 무시하고 계속 말하네~ㅋㅋㅋ
32,타이탄              ,변호사님 너무 정확하게 꼭 찔러 말하시네 굿
33,김동동              ,사회자 웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기보고 미쳤냐고 한거냐고 ㅋㅋㅋ 진심 어이없음
34,권재              ,박종진 답 업네
35,홍종봉              ,내시당 의원 꼴 좋다 뒤질
36,블랙드래곤              ,박종진 Mc 자격이 없네 싸가지없이 자꾸 옆에서 깐족되네
37,브라운아이              ,머리에든것도 없는 사회자
38,보이스웨어맨              ,어쩌다보니 전원갓님 말씀대로 되어버렸네요 ㅋㅋㅋ
