,ID,Comment
0,T S              ,"들을수록 감탄과 탄복만 나오는 프로 ,이런 프로 길이 살려야 합니다.두 분 정말 열렬히 격하게 사랑 합니다."
1,jinny k              ,"백반토론 홧팅국민들 가려운곳 팍팍 긁어주시네요박그네 정부의 비서진괴 내각 사퇴,구속수사 해야합니다국정을 바로잡기위해국회 거국내각 해야합니다"
2,결자해지              ,내용 알고 있으면서 모른척하는 딴나라당도 반성.자성하지 못하는 인간들.
3,토깽이              ,곧있으면이컨텐츠사라지겠네요 박근혜하야!!
4,Eunicefulness              ,나경원 성신여대 비리 파헤치러 들어가자!!!
5,하자1등              ,하나씩보이네.이참에걸러내는거죠.다뒤짚어야됩니다.
6,이상준              ,쥐가 부활하고잇다~쥐구멍에서 호시탐탐 노리다..꼬봉들 청와대 입성 성공~역시 역사 이래 최대의 희대의 사기꾼답다~
7,진환              ,근혜가순실이랑하는 놀이는 정말 즐겁대
8,Anemone Yang              ,그렇죠. ..개누리도해채.
9,feel254              ,새누리당 해체!
10,아까징끼              ,최태민 바꾸네 관계는 정두언이 말했지.헌데.선거에 MB가 개입했다면 MB도 큰집 행인데 바꾸네를 선택한게 인생 최대의 실수. 덮고 덮고 하려면 헤드가 돌아가야 했는데.ㅋㅋ 최악의 선택.
11,후급사              ,개누리클라스...
12,kakaro1982              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하나 빠짐 없이 전부 잡아서 족쳐야 한다
13,안병정              ,최저 임금 몇백원 올리는데 그렇게 인색하던경제인들 ㅡ수백억씩 갖다바친인간들
14,떡상를내놔라              ,나중에 당이름 바꾸고 개혁이라고 소리지르면서  세뇌 늙은이들 표 긁어 모으겠네   딱 보인다 지지율 40프로는 걍 나올겄군
15,Mid Dragon              ,새누리당 이놈들은 박근혜가 꼭두각시인걸 알았을텐데 가만히 내버려둔 공범들.
16,하늘빡빡이              ,씨퐉 두거지같은것들 화면에 뜨니 기분엿같네...
17,사무엘              ,ㅋㅋㅋ와 진짜 무슨약을 빨으셨길래ㅋㅋㅋ꽁트가 사람 미치게하네ㅋㅋㅋ
18,임재선              ,하야! 탄핵!
19,그늘              ,최순실의 만행은 새누리당과 박근혜의 책임입니다
20,Anna Kim              ,반기문 기회주의자는 어디로 가나 이제 ㅋ
21,annette yang              ,이명박이 세운 재단도 문제 많다고 썰전에서 말하더구만. 이번에 이명박 박근혜 다 싹 벗겨야해!
22,park han              ,왜 댓글부대가 요즘 조용하지?넘 잠잠하니까 보고싶네 뉴라이트   똘마니들도 ㅋㅋ
23,국민              ,집권당의 책임~~
24,Jimmy Kim              ,씹누리당
25,루비맘              ,젊은이들이 투표를 해야 합니다 투표 안 한 허수아비 국민들도 공범입니다
26,박상진              ,웃긴데다죽이고싶다 어느나란지몰것지만 국회장에 수류탄던진 나라가졸라부럽다
27,좌파짱              ,"꼬리, 대가리 짜르고, 간판 바꾸기 전문 더뉴누리당 인사 올립니다. 여러분~!"
28,김주성              ,이거첨보는데 왜이렇게 잼있어욥ㅋㅋㅋㅋㅋ
29,Inkoan Song              ,반기문도 훅 한방에 날아가쓰요.
30,일본불매              ,마지막  웃기닼ㅋㅋㅋ
31,현빈문              ,snl당 헤체!
32,룰루              ,마지막에 안넘~어가 ㅋㅋㅋㅋ
33,성북극              ,ㅋㅋㅋ
34,광해              ,이런 퇴물외에 이나라는 인물이 없단 말인가? 능구렁이 기름장어 바크네 못지 않을 반기문 절대 안될것이다
35,이우연              ,5촌은 언제 나오나 ㅎㅎㅇㅇㅎㅎㅎㅎㅎㅎㅎㅎㅇ
36,김은숙              ,인내심을 갖고 광고시청!오래 오래 계속해주세요!
37,버려꺼져              ,너무 똑같아ㅜ
38,allen choi              ,ㅋㅋㅋㅋ ! #박근혜는?
39,예수쏘크라테스할아버지              ,굉장 잘엮었어! LOL.
40,김김정선              ,드라마가 기대된다
41,문재인대통령              ,개누리클라스 욕나온다..
42,박정민              ,소름 이익앞에 물불안가리는 똥누리 씹것들
43,소연              ,현시국에서 상황전환하려고 노력많으십니다^^
44,U Stunod              ,"전라돈 갑네, 임들."
