,ID,Comment
0,Merong 5              ,짜피 몇년뒤에 또 바꿀텐데 걍 대충지으셈. 숭구리당당숭당당 은 어떰?
1,병장심포졸              ,음식 더럽게 못하는 음식점이 상호 바꾼다고 음식이 맛있어지냐..?상호를 바꾸지말고 음식을 맛있게 할 생각이나 해라.
2,Seonjung Ju              ,도대체 몇번을 바꾸는거야....당명을 바꾸지 말고 사람을 바꿔라... 권력에 눈 먼 놈들아...
3,김도현              ,한나라->새누리->자유한국->미래통합나중에 역사배울 후손한테 미안해진다.. 시험 잘봐라
4,아기상어              ,"""국민 뜻 겸허히 받들어 당 해체하겠습니다""이게 국민들이 원하는 뜻이다"
5,hyo jin              ,또  ... 당명 바꾸냐??징글 징글하다이름만 바꾸지말고존나게 일이나 열심히 해라 세금 축내지말고 ....
6,EVANORA              ,당명이 아니라 보수를 근본적으로 혁신을 하란말이야  새누리당 자한당미래당 ..거기서 또 바꿔? 어휴 사람은 그대로인데 옷만 바꾸냐??
7,junhuek lee              ,간판교체이유: 이름만바꾸면 모르는개돼지들이 아직 있다고생각해서
8,quartz 9              ,대체 10년동안 몇 번이나 당명을 바꾸는거야... 한나라당이랬다가 새누리당이랬다가 자유한국당이랬다가 미래통합당이랬다가... 지지자들도 이름 햇갈리긋네 ㅋㅋㅋㅋ
9,마마도              ,당명 바꾸면 국민들이 모를줄알지?시대가 변했다. 이사람들아게임에서 막장짓 하다가 정기적으로 닉넴변경하면 사람들이 모를줄 아냐?언행은 변하지 않아
10,100억 부자.              ,또 바꾸냐?안 지겹냐? 핑크당 1년도 안돼었잖아?걸레는 빨아도 걸레다.
11,kyungtaek Lee              ,사람들이 똑똑해진거지. 예전처럼 당명만 바꾸고 믿어달라고해도 젊은 사람들은 바보가 아니기 때문에 당선되기 힘들지.
12,장수환              ,당명좀 그바꿔ㅋㅋㅋㅋ 양쪽다 머만하면 이름만바꺼ㅋㅋ 사람을바꺼 간판만바꾸지말고
13,이상목              ,당명만 바꾸면 뭐함사람들이 뭐 단체로 치매걸린것도 아니고선거철만되면 또 그 얼굴 그대로 나올거면서한나라당 새누리당 자유한국당 때는뭐 존나게 잘해서 이지경 이꼬라지 났냐?
14,Chairman Momo              ,내 후손들 한국사 공부할때 명복을 빈다... 당명 언제 다 외워ㅜㅠㅠㅜㅠ 한나라당 새누리당 자유한국당 미래통합당.. 맞나...? 나도 헷갈리는뎈ㅋㅋㅋㅋㅋ
15,되자!부자              ,이것들이 당명을 몇 번 바꾸는 거야?이젠 기억도 안 난다맨날 당명을 바꾸지 말고 행실들을 똑바로 해 하수들아
16,9              ,진짜 국회의원 머리에는 똥 덩어리만 들은건가?뭐가 문제인지 모르고 당명만 바꾸면 된다????이제 국민은 옛날처럼 어리숙 하지 않습니다.바퀴벌레 집단들아 ~
17,이마고              ,범죄자 신분세탁하면서 도망다니는거 같네ㅋ 꼭
18,Alexis Carter              ,"일본이라는 이름을 일제황국 뭐 이딴걸로 바꾸면 일본이 일삼은 제국주의랑 전쟁범죄, 위안부 문제와 과오가 청산된다는 논리랑 뭐가 다르냐?"
19,문현성              ,호박에 줄긋는다고 수박되나?대가리 든거보면 참ㅋㅋㅋㅋㅋ준표형 오지않는한 답없음
20,김수지              ,저들한텐 그저 이름하나 바꾸는 것이겠지만 다 국민세금으로다가 입는거 쓰는거 사무소 간판 등등 쓰이는건데 어휴... 세금을 물쓰는 써왔는데 아까운줄알까
21,183cm70kg              ,자유당-(모르는 이름)-한나라당-새(신)누리(세상 : 천지)당-자유한국당-미래통합당알고있는 허물만 벌써 다섯개째인데그게 왜 생겼고 그게 뭔 허물인지는 지들만 모름.
22,두리안              ,털갈이를 응원합니다.Trash can : 쓰레기는 할 수 있다.
23,0bock              ,진짜 바뀌는게 없다 ㅋㅋㅋㅋㅋ 그러니까 이번 총선에서도 지지...미통당을 선택한건 다른 선택지가 없었던 차선이었다
24,네로              ,당명 바꿔봤자 너넨 평생 한나라당이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
25,소녀전선유저              ,한나라당-새누리당-자유한국당-미래통합당.... 이름만 바꾸니?? 사람이랑 소신. 능력 모두 바꿔야지 뽑아주지
26,zaqu masa              ,당명이 아니라 인간들을 바꾸세욧!이렇게 돌띠들에게 나라를 마끼느니 문빠들 보다 나을게 하나도 없을듯 .. ㅊㅊ
27,랩이조아용              ,어휴 ㅋㅋ 모지리들아 ㅋㅋㅋㅋㅋ 계속 그따위로 해라ㅋㅋㅋㅋㅋ  이러니 계속 더듬어당이 이기지
28,최재영              ,그래 앞에선 고개숙이고 뒤에선 재난금안줄라고 또 통수쳤냐? 니들이 그러니깐 좌파가 죄를 져도 니들이 떳떳하지 못한거야
29,유영은              ,점만찍어도 다른사람 되는 드라마 있었지         미래.통합당 이래 바꾸시지  사람은 안변허고 이름만 바꾸니 ㅎㅎㅎㅎㅎ
30,이수민              ,이름만 바꾸면 바뀐거냐? 안에 썩어빠진 사람들이 그대로인데
