,ID,Comment
0,별무리              ,"변희재씨,어떻게 남재준 장군님을 그렇게 폄하하는 발언을 할수 있습니까?지금같이 안보상황이 매우 중요한 시기에 남장군님 만큼 안보의식이 투철한 후보가 있습니까?당신같은 관점으로 본다면, 대한민국 국민중 누구도 대통령에 출마할수 있는 사람 없습니다.실망이네요."
1,강강선동              ,우리가 태극기를 든 까닭은 좌빨들에게 나라를 빼앗기지 않으려는 염원 때문인데 그냥 이번대선 포기하고 신당 만들어서 몇몇분들 주도로 보수운동이나 하자고ᆢ뭐가 뭔지 모르겠네요 이번에 정권 빼앗겨도 괜찮다면 그동안 죽자사자 태극기는 왜 들었는지?     뭔가 이상한 방향으로 가네요 마지막까지 좌빨들에게 정권을 빼앗기지 않도록 이번대선에 힘을 모으고 난후 이후에 보수운동을 하든지 신당정치를 해야지 ᆢ 정광용이나 변희재니이 대선에 나가 당선은커녕 보수후보 표분산만 한다면 앞으로 태극기도 끝장입니다 보수는 무조건 이번대선에 힘을 모아야 합니다 포기해서도 안되고 ᆢ 간절하게ᆢ
2,Corres              ,변희재씨 의견에 동의할 수가 없네요. . . 지론이 이상하네요. . 새누리당이 빨리 대선 후보를 내서 대선에 이겨야합니다. . . 천년 만년 기다릴 수가 없습니다. 현재로서는 남재준씨가 답입니다. . .
3,동강              ,변대표님 개국 축하드립니다 그리고 신당에 적극참여 하셔서좋은 정책들 많이 만들어 주시길부탁드립니다
4,슈퍼맨              ,문씨가 대통렁되본들 우리도 촛불처럼  광화문집회계속해서 탄핵시키면 됩니다.문씨는 까면 탄핵을 넘어 사형입니다. 언론을 잡아야 합니다. 이번에 확실히 알았습니다.
5,이숙              ,김진태의원님을 하시든지  남재준장군님을  하시든지!!!아무생각없는것같아 좀실망스럽네요!!!애국국민들이 분열되지 않도록 잘생각해보는것이좋을껏같네요!!!!!
6,야후              ,남재준 대통령 환영  합니다남재준 대통령 으로 뭉칩시다우리식구5명 은 남재준 으로 결정했 습니다
7,Lee승리하리라 jongok              ,젊은이들  좀더 자중하세요. 이런 경우는 침묵이 금입니다.대동단결하여 남재준님을 대통령후보로 해야 민주세력이 사는길 입니다.
8,깅화선              ,우리국가가. 탄핵을 위해. 존재하는거아님니다할일도많고남재준대통령 김진태총리는. 국민투표개헌으로 모든내치를국방외교만빼고하면됨니다 모든양면을보고하세요태극기집회는정광용정미홍변희재를 위한집회아닌데
9,차성환              ,남재준이 아니면 위기상황의 대한민국에서 군부를  장악 통제할 수 없습니다.국민과  대한민국의  운명을  위해 새누리당 지도부는 조금 양보해주세요.
10,임하나              ,남재준원장도  자산입니다     포용해야합니다   변희재대표님의견도  존중하지만   다른의견도 고민합시다
11,Harry Ha              ,"변희재 대표님, ""신의한수 대담"" 남재준 대통령 후보 대담 3편을 보시기 바랍니다. 남후보는  한반도정세를 그리고 한국정치의 병폐를 정확히 알고 있습니다. 국가안보정신이 투철한 군인이 대한민국을 지금 이끌어야 합니다. 과거 박정희 대통령처럼 말입니다."
12,홍가네TV              ,남재준장군님을 진심으로 추대를 하긴했나요? 안나오신단 말씀은 없었습니다.정미홍님.변희재님보다. 더 휼륭하신 분입니다.변희재님 말씀중 반대 입니다 애국님들은 그분이 오셔야 당이 산다고 봅니다.절대 이번선거는 남재준장군님 아니면 힘듭니다 !이방송 들어보니 낭재준장군 끌어 내리는 방송이네요. 태극기 연관 시키지 맙시다. 그분도 타집해서 열심히 하셨습니다. 왜? 그분을 진작 대한문에 모시지 않았을까??
13,킴사              ,"변희재 대표의 말에 틀린 부분이 하나도 없다고 생각하며, 아울러 전폭적으로 지지합니다. 단지 전례가 없는 방식으로 정당이 창당됨으로 인하여, 또한 임박한 대선으로 인하여 이런저런 잡음이 나올 수 밖에 없을 것입니다. 당 지도부에서 이런저런 잡음을현명히 처리하시어 당의 발전에 밑거름이 되기를 기대합니다."
14,이봄여름              ,들어보니  이해할수없는부분이  있군요 대통령후보를 내던지 아니면 남재준장군님 추대하는게 맞는거  아닐까요?그럼  누구를 대통령으로 지지하란말입니까?홍준표는  배신자김무성과 손잡은사람 입니다 지지할수  없습니다
15,kim sk              ,남재준 후보를 추대불가라니? 무슨 그런 논리가..? 태극기집회 참석 여부보다는 대선후보의 이념과 능력 등이 잣대가 우선되어야 하는 것 아닙니까?? 변희재씨 이번 만큼은 생각이 좀 빗나간 것 같습니다.
16,pkjn pak              ,대선하지말자???대선해야한다??? 지금 대선이 진행되고 있는 상황인데  어떻게 하란말인지???너무 혼란스런 상황입니다. 촛불의 이념은 무조건반대지만  남재준님의  사상은 보수쪽입니다.  정리되지 않아서 태극기쪽 누구를 밀어야 주어야하는지???얘기가 복잡하고  어렵네요보수의 분열이 되면  안되느데....
17,Yome Hana              ,"변희재님진정,.나라와국민을생각하고계십니까..야망은망하는길로갑니다.남재준후보님을밀어주세요"
18,amor fati              ,변희재대표님  미래가 더 기대되는  보수의 보물입니다.좌파 뺀질들 어준이 시민이청래ᆢ기타 비하면에 급이 다르죠 
19,pw J              ,이번 대선때 남재준 지지하고 다음 총선때 새누리당 지지한다.
20,Jung Kwoun              ,보수가 갈라지면 필패합니다. 뭉쳐야 산다는 말을 모르는건 아니겠지요?
21,자유 민주주의 만세              ,틀을 갖추려 나오신거고 또 그래야 합니다 큰 틀에서 이해해야 합니다변희재 정미홍님은 애국보수의 보물입니다 충분히 자격있습니다길게 생각해 애국보수의 인재를 키워야 합니다 기성 썩은 정치인을 내세울 수는 없습니다남재준 그 분은 본인이 알아서 할 일입니다 의지가 있으면 경선에 참여하면 됩니다변희재 책사는 늘 정확하고 분명한 길잡이 역활을 충분히 하고 있습니다
