,ID,Comment
0,레드다이아              ,애국자라고 떠는는 보수당은 왜? 이리 본인과 자식을 군대 안보내냐? 물어보니 갑자기 대통령이 군대 특전사 출신인걸  트집 잡고 화내는건데  미친놈
1,정의진              ,꼰대 특징 : 논리딸리면 목소리 커지면서 다른부분 트집잡음
2,남상호              ,이봉규는 도대체 왜 나오는거야정말 무식하고 무지한놈이모안다고 떠들어돼
3,큐큐              ,중절모 쓰고 체크남방입고있는 사람은 논리가 유치원 수준도 안되네요
4,DrunKen Tiger              ,자한당은 대한민국에서 사라져야할 바퀴벌레 집합소임
5,ᄌᄉ              ,이봉규는 지도자가 그런 말을 하면 안됀다면서 홍준표가 저따위식으로 말하면 시원하고 솔직하다고 그럼
6,Brian Park              ,진짜 보수들이 어떤 꼰대들인지 딱 보여주네. 개소리도 진짜 저 정도면 자격증 줘야지
7,박정민              ,봉규인지 뭔지진짜 논리도 맥락도 없이 막무가내 존중은 없고 상대비하 목소리만 크면 다 되냐? 천박함이 뭔지 잘 보았다!저런 게 보수라면 보수를 진짜 경멸한다!!저런건 보수의 이름을 멋대로 차용한꼴통일뿐이다.홍준표의 일반화된 버젼~
8,Jensen AJ              ,왜 군대 안 갔냐니까 뜬금없이 사과하래 ㅋㅋㅋ 이거 개그프로입니까???
9,palm coco              ,그럼 왜 새누리당에 아픈사람이 그렇게 많죠?
10,Kyuchang Lee              ,논리도 없고 개념도 없고 뇌도 없고 딱봐도 빠가근혜 찍었을듯
11,hyuk sung kwon              ,미래에서 왔습니다이봉규 이 인간은 앞으로 방송에서 볼일이 없을겁니다오랜만에 봐도 열받는 인간이네
12,피셔              ,봉규는 말하는게 진짜  초등학교이다..
13,조한백              ,요즘 이봉규 TV에 안나오니 좋다.모질이
14,품다하늘              ,역시 조선 모자쓴놈 처음보는데 우뇌만 돌아가서 논리부터 쓰렉이네
15,김유정              ,이봉규씨 부끄러운줄알아야지요 ㄱ ㅅ 야
