,ID,Comment
0,Amos Choi              ,박사모 여러분들사랑합니다지금 우리 조국은 점점 북한에게 적화되는 과정에 있습니다.민족의 마지막 보루인 박사모의역할이 매우 중요합니다.끝까지 이나라를 지켜주세요
1,김동술              ,"종북세력들의 선전선동에  선량한 국민들 마져 선동되어 이나라가 무너저 내리고 있다. 촛불이 법이고뭐고 자유민주 국가마저 짓밟는데그 행위가 폭거 수준을 넘는다. 어쩌자고,못 살아보자, 잘살기 삻다는건가?"
2,Siyun Kim              ,"제일 먼저 범법자들과 종북들이  대한민국에서 월급을 받아가며 반국가적 종북행위를 하는 썩어빠진 국회를 해산하고촛시위를 선동하고 부추키는 문재인과 이정희, 박원순과 이재명 그리고 안철수및유시민등 모두 잡아 이땅에서 북으로 추방합시다."
3,전향숙              ,김경재 총재님   힘내십시요대한민국을  위해서  애써주셔서  너무  감사합니다..어려운  난국에  꼭  힘이되는  분이라  생각합니다 ..감사합니다♥
4,다시시작              ,탄핵에 찬성한 새누리당의원들 다음에 꼭심판해야합니다
5,화담              ,전남에도 김경재 같은 애국자가 있었다는것이 그래도 참 다행스럽다.앞으로 전라도 쌕끼들이라고 해선절때 않되겠다. 보수우파 전라도 만세 !
6,윤재곤              ,대한민국의 애국자 보수연대 국민총궐기하자 탄획 무효이며 역적 종북세력들 척결하라 적화통일 분쇄하여야 한다 국민이여 일어 나라 일심 동체로 단합하여 국가를 수호 하여야 합니다.
7,TRUMP gyuo              ,대한민국만세.🙌 대한민국만세🙌대한민국만세🙌대한민국만세🙌대한민국만세🙌대한민국만세🙌
8,Helen Doh              ,"""박 근혜 대통령이 탄핵 당했습니다. 나도 탄핵 당했습니다. 여러분도 탄핵 당했습니다"" 말에 절대 찬성 합니다. 박 근혜 대통령의탄핵은 온 국민의 탄핵이라는 마음을 반드시 가져야 하는 것이 지금 우리 대한민국국민의 심정 입니다. 이런 마음을 가지고 이 싯점에서 탄핵반대 하는 행둥을 함께 하여야 합니다. 이것이 대한민국이 살아나는 길 입니다."
9,이영희              ,분명히 망국적인 촛불은 정의의 저 태극기앞에 영원히 사라질것입니다.
10,Sarah Pak              ,새누리당은 광장 촛불을 두려말고 정부에 심어놓은 북괴 남침적화 농단의 흑암세력을 대적해야 한국이 산다.
11,YS K              ,SNS로 지인들에게 간첩언론 국회 사법부 정부 각기관 군일부 까지도 간첩들에게 장악되어 이런 국가반란이 일어난것을 지인들에게 알립시다. 나라가 바람앞의 등불입니다.sns지인들에게 알리는 운동을 펼칩시다. 빨갱이는 대가리수가 많아봐야1 2만 입니다. 보수우파는 사천만 이상입니다. 거짓언론은 못믿습니다. 진실을 sns로 지인들에게 알리는 운동을 합시다. 5분이면 됩니다.
12,법치수호              ,"위기때 마다 나라를 구한 세력은 힘없는 평범한 애국 민초들이었습니다. 일제시대때도 저항했고, 625때도 온몸으로 나라를 구하는데 앞장섰습니다. 지금도 그러합니다. 애국시민들 진심 존경하고 감사합니다."
13,블랙야크              ,존경합니다 김경재 총재님 정말 적화 되면 큰일이죠 어려울땐 언혀서 살다가 살만하니 뛰쳐 나가 집안 망신 시키고 그것도 모자라서 주군을 탄핵하는데 앞장서고 그런 넘들은 이번에 싹 짤라야 합니다 국개는 면책 특권 없애야 하구요 국개도 국민에 탄핵에 물러나야 합니다 법을 개정해서라도요 국민에 밑에서 일을해야 하는데 꼭 위에서만 할려고 하니 `세비도 줄여야 하구요
14,현사필귀정              ,애국자들님들여  <미디어워치 > 인터넷 꼭 검색해서  2016 ᆞ12.11일 박종덕님  기사 꼭 읽어보세요  ᆞ최순실 태블릿PC의혹 진상 사실이 여기에 명확히 어떠식으로 처음부터 jtbc방송이  여떤식으로 계속 조작하고 속였는지 엄청난 사실이 있습니다ᆞ이사실은 jtbc의 단순한 언론죄가아닌내란죄이며 ᆞ반란입니다ᆞᆞ 사형감입니다ᆞ여러분
15,김재철              ,북한에다 죤나게 퍼주고남북관계를 이렇게만든김대중 노무현을 탄핵해야한다고 왜! 말못합니까?
