,ID,Comment
0,Iksu              ,이거 다 알려진사실아닌가?
1,くかみ              ,일반인이면신천지교인이구..그 교인이31번암캐닷 ㅎㅎㅎ답나오넹ㅎ
2,뽕구스              ,일반시만과 공모 했구만 ㅋㅋㅋㅋ
3,nemo kim              ,그 일반시민이 이만희라는 것?
4,이름성              ,박그네키즈가 저 말하니 현실성 ㅈ도 없네 진짜
5,닭쳐라              ,그럼 신천지교주 이만희가 거짓말이네 ? 그리고 전북신천지교회함봐봐 지금 니네 미통당마크랑 안웃겨 ㅋㅋㅋ 신천지 핑크보자기는 뭘까?
6,김종현              ,어떤특정집단의 책임이 아니라고 누가 그랬던거 같은데  새누리가  일반시민 공모한거는 맞을듯 그  인물 또한 일반시민이라하면  일반시민이겠지. 그런데 난 님들말 안 믿어
7,신문고TV              ,이준석 어린넘이 최고의원..정치를 하네 아이고 두야.
8,Starlight Moonlight Yu              ,이만희가 지가 지어 줬다고 이바구 털고 다닌건 뭐냐... 이만희를 고소하던가..
9,30억부자              ,新天地 (한문) 새누리(한글)?
10,92              ,대구 새누리당 뽑아서 꼴 좋다 신천지가 왜 대구잇냐 ㅋㅋㅋㅋ
11,현성김              ,일반시민이 응모한거 맞습니다이만희가 일반시민이지 신이냐
12,이배현              ,이만 이만 희~아나타노 허파에 코로나를 만희만희~
13,쓰레기는휴지통에              ,일이나 하세요 😊판단은 우리가 할테니 ..
14,simpson homer              ,그 사실을 모르는 일반시민들도 이준석 니가 이빨 터는 순간 다 알아버렸네..선제 공격으로 막으려 하다가 수퍼전파자가 되는 이 아이러니. 자기가 직접 이름을 지어줬다는 이만희를 잡아다가 족쳐봐. 그럼 사실인지 아닌지 알 수 있겠지. 그런데 말이야. 신천지=새누리가 뜻이 같다는 사실은 변하지 않아. 그렇지 않아? 사람들이 괜히 의심하나? 단순히 아니라고 하지 말고 정확하게 해명을 해봐.
15,ES escarpe              ,"다른 사람에게 책을 떠 넣겨서는 안된다....황교안 니가 할말은 아닌거 같다..그 중요한 당명을 일반 시민이??? 그 시민이 누구니??신천지가 저렇게 클수 있게 된 토대는 니네 아니냐...박근혜랑 이만희 같이 식사하는 사진도 있던데..정치권 도움없이 저렇게 어떻게 크니..사이비가..최태민이랑 이만희랑 연관관계도 있고,..분명 최순실이랑도 연관 있겠지 ..그 딸이니까..그걸 단순 유언비어라고 일축하기에는 ...큰일 아니냐.."
16,장철환              ,"얘는 이 만희가 직접  자기가 작명을 했다고 많은 사람들 앞에서 설교까지 했더구만...., 유 승민과 박 근혜간에 대화는 어떻게 해명할꺼냐? 어린 나이에 나쁜정치를 먼저 접하고 있으니...,"
17,웃어웃자              ,난 니들이 신천지랑 짜고 방역망 무너트린거 아닌가 의심든다..너희는 충분히 그러고도 남을 놈들이거든 국민을 개돼지로 보잖아
18,수문              ,이와중에도 전 새누리당이 신천지를 옹호하니까 그러지...대놓고 신천지 때문에 퍼지고 있는데.. 니들은 머하냐두명있다고? 공범이 아니라고 하면 그게 아닌게 되냐..
19,침묵의키스              ,공모?  햇었나?박근혜가 갑자기  이름바꾸면서천막당사만든걸로 아는데...
20,아스라              ,신천지인 일반인 이였다고 느낌 오는데?
