,ID,Comment
0,KIM김동비              ,무성이 하기시러가지고ㅋㅋㅋㅋ
1,고미[高味]              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미치겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ심지어 원유철님은 잘함 ㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2,Yejin Seo              ,원유철 제일 발랄햌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
3,대명문빠              ,새누리당 장송곡ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4,Gi yeon Lee              ,딱보니 F등급이네 너네는 바로 떨어질 각이다 생방은 무리일듯
5,대박적              ,개누리노인정ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
6,용용              ,원유철ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개발랄하넼ㅋㅋㅋㅋ
7,K R              ,역시 킹무성은 아무리 신나도 안뛰는구나
8,민서연              ,전원 F
9,차david              ,노인정인가요?
10,시진핑개새끼마오쩌둥개새끼习近平 领导的反对独裁              ,캬... 이것이 한국의 유머정치입니까??
11,장반슨              ,한번 웃음거리되면 국민들 평생 비웃으며 살거라고 생각하겠지
12,o Ruhenheim o              ,극혐이란 말을 별로 안좋아하는데 이 영상에 딱 어울리는거 같음
13,kiki              ,진짜 끔찍하다;;;;
14,지코네드베드              ,저딴거 연습할시간에 나라걱정들하셔
15,ᄋᄋᄋ              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
16,꺼어어억              ,역시 킹무성 미쳐
17,JI W              ,극혐이다 뭐야이게
18,기린그림              ,아이고...무성아...
19,혀니              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ유튜브인생처음으로 댓글단다시바
20,CH U              ,ㅋㅋㅋㅋ 싫어요가 4배
21,팬시라라              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃곀ㅋㅋㅋㅋ
22,seodo walker              ,오른쪽 끝에 계신분 겁나발랄하시네ㅋㅋㅋㅋ
23,박종수              ,배윤정~:국회위원이 그렇게 되고싶니?초등학생   수준도 안되네평가를 할 실력이 안되!
24,체연갓              ,ㅋㅋㅋㅋ 우리나라 정치란...
25,naughty o-              ,픽미가 오염되고있다 ㅠㅠ 빨리 접자
26,오니              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ  열심히 하네
27,vi dan ra              ,어휴 답답하다. 니네춤처럼
28,바세린              ,이거할시간에 정치나똑바로하시길...
29,조용기              ,캬바레 ㅗㅜㅑ
30,2MUN              ,원유철ㅋㅋㅋㅋㅋㅋ 딱 잘어울린다
31,안주영              ,귀여우시네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㄱㅋㅋㄱㅋㅋ
32,묘오              ,3번째 있으신분 넘 발랄하게 추셔서 뿜음ㅋㅋㄱㄲㅋㄱㅋ
33,와사비              ,악ㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㄲㄱㅋㅋㅋㅋㅋㅋㅋ
34,원재이              ,미친 시공간이 오그라든다
35,최철              ,ㅋㅋㅋ  웃긴데 슬프다ㅜ
36,양선우              ,ㅋㅋㅋㅋㅋ 원유철이 제일 잘하네 그리고 이거 보고 이번주에 제일 많이 웃었다ㅋㅋ 예능프로로 나가면 시청률 잘나올듯
37,Andrew Shin              ,컄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ킹무성도 사람이었냐? 컄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
38,언니나여덟살이야              ,엌ㅋㅋㅋㅋㅋㅋㅋ 어떡해 안구가 오염됐엌ㅋㅋㅋㅋㅋㅋ
39,전승혁              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ돈벌기 징하게 힘들다
40,이준성              ,너무귀여워용ㅋㅋㅋ
41,별풍자              ,니네가 암만 노래하고 춤춰봐라 뽑아주나.
