,ID,Comment
0,di blue              ,정세균 국회의장님 수고가 많으시네요 새누리당같은 것들 상대하는데 품위를 끝까지 잃지않은 모습 존경합니다
1,겐스              ,밥안먹인다고 독재 ㅋㅋㅋㅋ
2,JH Kim              ,"일반 노동자들은 식사시간도 없어 컵라면으로 때울때도 있고 심지어 바쁘면 밥먹을 시간조차 뺏기는 경우가 많은데, 몇시간 좀 지연돼서 밥 못 먹는다고 저리 소란을 피우는 게 말이나 되는 일이냐. 이미 수준 이하지만 장관 해임안에 태클 걸 건덕지가 없어서 식사로 저러는 거면 진짜 정치 해서는 안될 참혹한 수준. 새누리는 무슨 식충이들만 모였냐. 정세균 의장도 참 피곤하겠다."
3,Yongkoo Chun              ,ㅎㅎㅎㅎ진짜 개누리구나.. 깽판치는 새누리였다니. 정세균 의장의 인품이 돋보인다. 야당이 오히려 의젓하네?
4,궁예의관심법              ,새누리 정말 끝이 없네..... 어쩜 저리 뻔뻔하냐?
5,서갑수              ,새누리입에서 독재라  지나가던 닭이 웃는다
6,한규호              ,밥먹을 자격 없는것 같은데...ㅋㅋ
7,지민              ,초딩도 저렇게  징징 거리진 않겠다. . .진상 진상. .
8,송재원              ,밥좀 사줘라 좀 ㅋㅋㅋㅋㅋㅋㅋ국회의원이 밥 못먹어서 회의를 못하겠단다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
9,로헬              ,정진석 저 인간 지역구 어디냐? 진짜 반성해라 쪽팔린다 쪽팔려
10,jay Park              ,밥한끼 쳐드시려고 참으로 노력한다...안스럽네 안스러워...세금으로 먹는밥인데 꼬박 챙겨드시김 해야할거야....아깝잖아...공짜밥인건데...
11,최순우 TV              ,진석아 내가 정신병원에서 일하는데 보호실 비었다 입원하자~~
12,이재성              ,밥먹고 영원히 국회 나오지말고 사퇴해라
13,GANGZHE HAN              ,"완전 양아치 떼쓰기 식이네 ,밥처먹겠다고 ㅋㅋㅋ"
14,Veolia K              ,역시 정세균 의장다운 침착함과 연륜이 느껴집니다.새누리 어깃장 작전에 무대응으로 멘붕시전....^^
15,MG J              ,정진석이! 미국유학시절 미국의회도 너처럼 하디? 자민련출신인 니 그릇을 진작 알았지만 이정도 바닥일준몰랐다.. 4선이 무색하다
16,꼬마전구              ,정진석의원이 국회의장을 완전 물로 보는듯
17,El1Eh              ,미치겠다 ㅋㅋㅋㅋㅋㅋㅋㅋ 웃겨서 배가 찢어질라해 ㅋㅋㅋㅋㅋㅋ 국회방송 짱 재밌음
18,Minuk Ko              ,너무 너무재밌다. 개그맨 직업잃겠네....어떻게해   진짜 밥굶는사람생겻네...
19,정도영              ,의장님.. 저런 새대가리것들 상대하시느라 고생 많으십니다ㅠㅠ
20,천풍돌쇠              ,"이 상황을 설명하면, 새누리 대정부질의 후에 김재수 장관해임건의안 표결 예정돼있는데 새누리가 의총한다고 두시간 반 늦게 시작했습니다. 그 후 대정부 질의 시간에도 시간 끌기식으로 장관, 총리에게 질의, 지리한 답변으로 시간 끌기하다가 밥먹을 시간 달라고 여당원내대표가 땡깡부리는 모습을 보고계신겁니다"
21,우룽우룽              ,참 어이없는게 장관해임안이 부당하다고 필리버스터라도 해서 조목조목 국민한테 알릴 궁리는 안하고 희대의 필리밥스타에 문걸기단식이라니. 나중에 이 영상 두고두고 회자될건데 정말 쪽팔리지 않으시오?
22,김지윤              ,국회의원은 인격이 있고일반 노동하는 국민은 인격이 없냐!!! 저런것들을 우리를 대표하는 사람으로 뽑은것들은 뭐냐!!! 뻔뻔스러운!!!부끄러운줄 알아야지!!!
23,Hyunjoo Rachel Song              ,정진석 저 진상 대가리만 커가지고 밥진석 탈진...밥 못먹어서 탈진...
24,The world              ,하긴 밥먹고 똥싸는게 유일하게 하는 일인데 ㅋㅋ
25,로키테              ,개누리가 독재 이야기 하니까 ㅍㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
26,DdakJji Hua              ,밥을 그리 중요시 하는 놈들이 무상급식 없애려 드냐?ㅋㅋㅋㅋㅋ
27,리셋              ,밥을 왜 밖에서 먹냐 개사료 많이 받았자나? 개밥그릇에 담아서 걍 그자리에 내줘라
28,Sun Ho Kim              ,진짜 패버리고 싶다.ㅡㅡ주어는 없다ㅋㅋ
29,김예림              ,새누리깡패당이네.국민이새누리를찍어국회의원을만들어선안된이유.
30,정식장              ,의회독재같은 소리하고있넼ㅋㅋㅋ 행정부에 있는 진짜 독재자는 안보이나봐
31,인싸르이슈              ,정진석 선전선동 언플 하는 실력이 가히 수준급이네 ㅋㅋㅋㅋ 역시 명불허전 새누리당 ㅋㅋㅋㅋㅋㅋㅋㅋ
32,su j              ,웃다가 슬퍼지는 이유 ......저게 새누리당 정치인수준인데 투표로 뽑인게 더화나
33,life초이스              ,정세균 의장님  넘  잘하신다
34,Andrew Khan              ,정진석 너 양아치니?ㅋㅋㅋ4선의원 같아보이진 않는다 모지리ㅋㅋㅋㅋㅋ
35,야생초              ,밥....참으로 어이없는 하심한 작태다....차마 눈드고볼수 없는 이나라의 현실....닭도 배꼽잡고 웃겠다...
36,잘봐라              ,코미디 찍나?   참.
37,김인숙              ,개누리 너무너무 싫다영원히 개누리가 없어지길 소망합니다
38,BJin Jeong              ,와..정세균의장님 참되신 분이란게 보이네..
39,박연경              ,해임 사유가 타당허구먼. 여기서 이러지말고 인사검증 우모씨 앞에다 이렇게 해야지. 저러다 찬성표 많이 나올까 단체퇴장? 이런 된장! 뭣이 중헌디 정권이 우선? 상식에 너~~~무 아니다
40,from 99              ,"개눌들이  밥 달라고 인격을 국회에서 이야기 한다, 이것이 자칭 개보수 라고 우기는 개눌들의 면상이다자칭 보수수들이 니들은 국회에서 회의하다 밥달라고 조르는 것들을  뽑아대고 참 자랑스럽냐, 푸하ㅏㅏㅏㅏㅏㅏㅏ"
41,가방소주              ,진짜 웃긴 놈들이다.한심하다 진짜~저녁도 못 먹고 일하는 경우 허다하다.
42,날아라파트라슈              ,헌정사에 김밥먹을 시간 달라는거 처음이다. 으이구
43,뚜기오              ,참..나쁜놈이네  . 지들 거대여당때는 마음대로 하더만..개누리들 양심도 없다.
44,Dom Barrett              ,ㅋㅋㅋ 밥먹을 시간이 중요한가 보네 새누리당은 ㅋㅋㅋㅋ
45,가츠              ,개누리 쪽팔리는줄 알아라
46,김수연              ,뻔뻔함이 극치를 달리네 누가봐도 시간 끌긴데 새누리 빼고 다 바보 천치로 아나
47,나영기              ,땡깡 땡깡도 이런땡깡이~~~
48,호나우지뉴              ,저렇게 힘쓰니까 배고픈거지
49,아린아              ,개누리가 독재래 ㅌㅋㅋㅋㅋㅋㅋㅋㅋ 닭대가리 기억력인가 ㅋㅋㅋㅋㅋㅋㅋ
50,박종영              ,진짜 이런소리 하기 머하지만... 저런 인간을 국회의원으로 뽑아준 골빈 애들이 더 문제라고 본다.
51,hyeong lee              ,어휴 개누리 .. (절래절래)
52,viduca marcello              ,"원내대표는 미쳐서 날뛰고, 당대표는 단식투쟁에.....이 정권 진짜 미쳤다...."
53,Hongsoon Kim              ,식사시간안준다고 떼를쓰네....차라리 다른 핑계를대지
54,heyjjang6              ,국회의장 왜캐 쩔쩔매지 그냥 퇴장시키면 안되나...
55,김예림              ,바꿔바꿔하면선밥먹으면되는데외이렇게난동을부리니온통장관들대통령나쁜짓을많이해놓고새누리당을청산하자!
56,박중훈              ,진짜 창피하다 창피해 배터지게 먹고와라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
57,Chunwoo nam              ,진상 정진석...꼬라지 하고는ㅉㅉ
58,hgzgl 82              ,하하하핳하하하하ㅏ하하하하하하핳하하하하 아니 진짜 이나라 국회는 진짜 ...... 개콘임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
59,임낙준              ,초등학교 선거 보는것 같네;; 저게 4선의원이라고;;
60,히휴              ,식충이들
61,Man Hee Won              ,이참에 정진상으로 이름을 바꿔라..
62,Jaejae White              ,진짜 부끄럽지도 않나? 밥먹으러 국회왔나? 정말 이런 영상이 모든 방송에 나가서 당신들이 지지하는 사람들이 이정도입니다를 알려줘야할듯
63,방탄오소리              ,이게 울나라 국회의원 수준인가? 참 부끄럽다
64,Lee kwang woo              ,진석아~? 떼쓰기 달인 제발 사퇴해라....
65,Coen Chang              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개그콘서트 시청률 안 나오는 이유가 있네 코미디보다 더 코미디 같은 현실
66,KongYa HeeMa              ,헌정사에 이런적이 없었데 ㅋㅋ 그럼 13년전엔? ㅋ
67,바오밥              ,"공부하느랴, 바쁘랴, 돈 없어서 밥 굶는 서민들이 얼마니 많은데.. 겨우 한끼갖고 저런건가? 정말 한심하다."
68,준짱              ,저게 바로 개누리당이다
69,moy Lee              ,목구멍에 밥이넘어가냐? ㅋㅋㅋㅋㅋ
70,김준케이              ,정진석? 자는 누꼬? 자녀들은 얼마나 쪽팔릴까...에휴
71,밍진              ,궁금해서그러는건데.. 밥 먹으면 뭐 가결되는상황을 제지할 수 있는건가요?왜저렇게 까지 밥좀먹자고하는지 무슨 이유가 있는게 아닌지 궁금해서요.
72,글세요              ,16대 부터 국회의원 했다는 사람이 이것보다 추한 국회를 본적이 없다고 ㅋㅋㅋ  밥달라고 떼쓰는게 반찬투정하는 어린애보다 못하다.  정당한 주제나 토론거리를 들고 나와서 얘기하는 것도 아니고 밥얘기를 40분동안 하냐. 우리학교 급식 아줌미들도 밥얘기 40분동안 하지 않는데
73,야옹아우리집 갈래 ?              ,개누리 추해 ㅋㅋㅋㅋㅋ 다 폭력 집안에서 자란  인간들 같음 ㅋㅋㅋ
74,울랄롱울랄랄              ,새누리당 이즈더 민족배신한 친일파 놈들이 목숨구할려고 만든 당이지 ㅋㅋㅋ무섭거든 정의 앞에서면 ㅋㅋㅋ
75,zh choe              ,개사료를 줘야...
76,마지기              ,진상도 저런 진상 드물다.밥진석.
77,o RION              ,대가리 수 믿고 깡패 근성 보였던 새대갈 들에 대한 통쾌한 복수
78,복싱맨              ,ㅋ 4선의원 원내대표가 김밥 먹고싶다고 2시간 이상 떼를쓴다? 새누리 대표  수준이 이런거? 아치네 아치..
79,남nobunk              ,거지도 아니고 참
80,킁킁              ,밥 못 쳐먹어서 죽은 귀신 들렸나?ㅋㅋㅋㅋㅋㅋㅋ 애새끼도 아니고 밥달라고 떼쓰고있넠ㅋㅋㅋㅋㅋ 존나 뱃대지 보니까 그만 쳐먹어도 되겠그만ㅋㅋㅋㅋㅋㅋ
