,ID,Comment
0,QORTM TPTPR              ,조금 충격이다 어떻게 국회의원 예비 후보로 나온 사람이 기자가 한 질문에 단 한마디도 대답을 못 할 수가 있는거지
1,문찬              ,국범근을국회로 ㅋㅋㅋㅋㅣㄱ
2,유튭 시청자              ,새누리당의 99%는 학혈지연과 돈으로 이루어져 있다고 본다.
3,Kiwon Cho              ,범근씨 당신이 국회로 간다면~ 내가 선거캠프에서 돕겠소.  빗말이 아니외다 ㅎㅎ
4,위드              ,국범근을 국회로
5,두통약              ,국범근 국회가면 한표 예약해두겠습니닼ㅋㅋ
6,때리고싶진승              ,"네 , 그 청년대표 국범근 어떨까요 ? 찬성하시는분 좋아요"
7,Jonah Suh              ,당당하게 의견을 말씀하시니 멋집니다! 항상 잘 보고 있습니다☆
8,소리미남              ,와 .. 엄청놀랬어요 ㅋㅋ 말 대박 잘하는데 거기다 재미쪙!!
9,David whitechapel              ,국회로 가주십시요 멋집니다
10,LovelyJuly              ,꼭두각시지뭐 ........ ㅜㅜ  ........... 영상 잘 봤습니당~
11,취해 나는너의 향기에              ,캬... 진짜 멋지신... ㄷㄷㄷ
12,이박김              ,젋은층에 지지를 얻어보려는 새누리당에 어마무시한 무리수 였지..
13,Seda -              ,영상올라오는거 맨날 챙겨보는데 항상 느끼는거지만 말솜씨가..정말..ㅠㅠㅠ닮고싶다...ㅠㅠㅠㅠ진짜 국회로가세요ㅠㅠㅠ정말 어느 누구에게도 조종을 받지않고 찌들지 않은 청년 정치인으로서..! 🙌🙌
14,woo nam              ,저년 동국대생이라고 입털어댔다가 까고보니 경주캠이었음 동국대 서울캠 학생으로서 개빡쳤음
15,김민종              ,기본적인것도 준비가 안된 잡것이었지.
16,이답.              ,국범근을 국회로!!!
17,테리오미스              ,돌대가리를 나이로 밀어붙이는 새누리 답이없다
18,wndrjs              ,"어억! 속이 시원하게 하시는데,,, 형님이 어케될까 걱정이 되네요 ㅠㅠ"
19,나무아미타불              ,말 똑부러지게 하네~
20,헐레벌떡              ,와 진짜 말찰지게하신다ㅋㅋㅋㅋㅋㅌㅋㅋㅌㅌㅌㅌㅌㅌ
21,타두              ,정치하나도모르는데   관심을한번가져봐야겟구만
22,슈스만들자미미              ,"세상에! 조은비후보, 실망스럽네요."
23,곰탕장인푸              ,국범근을 국회로 보내버리기전에업로드좀 자주 해줘요~~맨날맨날 얼굴 보고싶은데...
24,xnske dkdkdo              ,ㅁ맞아욬ㅋㅋㅋ완전 생물학적 청년ㅋㅋㅋ저 영상 보고 진짜 당황했는데 정말 청년의 친구가 되겠다는 사람이...오늘도 역시 사이다ㅠ앞으로 일주일에 한 번씩 생존신고 하셔야 할듯 국범근을 국회로ㅜ
25,단비sweetrain              ,표정이나 말하는거 왜이렇게 귀여워요ㅠㅠㅠㅠㅠㅠ어떡하지ㅠㅠㅠ 데려다가 키우고(?)싶다!!!! 귀여워요!!!!
26,박담              ,청년들의 친구이나 노동개혁법안에 대해 찬성하나 노동개혁 법안이 문제가 있을 수 있다고?진심...출마하는 것 고민 좀 해봐야 될 거 같다.
27,김프리              ,최고...♡
28,_ hiku              ,국범근을 국회로
29,뭔가하는사람입니다              ,비유쩐닼ㅋㅋㅋㅋ토토까쳐먹고ㅋㅋㅋㅋㅋ
30,TheVideogreen              ,대충 귀연척하고 모르는건 베시시 웃으며 넘기라고 시킨듯.
31,Black n White              ,자기 소신도 없는 사람이 후보로 나올 정도로 자유망국당은 인재가 없는 것인가...국범근씨 정치하면 한표 찍어준다... 단 조건은 자유망국당 소속으로 나온다면 표 회수함.
32,JunSik Won              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 예비후보는 가장 중요한 쟁점에 대해 정확한 자신의 입장을 표명해야한다 해놓고 북한이 주적이냐는 대답엔 후보로서 대답않겟다던 그분 정권 오지게 빠는 범근이...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그들만의 세상 ㅊㅊㅊㅊㅊ
33,이여름              ,"와,,,,진짜 개누리,,,,와,,,진짜 저런 애를 ,,,와,,"
34,박미연              ,ㅋㅋㅋㅋ사이다♥
35,한채영              ,웅웅😂😂😂😂😂😂
36,"인생은 짧다인성,도덕,봉사에 최선을              ",역시 새누리당이구나....얼굴마담....ㅋㅋㅋㅋㅋㅋ
37,e뻔한세상              ,범근군이 훨씬 잘 어울리겠다는 생각 ^^
38,손혁              ,한달을 기다린끝에 드디어 영혼의 쉼터인 쥐픽쳐스에 영상이!! 아.. 치유된다!
39,Seoi Jeon              ,아~너무 시원하다!!! 오빠 힘내요♥
40,21수능 넌 뒤졌다20수능은 그냥 보내준다              ,존경합니더 형님
41,박세준              ,아 ㅅㅂㅋㅋㅋㅋ 존나 진지하게 보고 있는데 뭔 개소리야! 할때 뿜었닼ㅋㅋㅋㅋ 나만 그런가?
42,Stealth Dragon              ,제 사촌형 분이랑 친구이신 듯 하네요ㅎㅎ
43,이관우              ,아~일침 오졌구연ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
44,Just chillin'              ,청년 실업이 줄어들고 있어ㅋㅋㅋㅋㅋㅋ
45,싼주씨의 일상              ,4등
46,ᆞ박동진 남원거주              ,개소맄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
47,ZARAM HANON              ,즐겁게 구독중입니다. 사이다범근님ㅋㅋ
48,오예스              ,아진짜ㅜㅜ 이분 항상 사이다임ㅠ
49,김민주              ,사이다
50,치킨김              ,오..저랑 비슷한 나이신데 정말 생각이 깊으신 것 같아요 늘 영상 재밌게 보고있습니다 사실 조회수올리려면 아무 내용없는 자극적인 영상하나 올리면 되죠 그게 쉽기도 하고 그런데 국범근님은 아닌 것 같아요 늘 영상 하나하나에 의미가 있고 애를 쓰신게 느껴져요 어떻게 하면 더 좋은 영상을 만들 수 있을까 하는 거 말이죠 그런 점이 참 존경스럽네요 자신이 하는일에 항상 최선을 다한다는 게요 뭐 어쨌든 국범근님 화이팅!
51,댕멍              ,25살 놀람ㅋㅋㅋㅋ 너무어린데..
52,김나연              ,말 되게 잘하셔..ㄷㄷㄷ 그 프로듀스101 따진거(?)보고 바로 구독눌렀다능...쩌러여
53,금단이              ,새누리당의 꼭두각시? 뾰잉
54,황병득              ,갑자기 기억났네ㅋㅋㅋㅋㅋㅋㅋ 역대급 개그였죠...
55,박세진              ,크 이런것도올라오는군요!앞으로도 좋은영상 많이올려주세요 구독했습니다ㅎㅎ
56,장반슨              ,와 진짜 꼭두각시를 쓰네 자한당답다 다워ㅋㅋㅋㅋㅋㄱ
57,매불쇼짱              ,시원하게 말씀 잘하신다ᆢㅋㅋ
58,너나알아              ,뭐야 이자식...누구냐 너?...왤케 말을 잘해...ㅋㅋ 자네~ 정치해볼 생각없는가? ^^
59,YouTube사콘              ,아이
60,애애애앰!!빼              ,진짜국회보내버리고싶다ㅜㅡ
61,SSi KiM              ,진짜 국회의원 되시면 잘하실것같아요 진짜ㅠㅠㅠㅠㅠㅠㅠㅠㅠ왜 제대로된 사람이 한명도 없나이다......
62,김다희              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ겁나 신랄하다. 젊다는 것만 어필하지 말랰ㅋㅋㅋㅋㅋㅋㅋㅋ
63,하와영              ,얘 너무 똑똑하다
64,예림              ,ㅋㅋㅋㅋㅋ역시멋있어요👍
65,Mario Darth              ,너무 좌파다 레알... 진짜
66,서송희              ,말을 왤케 잘함?ㅋㅋ
67,blood Green              ,엠씨그리인줄~~~^^
68,선향              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ사이다! 체한 거 내려간 기분
69,LEA 지구별 레아              ,진짜 너무 멋져요!!! 어렵지 않게 설명해주시며 강력한 일침도 날려주시고... 애정합니다 진짜!!!❤️ 국범근씨야 말로 청년 정치인!
70,semo세모              ,청년실업이.. 줄어..?
71,이준혁              ,국범근을 국회로 ㅋㅋㅋ!!!
72,김연재              ,키야 ㅋㅋㅋㅋㅋㅋㅋ
73,연필깍지              ,ㅋㅋㅋㅋ...국범근님을 국회로...!
74,인민두더지              ,제 친형이 범근형이랑 저랑 닮았다고 해서 봤는데 너무 재미있네요 ㅋㅋㅋ조금 닮았어요 ㅋㅋ저보다 형 맞겠져 ㅋ
75,JH 1              ,ㅋㅋㅋㅋㅋ노동을 해봤어야 노동법ㅋㅋㅋㅋ아이시박
76,하재호              ,ㅋㅋㅋㅋ 잼있다~~
77,록키최강              ,오..처음 봤는데 재미 있어요.
78,정유빈              ,히히 잘보고 잇슴다
79,안도언              ,일침 지렸구연~ 할 때 개웃기넼ㅋㅋㅋㅋㅋㅋㅋ
80,딩동              ,"와...진짜 멋져요.. 진짜 말도 너무 잘하시고 .., 몇년만있으면 성인인데 그때 진짜 나가시면 저 범근님한테 한표예약.."
81,Hyunjun Lee              ,캬....범근이형 말 잘하시네
82,정제현              ,예비후보이기 때문에.....소.....름
83,강민재              ,새누리당은 없어졌지만 조은비ㅋㅋㅋㅈ병신같다ㅋ국어실력잌ㅋㅋ뭐뒤에 대단한 사람있나ㅋㅋ아진짜 웃기네ㅋㅋ
84,야씨전정국다해먹어라              ,오빠하고싶은거 다하세요ㅠㅠㅠㅠ 국범근을 국회로...!!!!!
85,so ak              ,김광진 국회의원 정말 일 잘했는데...그런 청년일꾼이 필요하죠.
86,파릇파릇              ,국범근 오빠 존경합니다👍👍
87,강성주              ,사이다 입니다ㅋㄱㅋ
88,라나루              ,와..말 진심 잘한다..~!
89,정우영              ,당신이하세요! 해주세요...ㅠㅠ
90,코노중독자              ,다른 국회의원들 논리 허점 지적하는 영상들도 만들어주세요~ㅋㅋㅋㅋ 여당 야당 할 것 없이 ㅋㅋㅋ 코너 만들면 재미있을것같아요ㅋㅋ
91,신혤리 ShinHaley              ,옆에 모니터 활용 아이디어 좋네용 :D ㅋㅋㅋ
92,보수우파              ,조은비예쁘고 넘 좋아~ㅎ
93,Nathan Kim              ,범근아 국회 가즈아~!!!! 항상 응원합니다!!!
94,동자승              ,시원하네..짱 먹어라~~~
95,EJ K              ,우와 멋있다
96,Gyeong Yoon Choi              ,멋집니다!범근 뉴스 계속 만들어주세요! 재미있게 보고있어요!
97,콜린              ,하 속시원해
98,둘기              ,아~ 시원하다
99,Sims An              ,ㅋㅋㅋ 재미있게 보고 갑니다.(국범근씨를 국회로!)
100,키켄              ,국범근을 국회로! 진짜 갑시다ㅠ
101,농구를사랑한남자 BasketTube              ,국회로! 초심 잃지마시고!
102,luke Hanley              ,국뽕근 ㅋ
103,엄지척              ,그 분 이거 보고 있을까~~~ ㅎㅎ~~~~
104,코소도              ,쥐픽쳐스 최고존엄..!최고존엄!
105,HD L              ,국회로!
106,HK LEE              ,ㅋㅋ 미치겄다...골볐네
107,em lim              ,청년을 대표한다는데 그냥 나이만 어리면 청년을 대표???ㅇㅇ 꺼져
108,김현욱              ,아직 어려서 지식이...
109,lee white              ,우와ㅠ구독합니다 일침!!
110,ㅎㅅㅈ              ,국범근을 국회로..!!!제발!!!!
111,MoOn6712              ,가볼테냐~~??!??!? 가자 그럼~~!!ㅋㅋㅋㅋ
112,waffle lover              ,국회로~입후보하시면 뽑아드릴게요 ㅋㅋ
113,K케이              ,조은비 선생님은 좋은뎀...
114,rhrhrhrl              ,선 좋아요댓글 후 감상범근님 영상 항상 잘보고있습니당!!
115,박지현              ,출마각
116,이상털              ,이야...진짜 사이다 몸 속의 사리가 사라졌습니다♡
117,단              ,언제 함 나오셔유 뽑아주꾸마이
118,수빈              ,영상 너무 잘 보고잇어요!! 앞으로도 자주 봣으면 좋겟네여!!
119,서은준              ,더..더많은 여..영상을 오..올려 주.. 쿠..쿨럭
120,sanghun Pak              ,속시원하다~~
121,nalong731              ,무식ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
122,박희영              ,아 광고보고 동영상볼라 그랬는데ㅠㅠ 실수로 스킵눌렀네요ㅠㅠ 두번봐야겠다ㅋㅋㅋ
123,듕듕이world              ,역시 범근오빠☆☆
124,나이삭              ,형님 영상 잘 보고있습니다그리고 말빨이 장난 아니네여 더 많은 영상 부탁드립니다
125,최락철              ,예비후보 조은비는 사실 연예계에 진출하는 새로운 방법을 모색한 것이 아닐까요?
126,베르테르1              ,국붐 ㅋㅋㅋ
127,mo lem              ,국범근을 국회로!
128,땅콩크림.              ,썸네일 박나래인줄
129,perseus              ,방금 납득이 같았음  ㅋㅋㅋ
130,혜나              ,항상 응원합니다!!
131,류송이              ,캬.. 정말 똑부러지네요 사이다 사이다
132,Hyuni Sun              ,하...노답이다ㅎㅎㅎㅎㅎㅎ
133,1나팔 소리              ,25이면 남친 사귀고 여자들끼리 수다떨고 그럴 나이 아니냐? 25에 대한민국 국회의원이라니 우리나라 미래가 참 밝다...
134,프릴              ,박선희가 떠오른다~~~~비슷해~~
135,장민성              ,이 영상 마지막에 나온 의견 동의 각이다
136,잭그릴리쉬o              ,얘느 진짜 국회가도되겄어
137,이송헌              ,거수기 하나  만들었네..
138,구본중              ,화를 낼려고 왔는데 공감 백배잖어.. 씨벌~ 새들의 세상에 투표좀 하지말자.. 제발 새누리라고 하지말고 새세상이라고들 하자.. 사람들이 헤깔리잖어.. 그리고 닭도 새인지 좀 알려주고
139,사이타마              ,녀...박근...최순...아..
140,보통남자들의술자리              ,여러 영상들에 욕이 많아서 진지한 이야기 하는데도 우스워 보이는 부분이 있습니다. 나이도 어리신데 많은 사람 보는 영상에서 욕은 줄이시는게...
141,ᄋ              ,헉ㄱ 이런 후보도 있었군요... 덕분에 많이 알아갑니다! 고마워요^^
142,루루              ,정말 당당하시고 멋잇으시다..구독 누릅니다 ㅎ
143,천성윤              ,말잘하시네 오늘부터 구독
144,김동주              ,옳소
145,Sion Kim              ,갓범근 진짜 나오면 밀어줄 사람들의 모임
146,shinho              ,스타워즈팬이신가요? 반갑네
147,러프로짝사랑              ,걍 모르는거같은데 ㅋㅋㅋ
148,colin cho              ,말 너무 잘한다
149,김민주              ,새누리당 꼭두갂시 얼굴마담 인가? 헐..
150,박승우              ,말 시원하게 잘 하시네요!
151,강민기              ,ㅇㄱㄹㅇ
152,Joseph Jee              ,준표: 미스조 커피나 한잔 타와바
153,김준현              ,청년실업이 줄어든 ...뭐?
154,Chloe s2              ,사이다 영상 감사합니다!!!!!!
155,Jae Hyoung Yoon              ,태어나 처음 구독하고 갑니다. 멋져요!
156,김지은              ,사이다~!! ^^
157,ksh              ,솔직히 정치인도 시험봐서 뽑아야하지
158,예원              ,오빠영상덕에한번더생각하고짚어넘어갈수있어서좋아요항상열심히영상올려주셔서감사해요♥홧팅
159,p j              ,와 진짜 이분 21대 국회의원으로 출마해 당선돼도 손색이 없겠네
160,이응              ,"덕분에 정치나 언론에 관심을 갖게 되었습니다..! 뚜렷한 꿈은 없지만, 그래도 많은 면에서 감사함을 느끼고 있어요! 영상 항상 잘 보고 있습니다!"
161,조원용              ,에휴 ‥‥
162,땅개              ,최소 저애는 정유라 친구나
163,¿              ,국범근을 국회로~~~
164,ㅎㅅㅎ              ,리얼 국회 가셔야 할 듯ㅋㅋㅋㅋㅋ 쥐픽쳐스 응원합니다!
165,음음어음              ,국범근을 국회로~~
166,냠냠짭짭              ,티비토론때 도망친 후보도잇는데ㅋㅋ 새누리에
167,yal Ro              ,진짜 나이만 되면 바로 정치할듯 ㅋㅋ 짱이다 국범근
168,JP institute              ,구라아들 동현인줄~
169,Yes No              ,국회 나가면 주소 옮겨서라도 밀어줄께요 ㅎ
170,이태헌              ,완전국회의원그릇이아니네 모순덩어리 ㅋㅋ
171,물보?누              ,이분 꿈이 정치인 인가요..ㅋㅋ
172,고성군수              ,엄청 말씀 잘하시는 것 같아요~항상 재미있게 보고 있습니다.
173,박동호              ,말진짜 잘하네요
174,밍              ,와 멋있다..
175,feel kim              ,존나 입만 잘 터내 임마는
176,Heather holla              ,님 검사되세요 ㅋㅋㅋ 진심이에요 ㅋㅋ말 완전 잘하세요 ㅎ
177,조민이              ,너무 대단해요 오빠ㅠㅠ
178,innase snn              ,아니 진짜 국회 가자
179,U -              ,진짜 완전 공감 사이다에요
180,wjdwlgnsf              ,정말 멋지시네요~~ 이런 컨텐츠를 만드는 사람이 제 또래에 있는게 너무 자랑스럽습니다. 입시에 목 매달면서 사회적인 것에 관심을 갖지않던 제 모습이 좀 부끄럽게 느껴지네요^^
181,모쿠슈라              ,"""예?""라니 ...."
182,최인호              ,일침 오졋구요~!! ㅋㅋ
183,경제스토리              ,최순실당이 그렇지 뭐
184,오얏나무              ,조은비ㅋㅋㅋ 완전 마리오네트네국범근씨 출마하면 무조건 찍어줄게요^^
185,두부순대              ,말넘나잘하는것!! 멋지네요ㅎㅎㅎㅎ
186,[한국]K9988 Korea              ,국범근 을 국회로
187,ᅳᅳ              ,국범근을 국회로!
188,주미스터              ,범근이형! 멋지십니다!
189,볼트              ,말유라인지 알았음 깜놀....영상 허걱....
190,multimillionaire kjh              ,파이팅
191,손정희              ,그데로 잘 성장 하셔서  올바른 징치인으로나오심  한표
192,이해승              ,국범근을 국회로~ 젊고 스마트하네 ㅎㅎ
193,송도현              ,헐..이분 뭐지..우연히 들어왔는데 대단하네요..내일 시험인데 빠져든다아.
194,Cooper Kail              ,걍 무뇌지...
195,Kanye West              ,국범근을 국회로ㅋㅋ
196,몽몽이              ,뭐..? 청년실업이 줄어들고 있기때문에(?)..??
197,이다선              ,캬 사이다구독하고가요^^
198,Ann Yoon              ,청년 후보들에 대한 기사를 보고 나서 이 영상을 보게 되었네요. 제가 하고 싶었던 말을 누구나 이해하기 쉽게 풀어서 설명하는 이 영상을 보니 너무 속이 시원합니다. 국범근을 국회로!!
199,wjddns back              ,국범근을 국회로! ㅋㅋ
200,정혜인              ,국범근을 국회로~!~!~!~!
201,윤의찬              ,눈빛부터 텅텅 비어있음
202,모찌              ,우와 저인간 대가리가 비었네요 ! 역시 갓범근
203,완숙건달              ,미인계인듯!!
204,마!수리수리              ,사이다★
205,Yoonseok Jang              ,정의당 흙수저 코스프레보단 나을듯.
