,ID,Comment
0,김정원              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ122석도많은거아님?!!21대총선기대해라20대총선이너희의마지막세자리 의석수일것이니라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개돼지만도 못한것들아
1,지기유              ,워뉴철 표정보소ㅋㅋㅋㅋㅋ 저 얼굴은 언제 봐도 개꿀잼ㅋㅋ
2,ML              ,출구조사 정도면 감지덕지 해야지. 더 큰 진짜 충격은 개표가 끝나고 더민주가 1당이 되었던 거다.
3,YongWoo Lee              ,깔깔깔깔깔깔깔깔깔깔깔깔깔깔깔깔깔깔깔깔
4,Weon Il Seo              ,아이고 좋~~~~다..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
5,SPG              ,꼴! 좋다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
6,인싸르이슈              ,정상적이라면 한 50석 정도 나와야 하는 정당인데.
7,나는외로울땐밥을먹지              ,노~~~~력이부족했었나부지
8,언제나맑음              ,대한민국이 죽다살아난날
9,이영대              ,ㅋㅋㅋ  고따우로 나라   망치고도    자기들이  국민들한테  지지받을줄  알앗나보네  ㅋㅋㅋㅋ
10,jazzyfact jazzyfact              ,이거때문에 탁핵도 가능했
11,강윤희              ,그동안당한거생각하면 이정도는새발에피다  앞으로대선에서 국민들의분노가 얼마나큰지보여주마
12,김경모              ,엿먹어라 짜식들아 니들한텐 100석도 과분하다 과반좋아하시네 하는짓거리보고도 국민들이 과반석 차지하게 해줄것같았어?
13,최동호              ,헐 9초쯤에 뒤에 회색옷 입은 할머니 박수친닼ㅋㅋㅋ 스파잌ㅋㅋㅋ
14,뱅상              ,관상이란게 진짜있구나
15,Torbay MIC              ,ㅋㅋㅋㅋ 19대 대선 출구조사보다가 여기까지 온 1인. 어휴 사이다
16,gustaf3 333              ,hahahahahahahahahahahahahahahahahahahahahahahahahahahahaha!!!
17,피사로              ,이영상 레전드다
18,PPP PPP              ,담배값 올리고 연말정산 개판으로 하더니 개발렸네
19,wjddns back              ,원유철:내가 웃는게 웃는게 아니야♪
20,나무뿌리              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제발 증신차립시다ㅋㅋㅋㅋㅋㅋ 유쾌통쾌하네 ㅋㅋㅋㅋㅋㅋㅋㅋ
21,블랑              ,표정 꼬라지 볼만하네ㅎㅎ
22,P씨의 영상              ,깔깔깔깔깔깔깔
23,프로악플러              ,원유철 표정이 딱 원균이 200척 말아먹었을때 표정이넼ㅋㅋㅋㅋㅋㅋ
24,물이흩어지면?해산물파하하              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아이고 통쾌하다 엿머거라 븅신드라ㅏ ㅗㅗㅗㅗㅗㅋㅋㅋㅋㅋㅋ캌ㅋ캅ㄱㅣㄱㆍㅋㅋㅋㅋ
25,인디고              ,ㅋㅋ 꼴좋다.
26,아린아              ,다시봐도 개꿀잼 ㅋㅋㅋㅋ 놀라운 건 예상의석 최소치에 거의 가깝게 나오고 1등도 민주당이 했다는 거 ㅋㅋㅋ
27,최지후              ,우주의 기운을 모아서 힘내봐 안되면 중동가던가
28,맨유팬              ,2020버전 보러 오신분ㅋㅋㅋ
29,국민과더불어민주당              ,굿바이새누리
30,다음              ,걀걀걀걀걀걀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
31,we can yes              ,ㅋㅋㅋㅋㅋㅋㅋㅋ 메롱
32,우편배달부              ,아이코 나이스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ고럼고럼 원래 이런 분위기였어야되. 얼마나 만만해보엿을까.. 나라가.
33,hannam jaggi plz              ,갸아악ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
34,Alter              ,개꿀잼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
35,박송진              ,그러나 4년 후 더 최악이 기다리고 있었다
36,최기준              ,ㅋㅋㅋㅋㅋ
37,ᄋ동천              ,전설의 짤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
38,강커피              ,ㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋ축히ㅡ드려용
39,유씨닭              ,ㅋㅋㅋㅋㅋㅋ  ㅋㅋㅋㄲ
40,이혜린              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아존나웃기다 푸하하
41,Cash L              ,그러게 좀 잘하지 그랬냐 쯧쯧..
42,천안호구과자              ,우울 할때마다 봄 ㅋㅋㅋ
43,한길              ,원유철 표정봐ㅋㅋㅋ
44,Jong Ra              ,지금봐도 꿀잼이넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
45,Shin Steaven              ,이 당은 4년후 더 최악의 성적표를 받게됨 ㅋㅋㅋ 그리고 원유철 옆에 있는 노인양반은 과거 민주당에서 전북 군산지역구 3선의원이던 강봉균인데 지금은 고인이 됨. 그리고 새누리당에 있었던 김종인이 더불어민주당의 선거지휘를 했다가 지금은 미통당으로 ㅋㅋㅋ
46,다다              ,꾸르꾸르꾸르르르르르잼!!!!!!!
47,Park Stranger              ,4월 15일 저녁에 원유철이 썩소 또 보겠네 ㅋㅋㅋ
48,Henry Lee              ,"는...2020.01.14. 원유철, '정치자금 위반' 징역 10월…확정땐 의원직 상실"
49,사샤피어스              ,꺄르륵 꺄르륵~~~~😂😂
50,뉴턴              ,아 저 당 망하는게 젤루 좋아 !! 아무리 민주당 짜증나도 저 당 패는거 보면 너무 좋아
51,천안호구과자              ,원유철 표정 보소 ㅋㅋㅋㅋㅋㅋ
52,뭘바요              ,저기다 수류탄 투척ㅋㅋ
53,리미나              ,과반수는 개뿔 이제 더민주 따까리됫지
54,브론즈유튜브              ,푸!하!하!하! 꼴 좋다!
55,앨리사              ,ㅋㅋㅋㅋㅋㅋ
56,we can yes              ,원유철표정 ㅆㅂ
57,HHH HHH              ,훠우!!!!꺄륵꺄ㅡ르르르륽
58,몽둥이든의사양반              ,갑분싸 오졌다ㅋㅋㅋㅋㅋㅋㅋ
59,미키마우스              ,내탓 너내탓하다  세월만가는여당   떨어지는 낙엽처럼  쓸 어담아야하는처지가돼어
60,HOON kim              ,진짜 우울할때 힐링되네 저기 집단들 표정 보고 ㅎㅎ
61,Uu              ,우주가 안도와줬네 우주가 잘못했네..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
62,지구별여행자              ,가끔 우울할때 기뻐하고 싶을 때 원유철얼굴보고 웃을려고 20대총선결과를 찾아본당 ㅋㅋ
63,Jooyoung Roh              ,강봉균 한화갑 조경태... 골치아픈 것들 수거해주는 새누리 너무 고마워
64,리뷰솔직              ,수성갑에서 쳐발렸는데 뭘ㅎㅎ
65,pys dyu              ,샘통이다 이것들아!!! 종편들 새누리가 150석 가져간다더만 어떻게된거지?ㅋㅋㅋ
66,jkjkjk              ,기분 나쁠때 이거 보러 옴
67,수펄빠이링로봣              ,꼴무룩
68,김구글              ,사이다~~
69,츄밍              ,ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
70,ja le              ,그래도 여론 조사 맞았네 121-143석 안에 들었잖아 새누리
71,허정수              ,풉키풉키
72,bii C              ,늙은이들 부들거려요
73,nya ong              ,웃는 얼굴에 침 못 뱉는다고 하지만 ㅇㅇㅊ 이 웃고있으면 뱉을 수 있을 것 같애
74,Dongseok Kim              ,부들부들부들부들 꿀잼 깔깔깔~~~~~~~~~~~~~~~~~~~~~
75,Sherry O              ,"종북놀이가 필요한 시점. 이번엔 간첩단사건 어때? 아님, 제 2의 이석기를 만드는 것도?"
76,우편배달부              ,돈못받을까봐 탄식.. ㅉ
77,소현서              ,경노당인가
78,소현서              ,경노당인가
79,쉬자오늘은              ,심판의 날이 다가오는 느낌이랄까?
80,김승환              ,색깔론은 피할려하지만 로고가 빨가면서 무능하면 이상하게 빨갱이라고 생각되는데...
81,유영민              ,자한당은 대구 경북만 가라 거기말고 반길 사람없다
82,ᆞ여좌천 릴락쿠마              ,"경남 진주시 수곡면 에서 부정선거 수작 나왔다고 합니다.개표의 백프로가 한나라당 으로 되었답니다.그런데, 더민주찍은 사람들이 하나 둘 나오기 시작 ㅋㅋㅋ개누리의 수작질은 정말 혀를 내두를 정도내요대통령선거때 박근혜도 의심이 되는 순간입니다."
83,정동진              ,강봉균.. 꼬리 잘못 잡았어 .. 권력 한번 잡아서 ..최후 말년 보낼려고 하다가 ..ㅈ 된거여
84,Steve Kim              ,복당 불가몇일많에지들 뜻대로 안돼니까다시 오십시요재들은 인간인지여론도 모르고지들 꼴린대로 하는 넘들인지어떤 애들이새느리에서일하느냐?자신있은 넘나와보그라
85,명륜진사갈비              ,아직멀었어 총선 2년때까지 민주당과 문통령이 똥싸지만않으면 총선때 기냥 나가리야 당신들은ㅋ다음총선때는 아마 정의당하고 민주당표가 많이나올거다 민주당이 200석기본으로따놓고개헌추진하고 정의당이 중간에 견제좀해주면될거같긴하다 자한당은 한 20~30석 정도면 충분할거같고
86,채널설정              ,꼬시다 ㅋㅋㅋㅋ노무현 죽인당
87,최민희              ,그래도화이팅
88,mangchi kim              ,이제 나라망하는 꼬라지만 보면되겠군. 그때가서도 니들이 쳐 웃는지 보자.
89,꿈꾼다              ,올해 한번더?확실하게 상벌을 줘야.민주당 자한당 할것없이 모두!
90,영스나이퍼              ,안철수가 병신짓만 안했어도 완전 초토화될 수 있었는데...  아깝다.
