,ID,Comment
0,dfg fg              ,이러니까 선거 망했지.ㅋㅋ
1,김도균              ,뜃어라 부패라고 하는건가요???
2,AikaDQ              ,웃음으로 승화해서 물타시겠다?
3,영웅전설짱              ,약 빤거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ위기를 기회로 삼는거랑 멍청한 개소리 하는거랑은 다른 문제야 임마 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4,장원중              ,광고 발로만들었나ㅋㅋㅋㅋㅋㅋ 가식적이다 참
5,순얼째니              ,어떻게 우리 육룡이나르샤를.....
6,SUNKULEE1008              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 골때린다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
7,neko kuro              ,저는 새머리당을 뽑지않기로 결정했습니다.
8,Chris Lee              ,"ㅋㅋㅋㅋ 나 참 말도 안나온다 ...........아침부터 재수없네,,,,,"
9,성재원              ,이걸 웃으라고 만들었나?.... 지들끼리 권력 싸움하는게 재밌나?
10,gyun kang              ,그동안의 만행에 대해 대국민 사과를 해도 모자를판에 이딴 장난같은 광고나 만들어? 웃기지 응?
11,오지현              ,어르신들 그만 뛰고 좀 쉬세요
12,Lee James              ,무슨 판단이냐. 광고비를 시궁창에 버릴 셈이냐.
13,bw              ,이 분이 어떤 정치인인지는 모르겟지만 이런동영상에.. 네이버 배너에다가 크게 한 줄띄워 차지해서 기분나쁘게 하는게 매우 보기 안좋네요. 티비종편채널에서도 이 영상으로 광고하던데...참 .. 방송국까지 정치관계인물들이 다 장악햇으니...
14,ᄋᄋ              ,ㅋㅋㅋㅋㅋㅋ 무성이나르샤 ㅋㅋㅋㅋ 패기는 인정 ㅋㅋ
15,백종윤              ,배들 출렁이는거봐라~ 안뛰다 뛰려니 힘들지?
16,jh jeong              ,ㅋㅋㅋㅋㅋㅋㄹㅋㅋㅋㅋㅋㅋㅋㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱ
17,김현우              ,아 진심 핵극혐 이딴거로 좀 명작드라마랑 용비어천가를 더럽히지 말았으면. 어디감히 김무성따위를 여기다가...
18,용용              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㄱㄱㄱㅋㅋㄱ
19,다르시F.              ,윾쾌갑ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20,CO PACK              ,존나..... 뭐하냐?? 평소에나 좀 달려봐
21,지나가세요              ,진짜 친한척쩌네. 누구라고 말은 안하겠지만 학위수여받을때 대학생들 질질끌어내고 민주주의란 원래 그런겁니다 라고 비열하게 웃던 인간이 이제와서ㅋㅋㅋㅋㅋㅋ내가 손목이 썰려나가도 1번은 안뽑는다
22,이형민              ,이건뭐야.ㅋㅋㅋㅋ
23,reoman0000              ,안본눈 삽니다
24,SPG              ,무성이 옥새들고 나르샤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
25,용용이              ,"ㅋㅋㅋㅋㅋ 그래서 뭐 어쩌라고요, 뭘 하겠다는 말 없이 '잠자는 국회에서 일하는 국회로'? 원래 그건 베이스로 깔고 들어가야하는거 아닌가?"
26,Maclain John              ,개누리 여러분 폭망축하드립니다.
27,h Constant              ,"당신들이 많이 들어가면 나라꼬라지 개판되요, 새누리당 분들.안그래도 보수파가 나라를 뒤덮는 마당에"
28,유재형              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
29,마이구미              ,아나 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이러니깐 망했지ㅋㅋㅋㅋ
30,mm j              ,우와..이건 뭐 정말 뭐라고 표현할 말이 없네웃기지도 않고..지친다
31,지남근              ,뭐.........할말이 없다...아랫분 말대로 골때린다 증말ㅋㅋ...
32,전성주              ,이분들 댓글 보실려나요?? 80년대에 있는거 같아요.. 응답하라 1988로 아시는 건지..
33,박정호              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
34,minee              ,요대로 그냥 쭉 일본으로 뛰어가삼~ 격하게 반겨줄거임
