,ID,Comment
0,조지소로스              ,속고 속고 또속고 70년간 속고 기다려도 속은 기분이시죠? 얼마나 속아야 얼마나 더 봐야믿음의 정치를 보게 될까요 속는 사람들도 죄가 있어예~~~ 지금도 친일교과서 만세를 외치는 작자들이 온라인을 장악하고  죄악을 인정안하고 패악질을 거듭하고 있어예~~
1,jun seo lee              ,우리 대한민국의 미래는 이와 같은 학생이 있어 어둠이 아닌 밝은 빛으로 세계속에 번영할 것이다!!^^♡
2,Craypas7              ,이렇게 스스로 인정하는 분들도 있습니다
3,구구도부산              ,우리 쏙고 할매  멋지십니다
4,이이삭              ,개사이다네 소오름ㅋ
5,David Seo              ,진짜 사이다네요 사람보고 뽑읍시다😢
6,갸응              ,완전사이다!!!!!!!
7,그리고사랑              ,오 진짜 깨셨다!!!그게 엄청 큰겁니다 아줌니 짱
8,심효정              ,"속 시원하네요. 할매, 그리고 여학생  고맙습니다."
9,Han Ryoo              ,이제 비로소 부산이 깨어나고 있는 모습을 보니 참 반갑습니다. 전라도랑 손잡고 새 나라를 만듭시다..
10,yr s              ,이제라도 정신차리신 아줌마 짱ㅡ👍👍👍
11,도우dou              ,당보고찍지말고 사람보고찍읍시다여러분전 미성년자라투표는못하지만 이런일이생기지않게 잘 뽑아주세요
12,지트렌카G              ,할머니..하야말고..내쫓기는 꼬라지요^^
13,김호성              ,시원시원하네 ㅋ굿 팩폭ㅋ
14,Hakjoo Moon              ,"젊고,지적인 학생, 깨인혁신적 발언은 신선한 충격이고,각기,고유개성을 짖밟으려는 독재에 항거이다."
15,자스민박              ,정 말 사모님 멋 지 십니다.올 은 말씀 하십니다.화이팅~
16,원누              ,이야~
17,지트렌카G              ,학생들만 말고..모든 피해자들 다~~~요ㅠㅠ
18,진재화              ,천연사이다 ㅎㅎ
19,짱캔디              ,아직도 속고있는 유권자가 있다는것이 안타까움을 자아낸다제발 매국노 자한당 거릴줄좀 알아야됨다
20,나라나라사람              ,할머니 속이다 시원합니다..
21,デカイエロー              ,이 아주머니 말 진짜 잘하시네
