,ID,Comment
0,물안              ,이완영 저 박쥐같은 사람...시골 골수까지 파먹을 작정임.눈이 희번덕한게 아주 약삽해 보이고 기회주의인게 다보인다. 사드가 성주에 온다는거 이완영이 제일 찬성 할거 같은대... 한입으로 두말하는 정치인이라니 부끄럽다 ㅋㅋㅋ 옷 벗어라.
1,고양이히키코모리              ,이리붙었다 저리붙었다 박쥐짓하는 의원님ㅋㅋㅋ
2,점점              ,박근헤를 설득하라는 게 명답이다.
3,헌책              ,우리나라 언론사 인터넷 보다 유튜브 기사가 더 신뢰가 가니 이놈의 나라는 ㅋㅋㅋㅋㅋㅋㅋㅋ
4,블랙모어              ,이래 저래 말떔빵으로 모면해볼라고 ㅋㅋ 에고 개불쌍탕 ㅉㅉㅉㅉ
5,닥터피쉬              ,ㅋㅎㅎ 성주시민이  생명운운세월호때는  개무시하고  새누리지지 90%나오더만이 사람들아  역겹다
6,불괴어천              ,경북 정치인들은 쓰레기라도 그래도 주민들은 현명하시네....저런 분들이 왜 저런 쓰레기들을 뽑았는지 이해가 안되는 부분도 있지만....이철우야 뭐 정신세계가 독특한 인간인데......
7,새싹              ,새누리당 국개의원 클라스 보소~~ㅋㅋ
8,Leopard The Great 789              ,이 철우 당신마저....정말 믿을 놈이 없다.
9,gally              ,ㅋㅋ 약팔다 혼쭐나네
10,davidcho15              ,영혼없이 립서비스나 하려다가 탈탈 털린 좋은 예
11,Kim김youngnam영남              ,"국회 비준 밖에 답이 없다. 더민주, 국민의당, 정의당이 과반 넘으니 국회비준으로"
12,G Chung              ,수구   꼴통   이   철우
13,김형석              ,특히 이지역은(경북)058. 105(초) 나라를 제일 열심히 잘 지키는지역인데...이렇게 그지역 민 들을설득하지만 이미 잃어버린 민심을되돌릴수 없어보인다 나는 개인적으로 이철우같은 국회의원이 있는이상 대한민국의 지역감정 은 더욱 뜨거워질것입니다 일국의 국회의원 의신분으로 어떻게 이렇게 이야기 할수 있는지...박근혜는 무식한거 알았지만 이사람은 박근혜보다 한수 위인것같습니다
14,라인              ,성주 군민들 생명존중의 취지로 사드배치 반대라시니 참으로 존경스럽습니다!!저 새누리 국개의원보다 바끄네보다 몇천만배  낫습니다!!
15,말패다밟힌놈              ,군민들 께서 직접 찍으신  의원님이 나오셔서  사드배치 원하신다는데 어쩌겠어요받아 들이셔야지요사드배치 되면 구경 가봐야겠어요
16,글랫숀              ,박근혜를 설득하라니까!!! 박근혜를!!!
17,TY K              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃기다
18,Kwang woo Lee              ,에~이 그건 아니다 이곳 경북성주 유권자들아~!지난 2017년 5월 9일 대선때 생각난야~! 국정농단 폐족당 자한당 준표에게 60%이상 몰표로 몰아준 이곳 경북성주 유권자들이 아닌가...정신들 차리세요.....
19,Alice yt              ,이완영은 사드한반도에도입해야하는데 자기지역구인 성주는안된다는거고 주민들은 사드한반도도입자체를반대하고 성주 국회의원맞나?
20,장성철              ,새누리랑 이철우 이양반아 사드를 배치할려면 당신 집 앞 마당에 배치 해라.어디 성주에다 배치 할려고 그러는지?남의 땅에다 사드 배치 할려고 하지 말고 이철우 당신 집 앞 마당에 배치 해라
21,James Lee              ,ㅋㅋㅋ 괘씸한것
22,Absalom              ,성주를 응원합니다~~!!
23,Marvel Studios              ,정확한 이론을 모르니 알수가없고 ㅠㅠㅠㅠㅠ
24,쪼르바              ,ㅋㅋㅋ 이완영???..ㅋㅋㅋㅋ저 걸 믿 어?.....장 난 치 니
25,조은주              ,저런데도 박수치고 연병하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ에라  쪼다같은 인간들아 ㅋㅋ 경남. 경북. 포크레인으로 파서 쩌기 태평양 앞에다 줘라
26,생각돈보              ,너 성주가서 산다며?니가 몸으로 막아~~~
27,dmssus qkr              ,기준 좀 차리쇼!!
28,Sean Park              ,ㅋㅋㅋ
29,낙타              ,정치판 잘~돌아간다
30,진유성              ,간첩조작 39번.  보수정권의  안보불안창조 클라스  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
31,조기선              ,경상도의 또다른경상도 아마도경상도 성주 이미고립되고 경상도네 타지역에서 빨겡이라고 욕하고 있다 시간이좀더 지나면 아마도 차별과질시는더욱더심화 될듯하다 살고자할쁜인대 그놈의 빨겡이소리  웃기지 않은가
32,프로꼬긁러              ,이철우의원도 저런대접 받는다는거는 경북지방 새누리 지지층이 무너질날이 얼마 남지않았다는건데...
33,박진수              ,참... 우습다.ㅋ
34,허만올리브              ,70~80%몰표를 준 지역주민을 종북으로 몰아가나?? 종북이 뽑아준 사람은 그러면 뭐여??
35,김웅규              ,뉴스타파가 최고네
36,SHIN RUI              ,뭘 응원하러가 ㅋㅋㅋ 이철우는 사드 찬성이고 성주는 반대인데? 뭔 개소리여 ㅋㅋㅋ 걍 정치언론 플레이지.
37,샤또라비오뜨              ,경북지역이 나라를 제일 잘 지켰데 ㅋㅋㅋㅋㅋㅋㅋ 뭘 어떻게?
38,kwang hoi Kim              ,내가 경상도 인게 창피하다차라리 우리동네에 했으면 좋겠지만 우리동네도 반대하겠지
39,이긴다진실이              ,국회비준동감입니다그길밖에없어요
40,코코              ,정치인  정신 차려라  지금  제정신ㅇ냐
41,0342 8010              ,핵심을 정확히 이해하세요 그딴식으로 먼 정치 하시것다고
42,전설              ,이철우... 뇌가 없고 입만 달렸네저런 미개한 인간님이 정치를 한답시고 국민을 우롱하고 선거철엔 돈뿌리고 개념없는 무뇌증 미개인간
43,화나면어쩌지              ,ㅆ팔 조 ㅅ 가튼 소리하네
44,장재영              ,한국사드배치 절대반대라니북한의 핵위험은 걱정할 필요가 없는건가?
45,팡랑팡              ,누가지들국회의원만들어줬는데저따위로 순간위기피하려고 하네
46,Jaehong Lee              ,그랴 청와대에 설치하라고 해라
47,윤보리              ,성주 주민여러분..여러분이 뽑고 사랑해 마지않는 박근혜/홍준표가 주는 마지막 선물이니... 그래요 쿨하게 설치 하세요^^ 잘됏네요
48,전병인              ,잘뽑았다 이원영 이철우
49,Line Sky              ,사드가 필요가 없데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 전형적인 님비현상
50,善閒山賊백준현              ,경북 김천 시민 여러분 자랑스러우시 겠어요 국가댓글원 출신 국회의원이라
51,민구box              ,성주시민 여러분이 뽑아논 새누리당과 대통령입니다 욕할자격있으세요?
52,점점              ,성주군민은 한반도 어디라도 반대한다는데  계속 성주로 한계지어 말하는 저 완영이가 한심하다
53,닭닭년 닭대가리              ,국가 안보를 위해 사드는 성주에도 부산에도 배치해야지그리고 유권자는 또 1번찍고 그래야지
54,Lee kwang woo              ,이곳 경북 성주주민들은 지금은 불만이 있지만총선과 대선때에는 언제 그래냐는 식으로 오로지1번 개누리 조작당 찍어주는게 기본이지....
55,이윤식              ,선거할때 잘선택 하세요 무조건 찍지 말구~
56,이소나무              ,이완영이 나왔으면 말다했네
57,Let The Dream come True RaSa              ,세상에 국회의원 맞습니까 세상에 ~~!
58,권재현              ,또 자기들지역에 설치한다카면난리날꺼야ㅋㅋㅋㅋㅋ 그라고 그지역 국회의원 왜뽑았냐고 시불거리겠지ㅋㄲ
59,A way to Joy              ,도망간건 아니고... 제목을 자극적이게지으셨네
60,브러우니              ,개누리는 말장난으로 세월을 보내며 세비만 쳐먹는 버러지표팔이들 ㅉㅉ
61,축추카해              ,국민의 생명을 생각해봤다?진태가? 이런×××!!!
62,c.m. Kin-              ,사드배치가 뭐 학원도아니고 하고싶으면하고 싫으면 안하는겁니까  시작했으면 끝까지 나가야죵 아니면 첨부터 반대를하던가요
63,Dom Barrett              ,새누리 쓰레기 출신들 ㅋㅋㅋ
64,윤태웅              ,사드배치를 국무총리라는 놈집에 설치한다면 나는 찬성할거다
65,##중장비왕초보##              ,성주 주민들이 뭔죄겠냐...독단적으로 밀어부치는 정부가 문제...
66,정해구름              ,그네가몰래 부랴부랴 배치해놓고‥간진이랑 븅세랑 ‥ 칠득이 짓한거지
67,heungbae kim              ,"사드,,오바마결정......박그네가 너무82수락...한심녀"
68,박연수              ,이철우   의원님!  변명그만   하시고  사드배치는  새누리당사와  청와대에   배치하세요  더불어 당신들이 성군으로  추앙하는  박정희 기념관에도 배치바람니다
69,무배추              ,성즈군민들 그러고도 홍준표뽑음 ㅋㅋㅋ 대선개표방송보시길~~
70,강태희              ,그 어느누가 티비뉴스에서 거짓말 하는줄 또 대통령이라는게 거짓말을 밥먹듯 하는줄 상상이나 하겠습니까? 저도 속았었던 사람중에 한사람 입니다. 국민을 노리개감으로 안거죠! 개돼지 취급하면서...
