,ID,Comment
0,한소              ,점자러 왓구만 시발 국회의원 이란 놈의 색기가 졸고 앉아 있어? 어머니가 남이 말 할땐 상대방과 눈을 마주치며 이야기 하라는 것을 못배웟나? 어머니가 일찍이 돌아가 셧나 보군
1,gate teg              ,사람은 생긴대로 논다는데 이 넘은 어케 이름대로 노냐..ㅋㅋ 저런 걸 국회의원이라고..ㅆㅂ 퉷~~
2,C TK              ,"춘천의 자랑 김진태, 고령-성주-칠곡의 자랑 이완영 ㅋㅋㅋ"
3,SH S              ,미친색기 아주 가지가지한다
4,고광미              ,이런 의원은 있을필요가 있을까? 다음은 잘 생각하고 뽑길바래봅니다
5,이화종              ,이름값을 아주 제대로 하는구나.
6,쓰향기              ,와..정말창피하다지금두  헛소리중
7,ᅮᅮᅩᅩ              ,저런 년이 돈먹 고사나  나라 참잘돌아간다
8,강해진              ,뭐저런ㅇㅇㅇ가국회원이고
9,천후이              ,국감에서 하는말 들어보면 넌 정치하면 안되겠다... 너도 탄핵이다
10,임정학              ,캬... 저상황에 잠이 오는구나 ㅋㅋㅋㅋㅋㅋㅋ 진짜 충격이다 충격
11,남기욱              ,평생 자라
12,김마임              ,아빠 화이팅 ㅋㅋ자식들이 본다ㅋ
13,장미란에게장미란              ,싸다구 맞고 안경줍기 좋은 인상이구나..........
14,이빌죠공폭룡              ,놀면서 세금으로 월급쳐받아가는 전형적인 아첨꾼.
15,J L              ,21 에서는 제발 선별하자
16,이현지              ,아이고 인간아~~~~~
17,andRyu Choo              ,참 줫같이 생긴게 생긴대로 논다 저런놈을 혈세로 밥쳐먹이고 있다니 한심하다 정말
18,billy lee              ,저분보다 저분을 뽑은 사람들이 더 한심하네요
19,Zecroms23              ,새누리당만 찍노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20,Peter bai              ,"일 하기 싫으면 그만두고 숙식업 하면서 실컷 자라!뉴스 보니, 피해자 가족들에 대한 태도를 보면 국민을 대변하기 보다 군림하려는 오만함이 보인다."
21,YOUNG DEOK LIM              ,박근혜 열라 빨다가 사드배치로 뒷통수 맞은 이완영이네~~내가 유가족이였으면 가만히 안있었을거다
22,heavylala K              ,저런게 왜 아직까지 넘아있어서 경북성주에 사드 배치 지정되셨습니다~~
23,jun jo              ,사형제도는 괜히잇는게아닙니다
24,베네딕트컴버패치              ,국민들을 위한 나라가아닌이상 봉기를들어야할때 이젠 혁명이 필요합니다
25,현기아재              ,이런 한심한 어디서 잠을 자는게야
26,사채업자              ,휴우
27,moon ada              ,야근 하셨나벼^^
28,Quasar -              ,낮술 쳐 먹고 왔구먼.....호로자식 얜 진짜 가지가지한다
29,방동희              ,역시 .....
30,서동성              ,머야
31,닭그녀              ,똘똘이 만지는중
32,김동현              ,아~ 나 ㅅㅂ ㅋㅋㅋ 웃음뿐이안나오네 진짜 이나라가 걱정된다 
33,황성식              ,마     마  어제 술 빠  랐냐 디비쟈냐    집에가라
34,욕조푸라민              ,참 대단하신분 뽑았습니다.
35,임두혁              ,웃고 말지요  허허
36,강민형              ,졸수도 있지.. ..
37,별은              ,무슨 지가 국회의원? 그냥 돈많이주니까 돈받고싶으니까 머리가빈거지.돈에미쳐서.졸아?인간도아닌것아
38,Chansup Noh              ,잘자네 우리 애기 코~~~~~자라
39,Sung Su Oh              ,이름값 하는군! 이완용
40,Ehdro Kim              ,자는게 당연하다는 듯 쳐자네.. 도대체 이런 ㅅㅋ들은 누가 뽑아주는거냐.. ㅉㅉ 
41,ds yi              ,구캐레기
42,이유진              ,원래부터 쓰레기였구만
43,수아씨              ,걍 집에 가서 쳐자라..다신 정치하지말고.
44,휘도일카              ,저런걸 뽑아주는 우리도 문제다 정말..
45,JYJ0423              ,"잘 자라, 우리 의원님~ 국회와 청와대에~ 세월호 유족들도~ 잠을 안 잤는데~"
46,김보좌관              ,그래도 뽑아주잖아
47,Lee SeokJu              ,정신차립시다!
48,맹모닝              ,참 바쁘게 여기저기 다니면서 쓰레기 짓 한다 진짜
49,곽상운              ,참 가관이네~~꼬라지좀보소
50,강소원              ,에휴..
51,서채영              ,우리나라존나잘돌아가겟당ㅎㅎ
52,찰리모픽              ,완영아 에제 룸싸롱에서 달렸구나.
53,서연희              ,야 ... 참 입맛까지 다셔가며 처자빠져 자네 한두번 자는 폼이 아님 저 시간에 자야지 하고 맘먹고 처자는거임
54,이강복              ,참 안타깝네요 
55,객석              ,이완영이 이완용 직계 후손아녀??? 하는 짓거리가 영......
56,그레이색이야              ,전날 ㅈㄴ게 과음 했나보네 ㅅㅂ 개누리당
57,이경민              ,성주 칠곡 분들 참... 그리고 이름 값합니다.
58,와죠스키              ,참 나라꼬라지가
59,정영복              ,성주 ... 그 분이네요...
60,K Ash              ,저 쓰레기 진짜 미친거 아니냐
61,SY L              ,가관이네요 정말
62,정미스테리              ,잘 자내! 아예 바닥에 돗자리 깔고. 자라 매국노야!
63,Kiseok Kim              ,죽으면 편히 잘텐데...왜 저러시나?
64,J L              ,지금.. 잠이오나.. 부모는 밤에도 잠을 못주무시는데
65,슼붕              ,국개의원....
66,tv푸른 소나무              ,국회의원 청문회에서자고 있어도 월급주나요퇴출바람
67,김재현              ,"저런걸 예상하시고 조상님들이 이런욕을 만들어 놓았나봐요, 개XX !!"
68,노minjung              ,전날 밤에 신나게 노셨겠지...그러니 저러고 있지...어떻게 저 당은 인간이 없지....?
69,제이바보              ,이완용 동생인가??  나랏일하시는데 많이 피곤하신가분데 그냥 영원히 잠드세요
70,move half              ,아이고 참대단도하셔라눈도아예감고있는거보소ㅋ집에서잠이나자지왜 국회의원까지되가지고 저러쿵앉아있노 ㅋㅋ;
71,김규현              ,"새누리당답다!  거래처에서 술쳐드시고 온듯 저런것들도 국세받아 쳐드시고 그걸로 처자식 먹여살리나 ?  지미 씨,벌,놈일세"
72,화려한 조명              ,가지가지한다 ㅋ ㅋ
73,킹아파치              ,룸에서 밤세술쳐드셨나  빨통빨문서 잠이오냐
74,Hanseul Jang              ,ㅋㅋ잘하는거아니냐? 니들의견은 들을 값어치가 없는데 잘하는거네
75,김재모              ,저런거 계속 의원직에 나둬야돼?
76,양기수              ,"자질이 딸리는 인간을 국회의원으로 뽑아놓으니,지역구망신 톡톡히 시키네그러니 사드배치나 당하구 있는것과 무관치 않을것임"
77,김은택              ,잘한다.... 잘해.... 남의 일인것같죠?? 곧 본인에게 다 돌아올꺼에요 그때나 실컷 아파하세요 우리들이 그 앞에서 자고 밥 맛있게 먹을께요
78,김은택              ,잘한다.... 잘해.... 남의 일인것같죠?? 곧 본인에게 다 돌아올꺼에요 그때나 실컷 아파하세요 우리들이 그 앞에서 자고 밥 맛있게 먹을께요
79,최학선              ,밤에 너무 힘쓰지말고 쓸 힘도  맨 조졸고안잦지  그래도  국회의원이고 지역구 눈이삐였지  ㅆ ㅂ ㅈㅇ구
80,요한리베르트              ,쩐다........ 자기 자식이 세월호 탑승자라면 저리 처 잘수 있곘나..잘꺼면 저 자리에 왜 나온거냐
81,김연우              ,헐..자냐 자니깐좋은가보네자기아들딸아니라고... 참
82,s.h Kim              ,그래 그렇게 졸면서도 국민세금으로 권력을 누리지 그래서 새누리당인가...창피하다 창피해...저것도 국회의원이야 하루 빨리 국민 소환제를 실시해야한다
83,고구려              ,저런거찍는 비잉신이 더많어니ㅉ
84,고구려              ,저런거찍는 비잉신이 더많어니ㅉ
85,신용식              ,왜저런걸뽑는지..저질 뽑기1000원 상품의 값어치도 안되는걸....잠이 쳐오나 ㅆㅆㄲ
86,AST BE              ,당신이 국회의원이 맞나요만약 당신의 자식이 그렇게 되었다면 그렇게 행동하겠습니까만약 당신이 진짜 국회의원 이었다면 그렇게 행동하지 않았을 것입니다.
87,Youn Seok lee              ,아...답없네...어찌 저런사람이...쳐내야 나라가 산다
