,ID,Comment
0,국민과더불어민주당              ,새누리당의원들도 비판을하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아속이시원하다.
1,Sang hoon Baek              ,여기서 이재오 서청원의원 욕하는 사람들은 뭐냐? 저건 국민의 대변자인 국회의원으로 당연히 해야할 행동이다.
2,이성현              ,이재오는 정치 잘하는 타입이지.가짜 보수 좀 없어 졌으면
3,대박대박              ,이재오의원님 한표!  짱입니다요
4,이재환              ,침대축구를 보는 느낌이다.왜누리는 항상 국회를열면 시간허비에 애쓰지.
5,Chunghun Park              ,이재오 의원님  서청원 의원님 협조하여 주시니 감사 드리옵 나이다.  화 이 팅  ~~~~
6,Hyunjin Moon              ,오~~~새누리당 좋게안봤지만이영상만큼은 그나마 보기좋네~~~그래 따끔히 혼낼땐 혼내라~~
7,아즈라엘야옹              ,저딴게 장관이냐.ㅋㅋㅋ
8,미싱밖는 동물들              ,십세야 다 죽었다 담  때 진실 해랴 맞제
9,OHS JKH              ,이재오는사기꾼 이명박의 졸개쇼하네 ㅎㅎ
10,이선우              ,이의원 확실히 여당속 야당이 맞군.역시 예나 지금이나 지도자들은 변명하나는 다들 일품으로 잘한다. 미꾸라지들처럼 책임질일은 잘도 피해가고ㅉㅉ
11,Young Eund Jeon              ,놀고 있네~ㅋㅋ
12,heungbae kim              ,공산당..ㅇ.* 답...무식한국회
13,ULTRA GUN              ,😭😭😭😭😭😭😭😭😭
14,김홍연              ,똥 묻은개가 겨 묻은개 나무라네
15,오방 오빵 호빵오빵              ,아.... 뉴스만 보고 설치다가 일하시는 모습보니까 기분이 좋네요...말로만 떠드는 사람들이 아니라 진정 나라의 안위를 걱정하고 게으른 장관들을 호통칠수있는 용기 그것이야말로 이 사회에서 진정으로 박수쳐줄일 아니겟습니까? 새누리는 놀기만하는줄 알앗는데... 감회가 새롭네요.. 그래요 그게 국회의원의 자세죠!
16,moon위성              ,개누리도 인간들이 있네~@!!@
17,9반5번마예은              ,죄송합니다는 애도 하겠다
18,Jungkeun Oh              ,병규야 ㅎㅎ
19,이준              ,저렇케날리쳐야박근네가 욕덜먹거든
20,김별              ,와~~~ 이분들 이럴때도 있었군요.
21,kyoung bog ahn              ,그냥 웃자 허 허 허
22,unionasone              ,"이재오 멋있는 것 여러개 보네, 헐~~~내가 너무 이재오를 몰랐구나, 참 괜찮은 사람일세...서청원씨는 아닐 것 같더니 한마디 또 하네,,,야 보기 좋다. 그렇게 했으면 좋겠다"
23,Lecture Agency              ,정치 쇼 인 줄 알면서도 아주 조금 위안이 되려나...
24,진재현              ,서청원한텐 찍소리 못하네
25,현수오              ,참 새누리는 잘뭉쳐
26,노용균              ,저사람 ㅋㅋ 친박하고 친이가 하나가되서 영혼까지 털리니 빠져나갈구멍이 없네 ㅋㅋㅋ
27,huynwoo Kim              ,예네들 영화배우 했으면 영화 대박 났겠다 ㅎ
28,흑월              ,장관의 운명은....?
29,진유성              ,39건의 간첩조작사건들 모두 새누리당이 저지른 만행이다.  새누리당은 한민족의 통일을 영원히 불가능하게 하기 위해 이와같은 만행을 저질렀다. 새누리당은 해산되어야 한다.
30,조은주              ,x 발 정치인들 그래서  관련자들 잡아서 처벌했어요 ?? ㅋ 어이가 없네 ㅠ 우리집에서 13층인데 세월호 장례식장이 보이거든 ^^:
31,bara park              ,이재오 아저씨 조은사람인데 ㅠㅠ😤
32,답이없다              ,저때는..이재오의원..서청원의원 바른말햇다...그리고 이재오의원은 국정연설이나 당회의때  닥그..그...썅..하 암튼 그인간 정책비판도 정말 많이햇엇지...
33,박상현              ,중간에타자치는거봐 ㅋㅋ
34,Chunghun Park              ,청문회의 꽃 김현 의원님 열열히 지지 합니다. 힘내십시요.  화 이 팅  ~~~~
35,kyoung bog ahn              ,장관들의 태도가 아니오? 그냥 웃자
36,망고              ,이재오는 종종 쓴소리 잘 했는데 서청원에 저런 면이 있을 줄이야...
37,Hokang kang              ,역시 노련하네요믿어야 할지 국회의원들 하도 많이 속아서ᆢ끝까지 봐야죠
38,장지혁              ,더러워
39,Gyopiell Lee              ,오히려 덮으려는 태도. 한편의 잠깐 쇼다. 새누리당의 작태를 우리가 보고 있지 않은가.
40,opera              ,"이재오가  바른말  하니까,  어떻게  받아들여야  할지  혼란스럽다."
41,카네기              ,지금KBS에서 올바른 법을통과 시키자고 김경협 의원이 열심히 말하는데 김태흠 온갖 구설수를 갖다 붙여 태클을만드네.
42,Si Woo Kim              ,역시 좌장들이야@@@@@@@@@@@@@@@@@@@@@@@@@
43,건욱              ,탁구하고 자빠졌네 약속하고 주고받기하면  어린애들도 하것다쭈글이들아
44,퍼스트클래스              ,국회의원들이 법을 아주 잘 만들어 놓으니까 세월호가 바다위에 둥둥 잘 떠다니지 똥 뭍은 개가 누굴 나무라나?
45,함초롱이              ,야네들  그네한테 불똥 튈까 악쓰네
46,t알고리즘              ,"명확한 원인과 해명을 듣고싶은건지 넢죽엎드려서 사과하고 빌기를 바라는건지.. 한국사람들은 볼때마다느끼지만 이게 문제다 이게. 아니 관련자를 데려고왔으면 명확한 해명을 듣고 거기서 맞다 틀리다를 봐야맞는거지.. 감정적으로 장관 조지고 니잘못이다 마녀사냥하고 책임질사람만들어내서 덤탱이씌워서 목아지짤라내면??? 뭐그래서?? 그렇게하면 변화하는게 뭔데? 눈가리고 아웅하는거지.   그게 정치적문제해결이다. 실제 사회에서의 제대로된 문제해결이 아니라. 말그대로 눈가리고 아웅하기.  사회를 변화시키고 발전하는데 전혀 도움이안되는 쓰레기식 한국문제해결법. 이해가되나??제도 시스템 여지껏 한국사회가 가지고내려온 안전불감증, 사회적으로 팽배한 빨리빨리 문화, 무조건 결과중심적인 한국국민들 하나하나의 인식들,,이런거 하나하나 따지고 제도적으로 보완하고 고쳐지고 해야맞는거아냐? 장관만 조지면? 뭐가 해결되는데? 어휴.. 답답스럽다. 선진국들을 좀 보라고. 아니 재난났다고 정부관계자들 마녀사냥하고 책임질놈잡아서 목아지치고 이러냐고. 이거야말로 후진국적마인드라니까.  마녀사냥할 재물대상을 찾고 그사람 잡아 몰아세워서 족치고.. 우매한국민들은 거기에 또 우우 동조하고..어휴... 한국이 무슨 고대 샤머니즘사회냐? 자기감정해소할 재물이 필요하게? 괜히 미개라는 얘기가 나오냐고 괜히.  이런해결방식이 문제해결의 본질이 아니라니까?선진국은 냉철하게 사건이 일어난 배경과 원인을 따지고 명확하고 객관적으로 고칠거 확실히 고치고 문제되는거 고칠생각을 한다고... 한국처럼 누가하나 마녀사냥할 대상찾고 죽일듯이 발광하지않는다고 이 깝깝한 인사들아. 아니 이래서 변하는게 없는거야. 발전을 못해.매사가 감정적이니까. 그냥 객관적으로 보라니까. 그래야 문제의 해결점이 보인다니까 참나...이런시작점에서부터 선진국이랑 문제해결에서부터 차이가나는거여 이런시작점부터."
47,sh k              ,책임지는 사람은 없고 죽은 사람만 억울할 뿐...
48,희나리Sunwoo              ,"자국민 절반, 3000만명이 죽어나가도 눈썹하나 까딱안할 정말 징그러운 생물체들.... 조선종자들의 유전자DNA의 구조가 정말 궁금해지는 순간이다."
49,김준희              ,국개들이 무슨 자격으로 나대는지 원??
50,지은이              ,대통령과 니들은 뭐했노
51,고암              ,또 세월호 냐? 할일 없냐? 까 방송 한번 보시지
