,ID,Comment
0,은빌              ,유승민보고 배신자라하지마라개밑에서 어떻게 늑대가 자라냐다 자초한 일이다
1,Tee J.              ,유승민을 담기엔 너무 그릇에 벌레가많다 시궁창...
2,이선우              ,목소리 크면 간신도 충신으로 비춰지는 저 썩은 박동네~!!!
3,hoop whitenoise              ,김태호 개극혐
4,Mo Ti              ,김태호 이양반 얼마나 약삭빠르냐면 김해 홈플러스에 유세하러다니는데 좀 나이든 사람들한테만 악수청하고 젊은사람은 쌩까버림.
5,Dae il Lee              ,"유승민 의원님 힘내세요, 국민은 바보가 아닙니다.."
6,perseus              ,국민이 지켜보고 있다..   유승민 기죽을 필요 없음
7,falaco w              ,친박이  문제네.환관정치
8,n4ram81              ,저런 돌대가리한테.. 유승민이 ㅋ 유승민은 내면의 승리자다.
9,daniel hart              ,빨아도 작작 빨아야지... 휴....
10,67kg 180cm              ,난 유승민이 문재인 당선되었을때 와서 축하해주는거보고 당을 떠나서 대단하게 생각함
11,김김감              ,김태호는 무조건 숙청해야된다....
12,이영화              ,유승민 의원의 용기와 뚝심에 박수를 보냄니다 소신있는 정치인같네요 당을 떠나서 눈치만보면 사는 의원님들 반성좀합시다 지발요
13,수수희              ,와중에 유승민님 귀여미시다 🐰
14,Ba Tong              ,김태호 섞은 부분만 해결하면 혁신새누리 가능하다 못하면 보수당 영원히
15,묵자묵자사얼차이              ,닥그네가 원흉야 절대 결단코 사면해주면 안됨
16,김빈              ,"유승민, 김무성, 원유철 제대로 된 보수네.김태호 노답이다. 밥 그릇 때문에 국민에게 진실을 가리려하네"
17,bk CHOI              ,태호 근혜한테 충성!!!!
18,ᄀᄂᄀᄂᄃ              ,원유철이랑 김무성이 유승민보호해주는장면은 재밌네요 ㅎㅎ
19,James Yi              ,태호야 속보여.....정치졸업하고  만화책이나봐라...
20,sk k              ,이인제 봐라~~눈치보고 빠지는~
21,aroma03030              ,김태호 저 놈도 최순실 끄나풀인가봐
22,Kim YG              ,유승민 의원 빼고는 바른 사람이 한 명도 없는 최고위원들.
23,나라가나라다운나라              ,순실당수준 ㅋㅋㅋ
24,봄비              ,김태호 개자식 그네한데 한번해봐라
25,이송연              ,유승민^^
26,H.j G              ,바른소리한게 사퇴할 이유???진짜 어이상실...
27,김성욱              ,익은곡식은 고개를 숙이고 빈깡통은 요란하다 더라.
28,Abel Kang              ,여기있는 김태호.이인제 전의원은 내년총선 에 출마하려는지 궁금하네요.
29,김한나              ,유승민밖에없네
30,lumpen              ,새누리 당이 지금 살아 날 수 있는 방법은 유승민 체제로 가고 정치깡패들 다 쳐내는 것 밖에 없을 듯.. 소위 친박이라는 버러지들 부터
31,Neiyan Lee              ,많이 배운 유승민이 참으세요
32,Han Kim              ,김태호 최고위원 간신의 최고봉이라 생각합니다. 이제는 누구에게 붙으려고 할 까 고민이 클 것 같습니다. 친박도 이제 날라가고
33,찬성합니다 인터넷실명제              ,단순히 당의 생존에만 급급하신 김태호 사장님.
34,쓰밍              ,정치인 진짜 ㅋㅋㅋㅋ 아무나 못할듯 생명 줄어들듯
35,최영배ᅳ대표              ,이유ㅡ 있는의미있는영상이군요^^
36,북극곰              ,답없는 김무성 ㅋㅋㅋ
37,원병희              ,"이거 보면, 아무리 원유철이 바늘구멍 드립쳤어도 복당불가 번복하는 게 그렇게 비난받을 일인지 다시 생각해보게 된다."
38,아름다운사람              ,제가 다마음이 안좋네요 힘내세요♡
39,이현우              ,무성이 건달느낌나네
40,삶은인생              ,난 새누리 정말 싫어 하지만 유승민 대선 나오면 찍는다 소신있는 보수 멋있다. 난 진보지만 저런 소신있는 보수는 정말 봐도 봐도 소름 끼칠정도로 멋있다.
41,Bumsub Song              ,잘~한다
42,seoul city              ,유승민을 담기에 우리나라 보수는 수준이 너무 떨어진다
43,김준성              ,콩가루당
44,늘푸른              ,역시 유다
45,박화정              ,언제 일인가?
46,cloud cloud              ,김태호님
47,김현석              ,"그러니, 선거에서 졌쥬?"
48,김영만              ,개태호 요즘 세수대야 보기 힘드네 깜도 안되는기 어디 유승민 한테 대더냐
49,jiwer mn              ,김무성 진짜 머리에 어떤생각을 담은 사람인지 모든거에군림 쯧쯧
50,Yong Kim              ,그래도양심있는?유승민님🤗🤗🤗
51,폴라              ,아 속았네 4년전 꺼여ㅋ
52,초이두두              ,요즘 김태호는 머하노 밥은 묵고 다니제...
53,노주현              ,태호등신
54,현우정              ,"김태호 저넘 박근혜 치맛자락 붙잡고 기고만장하더니 이젠 완전 찌그러졌다,"
55,낙동강              ,개무성 디져라~
56,moy Lee              ,김태호 저 기회주의자는 언젠가  안좋은꼴로 끝날듯.
57,윤jiji              ,유승민은 진짜다.
58,왕왕왕              ,김태호ㅋㅋㅋㅋ김경수한테 경남지사 뺏겼지 잘가라 ㅋㅋ
59,전을천              ,유승민최고다화이팅
60,순수              ,김태호 살아남으려면  그렇게 당에아부 하는거야 맞제 ㅋㅋ지나가는 개가 웃는다 ㅋ
61,노래하는백수              ,유승민 화이팅
62,ᆞ호랑이신랑              ,김무승 아웃
63,임도영도영              ,남에말 좋게말하면 복이와요
64,박용분              ,물려가시오김ㅡ유ㅡ
65,skipper              ,홍준표 언어로 양박이네. 홍도 마찬가지이고
66,안창호.철수도산              ,태호너 마이겄네
67,s ue              ,김무성 초심을 잃지 마라. 오늘 바른정당 대선후보 선출 지켜보겠다!
68,블랙야크              ,무성 유민 이넘들 때문에 국가 적으로도 엄청 피해가 크다
69,무궁화꽃              ,괴국회!괴역적!괴국회해산 답이다!
70,뉴런              ,나도  유감이고  불쾌까지하다..
71,최경란              ,김무성 유승민 끝까지 나오지 말거라
72,351 story              ,유승민 언젠간 김무성하고 부딪힐텐데.. 어떻게 해결하려나
73,있는자복              ,간만에 김무성의원 제대로 발언했다!!!
74,cloud cloud              ,유승민의원  응원 합니다김무성의원님 멋있습니다
75,David lee              ,김태호 눈이 관상학적으로 욕망덩어리
76,윤희선              ,김무성은벌 레
77,한동훈              ,박근혜 입맛에 안맞는 얘기했다고...이렇게 사퇴를 시키나?? 참나 사퇴할 이유가 뭔대??? 같은편한테 정신차리라고 쓴소리 한게 충신아니냐? 충신을 사퇴하라고하니 이유를 모르겠지 안그러냐 김태호 이늠아
78,Tae Simons              ,구더기 들이 덕신 덕신 하네
79,만물박사              ,메르스는  유승준.인권에 대한 하늘의 .천벌인것을.나는 안다.
80,K WM              ,예나 지금이나 콩가루 ㅋㅋ
81,김예슬              ,유승민이 복당안하고 대선나오면 찍어줄 수 있을 거 같은데 에휴
82,jy l              ,김태호도 지금 이영상보면 후회할꺼야!양박이라는거!
83,Sun Yi              ,흉노족 ㅅ ㄲ 들. 국민팔지마
84,소나무소나무              ,김무성 완전쓰레기 나가 나가 유승민 재수섮어;;
85,Jaehun Noh              ,박근혜 전 대통령이 당 관리를 못한 일차 책임!
86,김영만              ,김태호 비리투성이 꺼져
87,이상호              ,김무성 배신자여 한국당을 떠나라
88,딱!한수.              ,보기도싫고 듣기도 삻다 이~상  끝
89,Gunjin Lee              ,이러고 20대 총선에서 참교육 당하지 멍청한 새누리 자멸의 길은 귀신같이 알아요
90,남외자              ,추악한인간들
91,정숙희              ,반성을 안하니까 그러지요
92,머린캅스              ,김태호 너나 사퇴해라 간신배같은 넘이
93,이세인              ,머리가  돌고있다 무닉이
94,yj kim              ,원유철이 저러던 인간이 지금은 바뀐애 따까리 열씨미 하고 있다
95,감사하늘              ,미친놈덜이네...
96,해바라기              ,김무성이  잘나지도 못한것이 아주 거만하네요 ㅠ
