,ID,Comment
0,hdk3343마음              ,이한구 이번에 철저히 유승민에게 ko패다 완벽하게 돌대가리 이한구 그렇게도 세상보는 눈이 없구나 그러니 대우도 망했지
1,김중원              ,대구의 유승민 지지자분들 존경합니다. 이로 인해 진정한 정치인을 살려준 여러분이 의인입니다.
2,이름없음              ,진짜 새누리당인 유승민의원 떠난거 ㅈㄴ클걸
3,Serene Jeongah Lee              ,동네 양아치 보다도 못한 더러운 플레이 .. 머 결과적으로는 무소속으로 당당하게 당선되셨지만... ㅋㅋ
4,mikle min              ,"유승민은 알고 있엇구나, 최순실 비리를...."
5,바니              ,한구야 니나잘해
6,김희라              ,유승민의원님 존경합니다
7,피카츄              ,유승민이 옳다.
8,S 3DT              ,유승민  GOOD JOB.
9,黄喜在              ,이한구용서못한다  나라망신 대표님 화이팅
10,TBS1              ,다시봐도 거지같은 당이다
11,홍영철              ,유승민 의원님 ...소신 있는 행동에 찬사를 보냅니다
12,정은주              ,유승민  정의롭다 멋있다
13,黄喜在              ,이한구  내시대표
14,Tony Kim              ,이한구 미 ㅊ
15,태보              ,3:33 개설레네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
16,Bongsu Wessel              ,무식한 이한구 제발 집에서 쉬세요!!!
17,yb995186              ,옥쇄런ㅋㅋ
18,Soyeon Won              ,3:22 김무성대표한테 따라붙는 왼쪽 기자 잘생김..
19,노르웨이숲              ,한구야 잘있냐
20,사랑사랑              ,이한구 이 양반아 작금의 현실을 봐라 침 안 뱉겠냐 아니 똥물을 뒤집어 안 씌운게 다행이라 생각해라
21,고구려              ,무성대장!!이번엔 대장답네!!쫄지마샴또 무쫄이된다!!
22,윤준서              ,미친 개누리
23,foot ho              ,김무성님 의외로 의리파!
24,이우연              ,한심한 한구~ 무지.무능한. 무성~
25,종수이              ,존경스러운.유성민.나는보수아니지만유성민의원님은.존경합니다
26,wanee              ,보수는 혁신합니다 ㅋㅋㅋㅋㅋㅋ 저때도 붙어 있었네 ㅋㅋㅋㅋ 21대 완전히 쳐발리고 난 이시점에 다시 보니 넘나 웃긴 것 ㅋㅋㅋ 새누리당의 새이름은 혁신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
27,조남선              ,간신한구는 지금 머하고지내나? 정현이놈이랑 고무신신고 막걸리 마시고 있나...
28,한정수              ,이한구 대구출신 아닌가?
29,타민셀              ,새누리당의 이름은 혁신이레..ㅋㅋㅋㅋ 하긴 맞네.. 비아그라 대통령을 가진 새누리당은 혁신맞아
30,은린찡님 Tv              ,뎃글 진짜 쓴 사람들 중에서 뽑아도 저딴 놈들 보단 잘 할거다
31,BS sy              ,이한구....완장차고 건들건들....꼴보기싫엇는데...속이 다 시원하다...
32,강레테              ,1등 공신이 이한구공천위원장!!
33,Puhui Thomas              ,끝났고 떠날때는 말없이 ....
34,하늘도인              ,"지난 일이지만 김무성 저런 막돼먹은 인간이 새누리당 대표라니,,,"
35,성우김              ,다음에 어느당에가든 우선 탈당은 잘된거지
36,Big Boss              ,대구의원인데 대구 사람은 존경 안 하고 우째 광주 사람만 존경할까?
37,하내권              ,김무성이 새누리를 나오는게 왜 당에 도움이 안되는걸까 ㅎㅎ
38,자우지간한국인              ,당이 꽃길만 걷는다니..꽃길만 좋아하는 인간들이 어떻게 힘든 나라 정치를 한다는거지..
39,M J              ,이환구 고맙다 머저리 같은 짓을해서 한국당이 패망이 시작됬다
40,perseus              ,비록 길이 평탄치는 않지만 굳은 신념을 가진 한 의원을... 우리 국민이 끝까지 지켜보고 응원하고 있습니다.
41,cloud cloud              ,이한구  그런말씀  함부로하지마세요 유승민을 응원합니다
42,bjhg ᄋjeq              ,미친인간아
43,아름다운사람              ,ㅠㅠ썩을것들 유승민이 답이다
44,gasil sol              ,당당히 당선하심~^^에구 유치원생도 웃는  각누리당ㅋㅋㅋ
45,해바라기              ,여기도 무성이한테 말도 못 붙이는 기레기 참 많네
46,이경순              ,대구에서는 누구도 유승민지지는없다
47,이연복              ,자업자득 도 모르는잘들 논다 예감이간다
48,오경애              ,금뻐지가참좋긴준은가봐요뉴스를보면서로나리네요
49,유티미              ,이때 왜 복당했누 ㅅㅂ... 하지말지...
50,sm p              ,유승민 .민주는 좌빨들처럼 사회주의  를말하는가?
51,최동주              ,이한구는한심스롭다
52,이경순              ,한번배신하고 나갔으면 됬지 뭣땜에 기여들어오냐 ? 대책이 없는가봐 배신자
53,이근운              ,.
54,김성주              ,호랑이 잡으러 호랑이 굴로 다시 들어 갔어요?대한민국 미래의 지도자감
55,진화              ,김무성 너구리..
56,victory Lee              ,우리나라에 공의가 무너진지 오래~~!!유의원같은 분을 본적이 없어 정말 놀랍다!!
57,for vendetta V              ,한참전꺼지만 그당시 결국 지들 밥그릇 싸움이지 그리고 유승민 뭐고 무소속이든 공천이든 뭐든 그후 선거결과를 보면 과거 현재 국민들이 개누리한테 얼마나 화가 나 있다는 걸 아는게 먼저였어야 하는게 아닐까 라는게 포인트지 ㅅㅂ놈들아
58,박홍순              ,구자가 한자로 🐕 구인가요?
59,dieselbreathe              ,정말 합리적인 분입니다
60,o hacks              ,뭐가 친박이야 친순실 이었구만......
61,조규식              ,너는정치보복한다고박대통령탄핵핸너냐
